time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. W. Reed (J. Grant gains possession),,,,Jump ball: R. Lopez vs. W. Reed (J. Grant gains possession)
11:34.0,,,0-2,2,T. Gibson makes 2-pt shot from 14 ft
11:12.0,R. McGruder makes 2-pt shot from 18 ft (assist by L. Babbitt),2,2-2,,
10:58.0,,,2-2,,Shooting foul by D. Waiters (drawn by P. Zipser)
10:58.0,,,2-3,1,P. Zipser makes free throw 1 of 2
10:58.0,,,2-4,1,P. Zipser makes free throw 2 of 2
10:47.0,D. Waiters makes 2-pt shot from 1 ft (assist by G. Dragic),2,4-4,,
10:47.0,Shooting foul by P. Zipser (drawn by D. Waiters),,4-4,,
10:47.0,D. Waiters makes free throw 1 of 1,1,5-4,,
10:30.0,,,5-4,,R. Lopez misses 2-pt shot from 4 ft
10:28.0,,,5-4,,Offensive rebound by T. Gibson
10:24.0,,,5-4,,Turnover by J. Grant (bad pass; steal by G. Dragic)
10:22.0,G. Dragic makes 2-pt shot from 4 ft,2,7-4,,
10:22.0,Shooting foul by J. Grant (drawn by G. Dragic),,7-4,,
10:22.0,G. Dragic makes free throw 1 of 1,1,8-4,,
10:06.0,,,8-4,,D. McDermott misses 2-pt shot from 17 ft
10:06.0,Defensive rebound by R. McGruder,,8-4,,
9:59.0,D. Waiters misses 2-pt shot from 2 ft (block by T. Gibson),,8-4,,
9:58.0,,,8-4,,Defensive rebound by T. Gibson
9:52.0,,,8-4,,J. Grant misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by G. Dragic,,8-4,,
9:45.0,L. Babbitt misses 3-pt shot from 25 ft,,8-4,,
9:44.0,,,8-4,,Defensive rebound by D. McDermott
9:33.0,,,8-4,,R. Lopez misses 2-pt shot from 18 ft
9:32.0,Defensive rebound by L. Babbitt,,8-4,,
9:23.0,G. Dragic makes 2-pt shot from 8 ft,2,10-4,,
9:08.0,,,10-6,2,D. McDermott makes 2-pt shot from 21 ft (assist by R. Lopez)
9:08.0,,,10-6,,Shooting foul by R. McGruder (drawn by D. McDermott)
9:08.0,,,10-7,1,D. McDermott makes free throw 1 of 1
8:57.0,L. Babbitt misses 3-pt shot from 26 ft,,10-7,,
8:56.0,,,10-7,,Defensive rebound by P. Zipser
8:42.0,,,10-7,,J. Grant misses 3-pt shot from 26 ft
8:41.0,,,10-7,,Offensive rebound by J. Grant
8:40.0,,,10-9,2,J. Grant makes 2-pt shot from 1 ft
8:40.0,,,10-9,,Shooting foul by L. Babbitt (drawn by J. Grant)
8:40.0,,,10-10,1,J. Grant makes free throw 1 of 1
8:28.0,G. Dragic makes 2-pt shot from 2 ft,2,12-10,,
8:15.0,,,12-12,2,P. Zipser makes 2-pt shot from 2 ft (assist by J. Grant)
8:15.0,,,12-12,,Shooting foul by W. Reed (drawn by P. Zipser)
8:15.0,,,12-13,1,P. Zipser makes free throw 1 of 1
7:55.0,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic),3,15-13,,
7:34.0,,,15-15,2,T. Gibson makes 2-pt shot from 3 ft
7:17.0,W. Reed makes 2-pt shot from 2 ft (assist by G. Dragic),2,17-15,,
7:08.0,,,17-15,,Turnover by D. McDermott (bad pass)
6:53.0,Shooting foul by P. Zipser (drawn by W. Reed),,17-15,,
6:53.0,W. Reed makes free throw 1 of 2,1,18-15,,
6:53.0,W. Reed makes free throw 2 of 2,1,19-15,,
6:53.0,J. Johnson enters the game for L. Babbitt,,18-15,,
6:53.0,,,18-15,,J. Butler enters the game for P. Zipser
6:36.0,,,19-15,,Turnover by D. McDermott (bad pass)
6:26.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,21-15,,
6:25.0,,,21-15,,Chicago full timeout
6:25.0,,,21-15,,D. Wade enters the game for D. McDermott
6:25.0,W. Ellington enters the game for G. Dragic,,21-15,,
6:04.0,,,21-15,,J. Grant misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by D. Waiters,,21-15,,
5:47.0,D. Waiters misses 2-pt shot from 18 ft,,21-15,,
5:46.0,,,21-15,,Defensive rebound by D. Wade
5:33.0,,,21-15,,J. Butler misses 2-pt shot from 19 ft
5:32.0,Defensive rebound by J. Johnson,,21-15,,
5:25.0,J. Johnson makes 2-pt shot from 7 ft,2,23-15,,
5:06.0,,,23-15,,Turnover by D. Wade (bad pass; steal by D. Waiters)
5:05.0,Shooting foul by J. Grant (drawn by R. McGruder),,23-15,,
