time,LA Lakers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Mozgov (A. Horford gains possession),,,,Jump ball: A. Johnson vs. T. Mozgov (A. Horford gains possession)
11:38.0,,,0-2,2,A. Horford makes 2-pt shot from 12 ft
11:20.0,N. Young misses 3-pt shot from 26 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Crowder
11:09.0,,,0-4,2,A. Horford makes 2-pt shot from 4 ft (assist by J. Brown)
10:55.0,D. Russell misses 2-pt shot from 16 ft,,0-4,,
10:54.0,Offensive rebound by T. Black,,0-4,,
10:47.0,L. Deng misses 2-pt shot from 12 ft,,0-4,,
10:46.0,,,0-4,,Defensive rebound by J. Brown
10:35.0,,,0-7,3,I. Thomas makes 3-pt shot from 27 ft (assist by A. Horford)
10:12.0,D. Russell makes 2-pt shot from 18 ft,2,2-7,,
9:46.0,,,2-7,,I. Thomas misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by L. Deng,,2-7,,
9:37.0,D. Russell makes 2-pt shot from 3 ft,2,4-7,,
9:25.0,,,4-9,2,J. Crowder makes 2-pt shot from 17 ft
9:13.0,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell),3,7-9,,
8:58.0,,,7-12,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
8:49.0,Shooting foul by A. Johnson (drawn by T. Mozgov),,7-12,,
8:49.0,T. Mozgov makes free throw 1 of 2,1,8-12,,
8:49.0,T. Mozgov makes free throw 2 of 2,1,9-12,,
8:32.0,,,9-14,2,A. Johnson makes 2-pt shot from 4 ft (assist by A. Horford)
8:15.0,D. Russell misses 2-pt shot from 20 ft,,9-14,,
8:14.0,Offensive rebound by T. Mozgov,,9-14,,
8:10.0,N. Young makes 3-pt shot from 26 ft (assist by T. Black),3,12-14,,
7:52.0,,,12-14,,I. Thomas misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by L. Deng,,12-14,,
7:34.0,D. Russell makes 3-pt shot from 24 ft (assist by T. Mozgov),3,15-14,,
7:20.0,,,15-17,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
6:57.0,T. Mozgov misses 2-pt shot from 8 ft,,15-17,,
6:56.0,Offensive rebound by L. Deng,,15-17,,
6:54.0,N. Young makes 3-pt shot from 25 ft (assist by L. Deng),3,18-17,,
6:44.0,Personal foul by T. Black (drawn by I. Thomas),,18-17,,
6:29.0,,,18-17,,J. Brown misses 2-pt shot from 3 ft
6:26.0,Defensive rebound by L. Deng,,18-17,,
6:22.0,N. Young makes 3-pt shot from 26 ft (assist by D. Russell),3,21-17,,
6:05.0,,,21-17,,I. Thomas misses 2-pt shot from 7 ft
6:05.0,,,21-17,,Offensive rebound by A. Horford
6:01.0,,,21-17,,J. Crowder misses 3-pt shot from 23 ft
6:00.0,Defensive rebound by L. Deng,,21-17,,
5:54.0,D. Russell misses 3-pt shot from 25 ft,,21-17,,
5:53.0,,,21-17,,Defensive rebound by J. Crowder
5:49.0,,,21-17,,Shooting foul by T. Mozgov (drawn by A. Johnson)
5:49.0,,,21-17,,Boston full timeout
5:49.0,,,21-17,,A. Johnson misses free throw 1 of 2
5:49.0,,,21-17,,Offensive rebound by Team
5:49.0,,,21-18,1,A. Johnson makes free throw 2 of 2
5:49.0,,,21-17,,M. Smart enters the game for J. Brown
5:39.0,Turnover by T. Mozgov (bad pass; steal by M. Smart),,21-18,,
5:34.0,,,21-20,2,M. Smart makes 2-pt shot at rim
5:19.0,D. Russell makes 2-pt shot from 7 ft,2,23-20,,
5:04.0,,,23-20,,A. Horford misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by T. Mozgov,,23-20,,
4:53.0,T. Mozgov misses 2-pt shot from 12 ft,,23-20,,
4:53.0,,,23-20,,Defensive rebound by A. Horford
