time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Nurkic (L. Deng gains possession),,,,Jump ball: T. Mozgov vs. J. Nurkic (L. Deng gains possession)
11:46.0,,,0-0,,L. Deng misses 2-pt shot from 17 ft
11:44.0,Defensive rebound by J. Nelson,,0-0,,
11:31.0,J. Nurkic misses 2-pt shot from 3 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by T. Mozgov
11:23.0,,,0-2,2,N. Young makes 2-pt shot from 1 ft (assist by D. Russell)
11:12.0,J. Nurkic misses 2-pt shot from 3 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by N. Young
11:03.0,,,0-4,2,N. Young makes 2-pt shot from 15 ft
10:44.0,Turnover by G. Harris (step out of bounds),,0-4,,
10:21.0,,,0-4,,D. Russell misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by G. Harris,,0-4,,
10:14.0,G. Harris misses 2-pt shot from 2 ft,,0-4,,
10:12.0,,,0-4,,Defensive rebound by D. Russell
10:04.0,,,0-4,,D. Russell misses 2-pt shot from 3 ft
10:01.0,Defensive rebound by K. Faried,,0-4,,
9:48.0,J. Nelson misses 2-pt shot from 17 ft,,0-4,,
9:47.0,,,0-4,,Defensive rebound by Team
9:47.0,Loose ball foul by J. Nurkic (drawn by T. Mozgov),,0-4,,
9:33.0,,,0-4,,L. Deng misses 3-pt shot from 25 ft
9:32.0,,,0-4,,Offensive rebound by T. Black
9:29.0,,,0-6,2,T. Black makes 2-pt shot from 3 ft
9:16.0,K. Faried misses 2-pt shot from 4 ft (block by T. Mozgov),,0-6,,
9:13.0,,,0-6,,Defensive rebound by T. Mozgov
8:59.0,,,0-8,2,D. Russell makes 2-pt shot from 5 ft
8:59.0,Denver full timeout,,0-8,,
8:47.0,G. Harris makes 2-pt shot from 20 ft (assist by D. Gallinari),2,2-8,,
8:20.0,,,2-10,2,L. Deng makes 2-pt shot from 3 ft (assist by D. Russell)
8:03.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nurkic),2,4-10,,
7:53.0,,,4-12,2,D. Russell makes 2-pt shot from 13 ft
7:35.0,J. Nurkic misses 2-pt shot from 2 ft,,4-12,,
7:34.0,Offensive rebound by K. Faried,,4-12,,
7:34.0,Shooting foul by T. Black (drawn by K. Faried),,4-12,,
7:34.0,K. Faried makes free throw 1 of 2,1,5-12,,
7:34.0,K. Faried makes free throw 2 of 2,1,6-12,,
7:20.0,,,6-15,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
7:05.0,J. Nurkic misses 2-pt shot from 3 ft,,6-15,,
7:03.0,,,6-15,,Defensive rebound by T. Black
6:53.0,,,6-15,,N. Young misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by K. Faried,,6-15,,
6:42.0,Turnover by D. Gallinari (lost ball; steal by T. Black),,6-15,,
6:36.0,,,6-15,,D. Russell misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by K. Faried,,6-15,,
6:22.0,J. Nelson misses 2-pt shot from 22 ft,,6-15,,
6:19.0,,,6-15,,Defensive rebound by L. Deng
6:01.0,,,6-15,,L. Deng misses 2-pt shot from 1 ft
6:00.0,,,6-15,,Offensive rebound by T. Mozgov
6:00.0,,,6-17,2,T. Mozgov makes 2-pt shot from 2 ft
5:43.0,D. Gallinari misses 2-pt shot from 13 ft,,6-17,,
5:39.0,Offensive rebound by K. Faried,,6-17,,
5:39.0,K. Faried makes 2-pt shot from 1 ft,2,8-17,,
5:31.0,,,8-17,,N. Young misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by J. Nelson,,8-17,,
5:26.0,Shooting foul by N. Young (drawn by G. Harris),,8-17,,
5:26.0,G. Harris makes free throw 1 of 2,1,9-17,,
5:26.0,,,9-17,,LA Lakers full timeout
5:26.0,G. Harris makes free throw 2 of 2,1,10-17,,
5:26.0,W. Chandler enters the game for J. Nurkic,,9-17,,
5:26.0,,,9-17,,L. Nance enters the game for T. Mozgov
5:26.0,,,9-17,,J. Clarkson enters the game for N. Young
5:06.0,,,10-17,,D. Russell misses 2-pt shot from 2 ft (block by W. Chandler)
