time,Golden State,pts.away,score,pts.home,Charlotte
2:06.0,,,26-23,,S. Hawes misses 2-pt shot from 12 ft
2:05.0,Defensive rebound by P. McCaw,,26-23,,
1:57.0,S. Curry misses 2-pt shot from 15 ft,,26-23,,
1:56.0,,,26-23,,Defensive rebound by M. Kidd-Gilchrist
1:40.0,,,26-23,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft (block by K. Durant)
1:38.0,Defensive rebound by A. Iguodala,,26-23,,
1:32.0,S. Curry makes 3-pt shot from 31 ft (assist by K. Durant),3,29-23,,
1:13.0,,,29-23,,K. Walker misses 2-pt shot from 19 ft
1:12.0,Defensive rebound by K. Durant,,29-23,,
1:04.0,S. Curry misses 3-pt shot from 31 ft,,29-23,,
1:03.0,,,29-23,,Defensive rebound by S. Hawes
0:43.0,,,29-23,,S. Hawes misses 2-pt shot from 8 ft
0:43.0,,,29-23,,Offensive rebound by M. Kidd-Gilchrist
0:43.0,,,29-25,2,M. Kidd-Gilchrist makes 2-pt shot at rim
0:34.0,Turnover by S. Curry (bad pass; steal by M. Belinelli),,29-25,,
0:18.0,,,29-28,3,S. Hawes makes 3-pt shot from 25 ft (assist by K. Walker)
0:02.0,K. Durant misses 2-pt shot from 8 ft (block by F. Kaminsky),,29-28,,
0:01.0,,,29-28,,Defensive rebound by S. Hawes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-28,,R. Sessions misses 3-pt shot from 24 ft (block by J. McAdoo)
11:41.0,Defensive rebound by J. McAdoo,,29-28,,
11:20.0,D. Green makes 3-pt shot from 24 ft (assist by J. McAdoo),3,32-28,,
11:06.0,,,32-28,,S. Hawes misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by Team,,32-28,,
11:06.0,,,32-28,,Loose ball foul by S. Hawes (drawn by D. Green)
10:44.0,A. Iguodala misses 2-pt shot from 15 ft,,32-28,,
10:43.0,Offensive rebound by A. Iguodala,,32-28,,
10:40.0,S. Livingston misses 2-pt shot from 20 ft,,32-28,,
10:38.0,,,32-28,,Defensive rebound by N. Batum
10:24.0,,,32-28,,F. Kaminsky misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by J. McAdoo,,32-28,,
10:17.0,S. Livingston misses 2-pt shot from 2 ft (block by S. Hawes),,32-28,,
10:15.0,,,32-28,,Defensive rebound by F. Kaminsky
10:10.0,,,32-28,,F. Kaminsky misses 2-pt shot from 3 ft
10:08.0,Defensive rebound by K. Thompson,,32-28,,
9:59.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,34-28,,
9:59.0,,,34-28,,Charlotte full timeout
9:37.0,,,34-30,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
9:22.0,J. McAdoo makes 2-pt shot at rim (assist by A. Iguodala),2,36-30,,
9:03.0,,,36-32,2,M. Belinelli makes 2-pt shot at rim (assist by N. Batum)
8:50.0,K. Thompson misses 3-pt shot from 24 ft,,36-32,,
8:48.0,,,36-32,,Defensive rebound by S. Hawes
8:45.0,,,36-32,,R. Sessions misses 2-pt shot from 1 ft (block by J. McAdoo)
8:43.0,Defensive rebound by A. Iguodala,,36-32,,
8:37.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston),3,39-32,,
8:18.0,,,39-32,,F. Kaminsky misses 3-pt shot from 27 ft
8:18.0,,,39-32,,Offensive rebound by Team
8:18.0,Loose ball foul by J. McAdoo (drawn by S. Hawes),,39-32,,
8:16.0,,,39-32,,Turnover by M. Belinelli (lost ball)
7:58.0,S. Livingston misses 2-pt shot from 15 ft,,39-32,,
7:57.0,,,39-32,,Defensive rebound by M. Belinelli
7:46.0,,,39-32,,F. Kaminsky misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by K. Thompson,,39-32,,
7:29.0,,,39-32,,Personal foul by M. Belinelli (drawn by D. Green)
7:20.0,K. Thompson misses 2-pt shot from 20 ft,,39-32,,
7:19.0,,,39-32,,Defensive rebound by S. Hawes
7:05.0,,,39-32,,Turnover by N. Batum (bad pass; steal by S. Livingston)
6:59.0,K. Thompson misses 3-pt shot from 23 ft,,39-32,,
6:56.0,Offensive rebound by K. Thompson,,39-32,,
6:45.0,K. Thompson makes 2-pt shot from 17 ft,2,41-32,,
6:26.0,Personal block foul by D. Green (drawn by F. Kaminsky),,41-32,,
6:26.0,,,41-32,,M. Williams enters the game for F. Kaminsky
6:26.0,P. McCaw enters the game for A. Iguodala,,41-32,,
6:16.0,,,41-32,,M. Belinelli misses 3-pt shot from 27 ft
6:15.0,Defensive rebound by J. McAdoo,,41-32,,
6:05.0,K. Thompson misses 2-pt shot from 15 ft,,41-32,,
6:03.0,,,41-32,,Defensive rebound by M. Williams
5:45.0,,,41-32,,Turnover by R. Sessions (lost ball)
5:45.0,Official timeout,,41-32,,
5:45.0,,,41-32,,M. Kidd-Gilchrist enters the game for M. Belinelli
5:45.0,,,41-32,,K. Walker enters the game for R. Sessions
