time,Golden State,pts.away,score,pts.home,Charlotte
5:25.0,,,94-94,,M. Kidd-Gilchrist enters the game for S. Hawes
5:08.0,,,95-94,,K. Walker misses 2-pt shot from 3 ft
5:05.0,Defensive rebound by S. Livingston,,95-94,,
4:48.0,S. Curry makes 2-pt shot from 1 ft,2,97-94,,
4:30.0,,,97-96,2,N. Batum makes 2-pt shot from 16 ft
4:11.0,K. Durant makes 2-pt shot from 13 ft (assist by D. Green),2,99-96,,
3:48.0,,,99-96,,N. Batum misses 2-pt shot from 16 ft (block by A. Iguodala)
3:46.0,Defensive rebound by A. Iguodala,,99-96,,
3:30.0,S. Curry makes 3-pt shot from 24 ft,3,102-96,,
3:30.0,,,102-96,,Charlotte full timeout
3:30.0,,,102-96,,S. Hawes enters the game for M. Belinelli
3:19.0,,,102-98,2,M. Williams makes 2-pt shot from 1 ft (assist by S. Hawes)
3:03.0,K. Durant makes 2-pt shot from 17 ft (assist by A. Iguodala),2,104-98,,
2:53.0,,,104-100,2,K. Walker makes 2-pt shot from 2 ft
2:53.0,,,104-100,,Shooting foul by S. Livingston (drawn by K. Walker)
2:53.0,,,104-101,1,K. Walker makes free throw 1 of 1
2:42.0,K. Durant misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,104-101,,
2:42.0,Offensive rebound by Team,,104-101,,
2:33.0,S. Curry misses 2-pt shot from 2 ft (block by K. Walker),,104-101,,
2:26.0,Offensive rebound by Team,,104-101,,
2:19.0,K. Durant makes 2-pt shot from 19 ft (assist by S. Curry),2,106-101,,
2:09.0,,,106-101,,Turnover by K. Walker (lost ball; steal by D. Green)
2:06.0,D. Green misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,106-101,,
2:06.0,Offensive rebound by Team,,106-101,,
2:06.0,K. Thompson enters the game for S. Livingston,,106-101,,
2:05.0,Shooting foul by N. Batum (drawn by K. Thompson),,106-101,,
2:05.0,K. Thompson makes free throw 1 of 2,1,107-101,,
2:05.0,K. Thompson makes free throw 2 of 2,1,108-101,,
1:52.0,,,108-101,,Turnover by N. Batum (lost ball; steal by A. Iguodala)
1:50.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,110-101,,
1:50.0,,,110-101,,Charlotte full timeout
1:29.0,,,110-101,,N. Batum misses 3-pt shot from 26 ft
1:28.0,Defensive rebound by D. Green,,110-101,,
1:08.0,S. Curry makes 3-pt shot from 25 ft,3,113-101,,
0:48.0,,,113-101,,M. Williams misses 2-pt shot from 6 ft (block by K. Durant)
0:45.0,Defensive rebound by D. Green,,113-101,,
0:26.0,S. Curry misses 3-pt shot from 33 ft,,113-101,,
0:24.0,,,113-101,,Defensive rebound by S. Hawes
0:17.0,,,113-103,2,K. Walker makes 2-pt shot at rim (assist by S. Hawes)
0:00.0,End of 4th quarter,,,,End of 4th quarter
