time,Cleveland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Thompson (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. T. Thompson (T. Parker gains possession)
11:45.0,,,0-2,2,D. Dedmon makes 2-pt shot at rim (assist by L. Aldridge)
11:29.0,K. Irving makes 2-pt shot from 16 ft (assist by K. Love),2,2-2,,
11:10.0,,,2-2,,K. Leonard misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by J. Smith,,2-2,,
10:52.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,4-2,,
10:38.0,Violation by J. Smith (kicked ball),,4-2,,
10:29.0,,,4-2,,L. Aldridge misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by L. James,,4-2,,
10:21.0,J. Smith misses 2-pt shot from 23 ft,,4-2,,
10:20.0,,,4-2,,Defensive rebound by D. Dedmon
10:18.0,Personal take foul by J. Smith,,4-2,,
9:58.0,,,4-2,,D. Green misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by K. Irving,,4-2,,
9:50.0,,,4-2,,Personal foul by D. Green (drawn by L. James)
9:41.0,K. Love misses 2-pt shot from 14 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by D. Dedmon
9:27.0,Personal foul by K. Love (drawn by L. Aldridge),,4-2,,
9:13.0,,,4-2,,Shooting foul by L. James (drawn by D. Green)
9:13.0,,,4-3,1,D. Green makes free throw 1 of 2
9:13.0,,,4-4,1,D. Green makes free throw 2 of 2
8:52.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,7-4,,
8:38.0,,,7-6,2,K. Leonard makes 2-pt shot from 17 ft (assist by L. Aldridge)
8:16.0,K. Love misses 3-pt shot from 24 ft,,7-6,,
8:15.0,,,7-6,,Defensive rebound by D. Green
7:58.0,,,7-6,,L. Aldridge misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by K. Irving,,7-6,,
7:48.0,T. Thompson misses 2-pt shot from 2 ft,,7-6,,
7:47.0,Offensive rebound by L. James,,7-6,,
7:47.0,Shooting foul by D. Dedmon (drawn by L. James),,7-6,,
7:47.0,L. James makes free throw 1 of 2,1,8-6,,
7:47.0,L. James misses free throw 2 of 2,,8-6,,
7:45.0,Offensive rebound by T. Thompson,,8-6,,
7:42.0,L. James misses 3-pt shot from 25 ft,,8-6,,
7:40.0,,,8-6,,Defensive rebound by L. Aldridge
7:31.0,,,8-6,,K. Leonard misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by Team,,8-6,,
7:31.0,,,8-6,,Loose ball foul by D. Dedmon (drawn by T. Thompson)
7:31.0,,,8-6,,P. Gasol enters the game for D. Dedmon
7:16.0,J. Smith misses 3-pt shot from 24 ft,,8-6,,
7:16.0,,,8-6,,Defensive rebound by L. Aldridge
7:05.0,,,8-9,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard)
6:51.0,Turnover by L. James (bad pass; steal by K. Leonard),,8-9,,
6:45.0,,,8-11,2,T. Parker makes 2-pt shot at rim (assist by K. Leonard)
6:45.0,Cleveland full timeout,,8-11,,
6:28.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,10-11,,
6:05.0,,,10-14,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
5:55.0,K. Irving makes 2-pt shot from 14 ft,2,12-14,,
5:35.0,,,12-14,,D. Green misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by L. James,,12-14,,
5:28.0,K. Irving misses 3-pt shot from 25 ft,,12-14,,
5:26.0,Offensive rebound by J. Smith,,12-14,,
5:21.0,K. Love misses 3-pt shot from 23 ft,,12-14,,
5:21.0,,,12-14,,Defensive rebound by K. Leonard
5:15.0,,,12-16,2,K. Leonard makes 2-pt shot from 17 ft
5:00.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,14-16,,
5:00.0,,,14-16,,San Antonio full timeout
5:00.0,,,14-16,,P. Mills enters the game for T. Parker
5:00.0,,,14-16,,M. Ginobili enters the game for D. Green
5:00.0,R. Jefferson enters the game for J. Smith,,14-16,,
4:42.0,,,14-18,2,M. Ginobili makes 2-pt shot from 7 ft (assist by L. Aldridge)
4:25.0,K. Irving misses 2-pt shot from 1 ft,,14-18,,
4:22.0,,,14-18,,Defensive rebound by P. Gasol
4:14.0,C. Frye enters the game for K. Love,,14-18,,
4:08.0,,,14-18,,P. Gasol misses 2-pt shot from 8 ft
4:07.0,,,14-18,,Offensive rebound by L. Aldridge
4:07.0,,,14-18,,L. Aldridge misses 2-pt shot at rim
4:03.0,Defensive rebound by R. Jefferson,,14-18,,
3:55.0,L. James misses 2-pt shot from 5 ft (block by K. Leonard),,14-18,,
3:52.0,,,14-18,,Defensive rebound by P. Gasol
3:37.0,,,14-21,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
3:18.0,L. James misses 3-pt shot from 25 ft,,14-21,,
3:15.0,,,14-21,,Defensive rebound by P. Gasol
3:02.0,,,14-21,,L. Aldridge misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by R. Jefferson,,14-21,,
2:53.0,K. Irving makes 2-pt shot from 11 ft (assist by L. James),2,16-21,,
2:40.0,Violation by R. Jefferson (kicked ball),,16-21,,
2:40.0,,,16-21,,D. Lee enters the game for L. Aldridge
2:40.0,D. Williams enters the game for L. James,,16-21,,
2:24.0,,,16-21,,K. Leonard misses 2-pt shot from 17 ft
2:20.0,,,16-21,,Offensive rebound by M. Ginobili
2:17.0,,,16-23,2,M. Ginobili makes 2-pt shot from 2 ft
2:11.0,T. Thompson makes 2-pt shot at rim (assist by R. Jefferson),2,18-23,,
2:02.0,,,18-23,,San Antonio full timeout
2:02.0,,,18-23,,D. Green enters the game for K. Leonard
1:52.0,,,18-25,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:30.0,K. Irving misses 2-pt shot from 16 ft,,18-25,,
1:27.0,,,18-25,,Defensive rebound by D. Green
1:11.0,,,18-25,,D. Lee misses 2-pt shot from 3 ft
1:10.0,,,18-25,,Offensive rebound by D. Lee
1:08.0,,,18-25,,D. Lee misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by T. Thompson,,18-25,,
0:46.0,R. Jefferson misses 3-pt shot from 26 ft,,18-25,,
0:45.0,,,18-25,,Defensive rebound by M. Ginobili
0:34.0,,,18-25,,D. Green misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by T. Thompson,,18-25,,
0:27.0,Turnover by K. Irving (lost ball; steal by D. Green),,18-25,,
0:09.0,Personal take foul by C. Frye (drawn by M. Ginobili),,18-25,,
0:04.0,,,18-28,3,P. Gasol makes 3-pt shot from 23 ft (assist by P. Mills)
0:00.0,K. Irving misses 3-pt shot from 34 ft,,18-28,,
0:00.0,Offensive rebound by Team,,18-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,L. James makes 2-pt shot at rim,2,20-28,,
11:39.0,,,20-28,,Shooting foul by K. Love (drawn by P. Gasol)
11:39.0,,,20-29,1,P. Gasol makes free throw 1 of 2
11:39.0,,,20-30,1,P. Gasol makes free throw 2 of 2
11:17.0,R. Jefferson misses 2-pt shot from 6 ft,,20-30,,
11:16.0,Offensive rebound by K. Love,,20-30,,
11:13.0,K. Love makes 2-pt shot at rim,2,22-30,,
11:02.0,,,22-30,,M. Ginobili misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by Team,,22-30,,
10:46.0,,,22-30,,Personal foul by P. Gasol (drawn by K. Love)
10:46.0,,,22-30,,L. Aldridge enters the game for P. Gasol
10:34.0,L. James misses 2-pt shot from 16 ft,,22-30,,
10:34.0,,,22-30,,Defensive rebound by M. Ginobili
10:23.0,,,22-32,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
10:08.0,D. Williams misses 3-pt shot from 23 ft,,22-32,,
10:07.0,Offensive rebound by K. Love,,22-32,,
10:03.0,Turnover by R. Jefferson (bad pass),,22-32,,
10:03.0,Loose ball foul by D. Williams (drawn by D. Lee),,22-32,,
10:03.0,,,22-32,,T. Parker enters the game for P. Mills
10:03.0,,,22-32,,K. Leonard enters the game for M. Ginobili
9:44.0,,,22-32,,Shooting foul by D. Williams (drawn by T. Parker)
9:44.0,,,22-32,,T. Parker misses free throw 1 of 2
9:44.0,,,22-32,,Offensive rebound by Team
9:44.0,,,22-32,,T. Parker misses free throw 2 of 2
9:43.0,Defensive rebound by K. Love,,22-32,,
9:27.0,K. Love makes 2-pt shot from 5 ft (assist by L. James),2,24-32,,
9:11.0,,,24-34,2,K. Leonard makes 2-pt shot at rim
9:02.0,,,24-34,,Personal foul by L. Aldridge (drawn by K. Love)
9:02.0,J. Smith enters the game for D. Williams,,24-34,,
8:47.0,J. Smith makes 3-pt shot from 26 ft (assist by R. Jefferson),3,27-34,,
8:39.0,,,27-34,,Turnover by D. Green (bad pass; steal by J. Smith)
8:31.0,J. Smith misses 3-pt shot from 24 ft,,27-34,,
8:29.0,,,27-34,,Defensive rebound by D. Lee
8:14.0,,,27-34,,K. Leonard misses 3-pt shot from 25 ft
8:12.0,,,27-34,,Offensive rebound by L. Aldridge
8:11.0,,,27-36,2,L. Aldridge makes 2-pt shot from 1 ft
7:56.0,L. James misses 2-pt shot at rim (block by D. Green),,27-36,,
7:55.0,,,27-36,,Defensive rebound by K. Leonard
7:51.0,,,27-36,,Shooting foul by J. Smith (drawn by L. Aldridge)
7:51.0,Official timeout,,27-36,,
7:51.0,,,27-37,1,L. Aldridge makes free throw 1 of 2
7:51.0,,,27-38,1,L. Aldridge makes free throw 2 of 2
7:51.0,,,27-36,,J. Simmons enters the game for D. Green
7:41.0,L. James makes 2-pt shot from 3 ft (assist by K. Love),2,29-38,,
7:41.0,Shooting foul by J. Simmons (drawn by L. James),,29-38,,
7:41.0,L. James misses free throw 1 of 1,,29-38,,
7:41.0,,,29-38,,Defensive rebound by D. Lee
7:41.0,,,29-38,,K. Anderson enters the game for J. Simmons
7:22.0,,,29-40,2,K. Anderson makes 2-pt shot from 2 ft (assist by L. Aldridge)
7:04.0,J. Smith misses 3-pt shot from 24 ft,,29-40,,
7:03.0,,,29-40,,Defensive rebound by D. Lee
6:50.0,,,29-40,,T. Parker misses 2-pt shot at rim
6:48.0,Defensive rebound by K. Love,,29-40,,
6:38.0,L. James misses 2-pt shot from 1 ft,,29-40,,
6:38.0,Offensive rebound by Team,,29-40,,
6:38.0,Shooting foul by K. Leonard (drawn by L. James),,29-40,,
