time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Len (D. Favors gains possession),,,,Jump ball: R. Gobert vs. A. Len (D. Favors gains possession)
11:36.0,Turnover by G. Hill (bad pass),,0-0,,
11:19.0,,,0-0,,D. Booker misses 2-pt shot from 15 ft
11:17.0,Defensive rebound by G. Hill,,0-0,,
11:09.0,Turnover by J. Ingles (bad pass),,0-0,,
10:55.0,,,0-0,,D. Booker misses 3-pt shot from 23 ft
10:53.0,Defensive rebound by G. Hill,,0-0,,
10:47.0,G. Hill makes 2-pt shot from 16 ft,2,2-0,,
10:39.0,,,2-2,2,E. Bledsoe makes 2-pt shot from 1 ft
10:22.0,D. Favors misses 2-pt shot from 16 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by M. Chriss
10:10.0,,,2-2,,E. Bledsoe misses 2-pt shot from 17 ft
10:07.0,Defensive rebound by G. Hayward,,2-2,,
10:00.0,R. Gobert makes 2-pt shot from 10 ft (assist by G. Hayward),2,4-2,,
10:00.0,Shooting foul by M. Chriss (drawn by R. Gobert),,4-2,,
10:00.0,R. Gobert misses free throw 1 of 1,,4-2,,
9:59.0,Offensive rebound by R. Gobert,,4-2,,
9:54.0,G. Hill misses 3-pt shot from 26 ft,,4-2,,
9:51.0,Offensive rebound by R. Gobert,,4-2,,
9:51.0,R. Gobert misses 2-pt shot at rim,,4-2,,
9:51.0,,,4-2,,Defensive rebound by Team
9:34.0,,,4-2,,E. Bledsoe misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by R. Gobert,,4-2,,
9:30.0,Turnover by R. Gobert (bad pass),,4-2,,
9:21.0,,,4-2,,T. Warren misses 2-pt shot from 14 ft
9:20.0,,,4-2,,Offensive rebound by E. Bledsoe
9:16.0,,,4-2,,M. Chriss misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by G. Hayward,,4-2,,
9:04.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,6-2,,
8:49.0,,,6-2,,Offensive foul by A. Len
8:49.0,,,6-2,,Turnover by A. Len (offensive foul)
8:31.0,Shooting foul by M. Chriss (drawn by G. Hayward),,6-2,,
8:31.0,G. Hayward makes free throw 1 of 2,1,7-2,,
8:31.0,G. Hayward makes free throw 2 of 2,1,8-2,,
8:31.0,,,7-2,,D. Bender enters the game for M. Chriss
8:13.0,,,8-2,,Turnover by D. Bender (lost ball; steal by J. Ingles)
8:10.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,10-2,,
8:09.0,,,10-2,,Phoenix full timeout
8:03.0,Personal foul by J. Ingles (drawn by D. Booker),,10-2,,
7:52.0,,,10-4,2,E. Bledsoe makes 2-pt shot from 4 ft
7:29.0,D. Favors misses 2-pt shot from 18 ft,,10-4,,
7:27.0,Offensive rebound by R. Gobert,,10-4,,
7:27.0,R. Gobert misses 2-pt shot from 2 ft,,10-4,,
7:27.0,Offensive rebound by R. Gobert,,10-4,,
7:18.0,G. Hill misses 3-pt shot from 25 ft,,10-4,,
7:16.0,,,10-4,,Defensive rebound by A. Len
7:05.0,,,10-4,,E. Bledsoe misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by R. Gobert,,10-4,,
6:42.0,D. Favors makes 2-pt shot from 4 ft (assist by G. Hayward),2,12-4,,
6:17.0,,,12-7,3,E. Bledsoe makes 3-pt shot from 24 ft
6:00.0,G. Hayward makes 3-pt shot from 23 ft,3,15-7,,
5:43.0,,,15-9,2,D. Booker makes 2-pt shot from 9 ft
5:29.0,,,15-9,,Personal foul by T. Warren
5:29.0,D. Exum enters the game for G. Hill,,15-9,,
5:29.0,T. Lyles enters the game for D. Favors,,15-9,,
5:19.0,R. Gobert misses 2-pt shot from 7 ft,,15-9,,
5:15.0,,,15-9,,Defensive rebound by D. Bender
5:11.0,,,15-12,3,D. Bender makes 3-pt shot from 25 ft (assist by E. Bledsoe)
4:45.0,G. Hayward misses 2-pt shot from 18 ft,,15-12,,
4:42.0,,,15-12,,Defensive rebound by D. Bender
4:35.0,,,15-14,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
4:34.0,Utah full timeout,,15-14,,
4:34.0,,,15-14,,P. Tucker enters the game for A. Len
4:34.0,A. Burks enters the game for J. Ingles,,15-14,,
4:19.0,Shooting foul by D. Bender (drawn by G. Hayward),,15-14,,
4:19.0,G. Hayward makes free throw 1 of 2,1,16-14,,
4:19.0,G. Hayward makes free throw 2 of 2,1,17-14,,
4:09.0,,,17-16,2,E. Bledsoe makes 2-pt shot from 1 ft
4:09.0,,,17-16,,Shooting foul by T. Lyles (drawn by E. Bledsoe)
4:09.0,,,17-17,1,E. Bledsoe makes free throw 1 of 1
4:09.0,D. Favors enters the game for R. Gobert,,17-16,,
3:58.0,,,17-17,,Personal foul by P. Tucker (drawn by G. Hayward)
3:58.0,G. Hayward makes free throw 1 of 2,1,18-17,,
3:58.0,G. Hayward makes free throw 2 of 2,1,19-17,,
3:42.0,,,19-17,,D. Booker misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by T. Lyles,,19-17,,
3:22.0,G. Hayward misses 2-pt shot from 20 ft,,19-17,,
3:17.0,,,19-17,,Defensive rebound by P. Tucker
3:17.0,,,19-17,,Shooting foul by A. Burks (drawn by E. Bledsoe)
3:17.0,,,19-18,1,E. Bledsoe makes free throw 1 of 2
3:17.0,,,19-19,1,E. Bledsoe makes free throw 2 of 2
3:06.0,A. Burks misses 2-pt shot from 18 ft,,19-19,,
3:02.0,,,19-19,,Defensive rebound by E. Bledsoe
3:00.0,,,19-22,3,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
2:40.0,G. Hayward misses 2-pt shot from 2 ft,,19-22,,
2:38.0,Offensive rebound by D. Favors,,19-22,,
2:38.0,D. Favors makes 2-pt shot from 2 ft,2,21-22,,
2:22.0,,,21-24,2,T. Warren makes 2-pt shot from 1 ft
2:02.0,A. Burks misses 2-pt shot at rim,,21-24,,
1:59.0,,,21-24,,Defensive rebound by P. Tucker
1:58.0,,,21-24,,Shooting foul by T. Lyles
1:58.0,,,21-25,1,T. Warren makes free throw 1 of 2
1:58.0,,,21-26,1,T. Warren makes free throw 2 of 2
1:58.0,,,21-25,,L. Barbosa enters the game for D. Booker
1:58.0,G. Hill enters the game for G. Hayward,,21-25,,
1:58.0,J. Johnson enters the game for D. Exum,,21-25,,
1:37.0,G. Hill misses 2-pt shot from 19 ft,,21-26,,
1:35.0,Offensive rebound by G. Hill,,21-26,,
1:35.0,G. Hill makes 2-pt shot from 2 ft,2,23-26,,
1:17.0,,,23-28,2,D. Bender makes 2-pt shot at rim (assist by L. Barbosa)
1:00.0,Shooting foul by D. Bender (drawn by T. Lyles),,23-28,,
1:00.0,T. Lyles misses free throw 1 of 2,,23-28,,
1:00.0,Offensive rebound by Team,,23-28,,
1:00.0,T. Lyles makes free throw 2 of 2,1,24-28,,
0:43.0,,,24-28,,T. Warren misses 2-pt shot from 12 ft
0:41.0,Defensive rebound by T. Lyles,,24-28,,
0:24.0,D. Favors misses 2-pt shot from 16 ft,,24-28,,
0:22.0,,,24-28,,Defensive rebound by L. Barbosa
0:01.0,,,24-28,,E. Bledsoe misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by T. Lyles,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-28,,A. Williams misses 2-pt shot from 3 ft
11:40.0,Defensive rebound by G. Hill,,24-28,,
11:33.0,,,24-28,,Personal foul by D. Booker (drawn by D. Favors)
11:33.0,B. Diaw enters the game for T. Lyles,,24-28,,
11:25.0,D. Favors misses 2-pt shot from 19 ft,,24-28,,
11:23.0,,,24-28,,Defensive rebound by P. Tucker
11:14.0,,,24-30,2,L. Barbosa makes 2-pt shot from 2 ft
10:57.0,D. Favors makes 2-pt shot at rim (assist by B. Diaw),2,26-30,,
10:29.0,,,26-30,,T. Ulis misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by J. Johnson,,26-30,,
10:19.0,J. Johnson misses 2-pt shot from 17 ft,,26-30,,
10:17.0,,,26-30,,Defensive rebound by P. Tucker
10:08.0,,,26-30,,P. Tucker misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by G. Hill,,26-30,,
10:02.0,A. Burks misses 2-pt shot from 4 ft (block by L. Barbosa),,26-30,,
10:02.0,Offensive rebound by Team,,26-30,,
10:02.0,R. Gobert enters the game for D. Favors,,26-30,,
10:02.0,J. Ingles enters the game for A. Burks,,26-30,,
9:47.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,28-30,,
9:47.0,Shooting foul by A. Williams (drawn by R. Gobert),,28-30,,
9:47.0,R. Gobert makes free throw 1 of 1,1,29-30,,
9:38.0,,,29-32,2,D. Booker makes 2-pt shot from 20 ft
9:23.0,Turnover by G. Hill (bad pass; steal by P. Tucker),,29-32,,
9:20.0,,,29-34,2,P. Tucker makes 2-pt shot at rim
9:19.0,Utah full timeout,,29-34,,
8:58.0,B. Diaw misses 3-pt shot from 23 ft,,29-34,,
8:57.0,Offensive rebound by R. Gobert,,29-34,,
8:54.0,B. Diaw misses 2-pt shot from 2 ft,,29-34,,
8:51.0,Offensive rebound by B. Diaw,,29-34,,
8:50.0,B. Diaw makes 2-pt shot from 1 ft,2,31-34,,
8:45.0,R. Neto enters the game for G. Hill,,31-34,,
8:32.0,,,31-36,2,A. Williams makes 2-pt shot from 9 ft
8:23.0,R. Neto makes 2-pt shot from 3 ft,2,33-36,,
8:11.0,,,33-36,,T. Ulis misses 2-pt shot from 10 ft
8:10.0,,,33-36,,Offensive rebound by P. Tucker
8:07.0,,,33-38,2,P. Tucker makes 2-pt shot from 2 ft
7:47.0,B. Diaw misses 3-pt shot from 24 ft,,33-38,,
7:46.0,,,33-38,,Defensive rebound by L. Barbosa
7:46.0,,,33-38,,Personal foul by A. Williams (drawn by R. Gobert)
7:46.0,Personal foul by R. Gobert,,33-38,,
7:46.0,,,33-38,,M. Chriss enters the game for A. Williams
7:27.0,,,33-38,,Turnover by L. Barbosa (bad pass)
7:16.0,R. Neto misses 2-pt shot from 9 ft,,33-38,,
7:14.0,,,33-38,,Defensive rebound by P. Tucker
6:56.0,,,33-38,,L. Barbosa misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by R. Neto,,33-38,,
6:43.0,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw),2,35-38,,
6:25.0,Violation by B. Diaw (kicked ball),,35-38,,
6:25.0,,,35-38,,E. Bledsoe enters the game for L. Barbosa
6:25.0,G. Hayward enters the game for J. Johnson,,35-38,,
6:16.0,,,35-38,,D. Bender enters the game for T. Ulis
6:11.0,,,35-38,,D. Booker misses 3-pt shot from 28 ft
6:11.0,Defensive rebound by Team,,35-38,,
5:56.0,,,35-38,,Violation by D. Bender (def goaltending)
5:56.0,B. Diaw makes 2-pt shot from 6 ft,2,37-38,,
5:48.0,,,37-38,,Shooting foul by R. Neto (drawn by E. Bledsoe)
5:48.0,Official timeout,,37-38,,
5:48.0,,,37-39,1,E. Bledsoe makes free throw 1 of 2
5:48.0,,,37-40,1,E. Bledsoe makes free throw 2 of 2
5:34.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hayward),2,39-40,,
5:15.0,,,39-42,2,D. Booker makes 2-pt shot from 6 ft
4:59.0,R. Gobert makes 2-pt shot at rim (assist by B. Diaw),2,41-42,,
4:35.0,,,41-42,,Turnover by D. Booker (bad pass; steal by J. Ingles)
4:17.0,R. Neto misses 3-pt shot from 24 ft,,41-42,,
4:15.0,,,41-42,,Defensive rebound by E. Bledsoe
4:02.0,,,41-42,,E. Bledsoe misses 2-pt shot from 14 ft
3:59.0,Defensive rebound by R. Gobert,,41-42,,
3:54.0,G. Hayward misses 2-pt shot from 6 ft,,41-42,,
3:51.0,,,41-42,,Defensive rebound by P. Tucker
3:43.0,,,41-44,2,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:34.0,G. Hayward misses 2-pt shot from 2 ft (block by D. Bender),,41-44,,
3:31.0,Offensive rebound by B. Diaw,,41-44,,
3:31.0,B. Diaw makes 2-pt shot from 2 ft,2,43-44,,
3:28.0,,,43-44,,Turnover by E. Bledsoe (bad pass)
3:28.0,G. Hill enters the game for R. Neto,,43-44,,
3:28.0,J. Johnson enters the game for J. Ingles,,43-44,,
3:12.0,,,43-44,,Personal foul by P. Tucker (drawn by G. Hill)
3:12.0,,,43-44,,T. Warren enters the game for P. Tucker
3:12.0,,,43-44,,A. Len enters the game for D. Bender
3:05.0,B. Diaw misses 2-pt shot from 2 ft,,43-44,,
3:03.0,,,43-44,,Defensive rebound by T. Warren
3:03.0,Personal foul by B. Diaw,,43-44,,
2:38.0,,,43-46,2,E. Bledsoe makes 2-pt shot from 15 ft
2:23.0,R. Gobert misses 2-pt shot from 2 ft (block by A. Len),,43-46,,
2:21.0,,,43-46,,Defensive rebound by E. Bledsoe
2:19.0,,,43-48,2,M. Chriss makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:19.0,,,43-48,,Shooting foul by B. Diaw (drawn by M. Chriss)
2:19.0,,,43-48,,Phoenix full timeout
2:19.0,,,43-49,1,M. Chriss makes free throw 1 of 1
2:19.0,J. Ingles enters the game for B. Diaw,,43-48,,
2:05.0,G. Hill makes 2-pt shot from 21 ft (assist by J. Ingles),2,45-49,,
1:49.0,,,45-49,,M. Chriss misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by R. Gobert,,45-49,,
1:35.0,G. Hill makes 2-pt shot from 2 ft,2,47-49,,
1:23.0,,,47-51,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
1:03.0,Shooting foul by E. Bledsoe (drawn by R. Gobert),,47-51,,
1:03.0,R. Gobert misses free throw 1 of 2,,47-51,,
1:03.0,Offensive rebound by Team,,47-51,,
1:03.0,R. Gobert misses free throw 2 of 2,,47-51,,
1:01.0,,,47-51,,Defensive rebound by E. Bledsoe
0:53.0,,,47-51,,Turnover by E. Bledsoe (bad pass; steal by R. Gobert)
0:42.0,G. Hill misses 3-pt shot from 25 ft,,47-51,,
0:40.0,,,47-51,,Defensive rebound by M. Chriss
0:28.0,,,47-53,2,E. Bledsoe makes 2-pt shot at rim
0:03.0,J. Johnson misses 3-pt shot from 27 ft,,47-53,,
0:01.0,Offensive rebound by G. Hill,,47-53,,
0:00.0,G. Hill misses 2-pt shot from 15 ft,,47-53,,
