time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (N. Jokic gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (N. Jokic gains possession)
11:47.0,Turnover by M. Plumlee (traveling),,0-0,,
11:37.0,,,0-0,,V. Oladipo misses 2-pt shot from 16 ft
11:37.0,Defensive rebound by J. Hernangomez,,0-0,,
11:29.0,,,0-0,,Personal foul by T. Gibson (drawn by M. Plumlee)
11:25.0,M. Beasley misses 2-pt shot from 15 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by K. Singler
11:16.0,,,0-0,,R. Westbrook misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by M. Plumlee,,0-0,,
10:53.0,N. Jokic makes 2-pt shot from 3 ft,2,2-0,,
10:39.0,,,2-0,,T. Gibson misses 2-pt shot from 4 ft (block by N. Jokic)
10:38.0,,,2-0,,Offensive rebound by T. Gibson
10:37.0,,,2-0,,T. Gibson misses 2-pt shot from 1 ft (block by N. Jokic)
10:34.0,Defensive rebound by N. Jokic,,2-0,,
10:31.0,M. Beasley misses 2-pt shot from 2 ft,,2-0,,
10:31.0,Offensive rebound by M. Beasley,,2-0,,
10:29.0,M. Beasley makes 2-pt shot at rim,2,4-0,,
10:17.0,,,4-0,,R. Westbrook misses 2-pt shot from 7 ft
10:16.0,Defensive rebound by Team,,4-0,,
10:10.0,M. Beasley makes 3-pt shot from 22 ft (assist by N. Jokic),3,7-0,,
9:55.0,,,7-0,,Shooting foul by J. Murray (drawn by V. Oladipo)
9:55.0,,,7-0,,V. Oladipo misses free throw 1 of 2
9:55.0,,,7-0,,Offensive rebound by Team
9:55.0,,,7-1,1,V. Oladipo makes free throw 2 of 2
9:41.0,J. Hernangomez misses 3-pt shot from 24 ft,,7-1,,
9:40.0,,,7-1,,Defensive rebound by S. Adams
9:30.0,,,7-3,2,S. Adams makes 2-pt shot from 8 ft (assist by V. Oladipo)
9:14.0,Offensive foul by M. Plumlee,,7-3,,
9:14.0,Turnover by M. Plumlee (offensive foul),,7-3,,
9:00.0,,,7-3,,V. Oladipo misses 2-pt shot from 6 ft
8:59.0,Defensive rebound by J. Hernangomez,,7-3,,
8:47.0,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic),2,9-3,,
8:32.0,,,9-3,,S. Adams misses 2-pt shot from 5 ft
8:31.0,Defensive rebound by J. Hernangomez,,9-3,,
8:19.0,Shooting foul by S. Adams (drawn by M. Plumlee),,9-3,,
8:19.0,M. Plumlee makes free throw 1 of 2,1,10-3,,
8:19.0,M. Plumlee misses free throw 2 of 2,,10-3,,
8:18.0,,,10-3,,Defensive rebound by T. Gibson
8:06.0,,,10-3,,R. Westbrook misses 2-pt shot from 14 ft
8:06.0,Defensive rebound by M. Beasley,,10-3,,
7:54.0,N. Jokic misses 2-pt shot from 17 ft,,10-3,,
7:53.0,,,10-3,,Defensive rebound by K. Singler
7:42.0,,,10-5,2,T. Gibson makes 2-pt shot at rim
7:33.0,Turnover by M. Beasley (bad pass; steal by S. Adams),,10-5,,
7:17.0,,,10-5,,Turnover by V. Oladipo (bad pass)
6:59.0,M. Plumlee misses 2-pt shot from 15 ft,,10-5,,
6:59.0,,,10-5,,Defensive rebound by T. Gibson
6:53.0,,,10-7,2,K. Singler makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:35.0,M. Beasley makes 2-pt shot from 2 ft (assist by N. Jokic),2,12-7,,
6:19.0,,,12-7,,K. Singler misses 3-pt shot from 24 ft
6:19.0,,,12-7,,Offensive rebound by S. Adams
6:18.0,,,12-7,,S. Adams misses 2-pt shot from 1 ft (block by N. Jokic)
6:14.0,,,12-7,,Offensive rebound by S. Adams
6:14.0,,,12-9,2,S. Adams makes 2-pt shot from 1 ft
6:04.0,J. Murray makes 2-pt shot from 4 ft,2,14-9,,
5:41.0,,,14-9,,S. Adams misses 2-pt shot from 8 ft
5:40.0,Defensive rebound by Team,,14-9,,
5:39.0,,,14-9,,Oklahoma City full timeout
5:39.0,,,14-9,,A. Abrines enters the game for T. Gibson
5:39.0,,,14-9,,E. Kanter enters the game for V. Oladipo
5:33.0,Offensive foul by N. Jokic,,14-9,,
5:33.0,Turnover by N. Jokic (offensive foul),,14-9,,
5:25.0,,,14-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:10.0,M. Beasley misses 2-pt shot from 10 ft,,14-11,,
5:10.0,,,14-11,,Defensive rebound by E. Kanter
5:07.0,,,14-11,,R. Westbrook misses 2-pt shot from 3 ft (block by J. Murray)
5:04.0,Defensive rebound by Team,,14-11,,
4:50.0,Turnover by M. Plumlee (bad pass; steal by S. Adams),,14-11,,
4:42.0,,,14-11,,R. Westbrook misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by Team,,14-11,,
4:42.0,D. Arthur enters the game for M. Plumlee,,14-11,,
4:30.0,J. Hernangomez makes 2-pt shot from 4 ft (assist by J. Murray),2,16-11,,
4:05.0,,,16-14,3,R. Westbrook makes 3-pt shot from 23 ft
3:43.0,D. Arthur misses 2-pt shot from 15 ft,,16-14,,
3:42.0,,,16-14,,Defensive rebound by K. Singler
3:37.0,Personal foul by N. Jokic (drawn by S. Adams),,16-14,,
3:37.0,,,16-14,,D. Sabonis enters the game for S. Adams
3:37.0,M. Miller enters the game for J. Hernangomez,,16-14,,
3:32.0,,,16-14,,R. Westbrook misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by J. Murray,,16-14,,
3:26.0,J. Murray misses 2-pt shot from 1 ft (block by R. Westbrook),,16-14,,
3:25.0,Offensive rebound by M. Miller,,16-14,,
3:23.0,M. Miller misses 3-pt shot from 24 ft,,16-14,,
3:22.0,Offensive rebound by N. Jokic,,16-14,,
3:22.0,Shooting foul by R. Westbrook (drawn by N. Jokic),,16-14,,
3:22.0,N. Jokic misses free throw 1 of 2,,16-14,,
3:22.0,Offensive rebound by Team,,16-14,,
3:22.0,N. Jokic makes free throw 2 of 2,1,17-14,,
3:11.0,,,17-14,,D. Sabonis misses 3-pt shot from 22 ft
3:10.0,Defensive rebound by M. Miller,,17-14,,
3:00.0,Turnover by D. Arthur (bad pass),,17-14,,
3:00.0,M. Plumlee enters the game for N. Jokic,,17-14,,
3:00.0,,,17-14,,J. Huestis enters the game for K. Singler
3:00.0,,,17-14,,S. Christon enters the game for R. Westbrook
2:44.0,,,17-17,3,A. Abrines makes 3-pt shot from 25 ft (assist by E. Kanter)
2:33.0,Denver full timeout,,17-17,,
2:30.0,M. Beasley makes 2-pt shot from 15 ft (assist by J. Murray),2,19-17,,
2:12.0,,,19-19,2,E. Kanter makes 2-pt shot from 3 ft
2:01.0,,,19-19,,Personal foul by S. Christon (drawn by D. Arthur)
2:01.0,J. Hernangomez enters the game for J. Murray,,19-19,,
1:51.0,J. Hernangomez misses 2-pt shot from 6 ft,,19-19,,
1:50.0,,,19-19,,Defensive rebound by E. Kanter
1:45.0,,,19-19,,A. Abrines misses 3-pt shot from 26 ft
1:44.0,,,19-19,,Offensive rebound by J. Huestis
1:44.0,,,19-21,2,J. Huestis makes 2-pt shot at rim
1:20.0,M. Plumlee misses 2-pt shot from 2 ft,,19-21,,
1:19.0,,,19-21,,Defensive rebound by A. Abrines
1:10.0,,,19-21,,A. Abrines misses 2-pt shot from 1 ft (block by M. Plumlee)
1:09.0,,,19-21,,Offensive rebound by Team
1:01.0,,,19-21,,D. Sabonis misses 2-pt shot from 14 ft
1:00.0,Defensive rebound by Team,,19-21,,
0:54.0,M. Beasley makes 2-pt shot from 3 ft,2,21-21,,
0:36.0,,,21-24,3,A. Abrines makes 3-pt shot from 23 ft (assist by S. Christon)
0:24.0,Shooting foul by D. Sabonis (drawn by D. Arthur),,21-24,,
0:24.0,D. Arthur makes free throw 1 of 2,1,22-24,,
0:24.0,D. Arthur makes free throw 2 of 2,1,23-24,,
0:09.0,Personal foul by M. Beasley (drawn by S. Christon),,23-24,,
0:04.0,,,23-26,2,E. Kanter makes 2-pt shot from 2 ft
0:00.0,Shooting foul by D. Sabonis (drawn by D. Arthur),,23-26,,
0:00.0,D. Arthur makes free throw 1 of 3,1,24-26,,
0:00.0,D. Arthur makes free throw 2 of 3,1,25-26,,
0:00.0,D. Arthur misses free throw 3 of 3,,25-26,,
0:00.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-26,,S. Christon misses 2-pt shot at rim
11:46.0,,,25-26,,Offensive rebound by E. Kanter
11:46.0,,,25-28,2,E. Kanter makes 2-pt shot from 1 ft
11:24.0,N. Jokic makes 2-pt shot from 3 ft,2,27-28,,
11:08.0,,,27-30,2,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon)
10:59.0,J. Murray misses 2-pt shot from 15 ft,,27-30,,
10:57.0,,,27-30,,Defensive rebound by D. Sabonis
10:56.0,,,27-30,,Turnover by D. Sabonis (lost ball; steal by D. Arthur)
10:52.0,J. Hernangomez misses 3-pt shot from 24 ft,,27-30,,
10:52.0,,,27-30,,Defensive rebound by D. Sabonis
10:37.0,,,27-33,3,S. Christon makes 3-pt shot from 24 ft (assist by J. Huestis)
10:27.0,,,27-33,,Personal foul by E. Kanter (drawn by N. Jokic)
10:27.0,,,27-33,,V. Oladipo enters the game for A. Abrines
10:27.0,,,27-33,,J. Grant enters the game for D. Sabonis
10:20.0,D. Arthur misses 3-pt shot from 23 ft,,27-33,,
10:19.0,,,27-33,,Defensive rebound by V. Oladipo
10:11.0,,,27-35,2,S. Christon makes 2-pt shot from 6 ft (assist by V. Oladipo)
10:00.0,Shooting foul by S. Christon (drawn by N. Jokic),,27-35,,
10:00.0,N. Jokic makes free throw 1 of 2,1,28-35,,
10:00.0,N. Jokic makes free throw 2 of 2,1,29-35,,
9:46.0,,,29-37,2,J. Grant makes 2-pt shot from 1 ft
9:34.0,J. Hernangomez misses 2-pt shot from 1 ft (block by J. Huestis),,29-37,,
9:33.0,,,29-37,,Defensive rebound by Team
9:24.0,,,29-39,2,J. Grant makes 2-pt shot from 13 ft
9:19.0,Denver full timeout,,29-39,,
9:19.0,,,29-39,,R. Westbrook enters the game for S. Christon
9:19.0,M. Beasley enters the game for J. Hernangomez,,29-39,,
9:06.0,M. Beasley misses 3-pt shot from 24 ft,,29-39,,
9:06.0,,,29-39,,Defensive rebound by J. Grant
8:52.0,,,29-39,,J. Huestis misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by M. Miller,,29-39,,
8:39.0,N. Jokic makes 2-pt shot from 4 ft (assist by M. Miller),2,31-39,,
8:27.0,,,31-39,,E. Kanter misses 2-pt shot from 3 ft (block by N. Jokic)
8:26.0,Defensive rebound by N. Jokic,,31-39,,
8:14.0,J. Murray makes 2-pt shot from 14 ft,2,33-39,,
8:01.0,,,33-41,2,E. Kanter makes 2-pt shot from 13 ft (assist by R. Westbrook)
7:46.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,35-41,,
7:46.0,Shooting foul by J. Grant (drawn by N. Jokic),,35-41,,
7:46.0,N. Jokic makes free throw 1 of 1,1,36-41,,
7:46.0,,,35-41,,T. Gibson enters the game for E. Kanter
7:38.0,,,36-43,2,J. Huestis makes 2-pt shot at rim (assist by J. Grant)
7:38.0,,,36-43,,Shooting foul by D. Arthur (drawn by J. Huestis)
7:38.0,,,36-43,,J. Huestis misses free throw 1 of 1
7:36.0,Defensive rebound by N. Jokic,,36-43,,
7:28.0,D. Arthur misses 2-pt shot from 1 ft,,36-43,,
7:28.0,,,36-43,,Defensive rebound by J. Huestis
7:20.0,,,36-43,,Shooting foul by D. Arthur (drawn by T. Gibson)
7:20.0,,,36-44,1,T. Gibson makes free throw 1 of 2
7:20.0,,,36-45,1,T. Gibson makes free throw 2 of 2
7:08.0,Shooting foul by T. Gibson (drawn by N. Jokic),,36-45,,
7:08.0,N. Jokic misses free throw 1 of 2,,36-45,,
7:08.0,Offensive rebound by Team,,36-45,,
7:08.0,N. Jokic misses free throw 2 of 2,,36-45,,
7:07.0,,,36-45,,Defensive rebound by R. Westbrook
6:47.0,,,36-48,3,V. Oladipo makes 3-pt shot from 22 ft (assist by J. Huestis)
6:31.0,M. Miller misses 3-pt shot from 25 ft,,36-48,,
