time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. C. Zeller (K. Walker gains possession),,,,Jump ball: R. Lopez vs. C. Zeller (K. Walker gains possession)
11:39.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by Team,,0-0,,
11:24.0,Turnover by R. Rondo (bad pass; steal by C. Zeller),,0-0,,
11:11.0,,,0-0,,Shooting foul by D. Wade (drawn by N. Batum)
11:11.0,,,0-1,1,N. Batum makes free throw 1 of 2
11:11.0,,,0-2,1,N. Batum makes free throw 2 of 2
10:57.0,R. Rondo makes 2-pt shot from 22 ft (assist by J. Butler),2,2-2,,
10:35.0,,,2-5,3,K. Walker makes 3-pt shot from 26 ft
10:19.0,R. Rondo misses 2-pt shot from 2 ft (block by C. Zeller),,2-5,,
10:17.0,,,2-5,,Defensive rebound by N. Batum
10:11.0,,,2-7,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
9:57.0,Shooting foul by M. Williams (drawn by T. Gibson),,2-7,,
9:57.0,T. Gibson makes free throw 1 of 2,1,3-7,,
9:57.0,T. Gibson makes free throw 2 of 2,1,4-7,,
9:44.0,,,4-9,2,C. Zeller makes 2-pt shot from 8 ft (assist by N. Batum)
9:29.0,J. Butler misses 2-pt shot from 18 ft,,4-9,,
9:28.0,,,4-9,,Defensive rebound by N. Batum
9:22.0,,,4-11,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
9:06.0,D. Wade makes 2-pt shot from 16 ft,2,6-11,,
8:44.0,,,6-11,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
8:43.0,Defensive rebound by R. Rondo,,6-11,,
8:29.0,T. Gibson misses 2-pt shot from 1 ft,,6-11,,
8:28.0,,,6-11,,Defensive rebound by M. Williams
8:21.0,,,6-11,,N. Batum misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by D. Wade,,6-11,,
8:14.0,D. Wade makes 2-pt shot from 9 ft,2,8-11,,
8:00.0,,,8-11,,Turnover by N. Batum (bad pass)
7:46.0,D. Wade misses 2-pt shot from 14 ft,,8-11,,
7:45.0,,,8-11,,Defensive rebound by M. Kidd-Gilchrist
7:31.0,,,8-11,,Shooting foul by D. Wade (drawn by C. Zeller)
7:31.0,,,8-12,1,C. Zeller makes free throw 1 of 2
7:31.0,,,8-12,,C. Zeller misses free throw 2 of 2
7:31.0,D. McDermott enters the game for D. Wade,,8-12,,
7:29.0,Defensive rebound by R. Lopez,,8-12,,
7:12.0,R. Rondo makes 3-pt shot from 23 ft (assist by J. Butler),3,11-12,,
6:58.0,,,11-12,,C. Zeller misses 2-pt shot at rim (block by T. Gibson)
6:57.0,Defensive rebound by J. Butler,,11-12,,
6:47.0,D. McDermott misses 3-pt shot from 23 ft,,11-12,,
6:45.0,,,11-12,,Defensive rebound by N. Batum
6:36.0,,,11-12,,K. Walker misses 2-pt shot from 1 ft
6:35.0,Defensive rebound by T. Gibson,,11-12,,
6:19.0,J. Butler misses 3-pt shot from 25 ft,,11-12,,
6:18.0,,,11-12,,Defensive rebound by K. Walker
5:56.0,,,11-12,,C. Zeller misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by R. Rondo,,11-12,,
5:46.0,T. Gibson misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,11-12,,
5:45.0,,,11-12,,Defensive rebound by M. Williams
5:37.0,,,11-14,2,N. Batum makes 2-pt shot from 20 ft (assist by C. Zeller)
5:15.0,R. Lopez makes 2-pt shot from 2 ft,2,13-14,,
5:08.0,,,13-14,,Charlotte full timeout
5:08.0,,,13-14,,F. Kaminsky enters the game for M. Williams
5:08.0,,,13-14,,J. Lamb enters the game for N. Batum
4:53.0,,,13-14,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by R. Lopez,,13-14,,
4:32.0,R. Rondo misses 2-pt shot from 1 ft,,13-14,,
4:31.0,Offensive rebound by R. Lopez,,13-14,,
4:27.0,R. Rondo misses 3-pt shot from 23 ft,,13-14,,
4:26.0,,,13-14,,Defensive rebound by C. Zeller
4:19.0,,,13-16,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
4:09.0,Shooting foul by J. Lamb (drawn by D. McDermott),,13-16,,
4:09.0,D. McDermott makes free throw 1 of 2,1,14-16,,
4:09.0,D. McDermott makes free throw 2 of 2,1,15-16,,
4:09.0,,,14-16,,R. Sessions enters the game for K. Walker
3:57.0,,,15-16,,J. Lamb misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by D. McDermott,,15-16,,
3:36.0,T. Gibson makes 2-pt shot from 15 ft (assist by R. Rondo),2,17-16,,
3:17.0,,,17-16,,C. Zeller misses 2-pt shot from 6 ft
3:16.0,Defensive rebound by D. McDermott,,17-16,,
3:04.0,J. Butler makes 2-pt shot from 1 ft,2,19-16,,
2:47.0,,,19-16,,F. Kaminsky misses 2-pt shot from 16 ft
2:46.0,Defensive rebound by R. Rondo,,19-16,,
2:34.0,R. Lopez misses 2-pt shot from 8 ft,,19-16,,
2:32.0,,,19-16,,Defensive rebound by J. Lamb
2:19.0,,,19-16,,F. Kaminsky misses 2-pt shot from 2 ft
2:17.0,,,19-16,,Offensive rebound by M. Kidd-Gilchrist
2:11.0,,,19-16,,F. Kaminsky misses 2-pt shot from 8 ft
2:09.0,,,19-16,,Offensive rebound by M. Kidd-Gilchrist
2:05.0,Chicago full timeout,,19-16,,
2:05.0,,,19-16,,M. Belinelli enters the game for M. Kidd-Gilchrist
2:05.0,,,19-16,,R. Hibbert enters the game for C. Zeller
2:05.0,N. Mirotic enters the game for T. Gibson,,19-16,,
2:05.0,J. Grant enters the game for R. Rondo,,19-16,,
1:59.0,,,19-16,,J. Lamb misses 2-pt shot from 11 ft
1:58.0,Defensive rebound by D. McDermott,,19-16,,
1:44.0,J. Butler makes 2-pt shot from 18 ft (assist by D. McDermott),2,21-16,,
1:21.0,,,21-18,2,F. Kaminsky makes 2-pt shot from 1 ft
1:14.0,D. McDermott misses 2-pt shot from 2 ft (block by R. Hibbert),,21-18,,
1:14.0,Offensive rebound by N. Mirotic,,21-18,,
1:14.0,N. Mirotic makes 2-pt shot from 1 ft,2,23-18,,
