time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Johnson (S. Ibaka gains possession),,,,Jump ball: B. Biyombo vs. A. Johnson (S. Ibaka gains possession)
11:36.0,,,0-0,,S. Ibaka misses 2-pt shot from 1 ft (block by A. Horford)
11:36.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-0,,Shooting foul by M. Smart (drawn by D. Augustin)
11:35.0,,,0-0,,D. Augustin misses free throw 1 of 3
11:35.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-1,1,D. Augustin makes free throw 2 of 3
11:35.0,,,0-2,1,D. Augustin makes free throw 3 of 3
11:13.0,M. Smart makes 2-pt shot from 18 ft (assist by A. Horford),2,2-2,,
10:49.0,,,2-4,2,E. Fournier makes 2-pt shot from 2 ft
10:25.0,A. Johnson makes 2-pt shot at rim (assist by A. Horford),2,4-4,,
10:06.0,,,4-6,2,E. Fournier makes 2-pt shot from 21 ft (assist by D. Augustin)
9:50.0,J. Crowder misses 2-pt shot from 12 ft,,4-6,,
9:49.0,,,4-6,,Defensive rebound by B. Biyombo
9:38.0,,,4-6,,A. Gordon misses 2-pt shot from 16 ft
9:36.0,,,4-6,,Offensive rebound by B. Biyombo
9:29.0,,,4-9,3,D. Augustin makes 3-pt shot from 24 ft (assist by E. Fournier)
9:04.0,A. Johnson makes 2-pt shot from 5 ft (assist by A. Bradley),2,6-9,,
8:42.0,,,6-12,3,S. Ibaka makes 3-pt shot from 25 ft (assist by A. Gordon)
8:27.0,M. Smart makes 3-pt shot from 28 ft (assist by J. Crowder),3,9-12,,
8:15.0,Personal foul by J. Crowder (drawn by E. Fournier),,9-12,,
8:06.0,,,9-12,,Turnover by D. Augustin (lost ball)
7:55.0,,,9-12,,Violation by B. Biyombo (kicked ball)
7:47.0,A. Bradley makes 2-pt shot from 19 ft (assist by A. Horford),2,11-12,,
7:32.0,,,11-12,,E. Fournier misses 2-pt shot from 20 ft
7:31.0,Defensive rebound by A. Bradley,,11-12,,
7:23.0,A. Johnson misses 2-pt shot from 6 ft,,11-12,,
7:21.0,,,11-12,,Defensive rebound by S. Ibaka
7:06.0,,,11-12,,Shooting foul by A. Horford (drawn by E. Fournier)
7:06.0,,,11-13,1,E. Fournier makes free throw 1 of 2
7:06.0,,,11-14,1,E. Fournier makes free throw 2 of 2
6:52.0,,,11-14,,Personal foul by A. Gordon (drawn by A. Horford)
6:46.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Johnson),2,13-14,,
6:31.0,,,13-14,,E. Fournier misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by A. Johnson,,13-14,,
6:23.0,J. Crowder misses 3-pt shot from 27 ft,,13-14,,
6:22.0,,,13-14,,Defensive rebound by E. Fournier
6:16.0,,,13-16,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
5:59.0,A. Horford misses 2-pt shot from 19 ft,,13-16,,
5:58.0,,,13-16,,Defensive rebound by S. Ibaka
5:44.0,,,13-19,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
5:27.0,A. Bradley misses 2-pt shot from 5 ft,,13-19,,
5:25.0,,,13-19,,Defensive rebound by D. Augustin
5:24.0,Technical foul by A. Bradley,,13-19,,
5:24.0,,,13-19,,Orlando full timeout
5:24.0,,,13-20,1,E. Fournier makes technical free throw
5:24.0,K. Olynyk enters the game for A. Johnson,,13-19,,
5:24.0,,,13-19,,N. Vucevic enters the game for B. Biyombo
5:24.0,,,13-19,,E. Payton enters the game for D. Augustin
5:06.0,,,13-20,,S. Ibaka misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by M. Smart,,13-20,,
4:52.0,J. Crowder makes 2-pt shot from 20 ft (assist by K. Olynyk),2,15-20,,
4:29.0,,,15-23,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
4:12.0,K. Olynyk misses 3-pt shot from 25 ft,,15-23,,
4:10.0,,,15-23,,Defensive rebound by N. Vucevic
4:07.0,,,15-23,,Turnover by E. Payton (bad pass; steal by M. Smart)
3:54.0,A. Horford makes 2-pt shot from 2 ft,2,17-23,,
3:54.0,Shooting foul by E. Fournier (drawn by A. Horford),,17-23,,
3:54.0,A. Horford makes free throw 1 of 1,1,18-23,,
3:54.0,J. Brown enters the game for J. Crowder,,17-23,,
3:43.0,,,18-23,,N. Vucevic misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by A. Bradley,,18-23,,
3:35.0,Shooting foul by A. Gordon (drawn by A. Bradley),,18-23,,
3:35.0,A. Bradley makes free throw 1 of 3,1,19-23,,
3:35.0,A. Bradley makes free throw 2 of 3,1,20-23,,
3:35.0,A. Bradley makes free throw 3 of 3,1,21-23,,
3:35.0,T. Rozier enters the game for M. Smart,,20-23,,
3:35.0,,,20-23,,J. Green enters the game for A. Gordon
3:24.0,,,21-23,,Turnover by N. Vucevic (3 sec)
3:12.0,A. Horford makes 2-pt shot at rim (assist by A. Bradley),2,23-23,,
2:58.0,Personal foul by A. Horford (drawn by N. Vucevic),,23-23,,
2:58.0,Boston full timeout,,23-23,,
2:58.0,J. Jerebko enters the game for A. Horford,,23-23,,
2:53.0,,,23-23,,Offensive foul by S. Ibaka
2:53.0,,,23-23,,Turnover by S. Ibaka (offensive foul)
2:31.0,A. Bradley misses 2-pt shot from 3 ft (block by S. Ibaka),,23-23,,
2:29.0,,,23-23,,Defensive rebound by N. Vucevic
2:18.0,,,23-23,,N. Vucevic misses 2-pt shot from 6 ft
2:16.0,Defensive rebound by J. Jerebko,,23-23,,
2:10.0,,,23-23,,J. Meeks enters the game for S. Ibaka
1:59.0,Turnover by J. Jerebko (traveling),,23-23,,
1:45.0,,,23-25,2,N. Vucevic makes 2-pt shot from 9 ft
1:22.0,Turnover by J. Brown (lost ball; steal by J. Green),,23-25,,
1:19.0,,,23-25,,Turnover by J. Green (lost ball; steal by A. Bradley)
1:06.0,,,23-25,,Personal foul by E. Payton (drawn by T. Rozier)
1:00.0,A. Bradley misses 2-pt shot from 19 ft,,23-25,,
1:00.0,Offensive rebound by J. Brown,,23-25,,
0:52.0,J. Brown makes 2-pt shot at rim (assist by A. Bradley),2,25-25,,
0:42.0,,,25-27,2,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Payton)
0:31.0,,,25-27,,Personal foul by E. Payton (drawn by T. Rozier)
0:31.0,T. Rozier misses free throw 1 of 2,,25-27,,
0:31.0,Offensive rebound by Team,,25-27,,
0:31.0,T. Rozier makes free throw 2 of 2,1,26-27,,
0:31.0,A. Johnson enters the game for K. Olynyk,,25-27,,
0:13.0,,,26-27,,N. Vucevic misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by T. Rozier,,26-27,,
0:03.0,A. Bradley misses 2-pt shot from 6 ft,,26-27,,
0:01.0,Offensive rebound by A. Johnson,,26-27,,
0:00.0,T. Rozier misses 3-pt shot from 31 ft,,26-27,,
0:00.0,Offensive rebound by Team,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Olynyk misses 3-pt shot from 26 ft,,26-27,,
11:45.0,,,26-27,,Defensive rebound by E. Payton
11:28.0,,,26-27,,Shooting foul by J. Brown (drawn by B. Biyombo)
11:28.0,,,26-27,,B. Biyombo misses free throw 1 of 2
11:28.0,,,26-27,,Offensive rebound by Team
11:28.0,,,26-27,,B. Biyombo misses free throw 2 of 2
11:28.0,Defensive rebound by K. Olynyk,,26-27,,
11:28.0,T. Zeller enters the game for J. Jerebko,,26-27,,
11:13.0,J. Brown makes 2-pt shot at rim (assist by T. Zeller),2,28-27,,
10:58.0,,,28-27,,Orlando full timeout
10:42.0,,,28-27,,J. Green misses 2-pt shot from 15 ft
10:40.0,,,28-27,,Offensive rebound by N. Vucevic
10:39.0,Personal foul by K. Olynyk (drawn by N. Vucevic),,28-27,,
10:31.0,,,28-29,2,J. Meeks makes 2-pt shot from 6 ft (assist by N. Vucevic)
10:11.0,K. Olynyk misses 3-pt shot from 25 ft,,28-29,,
10:10.0,,,28-29,,Defensive rebound by B. Biyombo
10:00.0,,,28-31,2,N. Vucevic makes 2-pt shot from 14 ft
9:45.0,T. Rozier misses 3-pt shot from 27 ft,,28-31,,
9:44.0,,,28-31,,Defensive rebound by N. Vucevic
9:32.0,,,28-33,2,E. Payton makes 2-pt shot from 6 ft
9:19.0,T. Rozier makes 2-pt shot from 2 ft (assist by K. Olynyk),2,30-33,,
