time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Plumlee (D. Murray gains possession),,,,Jump ball: D. Dedmon vs. M. Plumlee (D. Murray gains possession)
11:44.0,K. Leonard misses 2-pt shot from 16 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Lillard
11:31.0,,,0-0,,M. Plumlee misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by K. Leonard,,0-0,,
11:14.0,D. Green misses 2-pt shot from 22 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by M. Plumlee
11:02.0,,,0-0,,M. Harkless misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by L. Aldridge,,0-0,,
10:51.0,D. Murray misses 2-pt shot from 12 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by M. Plumlee
10:28.0,,,0-2,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
10:28.0,,,0-2,,Shooting foul by D. Dedmon (drawn by M. Plumlee)
10:28.0,,,0-3,1,M. Plumlee makes free throw 1 of 1
10:13.0,L. Aldridge misses 2-pt shot from 10 ft,,0-3,,
10:13.0,,,0-3,,Defensive rebound by Team
9:59.0,,,0-3,,C. McCollum misses 2-pt shot from 20 ft
9:58.0,,,0-3,,Offensive rebound by A. Aminu
9:56.0,,,0-3,,A. Aminu misses 2-pt shot from 5 ft
9:55.0,,,0-3,,Offensive rebound by A. Aminu
9:50.0,,,0-5,2,M. Harkless makes 2-pt shot from 1 ft (assist by A. Aminu)
9:26.0,D. Murray makes 2-pt shot from 10 ft,2,2-5,,
9:17.0,,,2-5,,Offensive foul by C. McCollum
9:17.0,,,2-5,,Turnover by C. McCollum (offensive foul)
9:01.0,L. Aldridge misses 2-pt shot from 5 ft,,2-5,,
9:01.0,Offensive rebound by D. Dedmon,,2-5,,
9:00.0,Shooting foul by M. Plumlee (drawn by D. Dedmon),,2-5,,
9:00.0,D. Dedmon makes free throw 1 of 2,1,3-5,,
9:00.0,D. Dedmon makes free throw 2 of 2,1,4-5,,
8:44.0,,,4-7,2,D. Lillard makes 2-pt shot at rim
8:30.0,Shooting foul by M. Plumlee (drawn by K. Leonard),,4-7,,
8:30.0,K. Leonard makes free throw 1 of 2,1,5-7,,
8:30.0,K. Leonard makes free throw 2 of 2,1,6-7,,
8:30.0,,,5-7,,M. Leonard enters the game for M. Plumlee
8:14.0,,,6-7,,D. Lillard misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by D. Dedmon,,6-7,,
8:06.0,D. Murray misses 2-pt shot from 13 ft,,6-7,,
8:05.0,,,6-7,,Defensive rebound by Team
7:49.0,,,6-7,,C. McCollum misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by D. Murray,,6-7,,
7:37.0,K. Leonard makes 2-pt shot from 22 ft,2,8-7,,
7:14.0,,,8-10,3,M. Leonard makes 3-pt shot from 25 ft (assist by A. Aminu)
7:03.0,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Leonard),2,10-10,,
6:53.0,,,10-10,,D. Lillard misses 2-pt shot from 18 ft
6:51.0,,,10-10,,Offensive rebound by M. Harkless
6:48.0,,,10-10,,C. McCollum misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by D. Dedmon,,10-10,,
6:39.0,D. Murray misses 2-pt shot from 2 ft,,10-10,,
6:39.0,Offensive rebound by L. Aldridge,,10-10,,
6:39.0,Shooting foul by C. McCollum (drawn by L. Aldridge),,10-10,,
6:39.0,L. Aldridge makes free throw 1 of 2,1,11-10,,
6:39.0,L. Aldridge makes free throw 2 of 2,1,12-10,,
6:39.0,P. Mills enters the game for D. Murray,,11-10,,
6:39.0,,,11-10,,A. Crabbe enters the game for C. McCollum
6:39.0,J. Simmons enters the game for K. Leonard,,11-10,,
6:26.0,,,12-10,,A. Aminu misses 3-pt shot from 25 ft
6:24.0,,,12-10,,Offensive rebound by M. Leonard
6:22.0,,,12-10,,Shooting foul by J. Simmons (drawn by M. Harkless)
6:22.0,,,12-10,,M. Harkless misses free throw 1 of 2
6:22.0,,,12-10,,Offensive rebound by Team
6:22.0,,,12-10,,M. Harkless misses free throw 2 of 2
6:21.0,Defensive rebound by D. Dedmon,,12-10,,
6:07.0,Turnover by D. Green (offensive foul),,12-10,,
6:07.0,Offensive foul by D. Green,,12-10,,
6:07.0,,,12-10,,Portland full timeout
6:07.0,,,12-10,,P. Connaughton enters the game for M. Harkless
5:54.0,,,12-12,2,A. Crabbe makes 2-pt shot from 18 ft
5:34.0,D. Green misses 3-pt shot from 25 ft,,12-12,,
5:32.0,,,12-12,,Defensive rebound by P. Connaughton
5:16.0,,,12-15,3,A. Aminu makes 3-pt shot from 23 ft (assist by A. Crabbe)
4:58.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,15-15,,
4:31.0,,,15-15,,A. Crabbe misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by L. Aldridge,,15-15,,
4:17.0,J. Simmons misses 2-pt shot from 21 ft,,15-15,,
4:16.0,Offensive rebound by L. Aldridge,,15-15,,
3:58.0,L. Aldridge misses 2-pt shot from 21 ft,,15-15,,
3:57.0,,,15-15,,Defensive rebound by M. Leonard
3:49.0,,,15-15,,Offensive foul by M. Leonard
3:49.0,,,15-15,,Turnover by M. Leonard (offensive foul)
3:49.0,D. Lee enters the game for D. Dedmon,,15-15,,
3:32.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Lee),3,18-15,,
3:17.0,K. Leonard enters the game for D. Green,,18-15,,
3:17.0,,,18-15,,E. Davis enters the game for A. Aminu
3:07.0,,,18-17,2,D. Lillard makes 2-pt shot from 13 ft
3:01.0,Technical foul by Team,,18-17,,
3:01.0,,,18-18,1,D. Lillard makes technical free throw
2:48.0,,,18-18,,Personal foul by E. Davis (drawn by L. Aldridge)
2:48.0,San Antonio full timeout,,18-18,,
2:48.0,D. Bertans enters the game for L. Aldridge,,18-18,,
2:33.0,J. Simmons makes 2-pt shot from 6 ft,2,20-18,,
2:07.0,,,20-18,,M. Leonard misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by J. Simmons,,20-18,,
2:01.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,23-18,,
1:41.0,,,23-20,2,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe)
1:20.0,D. Lee makes 2-pt shot from 2 ft (assist by P. Mills),2,25-20,,
1:05.0,,,25-22,2,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard)
0:52.0,,,25-22,,Personal foul by E. Davis (drawn by K. Leonard)
0:52.0,K. Leonard makes free throw 1 of 2,1,26-22,,
0:52.0,K. Leonard makes free throw 2 of 2,1,27-22,,
0:52.0,,,26-22,,M. Harkless enters the game for P. Connaughton
0:32.0,,,27-25,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard)
0:13.0,D. Lee misses 2-pt shot from 4 ft,,27-25,,
0:12.0,,,27-25,,Defensive rebound by A. Crabbe
0:01.0,,,27-25,,D. Lillard misses 2-pt shot from 2 ft
0:00.0,,,27-25,,Offensive rebound by E. Davis
0:00.0,,,27-27,2,E. Davis makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Personal foul by K. Leonard (drawn by M. Harkless),,27-27,,
11:32.0,,,27-27,,C. McCollum misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by Team,,27-27,,
11:17.0,J. Simmons misses 2-pt shot from 1 ft,,27-27,,
11:16.0,,,27-27,,Defensive rebound by E. Davis
11:08.0,,,27-29,2,M. Harkless makes 2-pt shot at rim (assist by E. Davis)
10:49.0,K. Leonard makes 3-pt shot from 25 ft (assist by J. Simmons),3,30-29,,
10:36.0,,,30-29,,Turnover by C. McCollum (bad pass; steal by P. Mills)
10:30.0,J. Simmons makes 2-pt shot at rim (assist by P. Mills),2,32-29,,
10:19.0,,,32-29,,Turnover by A. Crabbe (lost ball; steal by P. Mills)
10:16.0,P. Mills makes 2-pt shot at rim,2,34-29,,
10:16.0,,,34-29,,Portland full timeout
10:16.0,D. Murray enters the game for P. Mills,,34-29,,
10:16.0,D. Dedmon enters the game for D. Lee,,34-29,,
10:16.0,L. Aldridge enters the game for D. Bertans,,34-29,,
10:02.0,,,34-29,,Shooting foul by D. Dedmon (drawn by C. McCollum)
10:02.0,,,34-30,1,C. McCollum makes free throw 1 of 2
10:02.0,,,34-31,1,C. McCollum makes free throw 2 of 2
10:02.0,,,34-30,,M. Plumlee enters the game for M. Leonard
10:02.0,D. Green enters the game for J. Simmons,,34-30,,
