time,Orlando,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gasol (S. Ibaka gains possession),,,,Jump ball: B. Biyombo vs. M. Gasol (S. Ibaka gains possession)
11:39.0,S. Ibaka makes 2-pt shot from 16 ft (assist by A. Gordon),2,2-0,,
11:14.0,,,2-2,2,M. Gasol makes 2-pt shot from 7 ft (assist by J. Green)
10:55.0,Turnover by E. Fournier (bad pass),,2-2,,
10:44.0,,,2-2,,T. Allen misses 2-pt shot from 3 ft (block by A. Gordon)
10:43.0,Defensive rebound by B. Biyombo,,2-2,,
10:38.0,D. Augustin misses 2-pt shot from 2 ft (block by T. Williams),,2-2,,
10:35.0,Offensive rebound by S. Ibaka,,2-2,,
10:35.0,S. Ibaka makes 2-pt shot from 1 ft,2,4-2,,
10:18.0,,,4-4,2,A. Harrison makes 2-pt shot from 19 ft
10:04.0,Offensive foul by D. Augustin,,4-4,,
10:04.0,Turnover by D. Augustin (offensive foul),,4-4,,
9:55.0,,,4-6,2,A. Harrison makes 2-pt shot from 4 ft (assist by J. Green)
9:40.0,E. Fournier makes 2-pt shot from 4 ft (assist by A. Gordon),2,6-6,,
9:40.0,Shooting foul by T. Allen (drawn by E. Fournier),,6-6,,
9:40.0,E. Fournier misses free throw 1 of 1,,6-6,,
9:39.0,,,6-6,,Defensive rebound by J. Green
9:21.0,,,6-8,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
9:01.0,B. Biyombo makes 2-pt shot from 9 ft (assist by E. Fournier),2,8-8,,
8:44.0,,,8-8,,J. Green misses 2-pt shot from 15 ft (block by S. Ibaka)
8:44.0,,,8-8,,Offensive rebound by Team
8:33.0,,,8-11,3,T. Williams makes 3-pt shot from 25 ft (assist by A. Harrison)
8:09.0,A. Gordon misses 3-pt shot from 24 ft,,8-11,,
8:09.0,Offensive rebound by B. Biyombo,,8-11,,
8:05.0,Turnover by B. Biyombo (bad pass; steal by T. Williams),,8-11,,
7:57.0,,,8-11,,T. Allen misses 2-pt shot from 3 ft
7:55.0,Defensive rebound by A. Gordon,,8-11,,
7:37.0,E. Fournier makes 2-pt shot from 6 ft,2,10-11,,
7:18.0,,,10-11,,T. Williams misses 2-pt shot from 8 ft
7:15.0,Defensive rebound by S. Ibaka,,10-11,,
6:55.0,A. Gordon misses 3-pt shot from 24 ft,,10-11,,
6:54.0,,,10-11,,Defensive rebound by A. Harrison
6:44.0,,,10-11,,T. Williams misses 3-pt shot from 25 ft
6:43.0,,,10-11,,Offensive rebound by T. Allen
6:40.0,,,10-13,2,T. Allen makes 2-pt shot from 1 ft
6:24.0,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin),3,13-13,,
6:19.0,,,13-13,,Offensive charge foul by T. Williams
6:19.0,,,13-13,,Turnover by T. Williams (offensive foul)
6:00.0,B. Biyombo misses 2-pt shot from 3 ft (block by M. Gasol),,13-13,,
5:59.0,,,13-13,,Defensive rebound by J. Green
5:51.0,,,13-16,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
5:49.0,Orlando full timeout,,13-16,,
5:49.0,,,13-16,,J. Martin enters the game for T. Allen
5:49.0,N. Vucevic enters the game for B. Biyombo,,13-16,,
5:49.0,E. Payton enters the game for D. Augustin,,13-16,,
5:26.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,15-16,,
5:15.0,Personal foul by E. Payton (drawn by A. Harrison),,15-16,,
5:15.0,J. Green enters the game for A. Gordon,,15-16,,
4:57.0,,,15-18,2,J. Martin makes 2-pt shot from 21 ft (assist by A. Harrison)
4:43.0,E. Payton misses 2-pt shot from 7 ft (block by A. Harrison),,15-18,,
4:43.0,Offensive rebound by Team,,15-18,,
4:43.0,,,15-18,,W. Baldwin enters the game for A. Harrison
4:40.0,E. Fournier makes 2-pt shot from 18 ft (assist by J. Green),2,17-18,,
4:21.0,,,17-18,,W. Baldwin misses 2-pt shot from 2 ft (block by E. Payton)
4:18.0,Defensive rebound by E. Payton,,17-18,,
4:05.0,E. Fournier makes 3-pt shot from 25 ft,3,20-18,,
3:39.0,,,20-20,2,J. Green makes 2-pt shot from 3 ft (assist by W. Baldwin)
3:31.0,E. Payton misses 2-pt shot from 1 ft (block by M. Gasol),,20-20,,
3:28.0,,,20-20,,Defensive rebound by W. Baldwin
3:24.0,,,20-20,,Shooting foul by E. Payton (drawn by J. Martin)
3:24.0,Technical foul by E. Payton (drawn by J. Martin),,20-20,,
3:24.0,,,20-21,1,M. Gasol makes technical free throw
3:24.0,,,20-22,1,J. Martin makes free throw 1 of 2
3:24.0,,,20-23,1,J. Martin makes free throw 2 of 2
3:24.0,D. Augustin enters the game for E. Payton,,20-22,,
3:24.0,,,20-22,,T. Daniels enters the game for T. Williams
3:07.0,N. Vucevic misses 2-pt shot from 5 ft (block by M. Gasol),,20-23,,
3:04.0,,,20-23,,Defensive rebound by W. Baldwin
3:01.0,,,20-26,3,T. Daniels makes 3-pt shot from 23 ft (assist by J. Green)
2:44.0,Turnover by D. Augustin (lost ball),,20-26,,
2:44.0,,,20-26,,Memphis full timeout
2:44.0,,,20-26,,T. Williams enters the game for J. Green
2:28.0,,,20-26,,M. Gasol misses 2-pt shot from 11 ft
2:25.0,Defensive rebound by D. Augustin,,20-26,,
2:19.0,,,20-26,,Personal foul by J. Martin (drawn by S. Ibaka)
2:19.0,,,20-26,,D. Davis enters the game for M. Gasol
2:06.0,N. Vucevic misses 2-pt shot from 15 ft,,20-26,,
2:05.0,,,20-26,,Defensive rebound by J. Martin
1:53.0,,,20-28,2,W. Baldwin makes 2-pt shot from 7 ft
1:39.0,S. Ibaka misses 3-pt shot from 22 ft,,20-28,,
1:38.0,,,20-28,,Defensive rebound by Team
1:38.0,B. Biyombo enters the game for S. Ibaka,,20-28,,
1:20.0,,,20-28,,T. Daniels misses 2-pt shot from 6 ft
1:19.0,Defensive rebound by N. Vucevic,,20-28,,
1:04.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier),3,23-28,,
0:47.0,,,23-30,2,W. Baldwin makes 2-pt shot from 14 ft
0:32.0,D. Augustin misses 2-pt shot from 5 ft (block by D. Davis),,23-30,,
0:32.0,Offensive rebound by N. Vucevic,,23-30,,
0:32.0,N. Vucevic makes 2-pt shot from 3 ft,2,25-30,,
0:16.0,,,25-30,,J. Martin misses 2-pt shot from 19 ft
0:16.0,,,25-30,,Offensive rebound by W. Baldwin
0:10.0,,,25-30,,Turnover by T. Williams (lost ball; steal by J. Green)
0:04.0,D. Augustin makes 3-pt shot from 24 ft (assist by E. Fournier),3,28-30,,
0:00.0,,,28-30,,T. Williams misses 3-pt shot from 31 ft
0:00.0,Defensive rebound by B. Biyombo,,28-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-32,2,T. Daniels makes 2-pt shot from 22 ft (assist by W. Baldwin)
11:26.0,N. Vucevic misses 2-pt shot from 23 ft,,28-32,,
11:25.0,,,28-32,,Defensive rebound by J. Martin
11:12.0,,,28-32,,J. Martin misses 2-pt shot from 4 ft (block by N. Vucevic)
11:10.0,,,28-32,,Offensive rebound by J. Martin
11:04.0,,,28-32,,J. Martin misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by N. Vucevic,,28-32,,
10:54.0,J. Green makes 2-pt shot from 12 ft,2,30-32,,
10:32.0,,,30-35,3,T. Daniels makes 3-pt shot from 25 ft
10:20.0,Shooting foul by D. Davis (drawn by C. Watson),,30-35,,
10:20.0,C. Watson makes free throw 1 of 2,1,31-35,,
10:20.0,C. Watson makes free throw 2 of 2,1,32-35,,
9:59.0,,,32-35,,D. Davis misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by B. Biyombo,,32-35,,
9:49.0,,,32-35,,Violation by D. Davis (def goaltending)
9:49.0,N. Vucevic makes 2-pt shot from 3 ft,2,34-35,,
9:49.0,Shooting foul by D. Davis (drawn by N. Vucevic),,34-35,,
