time,LA Clippers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: D. Jordan vs. B. Lopez (I. Whitehead gains possession)
11:43.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 3 ft
11:42.0,Defensive rebound by J. Redick,,0-0,,
11:35.0,J. Redick makes 2-pt shot from 20 ft,2,2-0,,
11:24.0,,,2-0,,B. Lopez misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by D. Jordan,,2-0,,
11:12.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,5-0,,
10:57.0,,,5-0,,S. Kilpatrick misses 2-pt shot from 13 ft
10:56.0,Defensive rebound by D. Jordan,,5-0,,
10:32.0,C. Paul makes 2-pt shot from 7 ft,2,7-0,,
10:14.0,,,7-0,,B. Lopez misses 2-pt shot from 8 ft
10:13.0,Defensive rebound by Team,,7-0,,
9:53.0,C. Paul misses 2-pt shot from 14 ft,,7-0,,
9:52.0,,,7-0,,Defensive rebound by B. Bogdanovic
9:45.0,,,7-0,,B. Bogdanovic misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by D. Jordan,,7-0,,
9:25.0,,,7-0,,Personal foul by T. Booker (drawn by C. Paul)
9:17.0,J. Redick misses 3-pt shot from 24 ft,,7-0,,
9:16.0,,,7-0,,Defensive rebound by B. Lopez
9:10.0,Violation by P. Pierce (kicked ball),,7-0,,
9:02.0,,,7-0,,T. Booker misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by P. Pierce,,7-0,,
8:49.0,P. Pierce misses 3-pt shot from 25 ft,,7-0,,
8:48.0,,,7-0,,Defensive rebound by B. Bogdanovic
8:38.0,,,7-3,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
8:21.0,J. Redick misses 3-pt shot from 24 ft,,7-3,,
8:20.0,,,7-3,,Defensive rebound by B. Lopez
8:13.0,,,7-6,3,I. Whitehead makes 3-pt shot from 25 ft (assist by T. Booker)
7:41.0,C. Paul makes 2-pt shot from 19 ft,2,9-6,,
7:21.0,,,9-8,2,T. Booker makes 2-pt shot from 6 ft
7:10.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,12-8,,
6:58.0,,,12-11,3,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead)
6:44.0,J. Redick misses 3-pt shot from 24 ft,,12-11,,
6:43.0,,,12-11,,Defensive rebound by Team
6:30.0,,,12-11,,S. Kilpatrick misses 2-pt shot from 22 ft
6:29.0,Defensive rebound by D. Jordan,,12-11,,
6:12.0,C. Paul misses 2-pt shot from 16 ft,,12-11,,
6:11.0,Offensive rebound by D. Jordan,,12-11,,
5:59.0,J. Redick misses 2-pt shot from 23 ft,,12-11,,
5:58.0,Offensive rebound by C. Paul,,12-11,,
5:56.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,14-11,,
5:55.0,,,14-11,,Brooklyn full timeout
5:55.0,,,14-11,,J. Hamilton enters the game for B. Lopez
5:55.0,,,14-11,,J. Harris enters the game for B. Bogdanovic
5:44.0,,,14-11,,S. Kilpatrick misses 3-pt shot from 25 ft
5:43.0,,,14-11,,Offensive rebound by T. Booker
5:33.0,,,14-11,,T. Booker misses 2-pt shot from 3 ft
5:32.0,Defensive rebound by P. Pierce,,14-11,,
5:17.0,Shooting foul by I. Whitehead (drawn by L. Mbah a Moute),,14-11,,
5:17.0,L. Mbah a Moute misses free throw 1 of 2,,14-11,,
5:17.0,Offensive rebound by Team,,14-11,,
5:17.0,L. Mbah a Moute makes free throw 2 of 2,1,15-11,,
5:04.0,,,15-11,,Turnover by S. Kilpatrick (bad pass; steal by L. Mbah a Moute)
4:56.0,J. Redick makes 2-pt shot from 2 ft,2,17-11,,
4:29.0,,,17-11,,J. Hamilton misses 2-pt shot from 14 ft
