time,Chicago,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Smith (B. Portis gains possession),,,,Jump ball: R. Lopez vs. J. Smith (B. Portis gains possession)
11:42.0,J. Butler misses 2-pt shot from 13 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Smith
11:28.0,,,0-0,,J. Wall misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by R. Rondo,,0-0,,
11:05.0,B. Portis misses 2-pt shot from 3 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by O. Porter
10:58.0,,,0-0,,J. Smith misses 2-pt shot from 16 ft
10:57.0,,,0-0,,Offensive rebound by M. Gortat
10:54.0,,,0-0,,M. Gortat misses 2-pt shot from 8 ft
10:53.0,Defensive rebound by R. Rondo,,0-0,,
10:41.0,Turnover by B. Portis (discontinued dribble),,0-0,,
10:30.0,,,0-0,,J. Smith misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by R. Lopez,,0-0,,
10:24.0,R. Rondo misses 2-pt shot from 4 ft (block by J. Wall),,0-0,,
10:23.0,,,0-0,,Defensive rebound by J. Smith
10:19.0,,,0-0,,Turnover by J. Smith (bad pass; steal by J. Butler)
10:17.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,2-0,,
10:11.0,,,2-0,,B. Beal misses 2-pt shot from 12 ft (block by R. Lopez)
10:11.0,,,2-0,,Offensive rebound by Team
10:01.0,,,2-2,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
9:39.0,R. Lopez makes 2-pt shot from 8 ft (assist by R. Rondo),2,4-2,,
9:26.0,,,4-5,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
9:09.0,J. Butler makes 3-pt shot from 27 ft (assist by R. Rondo),3,7-5,,
8:55.0,,,7-5,,M. Gortat misses 2-pt shot from 11 ft
8:54.0,Defensive rebound by B. Portis,,7-5,,
8:36.0,R. Lopez makes 2-pt shot from 19 ft (assist by B. Portis),2,9-5,,
8:15.0,,,9-5,,O. Porter misses 3-pt shot from 24 ft
8:14.0,,,9-5,,Offensive rebound by J. Smith
8:08.0,,,9-5,,J. Smith misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by B. Portis,,9-5,,
8:05.0,Turnover by B. Portis (bad pass; steal by J. Smith),,9-5,,
7:54.0,,,9-8,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Wall)
7:42.0,Turnover by R. Rondo (traveling),,9-8,,
7:29.0,,,9-10,2,B. Beal makes 2-pt shot from 11 ft
7:11.0,P. Zipser misses 3-pt shot from 26 ft,,9-10,,
7:10.0,,,9-10,,Defensive rebound by M. Gortat
7:06.0,Personal foul by R. Rondo (drawn by J. Wall),,9-10,,
6:59.0,,,9-10,,B. Beal misses 2-pt shot from 5 ft
6:58.0,,,9-10,,Offensive rebound by Team
6:47.0,,,9-12,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:34.0,,,9-12,,Personal foul by B. Beal (drawn by J. Butler)
6:26.0,J. Butler makes 2-pt shot from 21 ft,2,11-12,,
6:14.0,,,11-14,2,O. Porter makes 2-pt shot from 20 ft
5:59.0,Shooting foul by J. Wall (drawn by J. Butler),,11-14,,
5:59.0,,,11-14,,Washington full timeout
5:59.0,J. Butler misses free throw 1 of 2,,11-14,,
5:59.0,Offensive rebound by Team,,11-14,,
5:59.0,J. Butler makes free throw 2 of 2,1,12-14,,
5:59.0,D. Valentine enters the game for P. Zipser,,11-14,,
5:59.0,N. Mirotic enters the game for B. Portis,,11-14,,
5:43.0,,,12-14,,O. Porter misses 2-pt shot from 15 ft
5:42.0,,,12-14,,Offensive rebound by Team
5:41.0,Loose ball foul by N. Mirotic (drawn by J. Smith),,12-14,,
5:36.0,,,12-16,2,J. Smith makes 2-pt shot from 2 ft (assist by J. Wall)
5:36.0,,,12-16,,Shooting foul by N. Mirotic (drawn by J. Smith)
5:36.0,,,12-16,,J. Smith misses free throw 1 of 1
5:34.0,,,12-16,,Offensive rebound by J. Smith
5:28.0,,,12-16,,J. Wall misses 3-pt shot from 26 ft
5:27.0,,,12-16,,Offensive rebound by O. Porter
5:27.0,,,12-16,,O. Porter misses 2-pt shot from 1 ft (block by N. Mirotic)
5:27.0,,,12-16,,Offensive rebound by Team
5:18.0,,,12-16,,M. Gortat misses 2-pt shot from 6 ft
5:17.0,Defensive rebound by R. Rondo,,12-16,,
4:55.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler),2,14-16,,
4:55.0,Shooting foul by J. Smith (drawn by R. Lopez),,14-16,,
4:55.0,R. Lopez makes free throw 1 of 1,1,15-16,,
4:45.0,,,15-16,,J. Smith misses 2-pt shot from 15 ft
4:44.0,Defensive rebound by J. Butler,,15-16,,
