time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: W. Hernangomez vs. R. Lopez (N. Mirotic gains possession)
11:44.0,J. Butler makes 2-pt shot from 9 ft (assist by R. Rondo),2,2-0,,
11:23.0,,,2-2,2,C. Lee makes 2-pt shot from 13 ft
11:05.0,J. Butler makes 2-pt shot from 7 ft (assist by R. Rondo),2,4-2,,
10:51.0,,,4-4,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Baker)
10:32.0,R. Lopez makes 2-pt shot from 20 ft (assist by R. Rondo),2,6-4,,
10:17.0,,,6-4,,R. Baker misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by N. Mirotic,,6-4,,
9:56.0,R. Lopez makes 2-pt shot from 15 ft (assist by R. Rondo),2,8-4,,
9:45.0,,,8-6,2,C. Anthony makes 2-pt shot from 15 ft (assist by R. Baker)
9:34.0,N. Mirotic misses 3-pt shot from 25 ft,,8-6,,
9:33.0,,,8-6,,Defensive rebound by M. Ndour
9:26.0,,,8-8,2,C. Lee makes 2-pt shot from 17 ft
9:12.0,R. Rondo misses 2-pt shot from 22 ft,,8-8,,
9:11.0,,,8-8,,Defensive rebound by M. Ndour
9:04.0,,,8-8,,C. Anthony misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by R. Rondo,,8-8,,
8:55.0,Shooting foul by W. Hernangomez (drawn by J. Butler),,8-8,,
8:55.0,J. Butler makes free throw 1 of 2,1,9-8,,
8:55.0,J. Butler makes free throw 2 of 2,1,10-8,,
8:41.0,,,10-10,2,W. Hernangomez makes 2-pt shot from 23 ft (assist by R. Baker)
8:25.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,12-10,,
7:59.0,,,12-10,,M. Ndour misses 2-pt shot from 10 ft
7:58.0,Defensive rebound by R. Rondo,,12-10,,
7:53.0,Turnover by R. Rondo (lost ball; steal by M. Ndour),,12-10,,
