time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession)
11:48.0,,,0-0,,Turnover by C. Paul (bad pass)
11:32.0,Turnover by W. Matthews (lost ball; steal by J. Redick),,0-0,,
11:23.0,,,0-3,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
11:05.0,H. Barnes misses 2-pt shot from 17 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by D. Jordan
10:54.0,,,0-5,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
10:29.0,W. Matthews misses 2-pt shot from 16 ft,,0-5,,
10:27.0,,,0-5,,Defensive rebound by D. Jordan
10:25.0,,,0-7,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
10:00.0,D. Nowitzki makes 2-pt shot from 14 ft,2,2-7,,
9:49.0,,,2-9,2,B. Griffin makes 2-pt shot from 5 ft
9:24.0,H. Barnes makes 2-pt shot from 15 ft,2,4-9,,
9:14.0,,,4-11,2,C. Paul makes 2-pt shot from 17 ft
8:52.0,H. Barnes makes 2-pt shot from 16 ft (assist by W. Matthews),2,6-11,,
8:44.0,,,6-13,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by C. Paul)
8:31.0,Y. Ferrell misses 3-pt shot from 25 ft,,6-13,,
8:30.0,,,6-13,,Defensive rebound by D. Jordan
8:19.0,,,6-16,3,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul)
8:17.0,Dallas full timeout,,6-16,,
8:01.0,Y. Ferrell misses 2-pt shot from 18 ft,,6-16,,
7:59.0,,,6-16,,Defensive rebound by C. Paul
7:55.0,Personal foul by H. Barnes (drawn by D. Jordan),,6-16,,
7:41.0,,,6-19,3,C. Paul makes 3-pt shot from 27 ft
7:28.0,D. Nowitzki misses 2-pt shot from 19 ft,,6-19,,
7:26.0,,,6-19,,Defensive rebound by D. Jordan
7:14.0,,,6-22,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
7:10.0,Dallas full timeout,,6-22,,
7:10.0,D. Harris enters the game for N. Noel,,6-22,,
7:10.0,J. Barea enters the game for Y. Ferrell,,6-22,,
6:51.0,D. Nowitzki misses 3-pt shot from 27 ft,,6-22,,
6:50.0,,,6-22,,Defensive rebound by B. Griffin
6:39.0,,,6-22,,Turnover by D. Jordan (lost ball; steal by D. Nowitzki)
6:25.0,D. Harris makes 3-pt shot from 28 ft (assist by J. Barea),3,9-22,,
6:02.0,,,9-22,,L. Mbah a Moute misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by D. Nowitzki,,9-22,,
5:48.0,H. Barnes misses 3-pt shot from 25 ft,,9-22,,
5:47.0,,,9-22,,Defensive rebound by C. Paul
5:41.0,,,9-25,3,C. Paul makes 3-pt shot from 26 ft
5:22.0,J. Barea makes 2-pt shot from 5 ft (assist by W. Matthews),2,11-25,,
5:09.0,,,11-25,,C. Paul misses 2-pt shot from 16 ft
5:05.0,Defensive rebound by D. Nowitzki,,11-25,,
5:01.0,Turnover by J. Barea (step out of bounds),,11-25,,
5:01.0,S. Mejri enters the game for D. Nowitzki,,11-25,,
4:49.0,,,11-25,,J. Redick misses 2-pt shot from 20 ft
4:48.0,Defensive rebound by W. Matthews,,11-25,,
4:37.0,W. Matthews misses 2-pt shot from 3 ft,,11-25,,
4:34.0,Offensive rebound by S. Mejri,,11-25,,
4:30.0,D. Harris misses 3-pt shot from 27 ft,,11-25,,
4:29.0,,,11-25,,Defensive rebound by J. Redick
4:24.0,,,11-27,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
4:24.0,,,11-27,,Shooting foul by W. Matthews (drawn by D. Jordan)
4:24.0,,,11-27,,D. Jordan misses free throw 1 of 1
4:24.0,,,11-27,,J. Crawford enters the game for B. Griffin
4:23.0,Defensive rebound by S. Mejri,,11-27,,
4:13.0,J. Barea misses 2-pt shot from 9 ft,,11-27,,
4:10.0,,,11-27,,Defensive rebound by D. Jordan
4:02.0,,,11-27,,L. Mbah a Moute misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by J. Barea,,11-27,,
3:42.0,J. Barea makes 3-pt shot from 26 ft (assist by W. Matthews),3,14-27,,
3:40.0,,,14-27,,LA Clippers full timeout
3:28.0,,,14-27,,J. Redick misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by J. Barea,,14-27,,
3:15.0,H. Barnes makes 2-pt shot from 20 ft (assist by D. Harris),2,16-27,,
2:59.0,,,16-27,,C. Paul misses 2-pt shot from 15 ft
2:56.0,Defensive rebound by D. Harris,,16-27,,
2:42.0,Turnover by S. Mejri (lost ball; steal by C. Paul),,16-27,,
2:38.0,,,16-29,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
2:18.0,J. Barea misses 2-pt shot from 22 ft,,16-29,,
2:15.0,,,16-29,,Defensive rebound by D. Jordan
2:06.0,,,16-32,3,J. Redick makes 3-pt shot from 26 ft
2:06.0,,,16-32,,Shooting foul by W. Matthews
2:06.0,,,16-33,1,J. Redick makes free throw 1 of 1
2:06.0,,,16-32,,R. Felton enters the game for C. Paul
2:06.0,,,16-32,,M. Speights enters the game for D. Jordan
1:48.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,19-33,,
1:28.0,,,19-33,,L. Mbah a Moute misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by D. Harris,,19-33,,
1:18.0,H. Barnes misses 3-pt shot from 23 ft,,19-33,,
1:17.0,,,19-33,,Defensive rebound by M. Speights
1:10.0,,,19-35,2,R. Felton makes 2-pt shot from 2 ft (assist by J. Redick)
0:56.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,21-35,,
0:39.0,,,21-35,,J. Crawford misses 3-pt shot from 27 ft
0:38.0,Defensive rebound by S. Mejri,,21-35,,
0:29.0,J. Barea misses 3-pt shot from 28 ft,,21-35,,
0:27.0,,,21-35,,Defensive rebound by L. Mbah a Moute
0:09.0,,,21-35,,Turnover by J. Crawford (bad pass)
0:09.0,D. Finney-Smith enters the game for W. Matthews,,21-35,,
0:09.0,D. Nowitzki enters the game for H. Barnes,,21-35,,
0:06.0,,,21-35,,Personal take foul by J. Crawford (drawn by D. Harris)
0:02.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris),2,23-35,,
0:02.0,Shooting foul by J. Crawford,,23-35,,
0:02.0,J. Barea makes free throw 1 of 1,1,24-35,,
0:02.0,,,23-35,,C. Paul enters the game for L. Mbah a Moute
0:02.0,Y. Ferrell enters the game for D. Nowitzki,,23-35,,
0:00.0,,,24-35,,R. Felton misses 3-pt shot from 70 ft
0:00.0,,,24-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,D. Harris misses 3-pt shot from 24 ft,,24-35,,
11:36.0,,,24-35,,Defensive rebound by M. Speights
11:25.0,,,24-38,3,A. Anderson makes 3-pt shot from 24 ft (assist by R. Felton)
11:08.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea),2,26-38,,
10:51.0,,,26-38,,M. Speights misses 3-pt shot from 28 ft
10:50.0,Defensive rebound by D. Harris,,26-38,,
10:36.0,,,26-38,,Personal foul by A. Anderson (drawn by D. Nowitzki)
10:21.0,D. Harris misses 3-pt shot from 27 ft,,26-38,,
10:21.0,,,26-38,,Defensive rebound by Team
10:05.0,,,26-40,2,B. Griffin makes 2-pt shot from 20 ft
9:50.0,Turnover by D. Finney-Smith (step out of bounds),,26-40,,
9:35.0,,,26-42,2,R. Felton makes 2-pt shot from 1 ft (assist by B. Griffin)
9:29.0,Dallas full timeout,,26-42,,
9:29.0,Y. Ferrell enters the game for J. Barea,,26-42,,
9:29.0,W. Matthews enters the game for D. Harris,,26-42,,
9:14.0,Shooting foul by R. Felton (drawn by Y. Ferrell),,26-42,,
9:14.0,Y. Ferrell makes free throw 1 of 3,1,27-42,,
9:14.0,Y. Ferrell makes free throw 2 of 3,1,28-42,,
9:14.0,Y. Ferrell makes free throw 3 of 3,1,29-42,,
8:58.0,Personal foul by S. Mejri (drawn by B. Griffin),,29-42,,
8:47.0,,,29-42,,Turnover by M. Speights (lost ball)
8:33.0,S. Mejri makes 2-pt shot at rim,2,31-42,,
8:16.0,,,31-44,2,M. Speights makes 2-pt shot from 19 ft (assist by B. Griffin)
7:56.0,W. Matthews misses 2-pt shot from 13 ft,,31-44,,
7:53.0,Offensive rebound by S. Mejri,,31-44,,
7:52.0,S. Mejri makes 2-pt shot from 1 ft,2,33-44,,
7:52.0,Shooting foul by M. Speights (drawn by S. Mejri),,33-44,,
7:52.0,S. Mejri makes free throw 1 of 1,1,34-44,,
7:52.0,,,33-44,,C. Paul enters the game for A. Anderson
7:52.0,,,33-44,,D. Jordan enters the game for M. Speights
7:31.0,,,34-44,,Turnover by Team (back court)
7:23.0,D. Finney-Smith makes 2-pt shot from 3 ft (assist by D. Nowitzki),2,36-44,,
6:56.0,,,36-44,,B. Griffin misses 2-pt shot from 4 ft
6:53.0,,,36-44,,Offensive rebound by D. Jordan
6:53.0,,,36-44,,D. Jordan misses 2-pt shot at rim (block by S. Mejri)
6:50.0,Defensive rebound by W. Matthews,,36-44,,
6:33.0,D. Nowitzki misses 2-pt shot from 20 ft,,36-44,,
6:31.0,,,36-44,,Defensive rebound by D. Jordan
6:27.0,Violation by S. Mejri (kicked ball),,36-44,,
6:27.0,,,36-44,,J. Redick enters the game for R. Felton
6:27.0,N. Noel enters the game for S. Mejri,,36-44,,
6:27.0,H. Barnes enters the game for D. Nowitzki,,36-44,,
6:27.0,,,36-44,,L. Mbah a Moute enters the game for J. Crawford
6:21.0,,,36-46,2,C. Paul makes 2-pt shot from 12 ft
6:04.0,N. Noel makes 2-pt shot at rim (assist by W. Matthews),2,38-46,,
5:49.0,,,38-48,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
5:35.0,W. Matthews makes 2-pt shot from 9 ft (assist by Y. Ferrell),2,40-48,,
5:35.0,Violation by Team (jump ball),,40-48,,
5:24.0,,,40-48,,L. Mbah a Moute misses 3-pt shot from 24 ft
5:23.0,,,40-48,,Offensive rebound by D. Jordan
5:23.0,,,40-48,,Shooting foul by H. Barnes (drawn by D. Jordan)
5:23.0,Official timeout,,40-48,,
5:23.0,,,40-48,,D. Jordan misses free throw 1 of 2
5:23.0,,,40-48,,Offensive rebound by Team
5:23.0,,,40-48,,D. Jordan misses free throw 2 of 2
5:22.0,Defensive rebound by D. Finney-Smith,,40-48,,
4:56.0,H. Barnes misses 2-pt shot from 16 ft,,40-48,,
4:52.0,,,40-48,,Defensive rebound by C. Paul
4:51.0,,,40-50,2,D. Jordan makes 2-pt shot from 5 ft (assist by C. Paul)
4:38.0,W. Matthews misses 3-pt shot from 28 ft,,40-50,,
4:37.0,Offensive rebound by Y. Ferrell,,40-50,,
4:33.0,Y. Ferrell misses 2-pt shot from 20 ft,,40-50,,
4:30.0,,,40-50,,Defensive rebound by B. Griffin
4:25.0,Personal foul by D. Finney-Smith,,40-50,,
4:25.0,,,40-51,1,J. Redick makes free throw 1 of 3
4:25.0,,,40-52,1,J. Redick makes free throw 2 of 3
4:25.0,,,40-53,1,J. Redick makes free throw 3 of 3
4:04.0,D. Finney-Smith misses 3-pt shot from 26 ft,,40-53,,
4:01.0,,,40-53,,Defensive rebound by D. Jordan
3:57.0,,,40-55,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
3:50.0,Dallas full timeout,,40-55,,
3:50.0,J. Barea enters the game for N. Noel,,40-55,,
3:50.0,D. Harris enters the game for Y. Ferrell,,40-55,,
3:50.0,D. Nowitzki enters the game for D. Finney-Smith,,40-55,,
3:41.0,Offensive foul by H. Barnes,,40-55,,
3:41.0,Turnover by H. Barnes (offensive foul),,40-55,,
3:31.0,,,40-55,,J. Redick misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by J. Barea,,40-55,,
3:17.0,D. Nowitzki misses 2-pt shot from 18 ft,,40-55,,
3:15.0,,,40-55,,Defensive rebound by D. Jordan
3:06.0,,,40-55,,C. Paul misses 2-pt shot from 13 ft
3:03.0,,,40-55,,Offensive rebound by D. Jordan
3:00.0,Personal foul by J. Barea,,40-55,,
2:56.0,,,40-58,3,C. Paul makes 3-pt shot from 29 ft (assist by D. Jordan)
2:34.0,,,40-58,,Personal foul by C. Paul (drawn by W. Matthews)
2:26.0,J. Barea makes 2-pt shot from 2 ft,2,42-58,,
2:23.0,Personal take foul by D. Harris (drawn by D. Jordan),,42-58,,
2:23.0,,,42-58,,D. Jordan misses free throw 1 of 2
2:23.0,,,42-58,,Offensive rebound by Team
2:23.0,,,42-58,,D. Jordan misses free throw 2 of 2
2:23.0,Defensive rebound by H. Barnes,,42-58,,
2:07.0,D. Harris misses 3-pt shot from 23 ft,,42-58,,
2:06.0,,,42-58,,Defensive rebound by D. Jordan
1:57.0,,,42-58,,Turnover by D. Jordan (offensive goaltending)
1:42.0,H. Barnes makes 2-pt shot from 18 ft (assist by W. Matthews),2,44-58,,
1:27.0,,,44-58,,C. Paul misses 3-pt shot from 27 ft
1:26.0,Defensive rebound by W. Matthews,,44-58,,
1:18.0,D. Harris misses 2-pt shot from 3 ft,,44-58,,
1:15.0,Offensive rebound by D. Harris,,44-58,,
1:15.0,Shooting foul by C. Paul (drawn by D. Harris),,44-58,,
1:15.0,,,44-58,,LA Clippers full timeout
1:15.0,,,44-58,,Violation by Team (jump ball)
1:15.0,D. Harris misses free throw 1 of 2,,44-58,,
1:15.0,Offensive rebound by Team,,44-58,,
1:15.0,D. Harris makes free throw 2 of 2,1,45-58,,
1:01.0,,,45-58,,Shooting foul by H. Barnes (drawn by B. Griffin)
1:01.0,,,45-59,1,B. Griffin makes free throw 1 of 2
1:01.0,,,45-59,,B. Griffin misses free throw 2 of 2
1:01.0,N. Noel enters the game for H. Barnes,,45-59,,
0:59.0,Defensive rebound by N. Noel,,45-59,,
0:48.0,Shooting foul by B. Griffin (drawn by N. Noel),,45-59,,
0:48.0,N. Noel makes free throw 1 of 2,1,46-59,,
0:48.0,N. Noel makes free throw 2 of 2,1,47-59,,
0:41.0,,,47-59,,Turnover by C. Paul (bad pass)
0:33.0,Turnover by J. Barea (bad pass; steal by D. Jordan),,47-59,,
0:28.0,,,47-62,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
0:17.0,,,47-62,,Personal foul by J. Redick
0:17.0,D. Harris makes free throw 1 of 2,1,48-62,,
0:17.0,D. Harris makes free throw 2 of 2,1,49-62,,
0:17.0,,,48-62,,J. Crawford enters the game for L. Mbah a Moute
0:01.0,,,49-62,,C. Paul misses 3-pt shot from 27 ft
0:00.0,,,49-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,49-62,,Personal foul by C. Paul (drawn by H. Barnes)
11:44.0,Turnover by N. Noel (bad pass; steal by L. Mbah a Moute),,49-62,,
11:29.0,,,49-64,2,C. Paul makes 2-pt shot from 13 ft
11:06.0,H. Barnes makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,52-64,,
10:55.0,,,52-64,,J. Redick misses 3-pt shot from 27 ft
10:53.0,Defensive rebound by D. Nowitzki,,52-64,,
10:47.0,Y. Ferrell makes 3-pt shot from 28 ft,3,55-64,,
10:24.0,,,55-66,2,B. Griffin makes 2-pt shot from 20 ft
10:03.0,Turnover by W. Matthews (bad pass; steal by B. Griffin),,55-66,,
