time,LA Clippers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. H. Whiteside (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. H. Whiteside (B. Griffin gains possession)
11:46.0,Turnover by B. Griffin (bad pass; steal by H. Whiteside),,0-0,,
11:35.0,,,0-0,,Turnover by J. McRoberts (bad pass; steal by B. Griffin)
11:13.0,B. Griffin misses 2-pt shot from 18 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by W. Ellington
10:54.0,,,0-3,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
10:38.0,J. Redick misses 2-pt shot from 17 ft,,0-3,,
10:37.0,,,0-3,,Defensive rebound by H. Whiteside
10:27.0,,,0-3,,H. Whiteside misses 2-pt shot from 10 ft
10:26.0,Defensive rebound by D. Jordan,,0-3,,
10:18.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,2-3,,
9:47.0,,,2-3,,R. McGruder misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by D. Jordan,,2-3,,
9:41.0,,,2-3,,Personal block foul by J. McRoberts (drawn by B. Griffin)
9:35.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,4-3,,
9:20.0,,,4-5,2,H. Whiteside makes 2-pt shot from 16 ft (assist by G. Dragic)
9:08.0,C. Paul makes 2-pt shot from 16 ft,2,6-5,,
8:54.0,,,6-7,2,G. Dragic makes 2-pt shot from 3 ft
8:37.0,C. Paul misses 3-pt shot from 24 ft,,6-7,,
8:36.0,,,6-7,,Defensive rebound by H. Whiteside
8:28.0,,,6-10,3,J. McRoberts makes 3-pt shot from 25 ft (assist by G. Dragic)
8:22.0,Turnover by B. Griffin (lost ball),,6-10,,
8:11.0,,,6-10,,G. Dragic misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by B. Griffin,,6-10,,
8:02.0,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul),3,9-10,,
7:42.0,,,9-10,,G. Dragic misses 2-pt shot from 22 ft
7:41.0,Defensive rebound by D. Jordan,,9-10,,
7:35.0,C. Paul makes 3-pt shot from 24 ft,3,12-10,,
7:12.0,,,12-10,,J. McRoberts misses 2-pt shot from 1 ft (block by D. Jordan)
7:11.0,Defensive rebound by D. Jordan,,12-10,,
7:07.0,J. Redick misses 3-pt shot from 25 ft,,12-10,,
7:06.0,,,12-10,,Defensive rebound by R. McGruder
6:55.0,,,12-12,2,W. Ellington makes 2-pt shot from 18 ft (assist by J. McRoberts)
6:46.0,C. Paul makes 2-pt shot from 2 ft,2,14-12,,
6:27.0,,,14-14,2,W. Ellington makes 2-pt shot from 3 ft (assist by H. Whiteside)
6:01.0,B. Griffin misses 2-pt shot from 2 ft,,14-14,,
6:00.0,,,14-14,,Defensive rebound by H. Whiteside
5:47.0,,,14-16,2,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic)
5:42.0,LA Clippers full timeout,,14-16,,
5:42.0,,,14-16,,J. Richardson enters the game for R. McGruder
5:32.0,J. Redick misses 3-pt shot from 25 ft,,14-16,,
5:31.0,,,14-16,,Defensive rebound by H. Whiteside
5:11.0,,,14-18,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. McRoberts)
4:49.0,A. Rivers makes 3-pt shot from 25 ft (assist by J. Redick),3,17-18,,
4:30.0,,,17-18,,H. Whiteside misses 2-pt shot from 11 ft
4:29.0,Defensive rebound by D. Jordan,,17-18,,
4:23.0,A. Rivers misses 3-pt shot from 24 ft,,17-18,,
4:22.0,,,17-18,,Defensive rebound by H. Whiteside
4:01.0,,,17-21,3,J. McRoberts makes 3-pt shot from 25 ft (assist by J. Richardson)
3:35.0,B. Griffin makes 2-pt shot from 20 ft,2,19-21,,
3:17.0,,,19-21,,J. McRoberts misses 2-pt shot from 19 ft
3:16.0,Defensive rebound by D. Jordan,,19-21,,
3:06.0,C. Paul makes 2-pt shot from 12 ft,2,21-21,,
3:03.0,,,21-21,,Miami full timeout
3:03.0,,,21-21,,J. Johnson enters the game for J. McRoberts
3:03.0,R. Felton enters the game for A. Rivers,,21-21,,
3:03.0,J. Crawford enters the game for J. Redick,,21-21,,
2:51.0,,,21-23,2,W. Ellington makes 2-pt shot from 16 ft (assist by H. Whiteside)
2:37.0,D. Jordan makes 2-pt shot from 6 ft (assist by B. Griffin),2,23-23,,
2:37.0,Shooting foul by H. Whiteside (drawn by D. Jordan),,23-23,,
2:37.0,D. Jordan misses free throw 1 of 1,,23-23,,
2:36.0,Offensive rebound by R. Felton,,23-23,,
2:17.0,B. Griffin makes 2-pt shot from 2 ft,2,25-23,,
