time,Memphis,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. T. Thompson (K. Love gains possession),,,,Jump ball: J. Green vs. T. Thompson (K. Love gains possession)
11:48.0,,,0-0,,Turnover by K. Love (lost ball; steal by J. Green)
11:36.0,Turnover by T. Williams (bad pass),,0-0,,
11:22.0,,,0-0,,J. Smith misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by A. Harrison,,0-0,,
11:12.0,A. Harrison makes 2-pt shot from 20 ft,2,2-0,,
10:54.0,,,2-0,,K. Love misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by T. Allen,,2-0,,
10:44.0,J. Green misses 3-pt shot from 25 ft,,2-0,,
10:44.0,,,2-0,,Defensive rebound by T. Thompson
10:40.0,,,2-0,,Turnover by L. James (bad pass; steal by J. Green)
10:24.0,T. Williams misses 2-pt shot from 21 ft,,2-0,,
10:23.0,,,2-0,,Defensive rebound by K. Love
10:08.0,,,2-0,,L. James misses 2-pt shot from 6 ft
10:06.0,,,2-0,,Offensive rebound by T. Thompson
10:06.0,,,2-2,2,T. Thompson makes 2-pt shot from 1 ft
9:50.0,T. Allen misses 2-pt shot from 22 ft,,2-2,,
9:50.0,Offensive rebound by Z. Randolph,,2-2,,
9:41.0,Turnover by A. Harrison (bad pass),,2-2,,
9:29.0,,,2-2,,K. Love misses 2-pt shot from 7 ft
9:25.0,Defensive rebound by Z. Randolph,,2-2,,
9:14.0,Z. Randolph misses 2-pt shot from 19 ft,,2-2,,
9:14.0,,,2-2,,Defensive rebound by D. Liggins
9:06.0,Personal foul by T. Allen (drawn by T. Thompson),,2-2,,
8:59.0,,,2-2,,Shooting foul by T. Williams (drawn by K. Love)
8:59.0,,,2-3,1,K. Love makes free throw 1 of 2
8:59.0,,,2-4,1,K. Love makes free throw 2 of 2
8:41.0,T. Allen makes 2-pt shot from 2 ft,2,4-4,,
