time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (J. Holiday gains possession),,,,Jump ball: T. Chandler vs. A. Davis (J. Holiday gains possession)
11:42.0,,,0-0,,J. Holiday misses 2-pt shot from 16 ft
11:42.0,,,0-0,,Offensive rebound by A. Davis
11:37.0,,,0-0,,A. Davis misses 2-pt shot from 14 ft
11:37.0,Defensive rebound by T. Warren,,0-0,,
11:23.0,M. Chriss makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,2-0,,
11:06.0,,,2-2,2,S. Hill makes 2-pt shot from 16 ft
10:50.0,M. Chriss misses 3-pt shot from 26 ft,,2-2,,
10:50.0,,,2-2,,Defensive rebound by T. Jones
10:44.0,Personal foul by T. Chandler (drawn by A. Davis),,2-2,,
10:31.0,,,2-4,2,J. Holiday makes 2-pt shot from 2 ft (assist by B. Hield)
10:13.0,E. Bledsoe makes 2-pt shot at rim (assist by M. Chriss),2,4-4,,
10:02.0,,,4-7,3,J. Holiday makes 3-pt shot from 24 ft (assist by S. Hill)
9:41.0,M. Chriss misses 2-pt shot at rim,,4-7,,
9:40.0,,,4-7,,Defensive rebound by A. Davis
9:28.0,,,4-7,,S. Hill misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by T. Chandler,,4-7,,
9:18.0,D. Booker misses 2-pt shot from 19 ft,,4-7,,
9:18.0,,,4-7,,Defensive rebound by A. Davis
8:58.0,,,4-7,,Turnover by A. Davis (lost ball; steal by T. Warren)
8:58.0,,,4-7,,Loose ball foul by A. Davis
8:40.0,M. Chriss misses 2-pt shot from 10 ft,,4-7,,
8:40.0,,,4-7,,Defensive rebound by T. Jones
8:35.0,,,4-7,,Turnover by J. Holiday (lost ball; steal by T. Warren)
8:21.0,T. Warren misses 3-pt shot from 24 ft,,4-7,,
8:20.0,,,4-7,,Defensive rebound by A. Davis
8:07.0,,,4-9,2,B. Hield makes 2-pt shot from 2 ft (assist by S. Hill)
7:50.0,D. Booker makes 3-pt shot from 27 ft,3,7-9,,
7:36.0,,,7-9,,J. Holiday misses 2-pt shot from 4 ft (block by M. Chriss)
7:35.0,Defensive rebound by D. Booker,,7-9,,
7:31.0,Turnover by E. Bledsoe (bad pass),,7-9,,
7:15.0,,,7-9,,S. Hill misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by T. Chandler,,7-9,,
7:10.0,D. Booker misses 3-pt shot from 25 ft,,7-9,,
7:08.0,,,7-9,,Defensive rebound by T. Jones
6:57.0,,,7-11,2,T. Jones makes 2-pt shot at rim
6:57.0,,,7-11,,Shooting foul by M. Chriss (drawn by T. Jones)
6:57.0,,,7-12,1,T. Jones makes free throw 1 of 1
6:40.0,Offensive foul by E. Bledsoe,,7-12,,
6:40.0,Turnover by E. Bledsoe (offensive foul),,7-12,,
6:26.0,,,7-15,3,B. Hield makes 3-pt shot from 25 ft (assist by J. Holiday)
6:25.0,Phoenix full timeout,,7-15,,
6:09.0,E. Bledsoe misses 2-pt shot from 23 ft,,7-15,,
6:09.0,,,7-15,,Defensive rebound by T. Jones
5:51.0,,,7-15,,T. Jones misses 3-pt shot from 26 ft
5:51.0,,,7-15,,Offensive rebound by J. Holiday
5:40.0,,,7-15,,B. Hield misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by E. Bledsoe,,7-15,,
5:30.0,T. Warren makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,9-15,,
5:22.0,,,9-18,3,J. Holiday makes 3-pt shot from 26 ft
5:05.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,11-18,,
4:44.0,,,11-20,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
4:34.0,Turnover by E. Bledsoe (bad pass; steal by A. Davis),,11-20,,
4:34.0,Personal foul by E. Bledsoe (drawn by A. Davis),,11-20,,
4:34.0,,,11-20,,E. Moore enters the game for S. Hill
4:34.0,B. Knight enters the game for E. Bledsoe,,11-20,,
4:34.0,,,11-20,,D. Cunningham enters the game for T. Jones
4:09.0,,,11-20,,B. Hield misses 2-pt shot from 1 ft (block by T. Chandler)
4:08.0,,,11-20,,Offensive rebound by B. Hield
4:05.0,,,11-20,,B. Hield misses 2-pt shot from 2 ft
4:05.0,Defensive rebound by M. Chriss,,11-20,,
4:00.0,T. Warren makes 2-pt shot from 9 ft (assist by D. Booker),2,13-20,,
3:50.0,,,13-20,,D. Cunningham misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by M. Chriss,,13-20,,
3:39.0,D. Booker misses 3-pt shot from 25 ft,,13-20,,
3:38.0,,,13-20,,Defensive rebound by J. Holiday
3:26.0,,,13-22,2,A. Davis makes 2-pt shot from 16 ft
3:01.0,D. Booker makes 2-pt shot from 14 ft,2,15-22,,
2:51.0,,,15-22,,J. Holiday misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by T. Chandler,,15-22,,
2:32.0,,,15-22,,Personal foul by E. Moore (drawn by T. Chandler)
2:32.0,,,15-22,,New Orleans full timeout
2:32.0,Technical foul by T. Chandler,,15-22,,
2:32.0,,,15-23,1,A. Davis makes technical free throw
2:32.0,J. Dudley enters the game for M. Chriss,,15-22,,
2:32.0,P. Tucker enters the game for T. Chandler,,15-22,,
2:32.0,,,15-22,,T. Evans enters the game for B. Hield
2:23.0,B. Knight makes 2-pt shot from 20 ft (assist by J. Dudley),2,17-23,,
2:06.0,,,17-23,,E. Moore misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by J. Dudley,,17-23,,
2:01.0,,,17-23,,Personal foul by J. Holiday (drawn by D. Booker)
1:57.0,Turnover by P. Tucker (bad pass; steal by E. Moore),,17-23,,
1:46.0,,,17-25,2,A. Davis makes 2-pt shot from 10 ft
1:28.0,B. Knight misses 3-pt shot from 26 ft,,17-25,,
1:28.0,,,17-25,,Defensive rebound by T. Evans
1:19.0,,,17-25,,T. Evans misses 2-pt shot from 2 ft (block by T. Warren)
1:17.0,Defensive rebound by T. Warren,,17-25,,
1:02.0,T. Warren makes 2-pt shot from 7 ft (assist by P. Tucker),2,19-25,,
0:53.0,,,19-25,,J. Holiday misses 3-pt shot from 26 ft
0:52.0,Defensive rebound by P. Tucker,,19-25,,
0:40.0,D. Booker misses 2-pt shot from 3 ft (block by D. Cunningham),,19-25,,
0:38.0,,,19-25,,Defensive rebound by A. Davis
0:36.0,,,19-27,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
0:15.0,B. Knight misses 2-pt shot from 1 ft (block by A. Davis),,19-27,,
0:13.0,,,19-27,,Defensive rebound by J. Holiday
0:11.0,,,19-27,,T. Evans misses 2-pt shot from 2 ft (block by T. Warren)
0:09.0,,,19-27,,Offensive rebound by E. Moore
0:09.0,,,19-27,,E. Moore misses 3-pt shot from 23 ft
0:08.0,,,19-27,,Offensive rebound by D. Cunningham
0:08.0,,,19-29,2,D. Cunningham makes 2-pt shot from 1 ft
0:00.0,D. Booker makes 2-pt shot from 2 ft,2,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:31.0,L. Barbosa misses 2-pt shot from 13 ft,,21-29,,
11:30.0,,,21-29,,Defensive rebound by D. Motiejunas
11:18.0,,,21-29,,D. Motiejunas misses 2-pt shot from 7 ft
11:16.0,Defensive rebound by J. Dudley,,21-29,,
11:11.0,L. Barbosa makes 2-pt shot from 1 ft (assist by B. Knight),2,23-29,,
10:53.0,,,23-29,,L. Galloway misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by A. Len,,23-29,,
10:46.0,,,23-29,,Personal foul by T. Evans (drawn by B. Knight)
10:34.0,J. Dudley misses 3-pt shot from 25 ft,,23-29,,
10:33.0,,,23-29,,Defensive rebound by T. Evans
10:24.0,,,23-29,,T. Evans misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by B. Knight,,23-29,,
10:07.0,Turnover by B. Knight (bad pass; steal by E. Moore),,23-29,,
10:01.0,,,23-31,2,L. Galloway makes 2-pt shot from 2 ft (assist by E. Moore)
9:43.0,B. Knight misses 2-pt shot from 5 ft,,23-31,,
9:42.0,,,23-31,,Defensive rebound by T. Evans
9:38.0,,,23-31,,Turnover by D. Motiejunas (offensive goaltending)
9:16.0,B. Knight misses 3-pt shot from 27 ft,,23-31,,
9:15.0,,,23-31,,Defensive rebound by T. Evans
9:08.0,,,23-33,2,E. Moore makes 2-pt shot from 23 ft (assist by T. Evans)
8:57.0,,,23-33,,Personal foul by D. Motiejunas (drawn by A. Len)
8:57.0,Official timeout,,23-33,,
8:49.0,A. Len makes 2-pt shot from 4 ft (assist by J. Dudley),2,25-33,,
8:36.0,,,25-33,,Turnover by D. Motiejunas (bad pass; steal by L. Barbosa)
8:22.0,J. Dudley misses 2-pt shot from 6 ft (block by E. Moore),,25-33,,
8:21.0,Offensive rebound by A. Len,,25-33,,
8:16.0,P. Tucker misses 3-pt shot from 24 ft,,25-33,,
8:16.0,Offensive rebound by P. Tucker,,25-33,,
7:54.0,J. Dudley makes 2-pt shot from 12 ft (assist by L. Barbosa),2,27-33,,
7:43.0,,,27-33,,Turnover by T. Evans (bad pass)
7:33.0,Turnover by P. Tucker (bad pass; steal by E. Moore),,27-33,,
7:26.0,,,27-33,,L. Galloway misses 3-pt shot from 26 ft
