time,Utah,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: R. Gobert vs. H. Whiteside (L. Babbitt gains possession)
11:39.0,,,0-0,,H. Whiteside misses 2-pt shot from 2 ft (block by R. Gobert)
11:38.0,,,0-0,,Offensive rebound by H. Whiteside
11:36.0,,,0-2,2,H. Whiteside makes 2-pt shot from 2 ft
11:12.0,D. Favors makes 2-pt shot from 8 ft (assist by R. Hood),2,2-2,,
10:52.0,,,2-2,,J. Richardson misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by R. Hood,,2-2,,
10:39.0,Shooting foul by H. Whiteside (drawn by R. Gobert),,2-2,,
10:39.0,R. Gobert misses free throw 1 of 2,,2-2,,
10:39.0,Offensive rebound by Team,,2-2,,
10:39.0,R. Gobert makes free throw 2 of 2,1,3-2,,
10:14.0,,,3-2,,J. Winslow misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by R. Gobert,,3-2,,
10:03.0,R. Hood misses 2-pt shot from 18 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by H. Whiteside
9:56.0,,,3-2,,H. Whiteside misses 2-pt shot from 4 ft
9:55.0,,,3-2,,Offensive rebound by H. Whiteside
9:54.0,,,3-2,,Shooting foul by R. Hood (drawn by H. Whiteside)
9:54.0,,,3-2,,H. Whiteside misses free throw 1 of 2
9:54.0,,,3-2,,Offensive rebound by Team
9:54.0,,,3-2,,H. Whiteside misses free throw 2 of 2
9:53.0,Defensive rebound by D. Favors,,3-2,,
9:35.0,D. Favors makes 2-pt shot from 9 ft (assist by G. Hayward),2,5-2,,
9:23.0,,,5-2,,L. Babbitt misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by G. Hayward,,5-2,,
9:07.0,R. Hood makes 2-pt shot from 14 ft,2,7-2,,
8:48.0,,,7-4,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
8:41.0,Turnover by D. Favors (bad pass; steal by J. Richardson),,7-4,,
8:37.0,,,7-4,,L. Babbitt misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by Team,,7-4,,
8:21.0,G. Hayward misses 2-pt shot from 18 ft,,7-4,,
8:20.0,,,7-4,,Defensive rebound by L. Babbitt
8:10.0,,,7-6,2,D. Waiters makes 2-pt shot from 11 ft
7:51.0,,,7-6,,Violation by H. Whiteside (def goaltending)
