time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: N. Noel vs. H. Whiteside (L. Babbitt gains possession)
11:45.0,W. Ellington misses 3-pt shot from 27 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by R. Covington
11:27.0,,,0-0,,G. Henderson misses 2-pt shot from 10 ft
11:25.0,Defensive rebound by H. Whiteside,,0-0,,
11:14.0,G. Dragic misses 2-pt shot from 3 ft (block by R. Covington),,0-0,,
11:14.0,Offensive rebound by Team,,0-0,,
11:14.0,,,0-0,,Personal foul by N. Noel (drawn by H. Whiteside)
11:04.0,H. Whiteside misses 2-pt shot from 8 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by E. Ilyasova
10:56.0,,,0-2,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
10:36.0,R. McGruder makes 2-pt shot from 15 ft,2,2-2,,
10:31.0,,,2-2,,N. Noel misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by L. Babbitt,,2-2,,
10:15.0,H. Whiteside makes 2-pt shot from 3 ft (assist by L. Babbitt),2,4-2,,
9:58.0,,,4-4,2,N. Noel makes 2-pt shot at rim (assist by E. Ilyasova)
9:44.0,R. McGruder misses 2-pt shot from 3 ft,,4-4,,
9:42.0,,,4-4,,Defensive rebound by T. McConnell
9:36.0,,,4-7,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
9:20.0,W. Ellington misses 3-pt shot from 25 ft,,4-7,,
9:19.0,,,4-7,,Defensive rebound by Team
9:08.0,,,4-7,,Shooting foul by L. Babbitt (drawn by E. Ilyasova)
9:08.0,,,4-8,1,E. Ilyasova makes free throw 1 of 2
9:08.0,,,4-8,,E. Ilyasova misses free throw 2 of 2
9:06.0,Defensive rebound by H. Whiteside,,4-8,,
8:56.0,G. Dragic misses 2-pt shot from 17 ft,,4-8,,
8:55.0,,,4-8,,Defensive rebound by R. Covington
8:49.0,,,4-10,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
8:30.0,Turnover by G. Dragic (bad pass; steal by G. Henderson),,4-10,,
8:25.0,,,4-10,,G. Henderson misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by L. Babbitt,,4-10,,
8:20.0,Shooting foul by R. Covington (drawn by W. Ellington),,4-10,,
8:20.0,W. Ellington makes free throw 1 of 2,1,5-10,,
8:20.0,W. Ellington makes free throw 2 of 2,1,6-10,,
8:08.0,,,6-10,,R. Covington misses 2-pt shot from 4 ft (block by H. Whiteside)
8:07.0,,,6-10,,Offensive rebound by T. McConnell
8:05.0,,,6-13,3,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell)
7:49.0,H. Whiteside makes 2-pt shot from 4 ft,2,8-13,,
7:44.0,Personal foul by R. McGruder (drawn by R. Covington),,8-13,,
7:35.0,,,8-15,2,T. McConnell makes 2-pt shot from 2 ft
7:20.0,Turnover by R. McGruder (lost ball; steal by R. Covington),,8-15,,
7:17.0,,,8-15,,Shooting foul by L. Babbitt (drawn by E. Ilyasova)
7:17.0,,,8-16,1,E. Ilyasova makes free throw 1 of 2
7:17.0,,,8-16,,E. Ilyasova misses free throw 2 of 2
7:17.0,J. Johnson enters the game for L. Babbitt,,8-16,,
7:16.0,Defensive rebound by H. Whiteside,,8-16,,
7:03.0,H. Whiteside makes 2-pt shot from 6 ft (assist by J. Johnson),2,10-16,,
6:52.0,,,10-16,,R. Covington misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by G. Dragic,,10-16,,
6:47.0,W. Ellington misses 2-pt shot from 4 ft (block by G. Henderson),,10-16,,
6:46.0,Offensive rebound by R. McGruder,,10-16,,
6:46.0,,,10-16,,D. Saric enters the game for G. Henderson
6:46.0,,,10-16,,N. Stauskas enters the game for E. Ilyasova
6:31.0,Shooting foul by R. Covington (drawn by J. Johnson),,10-16,,
6:31.0,J. Johnson misses free throw 1 of 2,,10-16,,
6:31.0,Offensive rebound by Team,,10-16,,
6:31.0,J. Johnson makes free throw 2 of 2,1,11-16,,
6:31.0,,,10-16,,T. Luwawu-Cabarrot enters the game for R. Covington
6:31.0,T. Johnson enters the game for G. Dragic,,10-16,,
6:21.0,,,11-16,,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft
6:20.0,,,11-16,,Offensive rebound by N. Noel
6:18.0,,,11-16,,N. Noel misses 2-pt shot from 4 ft (block by J. Johnson)
6:16.0,Defensive rebound by R. McGruder,,11-16,,
6:12.0,Shooting foul by D. Saric (drawn by W. Ellington),,11-16,,
6:12.0,W. Ellington makes free throw 1 of 3,1,12-16,,
6:12.0,W. Ellington makes free throw 2 of 3,1,13-16,,
6:12.0,W. Ellington makes free throw 3 of 3,1,14-16,,
5:59.0,Personal foul by J. Johnson (drawn by D. Saric),,14-16,,
5:59.0,,,14-16,,Philadelphia full timeout
5:50.0,,,14-16,,D. Saric misses 2-pt shot from 2 ft (block by J. Johnson)
5:48.0,Defensive rebound by H. Whiteside,,14-16,,
5:43.0,T. Johnson misses 2-pt shot from 3 ft (block by N. Stauskas),,14-16,,
5:42.0,,,14-16,,Defensive rebound by T. Luwawu-Cabarrot
5:27.0,,,14-16,,D. Saric misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by H. Whiteside,,14-16,,
5:07.0,T. Johnson makes 2-pt shot from 5 ft (assist by W. Ellington),2,16-16,,
4:50.0,,,16-16,,N. Stauskas misses 3-pt shot from 26 ft
4:48.0,,,16-16,,Offensive rebound by N. Noel
4:44.0,,,16-19,3,D. Saric makes 3-pt shot from 25 ft (assist by N. Noel)
4:22.0,Turnover by T. Johnson (bad pass; steal by N. Noel),,16-19,,
4:15.0,,,16-19,,T. McConnell misses 2-pt shot from 17 ft
4:14.0,Defensive rebound by H. Whiteside,,16-19,,
4:01.0,H. Whiteside misses 2-pt shot from 5 ft (block by D. Saric),,16-19,,
3:58.0,,,16-19,,Defensive rebound by T. McConnell
3:54.0,,,16-19,,Shooting foul by T. Johnson (drawn by N. Stauskas)
3:54.0,,,16-20,1,N. Stauskas makes free throw 1 of 2
3:54.0,,,16-20,,N. Stauskas misses free throw 2 of 2
3:54.0,,,16-20,,R. Holmes enters the game for N. Noel
3:54.0,W. Reed enters the game for R. McGruder,,16-20,,
3:54.0,O. White enters the game for H. Whiteside,,16-20,,
3:52.0,,,16-20,,Offensive rebound by D. Saric
3:51.0,,,16-22,2,D. Saric makes 2-pt shot from 2 ft
