time,Philadelphia,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,M. Gasol misses 2-pt shot from 6 ft
12:00.0,Jump ball: M. Gasol vs. R. Holmes (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Holmes (J. Green gains possession)
11:41.0,Defensive rebound by E. Ilyasova,,0-0,,
11:32.0,R. Holmes makes 2-pt shot from 17 ft (assist by S. Rodriguez),2,2-0,,
11:20.0,,,2-0,,A. Harrison misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by G. Henderson,,2-0,,
11:12.0,S. Rodriguez misses 3-pt shot from 26 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by M. Gasol
11:07.0,,,2-2,2,T. Williams makes 2-pt shot from 1 ft (assist by A. Harrison)
10:53.0,Shooting foul by T. Allen (drawn by G. Henderson),,2-2,,
10:53.0,G. Henderson makes 2-pt shot from 3 ft (assist by E. Ilyasova),2,4-2,,
10:53.0,G. Henderson misses free throw 1 of 1,,4-2,,
10:52.0,,,4-2,,Defensive rebound by M. Gasol
10:37.0,,,4-2,,J. Green misses 2-pt shot from 6 ft
10:36.0,Defensive rebound by E. Ilyasova,,4-2,,
10:28.0,N. Stauskas makes 2-pt shot from 2 ft,2,6-2,,
10:17.0,,,6-4,2,M. Gasol makes 2-pt shot from 17 ft (assist by A. Harrison)
10:01.0,Shooting foul by T. Williams (drawn by E. Ilyasova),,6-4,,
10:01.0,E. Ilyasova makes free throw 1 of 2,1,7-4,,
10:01.0,E. Ilyasova makes free throw 2 of 2,1,8-4,,
9:46.0,,,8-4,,A. Harrison misses 2-pt shot from 23 ft
9:46.0,Defensive rebound by R. Holmes,,8-4,,
9:41.0,Offensive foul by R. Holmes,,8-4,,
9:41.0,Turnover by R. Holmes (offensive foul),,8-4,,
9:29.0,,,8-6,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
9:14.0,Turnover by S. Rodriguez (lost ball; steal by J. Green),,8-6,,
9:10.0,,,8-6,,Shooting foul by S. Rodriguez (drawn by J. Green)
9:10.0,,,8-6,,J. Green misses free throw 1 of 2
9:10.0,,,8-6,,Offensive rebound by Team
9:10.0,,,8-7,1,J. Green makes free throw 2 of 2
8:56.0,S. Rodriguez misses 2-pt shot from 17 ft,,8-7,,
8:55.0,Offensive rebound by R. Holmes,,8-7,,
8:50.0,S. Rodriguez misses 2-pt shot from 5 ft,,8-7,,
8:48.0,,,8-7,,Defensive rebound by T. Allen
8:37.0,,,8-7,,T. Allen misses 2-pt shot from 4 ft (block by N. Stauskas)
8:37.0,Defensive rebound by G. Henderson,,8-7,,
8:28.0,E. Ilyasova misses 2-pt shot from 16 ft,,8-7,,
8:26.0,,,8-7,,Defensive rebound by M. Gasol
8:18.0,,,8-7,,A. Harrison misses 2-pt shot from 2 ft (block by R. Holmes)
8:18.0,,,8-7,,Offensive rebound by Team
8:04.0,,,8-9,2,M. Gasol makes 2-pt shot from 4 ft
7:48.0,E. Ilyasova misses 3-pt shot from 24 ft,,8-9,,
7:48.0,,,8-9,,Defensive rebound by M. Gasol
7:38.0,,,8-11,2,A. Harrison makes 2-pt shot from 1 ft
7:38.0,Philadelphia full timeout,,8-11,,
7:38.0,T. McConnell enters the game for E. Ilyasova,,8-11,,
7:38.0,D. Saric enters the game for S. Rodriguez,,8-11,,
7:30.0,Shooting foul by J. Green (drawn by D. Saric),,8-11,,
7:30.0,D. Saric makes free throw 1 of 2,1,9-11,,
7:30.0,D. Saric makes free throw 2 of 2,1,10-11,,
7:17.0,,,10-13,2,M. Gasol makes 2-pt shot at rim (assist by J. Green)
7:07.0,,,10-13,,Personal foul by T. Williams (drawn by G. Henderson)
7:07.0,,,10-13,,T. Daniels enters the game for T. Williams
6:58.0,Turnover by R. Holmes (lost ball; steal by T. Allen),,10-13,,
6:47.0,,,10-13,,J. Green misses 2-pt shot at rim (block by R. Holmes)
6:45.0,Defensive rebound by N. Stauskas,,10-13,,
6:42.0,,,10-13,,Violation by J. Green (kicked ball)
6:27.0,Turnover by G. Henderson (lost ball; steal by T. Allen),,10-13,,
6:24.0,,,10-13,,Shooting foul by T. McConnell (drawn by J. Green)
6:24.0,,,10-14,1,J. Green makes free throw 1 of 2
6:24.0,,,10-15,1,J. Green makes free throw 2 of 2
6:14.0,Turnover by T. McConnell (bad pass; steal by A. Harrison),,10-15,,
6:10.0,,,10-15,,T. Allen misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by T. McConnell,,10-15,,
6:01.0,D. Saric misses 2-pt shot from 17 ft,,10-15,,
5:59.0,,,10-15,,Defensive rebound by J. Green
5:50.0,,,10-15,,Shooting foul by D. Saric (drawn by M. Gasol)
5:50.0,,,10-15,,M. Gasol misses free throw 1 of 2
5:50.0,,,10-15,,Offensive rebound by Team
5:50.0,,,10-16,1,M. Gasol makes free throw 2 of 2
5:50.0,H. Thompson enters the game for R. Holmes,,10-15,,
5:50.0,E. Ilyasova enters the game for G. Henderson,,10-15,,
5:50.0,,,10-15,,Z. Randolph enters the game for T. Allen
5:50.0,,,10-15,,J. Martin enters the game for J. Green
5:30.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,13-16,,
5:06.0,,,13-16,,A. Harrison misses 3-pt shot from 23 ft
5:06.0,,,13-16,,Offensive rebound by Team
5:06.0,Loose ball foul by D. Saric (drawn by Z. Randolph),,13-16,,
4:51.0,,,13-18,2,Z. Randolph makes 2-pt shot from 1 ft (assist by A. Harrison)
4:36.0,E. Ilyasova misses 3-pt shot from 25 ft,,13-18,,
4:35.0,,,13-18,,Defensive rebound by A. Harrison
4:30.0,,,13-18,,T. Daniels misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by E. Ilyasova,,13-18,,
4:11.0,E. Ilyasova misses 3-pt shot from 25 ft,,13-18,,
4:10.0,,,13-18,,Defensive rebound by J. Martin
3:51.0,,,13-18,,A. Harrison misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by N. Stauskas,,13-18,,
3:43.0,N. Stauskas misses 3-pt shot from 25 ft,,13-18,,
3:41.0,,,13-18,,Defensive rebound by M. Gasol
3:32.0,,,13-21,3,J. Martin makes 3-pt shot from 23 ft (assist by M. Gasol)
3:19.0,Offensive charge foul by H. Thompson,,13-21,,
3:19.0,Turnover by H. Thompson (offensive foul),,13-21,,
3:19.0,,,13-21,,W. Baldwin enters the game for M. Gasol
3:19.0,,,13-21,,T. Williams enters the game for A. Harrison
3:19.0,R. Holmes enters the game for N. Stauskas,,13-21,,
3:19.0,T. Luwawu-Cabarrot enters the game for D. Saric,,13-21,,
3:03.0,,,13-21,,Z. Randolph misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by E. Ilyasova,,13-21,,
2:50.0,H. Thompson makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,16-21,,
2:29.0,,,16-21,,Z. Randolph misses 2-pt shot from 7 ft (block by R. Holmes)
2:29.0,Defensive rebound by E. Ilyasova,,16-21,,
2:16.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,18-21,,
2:09.0,,,18-21,,Memphis full timeout
1:51.0,,,18-24,3,T. Daniels makes 3-pt shot from 31 ft
1:38.0,R. Holmes misses 3-pt shot from 26 ft,,18-24,,
1:38.0,,,18-24,,Defensive rebound by J. Martin
1:33.0,,,18-24,,Shooting foul by T. McConnell (drawn by W. Baldwin)
1:33.0,,,18-25,1,W. Baldwin makes free throw 1 of 2
1:33.0,,,18-26,1,W. Baldwin makes free throw 2 of 2
1:33.0,S. Rodriguez enters the game for T. McConnell,,18-25,,
1:21.0,,,18-26,,Personal foul by W. Baldwin (drawn by T. Luwawu-Cabarrot)
1:21.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,18-26,,
1:21.0,Offensive rebound by Team,,18-26,,
1:21.0,T. Luwawu-Cabarrot misses free throw 2 of 2,,18-26,,
1:20.0,,,18-26,,Defensive rebound by Z. Randolph
1:03.0,,,18-26,,Z. Randolph misses 2-pt shot from 17 ft
1:02.0,Defensive rebound by S. Rodriguez,,18-26,,
0:52.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,20-26,,
0:43.0,,,20-28,2,W. Baldwin makes 2-pt shot from 11 ft
0:28.0,H. Thompson misses 2-pt shot from 11 ft,,20-28,,
0:27.0,Offensive rebound by Team,,20-28,,
0:14.0,Turnover by E. Ilyasova (bad pass; steal by T. Williams),,20-28,,
0:08.0,,,20-28,,T. Daniels misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by S. Rodriguez,,20-28,,
0:01.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,20-28,,
0:01.0,Offensive charge foul by T. Luwawu-Cabarrot,,20-28,,
0:00.0,,,20-28,,T. Daniels misses 3-pt shot from 44 ft
0:00.0,,,20-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,R. Holmes misses 2-pt shot from 7 ft,,20-28,,
11:35.0,,,20-28,,Defensive rebound by Z. Randolph
11:18.0,,,20-30,2,T. Daniels makes 2-pt shot from 23 ft (assist by W. Baldwin)
10:53.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,20-30,,
10:53.0,,,20-30,,Defensive rebound by W. Baldwin
10:41.0,Personal foul by R. Holmes (drawn by Z. Randolph),,20-30,,
10:41.0,N. Stauskas enters the game for H. Thompson,,20-30,,
10:41.0,D. Saric enters the game for R. Holmes,,20-30,,
10:33.0,,,20-30,,T. Daniels misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by E. Ilyasova,,20-30,,
10:24.0,E. Ilyasova misses 3-pt shot from 25 ft,,20-30,,
10:22.0,Offensive rebound by D. Saric,,20-30,,
10:10.0,E. Ilyasova makes 3-pt shot from 27 ft (assist by S. Rodriguez),3,23-30,,
9:50.0,,,23-32,2,T. Williams makes 2-pt shot from 1 ft
9:31.0,D. Saric makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,26-32,,
9:17.0,Personal foul by S. Rodriguez (drawn by W. Baldwin),,26-32,,
9:17.0,G. Henderson enters the game for T. Luwawu-Cabarrot,,26-32,,
9:05.0,,,26-32,,Z. Randolph misses 2-pt shot from 12 ft
9:05.0,Defensive rebound by E. Ilyasova,,26-32,,
9:01.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,26-32,,
9:01.0,N. Stauskas misses free throw 1 of 2,,26-32,,
9:01.0,Offensive rebound by Team,,26-32,,
9:01.0,N. Stauskas misses free throw 2 of 2,,26-32,,
9:01.0,,,26-32,,J. Green enters the game for Z. Randolph
8:57.0,,,26-32,,Defensive rebound by J. Green
8:45.0,,,26-32,,T. Williams misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by S. Rodriguez,,26-32,,
8:38.0,Turnover by D. Saric (bad pass),,26-32,,
8:38.0,,,26-32,,Memphis full timeout
8:23.0,,,26-32,,Turnover by J. Green (traveling)
8:13.0,Shooting foul by T. Daniels (drawn by N. Stauskas),,26-32,,
8:13.0,N. Stauskas makes free throw 1 of 2,1,27-32,,
8:13.0,N. Stauskas makes free throw 2 of 2,1,28-32,,
8:13.0,,,27-32,,M. Gasol enters the game for J. Martin
7:46.0,,,28-32,,W. Baldwin misses 3-pt shot from 23 ft
7:46.0,,,28-32,,Offensive rebound by Team
7:42.0,,,28-32,,T. Daniels misses 2-pt shot from 16 ft
7:42.0,,,28-32,,Offensive rebound by T. Williams
7:33.0,,,28-32,,W. Baldwin misses 2-pt shot at rim
7:31.0,,,28-32,,Offensive rebound by J. Green
7:26.0,,,28-32,,Shooting foul by D. Saric (drawn by W. Baldwin)
7:26.0,,,28-33,1,W. Baldwin makes free throw 1 of 2
7:26.0,,,28-34,1,W. Baldwin makes free throw 2 of 2
7:26.0,,,28-33,,T. Allen enters the game for T. Williams
7:26.0,,,28-33,,T. Douglas enters the game for T. Daniels
7:26.0,R. Holmes enters the game for D. Saric,,28-33,,
7:26.0,T. McConnell enters the game for S. Rodriguez,,28-33,,
7:07.0,Shooting foul by W. Baldwin (drawn by E. Ilyasova),,28-34,,
7:07.0,E. Ilyasova makes free throw 1 of 2,1,29-34,,
7:07.0,E. Ilyasova misses free throw 2 of 2,,29-34,,
7:05.0,,,29-34,,Defensive rebound by M. Gasol
6:51.0,,,29-34,,W. Baldwin misses 2-pt shot from 22 ft
6:51.0,Defensive rebound by R. Holmes,,29-34,,
6:38.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell),3,32-34,,
6:15.0,,,32-34,,T. Douglas misses 2-pt shot from 2 ft (block by E. Ilyasova)
6:15.0,Defensive rebound by G. Henderson,,32-34,,
6:15.0,Philadelphia full timeout,,32-34,,
6:15.0,,,32-34,,A. Harrison enters the game for W. Baldwin
6:15.0,H. Thompson enters the game for E. Ilyasova,,32-34,,
6:02.0,G. Henderson misses 2-pt shot from 18 ft,,32-34,,
6:01.0,,,32-34,,Defensive rebound by M. Gasol
5:45.0,,,32-34,,M. Gasol misses 2-pt shot from 13 ft
5:44.0,Defensive rebound by H. Thompson,,32-34,,
5:34.0,,,32-34,,Personal foul by J. Green (drawn by G. Henderson)
5:20.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,34-34,,
5:01.0,,,34-34,,M. Gasol misses 2-pt shot from 7 ft
4:59.0,,,34-34,,Offensive rebound by T. Douglas
4:51.0,,,34-34,,Turnover by M. Gasol (lost ball; steal by T. McConnell)
4:45.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,36-34,,
4:44.0,,,36-34,,Memphis full timeout
4:44.0,E. Ilyasova enters the game for G. Henderson,,36-34,,
4:29.0,,,36-36,2,M. Gasol makes 2-pt shot from 10 ft (assist by J. Green)
4:16.0,N. Stauskas misses 3-pt shot from 25 ft,,36-36,,
4:16.0,,,36-36,,Defensive rebound by T. Allen
3:58.0,,,36-36,,T. Douglas misses 3-pt shot from 27 ft
3:57.0,Defensive rebound by E. Ilyasova,,36-36,,
3:47.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,38-36,,
3:25.0,,,38-36,,Offensive foul by A. Harrison
3:25.0,,,38-36,,Turnover by A. Harrison (offensive foul)
3:06.0,T. McConnell misses 2-pt shot from 1 ft,,38-36,,
3:06.0,,,38-36,,Defensive rebound by T. Douglas
2:59.0,,,38-38,2,T. Allen makes 2-pt shot from 2 ft (assist by T. Douglas)
2:45.0,Turnover by T. McConnell (bad pass; steal by J. Green),,38-38,,
2:41.0,,,38-40,2,T. Douglas makes 2-pt shot from 1 ft (assist by J. Green)
2:17.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell),3,41-40,,
2:03.0,,,41-40,,Shooting foul by E. Ilyasova (drawn by M. Gasol)
2:03.0,,,41-40,,M. Gasol misses free throw 1 of 2
2:03.0,,,41-40,,Offensive rebound by Team
2:03.0,,,41-41,1,M. Gasol makes free throw 2 of 2
2:03.0,S. Rodriguez enters the game for T. McConnell,,41-40,,
2:03.0,,,41-40,,T. Daniels enters the game for T. Douglas
1:42.0,N. Stauskas misses 3-pt shot from 25 ft,,41-41,,
1:42.0,,,41-41,,Defensive rebound by M. Gasol
1:32.0,,,41-43,2,M. Gasol makes 2-pt shot at rim (assist by A. Harrison)
1:26.0,Philadelphia full timeout,,41-43,,
1:26.0,T. Luwawu-Cabarrot enters the game for E. Ilyasova,,41-43,,
1:12.0,N. Stauskas misses 3-pt shot from 25 ft,,41-43,,
1:11.0,,,41-43,,Defensive rebound by A. Harrison
1:03.0,,,41-43,,T. Daniels misses 2-pt shot from 16 ft
