time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:33.0,,,0-0,,J. Smith misses 3-pt shot from 28 ft
12:00.0,Jump ball: M. Gortat vs. T. Thompson (L. James gains possession),,,,Jump ball: M. Gortat vs. T. Thompson (L. James gains possession)
11:32.0,Defensive rebound by O. Porter,,0-0,,
11:14.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,2-0,,
10:54.0,,,2-2,2,L. James makes 2-pt shot at rim (assist by T. Thompson)
10:38.0,M. Gortat misses 2-pt shot from 10 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by Team
10:26.0,,,2-4,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
10:18.0,J. Wall makes 2-pt shot from 15 ft,2,4-4,,
10:00.0,,,4-6,2,K. Irving makes 2-pt shot from 16 ft
9:46.0,Turnover by J. Wall (bad pass; steal by K. Love),,4-6,,
9:41.0,,,4-6,,Turnover by L. James (lost ball; steal by J. Wall)
9:33.0,J. Wall makes 3-pt shot from 24 ft,3,7-6,,
9:22.0,,,7-8,2,K. Irving makes 2-pt shot from 18 ft
9:08.0,O. Porter misses 3-pt shot from 24 ft,,7-8,,
9:06.0,,,7-8,,Defensive rebound by K. Love
8:55.0,,,7-8,,L. James misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by O. Porter,,7-8,,
8:48.0,J. Wall makes 2-pt shot at rim,2,9-8,,
8:36.0,,,9-8,,K. Irving misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by M. Gortat,,9-8,,
8:26.0,J. Wall makes 3-pt shot from 25 ft,3,12-8,,
8:26.0,,,12-8,,Cleveland full timeout
8:08.0,,,12-8,,Shooting foul by O. Porter (drawn by K. Love)
8:08.0,,,12-9,1,K. Love makes free throw 1 of 2
8:08.0,,,12-10,1,K. Love makes free throw 2 of 2
7:58.0,Turnover by J. Wall (bad pass; steal by T. Thompson),,12-10,,
7:52.0,,,12-12,2,L. James makes 2-pt shot at rim (assist by J. Smith)
7:41.0,B. Beal misses 2-pt shot from 2 ft,,12-12,,
7:40.0,Offensive rebound by O. Porter,,12-12,,
7:34.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,15-12,,
7:19.0,,,15-12,,K. Love misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by J. Wall,,15-12,,
7:02.0,J. Wall makes 2-pt shot from 20 ft,2,17-12,,
6:45.0,,,17-12,,K. Love misses 2-pt shot from 13 ft
6:43.0,,,17-12,,Offensive rebound by T. Thompson
6:40.0,,,17-15,3,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson)
6:26.0,B. Beal makes 2-pt shot from 23 ft (assist by J. Wall),2,19-15,,
6:09.0,,,19-15,,J. Smith misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by M. Morris,,19-15,,
5:56.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,21-15,,
5:45.0,,,21-15,,K. Irving misses 2-pt shot from 16 ft
5:43.0,Defensive rebound by O. Porter,,21-15,,
5:34.0,J. Wall makes 2-pt shot from 18 ft,2,23-15,,
5:20.0,,,23-15,,L. James misses 2-pt shot from 1 ft
5:18.0,,,23-15,,Offensive rebound by Team
5:18.0,J. Smith enters the game for M. Morris,,23-15,,
4:57.0,,,23-18,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
4:36.0,B. Beal makes 2-pt shot from 6 ft (assist by M. Gortat),2,25-18,,
4:18.0,,,25-18,,K. Irving misses 3-pt shot from 24 ft
4:17.0,,,25-18,,Offensive rebound by T. Thompson
4:15.0,,,25-18,,Turnover by T. Thompson (lost ball; steal by O. Porter)
4:15.0,,,25-18,,Personal foul by T. Thompson (drawn by O. Porter)
4:15.0,I. Mahinmi enters the game for M. Gortat,,25-18,,
3:55.0,O. Porter makes 2-pt shot at rim (assist by B. Beal),2,27-18,,
3:38.0,,,27-18,,L. James misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by Team,,27-18,,
3:21.0,B. Beal makes 2-pt shot from 16 ft,2,29-18,,
3:05.0,,,29-18,,Shooting foul by J. Smith (drawn by L. James)
3:05.0,,,29-18,,L. James misses free throw 1 of 2
3:05.0,,,29-18,,Offensive rebound by Team
3:05.0,,,29-19,1,L. James makes free throw 2 of 2
3:05.0,K. Oubre enters the game for O. Porter,,29-18,,
2:50.0,B. Beal misses 3-pt shot from 26 ft,,29-19,,
2:50.0,,,29-19,,Defensive rebound by Team
2:50.0,Washington full timeout,,29-19,,
2:50.0,B. Jennings enters the game for B. Beal,,29-19,,
2:50.0,,,29-19,,R. Jefferson enters the game for L. James
2:33.0,,,29-21,2,K. Love makes 2-pt shot from 17 ft (assist by J. Smith)
2:22.0,J. Smith makes 2-pt shot from 19 ft (assist by J. Wall),2,31-21,,
2:10.0,Personal foul by K. Oubre (drawn by K. Irving),,31-21,,
2:10.0,,,31-21,,K. Korver enters the game for J. Smith
2:05.0,,,31-21,,Turnover by T. Thompson (bad pass; steal by I. Mahinmi)
1:54.0,J. Wall makes 2-pt shot from 1 ft,2,33-21,,
1:33.0,,,33-23,2,T. Thompson makes 2-pt shot at rim
1:08.0,J. Wall makes 2-pt shot from 19 ft,2,35-23,,
0:51.0,,,35-23,,K. Irving misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by I. Mahinmi,,35-23,,
0:46.0,K. Oubre makes 2-pt shot at rim (assist by J. Wall),2,37-23,,
0:46.0,Shooting foul by K. Korver (drawn by K. Oubre),,37-23,,
0:46.0,K. Oubre misses free throw 1 of 1,,37-23,,
0:46.0,,,37-23,,D. Williams enters the game for T. Thompson
0:45.0,Offensive rebound by J. Smith,,37-23,,
0:42.0,Turnover by J. Smith (lost ball; steal by R. Jefferson),,37-23,,
0:31.0,,,37-26,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Williams)
0:07.0,J. Smith makes 3-pt shot from 26 ft (assist by B. Jennings),3,40-26,,
0:00.0,,,40-26,,K. Irving misses 3-pt shot from 28 ft
0:00.0,,,40-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Smith makes 3-pt shot from 25 ft (assist by B. Jennings),3,43-26,,
11:27.0,,,43-28,2,L. James makes 2-pt shot at rim
11:16.0,B. Beal misses 2-pt shot from 20 ft,,43-28,,
11:16.0,,,43-28,,Defensive rebound by L. James
11:10.0,,,43-28,,K. Korver misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by B. Beal,,43-28,,
11:04.0,Shooting foul by R. Jefferson (drawn by B. Beal),,43-28,,
11:04.0,B. Beal makes free throw 1 of 2,1,44-28,,
11:04.0,B. Beal makes free throw 2 of 2,1,45-28,,
10:48.0,,,45-31,3,D. Williams makes 3-pt shot from 25 ft (assist by L. James)
10:41.0,Shooting foul by D. Williams (drawn by B. Jennings),,45-31,,
10:41.0,B. Jennings makes free throw 1 of 2,1,46-31,,
10:41.0,B. Jennings misses free throw 2 of 2,,46-31,,
10:40.0,,,46-31,,Defensive rebound by L. James
10:23.0,,,46-31,,K. Korver misses 3-pt shot from 27 ft
10:23.0,Defensive rebound by K. Oubre,,46-31,,
10:15.0,B. Jennings misses 3-pt shot from 25 ft,,46-31,,
10:13.0,,,46-31,,Defensive rebound by C. Frye
10:03.0,,,46-31,,Shooting foul by I. Mahinmi (drawn by R. Jefferson)
10:03.0,,,46-32,1,R. Jefferson makes free throw 1 of 2
10:03.0,,,46-33,1,R. Jefferson makes free throw 2 of 2
10:03.0,M. Morris enters the game for J. Smith,,46-32,,
9:54.0,B. Beal misses 2-pt shot from 2 ft (block by C. Frye),,46-33,,
9:53.0,,,46-33,,Defensive rebound by R. Jefferson
9:42.0,,,46-33,,L. James misses 2-pt shot at rim
9:40.0,Defensive rebound by B. Jennings,,46-33,,
9:36.0,K. Oubre makes 2-pt shot from 2 ft (assist by B. Jennings),2,48-33,,
9:26.0,,,48-33,,Turnover by D. Williams (bad pass)
9:19.0,Washington full timeout,,48-33,,
9:04.0,B. Beal makes 2-pt shot from 13 ft,2,50-33,,
8:48.0,,,50-35,2,C. Frye makes 2-pt shot at rim (assist by L. James)
8:34.0,Offensive foul by I. Mahinmi,,50-35,,
8:34.0,Turnover by I. Mahinmi (offensive foul),,50-35,,
8:16.0,,,50-37,2,L. James makes 2-pt shot from 1 ft (assist by D. Williams)
8:03.0,M. Morris makes 2-pt shot from 16 ft (assist by B. Beal),2,52-37,,
7:45.0,,,52-39,2,D. Williams makes 2-pt shot from 2 ft (assist by R. Jefferson)
7:35.0,Turnover by M. Morris (bad pass; steal by D. Williams),,52-39,,
7:26.0,,,52-42,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
7:26.0,Washington full timeout,,52-42,,
7:26.0,M. Gortat enters the game for I. Mahinmi,,52-42,,
7:26.0,J. Wall enters the game for B. Jennings,,52-42,,
7:12.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,54-42,,
6:47.0,,,54-42,,K. Korver misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by M. Morris,,54-42,,
6:35.0,M. Morris misses 2-pt shot from 2 ft (block by L. James),,54-42,,
6:34.0,,,54-42,,Defensive rebound by C. Frye
6:23.0,,,54-45,3,C. Frye makes 3-pt shot from 24 ft (assist by R. Jefferson)
6:03.0,M. Morris makes 2-pt shot from 19 ft,2,56-45,,
5:41.0,Personal foul by K. Oubre (drawn by D. Williams),,56-45,,
5:41.0,Official timeout,,56-45,,
5:41.0,O. Porter enters the game for K. Oubre,,56-45,,
5:41.0,,,56-45,,K. Love enters the game for R. Jefferson
