time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (E. Payton gains possession)
11:43.0,E. Payton misses 2-pt shot from 9 ft,,0-0,,
11:41.0,Offensive rebound by A. Gordon,,0-0,,
11:41.0,A. Gordon misses 2-pt shot at rim,,0-0,,
11:34.0,,,0-0,,Defensive rebound by K. Love
11:24.0,,,0-2,2,K. Irving makes 2-pt shot from 21 ft
11:08.0,A. Gordon misses 2-pt shot from 1 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by K. Love
10:59.0,,,0-5,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:45.0,T. Ross misses 2-pt shot from 16 ft,,0-5,,
10:45.0,,,0-5,,Defensive rebound by K. Love
10:43.0,Clear path foul by A. Gordon,,0-5,,
10:43.0,,,0-5,,L. James misses clear path free throw 1 of 2
10:43.0,,,0-5,,Offensive rebound by Team
10:43.0,,,0-6,1,L. James makes clear path free throw 2 of 2
10:37.0,,,0-6,,K. Love misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by N. Vucevic,,0-6,,
10:24.0,E. Fournier makes 2-pt shot from 5 ft,2,2-6,,
10:11.0,,,2-9,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
9:56.0,T. Ross makes 2-pt shot from 17 ft (assist by N. Vucevic),2,4-9,,
9:39.0,,,4-9,,Turnover by K. Love (bad pass; steal by N. Vucevic)
9:32.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,7-9,,
9:14.0,,,7-9,,Turnover by L. James (bad pass; steal by E. Fournier)
9:06.0,A. Gordon misses 2-pt shot from 16 ft,,7-9,,
9:06.0,,,7-9,,Defensive rebound by J. Smith
8:58.0,,,7-9,,K. Love misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by T. Ross,,7-9,,
8:51.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Ross),3,10-9,,
8:51.0,,,10-9,,Cleveland full timeout
8:37.0,,,10-9,,K. Irving misses 2-pt shot from 3 ft
8:35.0,Defensive rebound by N. Vucevic,,10-9,,
8:30.0,T. Ross makes 2-pt shot from 15 ft (assist by E. Payton),2,12-9,,
8:11.0,,,12-9,,T. Thompson misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by N. Vucevic,,12-9,,
7:55.0,N. Vucevic misses 2-pt shot from 6 ft,,12-9,,
7:55.0,Offensive rebound by Team,,12-9,,
7:46.0,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic),3,15-9,,
7:28.0,,,15-9,,L. James misses 2-pt shot from 4 ft (block by N. Vucevic)
7:28.0,Defensive rebound by Team,,15-9,,
7:11.0,E. Fournier misses 3-pt shot from 25 ft,,15-9,,
7:11.0,,,15-9,,Defensive rebound by L. James
7:00.0,,,15-11,2,J. Smith makes 2-pt shot from 1 ft
