time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Turner (G. Antetokounmpo gains possession),,,,Jump ball: M. Plumlee vs. M. Turner (G. Antetokounmpo gains possession)
11:42.0,,,0-0,,Turnover by M. Dellavedova (bad pass; steal by M. Turner)
11:32.0,J. Teague makes 3-pt shot from 27 ft (assist by P. George),3,3-0,,
11:17.0,,,3-0,,J. Parker misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by J. Teague,,3-0,,
11:12.0,,,3-0,,Shooting block foul by M. Plumlee (drawn by J. Teague)
11:12.0,J. Teague makes free throw 1 of 2,1,4-0,,
11:12.0,J. Teague makes free throw 2 of 2,1,5-0,,
11:04.0,,,5-0,,Offensive foul by G. Antetokounmpo
11:04.0,,,5-0,,Turnover by G. Antetokounmpo (offensive foul)
10:49.0,Turnover by P. George (bad pass),,5-0,,
10:30.0,,,5-2,2,J. Parker makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
10:15.0,P. George makes 2-pt shot from 1 ft (assist by J. Teague),2,7-2,,
9:56.0,,,7-2,,G. Antetokounmpo misses 3-pt shot from 27 ft
9:55.0,,,7-2,,Offensive rebound by J. Parker
9:50.0,,,7-4,2,T. Snell makes 2-pt shot at rim
9:39.0,Turnover by P. George (bad pass; steal by M. Plumlee),,7-4,,
9:34.0,,,7-6,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
9:17.0,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague),2,9-6,,
8:56.0,,,9-8,2,T. Snell makes 2-pt shot from 21 ft (assist by G. Antetokounmpo)
8:32.0,Turnover by P. George (3 sec),,9-8,,
8:18.0,,,9-8,,Turnover by M. Plumlee (bad pass; steal by M. Turner)
8:14.0,Turnover by T. Young (lost ball; steal by G. Antetokounmpo),,9-8,,
8:06.0,,,9-11,3,J. Parker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
7:43.0,M. Turner makes 2-pt shot from 4 ft,2,11-11,,
7:30.0,,,11-11,,Turnover by M. Dellavedova (bad pass; steal by P. George)
7:23.0,P. George makes 2-pt shot from 15 ft,2,13-11,,
7:05.0,,,13-13,2,T. Snell makes 2-pt shot from 18 ft (assist by M. Plumlee)
6:54.0,T. Young makes 2-pt shot from 4 ft (assist by J. Teague),2,15-13,,
6:40.0,,,15-13,,T. Snell misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by T. Young,,15-13,,
6:26.0,,,15-13,,Personal foul by M. Plumlee (drawn by P. George)
6:26.0,,,15-13,,G. Monroe enters the game for M. Plumlee
6:26.0,,,15-13,,M. Teletovic enters the game for G. Antetokounmpo
6:18.0,M. Turner misses 3-pt shot from 24 ft,,15-13,,
6:16.0,,,15-13,,Defensive rebound by G. Monroe
6:07.0,,,15-15,2,G. Monroe makes 2-pt shot from 2 ft
5:42.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,18-15,,
5:40.0,,,18-15,,Milwaukee full timeout
5:40.0,,,18-15,,J. Terry enters the game for T. Snell
5:40.0,,,18-15,,M. Brogdon enters the game for M. Dellavedova
5:40.0,C. Miles enters the game for M. Turner,,18-15,,
5:40.0,A. Jefferson enters the game for M. Ellis,,18-15,,
5:24.0,,,18-15,,M. Teletovic misses 3-pt shot from 23 ft
5:23.0,,,18-15,,Offensive rebound by G. Monroe
5:18.0,,,18-15,,Turnover by J. Parker (bad pass; steal by T. Young)
5:10.0,P. George misses 2-pt shot from 1 ft (block by J. Parker),,18-15,,
5:06.0,Offensive rebound by A. Jefferson,,18-15,,
4:56.0,J. Teague makes 2-pt shot from 1 ft,2,20-15,,
4:39.0,,,20-18,3,J. Terry makes 3-pt shot from 26 ft (assist by M. Brogdon)
4:13.0,T. Young makes 2-pt shot from 16 ft (assist by C. Miles),2,22-18,,
3:56.0,,,22-18,,J. Parker misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by A. Jefferson,,22-18,,
3:46.0,C. Miles misses 3-pt shot from 25 ft,,22-18,,
3:44.0,,,22-18,,Defensive rebound by G. Monroe
3:36.0,,,22-18,,Turnover by G. Monroe (lost ball; steal by P. George)
3:33.0,Turnover by P. George (bad pass),,22-18,,
3:33.0,L. Allen enters the game for T. Young,,22-18,,
3:33.0,,,22-18,,G. Antetokounmpo enters the game for J. Parker
3:17.0,,,22-18,,G. Antetokounmpo misses 2-pt shot from 10 ft
3:16.0,,,22-18,,Offensive rebound by G. Monroe
3:14.0,,,22-20,2,G. Monroe makes 2-pt shot from 1 ft
3:00.0,A. Jefferson misses 2-pt shot from 8 ft,,22-20,,
2:59.0,,,22-20,,Defensive rebound by G. Monroe
2:52.0,,,22-20,,M. Brogdon misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by L. Allen,,22-20,,
2:37.0,L. Allen misses 2-pt shot from 18 ft,,22-20,,
2:36.0,,,22-20,,Defensive rebound by G. Monroe
2:17.0,,,22-22,2,J. Terry makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
2:10.0,Indiana full timeout,,22-22,,
2:10.0,G. Robinson enters the game for P. George,,22-22,,
2:10.0,A. Brooks enters the game for J. Teague,,22-22,,
2:02.0,Shooting foul by J. Terry (drawn by C. Miles),,22-22,,
2:02.0,C. Miles makes free throw 1 of 2,1,23-22,,
2:02.0,C. Miles makes free throw 2 of 2,1,24-22,,
1:46.0,,,24-22,,Turnover by G. Antetokounmpo (lost ball; steal by C. Miles)
1:34.0,C. Miles makes 2-pt shot from 1 ft (assist by L. Allen),2,26-22,,
1:18.0,,,26-25,3,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Monroe)
0:54.0,Shooting foul by M. Teletovic (drawn by A. Jefferson),,26-25,,
0:54.0,A. Jefferson misses free throw 1 of 2,,26-25,,
0:54.0,Offensive rebound by Team,,26-25,,
0:54.0,A. Jefferson makes free throw 2 of 2,1,27-25,,
0:47.0,Personal foul by C. Miles (drawn by M. Brogdon),,27-25,,
0:41.0,,,27-25,,G. Monroe misses 2-pt shot from 1 ft
0:39.0,,,27-25,,Offensive rebound by G. Monroe
0:39.0,,,27-25,,G. Monroe misses 2-pt shot from 1 ft
0:37.0,,,27-25,,Offensive rebound by G. Monroe
0:32.0,,,27-27,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
0:12.0,A. Brooks makes 3-pt shot from 29 ft,3,30-27,,
0:04.0,,,30-27,,Shooting foul by G. Robinson (drawn by G. Antetokounmpo)
0:04.0,,,30-28,1,G. Antetokounmpo makes free throw 1 of 2
0:04.0,,,30-29,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,A. Jefferson misses 3-pt shot from 26 ft,,30-29,,
0:00.0,Offensive rebound by Team,,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by A. Brooks (bad pass; steal by M. Brogdon),,30-29,,
11:43.0,,,30-31,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
11:33.0,A. Brooks makes 2-pt shot from 1 ft,2,32-31,,
11:17.0,,,32-33,2,M. Beasley makes 2-pt shot from 1 ft (assist by G. Monroe)
10:56.0,Shooting foul by M. Beasley (drawn by C. Miles),,32-33,,
10:56.0,C. Miles makes free throw 1 of 2,1,33-33,,
10:56.0,C. Miles makes free throw 2 of 2,1,34-33,,
10:46.0,,,34-33,,J. Terry misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by A. Jefferson,,34-33,,
10:34.0,C. Miles misses 2-pt shot from 20 ft,,34-33,,
10:33.0,,,34-33,,Defensive rebound by M. Brogdon
10:30.0,,,34-35,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
10:19.0,Shooting foul by J. Terry (drawn by C. Miles),,34-35,,
10:19.0,,,34-35,,Violation by Team (jump ball)
10:19.0,C. Miles makes free throw 1 of 2,1,35-35,,
10:19.0,C. Miles misses free throw 2 of 2,,35-35,,
10:19.0,M. Turner enters the game for A. Jefferson,,35-35,,
10:19.0,,,35-35,,T. Snell enters the game for J. Terry
10:17.0,,,35-35,,Defensive rebound by G. Monroe
10:09.0,,,35-35,,Shooting foul by M. Turner (drawn by M. Brogdon)
10:09.0,,,35-36,1,M. Brogdon makes free throw 1 of 2
10:09.0,,,35-37,1,M. Brogdon makes free throw 2 of 2
10:09.0,M. Ellis enters the game for C. Miles,,35-35,,
10:00.0,A. Brooks makes 3-pt shot from 24 ft (assist by M. Ellis),3,38-37,,
9:44.0,,,38-39,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:44.0,,,38-39,,Shooting foul by M. Turner (drawn by G. Monroe)
9:44.0,,,38-40,1,G. Monroe makes free throw 1 of 1
9:31.0,Turnover by A. Brooks (bad pass; steal by G. Antetokounmpo),,38-40,,
9:29.0,Personal foul by A. Brooks (drawn by G. Antetokounmpo),,38-40,,
9:19.0,,,38-42,2,M. Brogdon makes 2-pt shot from 1 ft
9:00.0,M. Ellis makes 2-pt shot from 2 ft (assist by A. Brooks),2,40-42,,
8:38.0,Official timeout,,40-42,,
8:38.0,P. George enters the game for L. Allen,,40-42,,
8:38.0,T. Young enters the game for G. Robinson,,40-42,,
8:36.0,Jump ball: G. Antetokounmpo vs. M. Turner (M. Brogdon gains possession),,,,Jump ball: G. Antetokounmpo vs. M. Turner (M. Brogdon gains possession)
8:29.0,,,40-42,,T. Snell misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by P. George,,40-42,,
8:11.0,M. Turner misses 2-pt shot from 1 ft,,40-42,,
8:08.0,,,40-42,,Defensive rebound by M. Beasley
8:05.0,Personal foul by A. Brooks (drawn by G. Antetokounmpo),,40-42,,
8:05.0,J. Teague enters the game for A. Brooks,,40-42,,
7:58.0,,,40-42,,M. Beasley misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by J. Teague,,40-42,,
7:51.0,J. Teague misses 2-pt shot from 5 ft (block by M. Brogdon),,40-42,,
7:48.0,,,40-42,,Defensive rebound by M. Beasley
7:47.0,,,40-42,,Turnover by M. Beasley (palming)
7:32.0,,,40-42,,Personal foul by M. Beasley (drawn by P. George)
7:31.0,Offensive foul by J. Teague,,40-42,,
7:31.0,Turnover by J. Teague (offensive foul),,40-42,,
7:31.0,,,40-42,,J. Parker enters the game for M. Beasley
7:31.0,,,40-42,,M. Plumlee enters the game for G. Monroe
7:14.0,,,40-45,3,M. Brogdon makes 3-pt shot from 26 ft (assist by J. Parker)
7:01.0,J. Teague makes 2-pt shot from 3 ft,2,42-45,,
6:50.0,,,42-48,3,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
6:35.0,Shooting foul by J. Parker (drawn by T. Young),,42-48,,
6:35.0,T. Young misses free throw 1 of 2,,42-48,,
6:35.0,Offensive rebound by Team,,42-48,,
6:35.0,T. Young makes free throw 2 of 2,1,43-48,,
6:22.0,,,43-48,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:21.0,Defensive rebound by M. Ellis,,43-48,,
6:12.0,,,43-48,,M. Dellavedova enters the game for M. Brogdon
6:12.0,,,43-48,,M. Teletovic enters the game for G. Antetokounmpo
5:58.0,P. George misses 2-pt shot from 4 ft,,43-48,,
5:55.0,,,43-48,,Defensive rebound by J. Parker
5:50.0,,,43-48,,M. Dellavedova misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by J. Teague,,43-48,,
5:42.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,45-48,,
5:29.0,,,45-48,,Shooting foul by T. Young (drawn by M. Plumlee)
5:29.0,,,45-48,,Milwaukee full timeout
5:29.0,,,45-49,1,M. Plumlee makes free throw 1 of 2
5:29.0,,,45-49,,M. Plumlee misses free throw 2 of 2
5:28.0,Defensive rebound by M. Ellis,,45-49,,
5:18.0,Shooting foul by M. Dellavedova (drawn by P. George),,45-49,,
5:18.0,P. George misses free throw 1 of 2,,45-49,,
5:18.0,Offensive rebound by Team,,45-49,,
5:18.0,P. George misses free throw 2 of 2,,45-49,,
5:17.0,,,45-49,,Defensive rebound by J. Parker
4:57.0,,,45-49,,Turnover by T. Snell (lost ball; steal by M. Ellis)
4:53.0,P. George makes 2-pt shot from 4 ft (assist by M. Ellis),2,47-49,,
4:53.0,Shooting foul by M. Teletovic (drawn by P. George),,47-49,,
4:53.0,P. George makes free throw 1 of 1,1,48-49,,
4:43.0,,,48-49,,M. Teletovic misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by Team,,48-49,,
4:19.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,50-49,,
3:57.0,,,50-49,,Turnover by M. Dellavedova (bad pass)
3:46.0,T. Young misses 2-pt shot at rim,,50-49,,
3:44.0,,,50-49,,Defensive rebound by M. Plumlee
3:31.0,Def 3 sec tech foul by J. Teague,,50-49,,
3:31.0,,,50-50,1,M. Dellavedova makes technical free throw
3:31.0,,,50-50,,G. Antetokounmpo enters the game for M. Teletovic
3:24.0,,,50-52,2,M. Dellavedova makes 2-pt shot from 5 ft
3:17.0,J. Teague misses 2-pt shot from 5 ft (block by G. Antetokounmpo),,50-52,,
3:17.0,Offensive rebound by Team,,50-52,,
3:17.0,Indiana full timeout,,50-52,,
3:17.0,K. Seraphin enters the game for M. Turner,,50-52,,
3:01.0,P. George misses 2-pt shot from 18 ft,,50-52,,
2:59.0,Offensive rebound by T. Young,,50-52,,
2:59.0,T. Young misses 2-pt shot at rim,,50-52,,
2:57.0,,,50-52,,Defensive rebound by G. Antetokounmpo
2:46.0,,,50-52,,G. Antetokounmpo misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by Team,,50-52,,
2:34.0,Turnover by M. Ellis (bad pass; steal by M. Plumlee),,50-52,,
2:31.0,,,50-52,,Turnover by T. Snell (bad pass; steal by M. Ellis)
2:27.0,T. Young makes 2-pt shot at rim (assist by M. Ellis),2,52-52,,
2:06.0,,,52-54,2,G. Antetokounmpo makes 2-pt shot from 6 ft
1:57.0,Shooting foul by M. Plumlee (drawn by J. Teague),,52-54,,
1:57.0,J. Teague makes free throw 1 of 2,1,53-54,,
1:57.0,J. Teague makes free throw 2 of 2,1,54-54,,
1:37.0,,,54-54,,M. Plumlee misses 2-pt shot from 6 ft
1:35.0,Defensive rebound by Team,,54-54,,
1:21.0,T. Young misses 2-pt shot from 7 ft,,54-54,,
1:20.0,,,54-54,,Defensive rebound by M. Plumlee
1:07.0,,,54-54,,Shooting foul by P. George (drawn by M. Plumlee)
1:07.0,,,54-54,,M. Plumlee misses free throw 1 of 2
1:07.0,,,54-54,,Offensive rebound by Team
1:07.0,,,54-55,1,M. Plumlee makes free throw 2 of 2
0:56.0,P. George misses 3-pt shot from 24 ft,,54-55,,
0:55.0,,,54-55,,Defensive rebound by M. Dellavedova
0:51.0,,,54-55,,Shooting foul by K. Seraphin (drawn by J. Parker)
0:51.0,,,54-57,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
0:51.0,,,54-58,1,J. Parker makes free throw 1 of 1
0:32.0,Turnover by J. Teague (lost ball; steal by T. Snell),,54-58,,
0:29.0,,,54-60,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell)
0:26.0,Indiana full timeout,,54-60,,
0:26.0,C. Miles enters the game for T. Young,,54-60,,
0:10.0,C. Miles makes 3-pt shot from 27 ft (assist by M. Ellis),3,57-60,,
0:04.0,,,57-60,,Shooting foul by K. Seraphin (drawn by G. Antetokounmpo)
0:04.0,,,57-60,,G. Antetokounmpo misses free throw 1 of 2
0:04.0,,,57-60,,Offensive rebound by Team
0:04.0,,,57-60,,G. Antetokounmpo misses free throw 2 of 2
0:04.0,L. Allen enters the game for C. Miles,,57-60,,
0:03.0,,,57-60,,Offensive rebound by M. Plumlee
0:00.0,,,57-63,3,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
