time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Gasol (J. Green gains possession),,,,Jump ball: C. Capela vs. M. Gasol (J. Green gains possession)
11:35.0,M. Gasol misses 2-pt shot from 18 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by C. Capela
11:17.0,,,0-0,,R. Anderson misses 2-pt shot from 20 ft
11:16.0,Defensive rebound by C. Parsons,,0-0,,
11:04.0,J. Green makes 2-pt shot at rim (assist by T. Allen),2,2-0,,
10:46.0,,,2-0,,Turnover by T. Ariza (lost ball)
10:31.0,Turnover by M. Gasol (lost ball; steal by J. Harden),,2-0,,
10:25.0,,,2-2,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:12.0,M. Gasol makes 2-pt shot from 20 ft (assist by C. Parsons),2,4-2,,
9:48.0,,,4-5,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
9:30.0,M. Conley makes 2-pt shot from 21 ft,2,6-5,,
9:22.0,,,6-5,,C. Capela misses 2-pt shot from 2 ft (block by M. Gasol)
9:20.0,Defensive rebound by M. Conley,,6-5,,
9:15.0,M. Conley misses 3-pt shot from 25 ft,,6-5,,
9:13.0,,,6-5,,Defensive rebound by C. Capela
9:06.0,,,6-5,,J. Harden misses 2-pt shot from 3 ft (block by M. Gasol)
9:03.0,Defensive rebound by M. Conley,,6-5,,
8:55.0,M. Conley misses 3-pt shot from 24 ft,,6-5,,
8:54.0,,,6-5,,Defensive rebound by T. Ariza
8:48.0,,,6-5,,T. Ariza misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by M. Gasol,,6-5,,
8:36.0,C. Parsons misses 3-pt shot from 26 ft,,6-5,,
8:34.0,,,6-5,,Defensive rebound by C. Capela
8:30.0,,,6-5,,Turnover by J. Harden (bad pass)
8:21.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,8-5,,
8:00.0,,,8-5,,R. Anderson misses 3-pt shot from 26 ft
7:59.0,,,8-5,,Offensive rebound by C. Capela
7:55.0,,,8-7,2,C. Capela makes 2-pt shot from 2 ft
7:36.0,Turnover by J. Green (lost ball; steal by P. Beverley),,8-7,,
7:30.0,,,8-10,3,R. Anderson makes 3-pt shot from 23 ft (assist by P. Beverley)
7:08.0,T. Allen makes 2-pt shot from 1 ft,2,10-10,,
6:53.0,,,10-13,3,J. Harden makes 3-pt shot from 25 ft
6:32.0,M. Gasol makes 2-pt shot from 11 ft,2,12-13,,
6:17.0,,,12-16,3,T. Ariza makes 3-pt shot from 26 ft (assist by P. Beverley)
6:11.0,Memphis full timeout,,12-16,,
6:11.0,,,12-16,,E. Gordon enters the game for P. Beverley
5:59.0,M. Conley misses 2-pt shot from 20 ft,,12-16,,
5:58.0,Offensive rebound by J. Green,,12-16,,
5:52.0,M. Gasol misses 3-pt shot from 25 ft,,12-16,,
5:51.0,,,12-16,,Defensive rebound by E. Gordon
5:38.0,,,12-16,,C. Capela misses 2-pt shot from 6 ft
5:37.0,,,12-16,,Offensive rebound by T. Ariza
5:27.0,,,12-16,,T. Ariza misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by T. Allen,,12-16,,
5:13.0,T. Allen makes 2-pt shot from 4 ft,2,14-16,,
5:04.0,Personal foul by T. Allen (drawn by J. Harden),,14-16,,
5:04.0,T. Douglas enters the game for M. Conley,,14-16,,
5:00.0,,,14-16,,Offensive foul by T. Ariza
5:00.0,,,14-16,,Turnover by T. Ariza (offensive foul)
