time,Golden State,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (R. McGruder gains possession)
11:36.0,,,0-0,,H. Whiteside misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by Z. Pachulia,,0-0,,
11:24.0,,,0-0,,Personal foul by G. Dragic (drawn by D. Green)
11:18.0,K. Thompson misses 2-pt shot from 16 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by H. Whiteside
11:02.0,,,0-2,2,H. Whiteside makes 2-pt shot from 6 ft (assist by L. Babbitt)
10:46.0,K. Thompson misses 3-pt shot from 25 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by L. Babbitt
10:34.0,,,0-4,2,G. Dragic makes 2-pt shot from 10 ft
10:23.0,S. Curry makes 3-pt shot from 25 ft,3,3-4,,
10:04.0,,,3-4,,D. Waiters misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by Z. Pachulia,,3-4,,
9:55.0,S. Curry misses 3-pt shot from 24 ft,,3-4,,
9:54.0,,,3-4,,Defensive rebound by G. Dragic
9:46.0,,,3-6,2,G. Dragic makes 2-pt shot from 16 ft
9:31.0,S. Curry misses 2-pt shot from 2 ft,,3-6,,
9:30.0,,,3-6,,Defensive rebound by L. Babbitt
9:20.0,,,3-9,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
9:02.0,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant),2,5-9,,
8:50.0,,,5-9,,Shooting foul by K. Thompson (drawn by G. Dragic)
8:50.0,,,5-10,1,G. Dragic makes free throw 1 of 3
8:50.0,,,5-10,,G. Dragic misses free throw 2 of 3
8:50.0,,,5-10,,Offensive rebound by Team
8:50.0,,,5-11,1,G. Dragic makes free throw 3 of 3
8:39.0,K. Durant misses 2-pt shot from 15 ft,,5-11,,
8:38.0,Offensive rebound by Z. Pachulia,,5-11,,
8:37.0,Z. Pachulia misses 2-pt shot from 1 ft,,5-11,,
8:36.0,Offensive rebound by Team,,5-11,,
8:35.0,,,5-11,,Loose ball foul by L. Babbitt (drawn by Z. Pachulia)
8:27.0,K. Durant makes 2-pt shot from 1 ft,2,7-11,,
8:07.0,,,7-11,,G. Dragic misses 2-pt shot from 12 ft
8:06.0,Defensive rebound by K. Thompson,,7-11,,
7:51.0,D. Green misses 3-pt shot from 25 ft,,7-11,,
7:50.0,,,7-11,,Defensive rebound by R. McGruder
