time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (J. Randle gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (J. Randle gains possession)
11:41.0,N. Young makes 2-pt shot from 19 ft,2,2-0,,
11:20.0,,,2-2,2,D. Lillard makes 2-pt shot from 20 ft
11:03.0,J. Calderon misses 2-pt shot from 17 ft,,2-2,,
11:02.0,,,2-2,,Defensive rebound by N. Vonleh
10:54.0,,,2-4,2,D. Lillard makes 2-pt shot from 20 ft
10:42.0,T. Mozgov misses 2-pt shot from 9 ft,,2-4,,
10:41.0,,,2-4,,Defensive rebound by N. Vonleh
10:33.0,,,2-4,,D. Lillard misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by L. Deng,,2-4,,
10:28.0,L. Deng makes 2-pt shot from 5 ft,2,4-4,,
9:58.0,,,4-6,2,E. Turner makes 2-pt shot from 8 ft
9:51.0,J. Randle makes 2-pt shot from 15 ft,2,6-6,,
9:38.0,,,6-6,,Shooting foul by N. Young (drawn by C. McCollum)
9:38.0,,,6-7,1,C. McCollum makes free throw 1 of 2
9:38.0,,,6-8,1,C. McCollum makes free throw 2 of 2
9:19.0,Turnover by J. Randle (traveling),,6-8,,
9:09.0,,,6-11,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
8:56.0,,,6-11,,Personal foul by M. Plumlee (drawn by T. Mozgov)
8:49.0,N. Young makes 2-pt shot from 15 ft (assist by J. Randle),2,8-11,,
8:20.0,,,8-11,,M. Plumlee misses 2-pt shot from 18 ft
8:19.0,Defensive rebound by J. Randle,,8-11,,
8:13.0,T. Mozgov misses 2-pt shot from 2 ft,,8-11,,
8:12.0,,,8-11,,Defensive rebound by N. Vonleh
8:06.0,,,8-11,,C. McCollum misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by L. Deng,,8-11,,
7:49.0,J. Calderon misses 2-pt shot from 15 ft,,8-11,,
7:47.0,Offensive rebound by T. Mozgov,,8-11,,
7:45.0,N. Young makes 3-pt shot from 26 ft (assist by T. Mozgov),3,11-11,,
7:26.0,,,11-11,,M. Plumlee misses 2-pt shot from 1 ft (block by T. Mozgov)
7:26.0,Defensive rebound by T. Mozgov,,11-11,,
7:08.0,N. Young misses 3-pt shot from 25 ft,,11-11,,
7:08.0,,,11-11,,Defensive rebound by M. Plumlee
6:59.0,,,11-14,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
6:59.0,LA Lakers full timeout,,11-14,,
6:41.0,L. Deng makes 2-pt shot from 14 ft,2,13-14,,
6:24.0,,,13-14,,C. McCollum misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by J. Randle,,13-14,,
6:18.0,Turnover by J. Randle (lost ball),,13-14,,
6:03.0,,,13-16,2,C. McCollum makes 2-pt shot from 2 ft
6:03.0,,,13-16,,Shooting foul by N. Young (drawn by C. McCollum)
6:03.0,,,13-17,1,C. McCollum makes free throw 1 of 1
6:03.0,,,13-16,,M. Leonard enters the game for M. Plumlee
5:46.0,J. Calderon misses 3-pt shot from 25 ft,,13-17,,
5:45.0,,,13-17,,Defensive rebound by M. Leonard
5:34.0,,,13-17,,C. McCollum misses 2-pt shot from 9 ft
5:33.0,,,13-17,,Offensive rebound by N. Vonleh
5:30.0,,,13-17,,A. Crabbe enters the game for C. McCollum
5:30.0,J. Clarkson enters the game for L. Deng,,13-17,,
5:30.0,B. Ingram enters the game for N. Young,,13-17,,
5:22.0,,,13-17,,D. Lillard misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by B. Ingram,,13-17,,
5:10.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Calderon),3,16-17,,
4:55.0,,,16-19,2,D. Lillard makes 2-pt shot from 20 ft
4:42.0,T. Mozgov misses 2-pt shot from 13 ft,,16-19,,
4:41.0,,,16-19,,Defensive rebound by D. Lillard
4:30.0,,,16-19,,M. Leonard misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by T. Mozgov,,16-19,,
4:18.0,J. Randle misses 2-pt shot from 21 ft,,16-19,,
4:18.0,,,16-19,,Defensive rebound by D. Lillard
4:06.0,,,16-19,,Shooting foul by J. Calderon (drawn by D. Lillard)
4:06.0,,,16-20,1,D. Lillard makes free throw 1 of 2
4:06.0,,,16-21,1,D. Lillard makes free throw 2 of 2
4:06.0,T. Black enters the game for T. Mozgov,,16-20,,
4:06.0,I. Zubac enters the game for J. Randle,,16-20,,
4:06.0,,,16-20,,A. Aminu enters the game for N. Vonleh
3:54.0,I. Zubac misses 2-pt shot from 6 ft,,16-21,,
3:53.0,,,16-21,,Defensive rebound by M. Leonard
3:45.0,,,16-21,,E. Turner misses 2-pt shot from 15 ft
3:44.0,,,16-21,,Offensive rebound by E. Turner
3:43.0,,,16-21,,Shooting foul by T. Black (drawn by E. Turner)
3:43.0,,,16-22,1,E. Turner makes free throw 1 of 2
3:43.0,,,16-22,,E. Turner misses free throw 2 of 2
3:43.0,L. Williams enters the game for J. Calderon,,16-22,,
3:42.0,Defensive rebound by T. Black,,16-22,,
3:27.0,Turnover by J. Clarkson (bad pass; steal by D. Lillard),,16-22,,
3:20.0,,,16-24,2,A. Aminu makes 2-pt shot from 1 ft
3:06.0,J. Clarkson misses 3-pt shot from 23 ft,,16-24,,
3:05.0,Offensive rebound by B. Ingram,,16-24,,
3:01.0,L. Williams makes 3-pt shot from 24 ft (assist by B. Ingram),3,19-24,,
2:49.0,,,19-26,2,E. Turner makes 2-pt shot from 2 ft
2:49.0,,,19-26,,Shooting foul by T. Black (drawn by E. Turner)
2:49.0,,,19-26,,Portland full timeout
2:49.0,,,19-26,,E. Turner misses free throw 1 of 1
2:49.0,,,19-26,,C. McCollum enters the game for D. Lillard
2:48.0,Defensive rebound by B. Ingram,,19-26,,
2:40.0,L. Williams makes 3-pt shot from 24 ft,3,22-26,,
2:40.0,Shooting foul by C. McCollum,,22-26,,
2:40.0,L. Williams makes free throw 1 of 1,1,23-26,,
2:40.0,,,22-26,,P. Connaughton enters the game for E. Turner
2:24.0,,,23-26,,Turnover by A. Aminu (bad pass; steal by L. Williams)
2:16.0,T. Black makes 2-pt shot from 1 ft (assist by L. Williams),2,25-26,,
2:03.0,,,25-26,,A. Crabbe misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by I. Zubac,,25-26,,
1:53.0,I. Zubac misses 2-pt shot from 2 ft,,25-26,,
1:52.0,Offensive rebound by T. Black,,25-26,,
1:49.0,T. Black makes 2-pt shot from 4 ft,2,27-26,,
1:30.0,,,27-26,,M. Leonard misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by T. Black,,27-26,,
1:20.0,I. Zubac misses 2-pt shot from 3 ft,,27-26,,
1:19.0,Offensive rebound by T. Black,,27-26,,
1:10.0,T. Black misses 2-pt shot from 3 ft,,27-26,,
1:09.0,,,27-26,,Defensive rebound by P. Connaughton
1:00.0,,,27-26,,M. Leonard misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by T. Black,,27-26,,
0:48.0,I. Zubac makes 2-pt shot from 2 ft (assist by L. Williams),2,29-26,,
0:32.0,,,29-28,2,C. McCollum makes 2-pt shot from 17 ft
0:26.0,L. Williams makes 2-pt shot from 2 ft,2,31-28,,
0:05.0,,,31-30,2,C. McCollum makes 2-pt shot from 1 ft
0:00.0,L. Williams misses 3-pt shot from 25 ft,,31-30,,
0:00.0,Offensive rebound by Team,,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,31-30,,A. Aminu misses 2-pt shot from 22 ft
11:41.0,Defensive rebound by B. Ingram,,31-30,,
11:37.0,Turnover by B. Ingram (bad pass; steal by P. Connaughton),,31-30,,
11:30.0,,,31-30,,A. Aminu misses 2-pt shot from 1 ft
11:29.0,,,31-30,,Offensive rebound by M. Leonard
11:26.0,,,31-30,,M. Plumlee enters the game for M. Leonard
11:21.0,,,31-32,2,A. Crabbe makes 2-pt shot from 20 ft (assist by A. Aminu)
11:02.0,L. Williams makes 2-pt shot from 2 ft,2,33-32,,
10:47.0,,,33-32,,A. Crabbe misses 2-pt shot from 3 ft (block by L. Nance)
10:45.0,Defensive rebound by L. Williams,,33-32,,
10:43.0,L. Williams misses 2-pt shot from 7 ft,,33-32,,
10:42.0,,,33-32,,Defensive rebound by C. McCollum
10:39.0,,,33-35,3,P. Connaughton makes 3-pt shot from 25 ft (assist by C. McCollum)
10:20.0,B. Ingram misses 2-pt shot from 3 ft,,33-35,,
10:19.0,Offensive rebound by L. Nance,,33-35,,
10:12.0,B. Ingram misses 3-pt shot from 26 ft,,33-35,,
10:11.0,,,33-35,,Defensive rebound by C. McCollum
10:02.0,,,33-35,,P. Connaughton misses 2-pt shot from 22 ft
10:01.0,,,33-35,,Offensive rebound by A. Aminu
9:56.0,,,33-37,2,M. Plumlee makes 2-pt shot from 4 ft
9:56.0,LA Lakers full timeout,,33-37,,
9:56.0,I. Zubac enters the game for T. Black,,33-37,,
9:40.0,J. Clarkson misses 3-pt shot from 26 ft,,33-37,,
9:38.0,Offensive rebound by L. Nance,,33-37,,
9:28.0,B. Ingram misses 3-pt shot from 24 ft,,33-37,,
9:27.0,,,33-37,,Defensive rebound by A. Crabbe
9:11.0,,,33-39,2,C. McCollum makes 2-pt shot from 6 ft (assist by A. Crabbe)
8:58.0,B. Ingram misses 2-pt shot from 3 ft (block by P. Connaughton),,33-39,,
8:57.0,,,33-39,,Defensive rebound by A. Aminu
8:51.0,,,33-41,2,P. Connaughton makes 2-pt shot at rim (assist by A. Aminu)
8:34.0,I. Zubac makes 2-pt shot from 3 ft,2,35-41,,
8:18.0,,,35-43,2,A. Crabbe makes 2-pt shot from 21 ft (assist by C. McCollum)
8:05.0,I. Zubac misses 2-pt shot at rim (block by M. Plumlee),,35-43,,
8:03.0,Offensive rebound by L. Nance,,35-43,,
7:59.0,I. Zubac misses 2-pt shot from 2 ft,,35-43,,
7:57.0,Offensive rebound by I. Zubac,,35-43,,
7:57.0,I. Zubac misses 2-pt shot from 2 ft,,35-43,,
7:57.0,Offensive rebound by I. Zubac,,35-43,,
7:57.0,I. Zubac misses 2-pt shot from 2 ft,,35-43,,
7:56.0,Offensive rebound by J. Clarkson,,35-43,,
7:53.0,J. Clarkson makes 2-pt shot from 7 ft,2,37-43,,
7:37.0,,,37-43,,Turnover by A. Aminu (traveling)
7:37.0,,,37-43,,D. Lillard enters the game for C. McCollum
7:37.0,N. Young enters the game for B. Ingram,,37-43,,
7:21.0,L. Williams makes 3-pt shot from 23 ft (assist by I. Zubac),3,40-43,,
6:51.0,,,40-43,,Turnover by A. Aminu (lost ball; steal by L. Williams)
6:33.0,J. Clarkson makes 2-pt shot from 1 ft,2,42-43,,
6:33.0,,,42-43,,Portland full timeout
6:33.0,,,42-43,,N. Vonleh enters the game for A. Aminu
6:19.0,,,42-43,,D. Lillard misses 2-pt shot from 21 ft
6:17.0,Defensive rebound by I. Zubac,,42-43,,
6:04.0,Turnover by I. Zubac (bad pass),,42-43,,
6:04.0,,,42-43,,E. Turner enters the game for P. Connaughton
6:04.0,J. Randle enters the game for L. Nance,,42-43,,
5:50.0,,,42-45,2,M. Plumlee makes 2-pt shot from 2 ft (assist by E. Turner)
5:38.0,L. Williams makes 2-pt shot from 8 ft,2,44-45,,
5:26.0,,,44-47,2,M. Plumlee makes 2-pt shot at rim
5:26.0,,,44-47,,Shooting foul by I. Zubac (drawn by M. Plumlee)
5:26.0,,,44-48,1,M. Plumlee makes free throw 1 of 1
5:26.0,L. Deng enters the game for L. Williams,,44-47,,
5:14.0,Shooting foul by N. Vonleh (drawn by I. Zubac),,44-48,,
5:14.0,I. Zubac makes free throw 1 of 2,1,45-48,,
5:14.0,I. Zubac makes free throw 2 of 2,1,46-48,,
5:01.0,,,46-50,2,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee)
4:47.0,N. Young misses 2-pt shot from 2 ft,,46-50,,
4:46.0,,,46-50,,Defensive rebound by A. Crabbe
4:38.0,,,46-50,,D. Lillard misses 2-pt shot at rim
4:38.0,Defensive rebound by J. Randle,,46-50,,
4:33.0,J. Randle makes 2-pt shot at rim,2,48-50,,
4:16.0,,,48-52,2,E. Turner makes 2-pt shot from 19 ft
4:01.0,J. Clarkson makes 2-pt shot from 7 ft (assist by I. Zubac),2,50-52,,
3:39.0,,,50-52,,D. Lillard misses 2-pt shot from 13 ft
3:39.0,Defensive rebound by J. Randle,,50-52,,
3:30.0,I. Zubac makes 2-pt shot at rim (assist by J. Clarkson),2,52-52,,
3:11.0,,,52-52,,Turnover by E. Turner (bad pass; steal by L. Deng)
3:06.0,Shooting foul by D. Lillard (drawn by N. Young),,52-52,,
