time,Golden State,pts.away,score,pts.home,Houston
1:49.0,,,30-24,,E. Gordon misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by J. McAdoo,,30-24,,
1:40.0,Turnover by D. Green (bad pass; steal by C. Capela),,30-24,,
1:32.0,,,30-24,,T. Ariza misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by J. McAdoo,,30-24,,
1:22.0,I. Clark misses 3-pt shot from 24 ft,,30-24,,
1:21.0,,,30-24,,Defensive rebound by C. Capela
1:11.0,,,30-26,2,S. Dekker makes 2-pt shot from 2 ft (assist by E. Gordon)
1:11.0,,,30-26,,Shooting foul by I. Clark (drawn by S. Dekker)
1:11.0,,,30-27,1,S. Dekker makes free throw 1 of 1
1:11.0,,,30-26,,C. Brewer enters the game for T. Ariza
0:57.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Iguodala),2,32-27,,
0:45.0,,,32-27,,C. Capela misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by D. Green,,32-27,,
0:38.0,A. Iguodala misses 2-pt shot from 3 ft (block by C. Capela),,32-27,,
0:37.0,,,32-27,,Defensive rebound by C. Brewer
0:36.0,,,32-27,,Turnover by C. Brewer (bad pass)
0:26.0,A. Iguodala misses 2-pt shot from 14 ft (block by S. Dekker),,32-27,,
0:25.0,,,32-27,,Defensive rebound by C. Capela
0:04.0,,,32-27,,J. Harden misses 2-pt shot from 4 ft (block by D. Green)
0:04.0,,,32-27,,Offensive rebound by Team
0:04.0,S. Livingston enters the game for S. Curry,,32-27,,
0:02.0,,,32-29,2,C. Capela makes 2-pt shot from 8 ft (assist by C. Brewer)
0:01.0,D. Green misses 3-pt shot from 55 ft,,32-29,,
0:00.0,Offensive rebound by Team,,32-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Green misses 2-pt shot from 7 ft,,32-29,,
11:44.0,Offensive rebound by K. Looney,,32-29,,
11:33.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. Green),3,35-29,,
11:06.0,,,35-29,,Turnover by Team (shot clock)
10:54.0,Turnover by S. Livingston (bad pass),,35-29,,
10:35.0,,,35-31,2,C. Capela makes 2-pt shot from 7 ft (assist by S. Dekker)
10:19.0,K. Thompson makes 2-pt shot from 7 ft,2,37-31,,
10:11.0,,,37-31,,Shooting foul by K. Looney (drawn by E. Gordon)
10:11.0,,,37-32,1,E. Gordon makes free throw 1 of 2
10:11.0,,,37-33,1,E. Gordon makes free throw 2 of 2
10:11.0,,,37-32,,R. Anderson enters the game for S. Dekker
9:55.0,D. Green misses 2-pt shot from 7 ft,,37-33,,
9:54.0,,,37-33,,Defensive rebound by C. Capela
9:50.0,,,37-33,,Turnover by C. Capela (traveling)
9:32.0,K. Thompson makes 2-pt shot from 21 ft (assist by S. Livingston),2,39-33,,
9:19.0,,,39-33,,E. Gordon misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by A. Iguodala,,39-33,,
9:12.0,K. Thompson misses 3-pt shot from 24 ft,,39-33,,
9:10.0,,,39-33,,Defensive rebound by R. Anderson
9:01.0,,,39-33,,C. Capela misses 2-pt shot from 6 ft
8:59.0,,,39-33,,Offensive rebound by C. Capela
8:57.0,,,39-33,,E. Gordon misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by Team,,39-33,,
8:57.0,,,39-33,,Loose ball foul by C. Capela (drawn by S. Livingston)
8:57.0,Official timeout,,39-33,,
8:47.0,K. Thompson misses 3-pt shot from 26 ft,,39-33,,
8:45.0,Offensive rebound by S. Livingston,,39-33,,
8:35.0,S. Livingston makes 2-pt shot from 14 ft,2,41-33,,
8:20.0,,,41-33,,C. Capela misses 2-pt shot from 5 ft
8:20.0,,,41-33,,Offensive rebound by C. Capela
8:20.0,,,41-33,,Shooting foul by K. Looney (drawn by C. Capela)
8:20.0,,,41-34,1,C. Capela makes free throw 1 of 2
8:20.0,,,41-35,1,C. Capela makes free throw 2 of 2
8:07.0,Turnover by K. Thompson (bad pass; steal by E. Gordon),,41-35,,
7:59.0,,,41-35,,E. Gordon misses 2-pt shot from 3 ft (block by D. Green)
7:57.0,Defensive rebound by A. Iguodala,,41-35,,
7:51.0,K. Thompson misses 3-pt shot from 27 ft,,41-35,,
7:49.0,,,41-35,,Defensive rebound by C. Capela
7:39.0,,,41-35,,P. Beverley misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by A. Iguodala,,41-35,,
7:22.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,44-35,,
7:11.0,,,44-35,,P. Beverley misses 2-pt shot from 2 ft (block by S. Livingston)
7:07.0,Defensive rebound by K. Thompson,,44-35,,
7:02.0,A. Iguodala misses 3-pt shot from 24 ft,,44-35,,
7:02.0,Offensive rebound by Team,,44-35,,
7:02.0,K. Durant enters the game for A. Iguodala,,44-35,,
7:02.0,,,44-35,,M. Harrell enters the game for R. Anderson
7:02.0,,,44-35,,S. Dekker enters the game for E. Gordon
7:02.0,,,44-35,,T. Ariza enters the game for C. Capela
7:02.0,,,44-35,,J. Harden enters the game for C. Brewer
7:02.0,A. Iguodala enters the game for K. Thompson,,44-35,,
7:02.0,I. Clark enters the game for K. Looney,,44-35,,
6:50.0,D. Green makes 3-pt shot from 26 ft (assist by K. Durant),3,47-35,,
6:25.0,,,47-35,,P. Beverley misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by D. Green,,47-35,,
6:19.0,Shooting foul by M. Harrell (drawn by K. Durant),,47-35,,
6:19.0,K. Durant makes free throw 1 of 2,1,48-35,,
6:19.0,K. Durant makes free throw 2 of 2,1,49-35,,
6:19.0,Z. Pachulia enters the game for D. Green,,48-35,,
6:19.0,S. Curry enters the game for A. Iguodala,,48-35,,
6:06.0,,,49-38,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
5:49.0,Offensive foul by Z. Pachulia,,49-38,,
5:49.0,Turnover by Z. Pachulia (offensive foul),,49-38,,
5:49.0,,,49-38,,Houston full timeout
5:38.0,,,49-40,2,J. Harden makes 2-pt shot from 4 ft
5:37.0,,,49-40,,Technical foul by J. Harden
5:37.0,S. Curry makes technical free throw,1,50-40,,
5:23.0,Z. Pachulia misses 2-pt shot from 3 ft,,50-40,,
5:20.0,Offensive rebound by Z. Pachulia,,50-40,,
5:20.0,Z. Pachulia makes 2-pt shot from 1 ft,2,52-40,,
5:14.0,,,52-40,,J. Harden misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by I. Clark,,52-40,,
5:08.0,S. Curry misses 3-pt shot from 27 ft,,52-40,,
5:05.0,,,52-40,,Defensive rebound by S. Dekker
4:51.0,Shooting block foul by Z. Pachulia (drawn by J. Harden),,52-40,,
4:51.0,,,52-41,1,J. Harden makes free throw 1 of 2
4:51.0,,,52-42,1,J. Harden makes free throw 2 of 2
4:51.0,D. Green enters the game for Z. Pachulia,,52-41,,
4:51.0,,,52-41,,E. Gordon enters the game for P. Beverley
4:28.0,K. Durant misses 2-pt shot from 7 ft,,52-42,,
4:27.0,,,52-42,,Defensive rebound by J. Harden
4:20.0,,,52-44,2,J. Harden makes 2-pt shot from 7 ft
4:15.0,Golden State full timeout,,52-44,,
4:15.0,K. Thompson enters the game for I. Clark,,52-44,,
4:04.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,55-44,,
3:48.0,,,55-46,2,M. Harrell makes 2-pt shot from 4 ft (assist by J. Harden)
3:32.0,K. Thompson misses 2-pt shot from 9 ft,,55-46,,
3:31.0,,,55-46,,Defensive rebound by J. Harden
3:24.0,,,55-48,2,S. Dekker makes 2-pt shot from 17 ft (assist by J. Harden)
3:06.0,K. Thompson misses 3-pt shot from 25 ft,,55-48,,
3:04.0,,,55-48,,Defensive rebound by M. Harrell
2:57.0,,,55-48,,J. Harden misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by D. Green,,55-48,,
2:49.0,Turnover by D. Green (bad pass; steal by J. Harden),,55-48,,
2:42.0,,,55-50,2,S. Dekker makes 2-pt shot from 2 ft (assist by J. Harden)
2:33.0,Golden State full timeout,,55-50,,
2:33.0,A. Iguodala enters the game for S. Livingston,,55-50,,
2:22.0,D. Green makes 2-pt shot at rim (assist by K. Durant),2,57-50,,
2:01.0,,,57-50,,Shooting foul by D. Green (drawn by S. Dekker)
2:01.0,,,57-50,,S. Dekker misses free throw 1 of 2
2:01.0,,,57-50,,Offensive rebound by Team
2:01.0,,,57-51,1,S. Dekker makes free throw 2 of 2
1:45.0,K. Thompson misses 3-pt shot from 25 ft,,57-51,,
1:44.0,,,57-51,,Defensive rebound by T. Ariza
1:34.0,,,57-51,,Turnover by M. Harrell (lost ball; steal by D. Green)
1:28.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,59-51,,
1:22.0,,,59-51,,Shooting foul by A. Iguodala (drawn by S. Dekker)
1:22.0,,,59-52,1,S. Dekker makes free throw 1 of 2
1:22.0,,,59-53,1,S. Dekker makes free throw 2 of 2
1:09.0,K. Durant misses 2-pt shot from 18 ft,,59-53,,
1:08.0,,,59-53,,Defensive rebound by J. Harden
0:59.0,,,59-55,2,J. Harden makes 2-pt shot from 1 ft
0:48.0,K. Thompson misses 2-pt shot from 8 ft,,59-55,,
0:46.0,Offensive rebound by A. Iguodala,,59-55,,
0:39.0,S. Curry misses 2-pt shot from 20 ft,,59-55,,
0:38.0,,,59-55,,Defensive rebound by M. Harrell
0:31.0,,,59-55,,J. Harden misses 3-pt shot from 31 ft
0:29.0,,,59-55,,Offensive rebound by S. Dekker
0:29.0,,,59-57,2,S. Dekker makes 2-pt shot from 7 ft
0:12.0,,,59-57,,Personal foul by M. Harrell (drawn by S. Curry)
0:12.0,,,59-57,,C. Capela enters the game for M. Harrell
0:01.0,S. Curry makes 3-pt shot from 25 ft,3,62-57,,
0:00.0,,,62-57,,T. Ariza misses 3-pt shot from 42 ft
0:00.0,,,62-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,D. Green makes 2-pt shot from 4 ft,2,64-57,,
11:39.0,,,64-59,2,M. Harrell makes 2-pt shot from 2 ft
