time,Detroit,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Hilario (R. Anderson gains possession),,,,Jump ball: A. Drummond vs. N. Hilario (R. Anderson gains possession)
11:43.0,,,0-3,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
11:20.0,M. Morris makes 2-pt shot from 21 ft,2,2-3,,
11:10.0,,,2-3,,N. Hilario misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by K. Caldwell-Pope,,2-3,,
11:01.0,M. Morris misses 3-pt shot from 24 ft,,2-3,,
11:00.0,,,2-3,,Defensive rebound by R. Anderson
10:46.0,,,2-3,,N. Hilario misses 2-pt shot from 11 ft
10:45.0,Defensive rebound by A. Drummond,,2-3,,
10:39.0,H. Ellenson misses 2-pt shot from 21 ft,,2-3,,
10:38.0,,,2-3,,Defensive rebound by T. Ariza
10:31.0,,,2-5,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
10:15.0,I. Smith misses 2-pt shot from 3 ft,,2-5,,
10:14.0,,,2-5,,Defensive rebound by N. Hilario
10:01.0,,,2-5,,T. Ariza misses 3-pt shot from 23 ft
10:00.0,,,2-5,,Offensive rebound by N. Hilario
9:49.0,,,2-7,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
9:42.0,Detroit full timeout,,2-7,,
9:33.0,H. Ellenson misses 3-pt shot from 25 ft,,2-7,,
9:32.0,Offensive rebound by M. Morris,,2-7,,
9:30.0,M. Morris misses 2-pt shot from 2 ft,,2-7,,
9:30.0,,,2-7,,Defensive rebound by P. Beverley
9:23.0,,,2-10,3,R. Anderson makes 3-pt shot from 25 ft (assist by P. Beverley)
9:07.0,I. Smith makes 2-pt shot from 1 ft,2,4-10,,
8:49.0,,,4-13,3,R. Anderson makes 3-pt shot from 28 ft (assist by N. Hilario)
8:22.0,M. Morris misses 2-pt shot from 19 ft,,4-13,,
8:21.0,,,4-13,,Defensive rebound by R. Anderson
8:13.0,,,4-13,,J. Harden misses 2-pt shot from 7 ft
8:12.0,,,4-13,,Offensive rebound by N. Hilario
8:09.0,,,4-15,2,N. Hilario makes 2-pt shot from 1 ft
8:00.0,Shooting foul by P. Beverley (drawn by I. Smith),,4-15,,
8:00.0,I. Smith makes free throw 1 of 2,1,5-15,,
8:00.0,I. Smith makes free throw 2 of 2,1,6-15,,
7:47.0,,,6-15,,T. Ariza misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by K. Caldwell-Pope,,6-15,,
7:37.0,I. Smith makes 2-pt shot from 18 ft,2,8-15,,
7:29.0,,,8-15,,R. Anderson misses 3-pt shot from 27 ft
7:28.0,Defensive rebound by K. Caldwell-Pope,,8-15,,
7:20.0,H. Ellenson makes 2-pt shot from 2 ft (assist by I. Smith),2,10-15,,
7:15.0,,,10-15,,Shooting foul by M. Morris (drawn by T. Ariza)
7:15.0,,,10-16,1,T. Ariza makes free throw 1 of 2
7:15.0,,,10-16,,T. Ariza misses free throw 2 of 2
7:14.0,Defensive rebound by A. Drummond,,10-16,,
6:52.0,A. Drummond misses 2-pt shot from 8 ft,,10-16,,
6:51.0,,,10-16,,Defensive rebound by N. Hilario
6:36.0,,,10-16,,R. Anderson misses 2-pt shot from 16 ft
6:35.0,Defensive rebound by K. Caldwell-Pope,,10-16,,
6:28.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,10-16,,
6:27.0,,,10-16,,Defensive rebound by J. Harden
6:13.0,,,10-19,3,T. Ariza makes 3-pt shot from 24 ft (assist by N. Hilario)
5:56.0,H. Ellenson makes 2-pt shot from 21 ft (assist by I. Smith),2,12-19,,
5:32.0,,,12-19,,J. Harden misses 3-pt shot from 26 ft
5:31.0,Defensive rebound by H. Ellenson,,12-19,,
5:10.0,A. Drummond misses 2-pt shot from 8 ft,,12-19,,
5:08.0,Offensive rebound by H. Ellenson,,12-19,,
5:06.0,H. Ellenson misses 2-pt shot at rim,,12-19,,
5:05.0,,,12-19,,Defensive rebound by N. Hilario
4:58.0,,,12-19,,N. Hilario misses 2-pt shot at rim
4:58.0,,,12-19,,Offensive rebound by N. Hilario
4:58.0,Personal foul by A. Drummond (drawn by N. Hilario),,12-19,,
4:58.0,,,12-19,,L. Williams enters the game for R. Anderson
4:58.0,,,12-19,,E. Gordon enters the game for P. Beverley
4:58.0,,,12-19,,M. Harrell enters the game for N. Hilario
4:58.0,T. Harris enters the game for H. Ellenson,,12-19,,
4:58.0,B. Marjanovic enters the game for A. Drummond,,12-19,,
4:53.0,,,12-19,,Offensive charge foul by M. Harrell
