time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (B. Diaw gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (B. Diaw gains possession)
11:41.0,,,0-0,,B. Diaw misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by B. Griffin,,0-0,,
11:17.0,C. Paul makes 2-pt shot from 17 ft,2,2-0,,
11:02.0,,,2-0,,G. Hill misses 2-pt shot from 12 ft
11:01.0,Defensive rebound by D. Jordan,,2-0,,
10:39.0,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul),3,5-0,,
10:22.0,,,5-2,2,G. Hill makes 2-pt shot from 19 ft (assist by G. Hayward)
10:04.0,J. Redick makes 2-pt shot from 9 ft,2,7-2,,
10:04.0,Shooting foul by R. Hood (drawn by J. Redick),,7-2,,
10:04.0,J. Redick makes free throw 1 of 1,1,8-2,,
9:55.0,,,8-2,,G. Hayward misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by B. Griffin,,8-2,,
9:44.0,D. Jordan makes 2-pt shot from 6 ft (assist by C. Paul),2,10-2,,
9:23.0,,,10-4,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hill)
9:05.0,C. Paul misses 2-pt shot from 19 ft,,10-4,,
9:05.0,,,10-4,,Defensive rebound by R. Gobert
8:54.0,Personal foul by B. Griffin (drawn by R. Gobert),,10-4,,
8:44.0,,,10-6,2,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill)
8:28.0,J. Redick misses 2-pt shot from 18 ft,,10-6,,
8:27.0,,,10-6,,Defensive rebound by R. Gobert
8:05.0,,,10-6,,G. Hill misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by C. Paul,,10-6,,
7:53.0,D. Jordan misses 2-pt shot from 3 ft,,10-6,,
7:53.0,,,10-6,,Defensive rebound by G. Hayward
7:35.0,,,10-6,,R. Hood misses 2-pt shot from 17 ft
7:35.0,Defensive rebound by L. Mbah a Moute,,10-6,,
7:10.0,C. Paul misses 2-pt shot from 15 ft,,10-6,,
7:10.0,,,10-6,,Defensive rebound by G. Hill
7:02.0,,,10-9,3,G. Hayward makes 3-pt shot from 25 ft (assist by G. Hill)
7:01.0,LA Clippers full timeout,,10-9,,
6:41.0,B. Griffin misses 2-pt shot from 17 ft,,10-9,,
6:41.0,,,10-9,,Defensive rebound by G. Hill
6:25.0,,,10-9,,G. Hayward misses 3-pt shot from 25 ft
6:25.0,,,10-9,,Offensive rebound by B. Diaw
6:19.0,,,10-11,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
6:10.0,Turnover by C. Paul (bad pass),,10-11,,
6:10.0,,,10-11,,J. Ingles enters the game for R. Hood
6:10.0,,,10-11,,J. Johnson enters the game for B. Diaw
5:54.0,Personal foul by L. Mbah a Moute (drawn by G. Hill),,10-11,,
5:49.0,,,10-13,2,G. Hayward makes 2-pt shot from 17 ft
5:40.0,,,10-13,,Personal foul by J. Ingles (drawn by J. Redick)
5:27.0,Shooting foul by G. Hayward (drawn by C. Paul),,10-13,,
5:27.0,C. Paul makes free throw 1 of 3,1,11-13,,
5:27.0,C. Paul makes free throw 2 of 3,1,12-13,,
5:27.0,C. Paul makes free throw 3 of 3,1,13-13,,
5:06.0,,,13-13,,Shooting foul by L. Mbah a Moute (drawn by G. Hayward)
5:06.0,,,13-14,1,G. Hayward makes free throw 1 of 2
5:06.0,,,13-15,1,G. Hayward makes free throw 2 of 2
5:06.0,A. Rivers enters the game for L. Mbah a Moute,,13-14,,
4:49.0,J. Redick makes 2-pt shot from 20 ft,2,15-15,,
4:31.0,,,15-15,,J. Ingles misses 2-pt shot from 16 ft
4:30.0,Defensive rebound by B. Griffin,,15-15,,
4:18.0,C. Paul makes 2-pt shot from 11 ft,2,17-15,,
3:53.0,,,17-15,,G. Hill misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by C. Paul,,17-15,,
3:46.0,J. Redick misses 3-pt shot from 25 ft,,17-15,,
3:46.0,,,17-15,,Defensive rebound by R. Gobert
3:35.0,,,17-15,,J. Johnson misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by D. Jordan,,17-15,,
3:28.0,C. Paul makes 3-pt shot from 24 ft (assist by D. Jordan),3,20-15,,
3:06.0,,,20-15,,R. Gobert misses 2-pt shot from 3 ft
3:06.0,,,20-15,,Offensive rebound by R. Gobert
3:06.0,,,20-17,2,R. Gobert makes 2-pt shot from 3 ft
2:43.0,J. Redick misses 3-pt shot from 23 ft,,20-17,,
2:43.0,,,20-17,,Defensive rebound by J. Johnson
2:20.0,,,20-19,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
2:00.0,B. Griffin misses 2-pt shot from 3 ft,,20-19,,
1:59.0,,,20-19,,Defensive rebound by R. Gobert
1:49.0,,,20-19,,Utah full timeout
1:49.0,,,20-19,,D. Exum enters the game for G. Hill
1:49.0,,,20-19,,J. Withey enters the game for R. Gobert
1:49.0,,,20-19,,R. Hood enters the game for G. Hayward
1:49.0,J. Crawford enters the game for J. Redick,,20-19,,
1:49.0,M. Speights enters the game for D. Jordan,,20-19,,
1:49.0,Violation by J. Crawford (kicked ball),,20-19,,
1:41.0,,,20-19,,R. Hood misses 2-pt shot from 7 ft
1:40.0,Defensive rebound by C. Paul,,20-19,,
1:26.0,C. Paul makes 2-pt shot from 2 ft,2,22-19,,
1:26.0,Shooting foul by J. Withey (drawn by C. Paul),,22-19,,
1:26.0,C. Paul makes free throw 1 of 1,1,23-19,,
