time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (D. Green gains possession)
11:45.0,,,0-0,,D. Green misses 2-pt shot from 4 ft
11:42.0,Defensive rebound by A. Davis,,0-0,,
11:29.0,A. Davis makes 2-pt shot from 18 ft,2,2-0,,
11:21.0,,,2-2,2,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia)
10:59.0,O. Asik makes 2-pt shot at rim (assist by E. Moore),2,4-2,,
10:45.0,Violation by T. Frazier (kicked ball),,4-2,,
10:30.0,,,4-2,,Z. Pachulia misses 2-pt shot from 21 ft
10:30.0,Defensive rebound by A. Davis,,4-2,,
10:17.0,Shooting foul by D. Green (drawn by A. Davis),,4-2,,
10:17.0,A. Davis makes free throw 1 of 2,1,5-2,,
10:17.0,A. Davis misses free throw 2 of 2,,5-2,,
10:15.0,,,5-2,,Defensive rebound by D. Green
10:05.0,,,5-2,,K. Thompson misses 3-pt shot from 26 ft
10:04.0,,,5-2,,Offensive rebound by S. Curry
10:04.0,,,5-4,2,S. Curry makes 2-pt shot from 1 ft
9:58.0,New Orleans full timeout,,5-4,,
9:58.0,B. Hield enters the game for E. Moore,,5-4,,
9:47.0,S. Hill misses 3-pt shot from 24 ft,,5-4,,
9:46.0,,,5-4,,Defensive rebound by K. Thompson
9:33.0,,,5-4,,Turnover by K. Durant (bad pass)
9:20.0,A. Davis makes 2-pt shot from 9 ft,2,7-4,,
9:08.0,,,7-4,,K. Durant misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by A. Davis,,7-4,,
9:01.0,S. Hill misses 2-pt shot from 18 ft,,7-4,,
9:01.0,,,7-4,,Defensive rebound by D. Green
8:50.0,,,7-6,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
8:37.0,A. Davis misses 2-pt shot from 9 ft,,7-6,,
8:37.0,Offensive rebound by O. Asik,,7-6,,
8:35.0,O. Asik makes 2-pt shot at rim,2,9-6,,
8:23.0,,,9-6,,Turnover by K. Thompson (bad pass; steal by S. Hill)
8:09.0,A. Davis makes 2-pt shot from 10 ft (assist by S. Hill),2,11-6,,
8:08.0,,,11-6,,Golden State full timeout
7:52.0,,,11-6,,Turnover by Z. Pachulia (3 sec)
7:43.0,O. Asik misses 2-pt shot from 2 ft (block by D. Green),,11-6,,
7:42.0,Offensive rebound by B. Hield,,11-6,,
7:34.0,O. Asik misses 2-pt shot from 2 ft,,11-6,,
7:33.0,,,11-6,,Defensive rebound by Z. Pachulia
7:29.0,,,11-9,3,S. Curry makes 3-pt shot from 30 ft (assist by K. Durant)
7:13.0,Shooting foul by S. Curry (drawn by A. Davis),,11-9,,
7:13.0,A. Davis makes free throw 1 of 2,1,12-9,,
7:13.0,A. Davis makes free throw 2 of 2,1,13-9,,
7:05.0,,,13-9,,S. Curry misses 3-pt shot from 28 ft
7:04.0,Defensive rebound by A. Davis,,13-9,,
6:47.0,B. Hield misses 3-pt shot from 25 ft,,13-9,,
6:47.0,Offensive rebound by B. Hield,,13-9,,
6:38.0,S. Hill misses 2-pt shot from 20 ft,,13-9,,
6:38.0,,,13-9,,Defensive rebound by K. Thompson
6:31.0,,,13-11,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
6:17.0,Turnover by S. Hill (bad pass),,13-11,,
6:10.0,,,13-11,,Turnover by K. Durant (bad pass)
6:10.0,,,13-11,,K. Looney enters the game for Z. Pachulia
5:50.0,T. Frazier misses 2-pt shot from 16 ft,,13-11,,
5:50.0,Offensive rebound by O. Asik,,13-11,,
5:47.0,O. Asik misses 2-pt shot from 2 ft (block by D. Green),,13-11,,
5:45.0,Offensive rebound by O. Asik,,13-11,,
5:42.0,B. Hield misses 3-pt shot from 25 ft,,13-11,,
5:42.0,,,13-11,,Defensive rebound by D. Green
5:35.0,,,13-11,,K. Thompson misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by Team,,13-11,,
5:35.0,,,13-11,,Loose ball foul by K. Looney (drawn by O. Asik)
5:35.0,T. Jones enters the game for O. Asik,,13-11,,
5:21.0,A. Davis makes 2-pt shot from 9 ft (assist by T. Frazier),2,15-11,,
5:13.0,,,15-11,,Shooting foul by T. Jones (drawn by S. Curry)
5:13.0,,,15-12,1,S. Curry makes free throw 1 of 2
5:13.0,,,15-12,,S. Curry misses free throw 2 of 2
5:13.0,,,15-12,,A. Iguodala enters the game for K. Durant
5:11.0,Defensive rebound by S. Hill,,15-12,,
5:05.0,T. Frazier makes 2-pt shot from 2 ft (assist by S. Hill),2,17-12,,
4:55.0,,,17-14,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green)
4:43.0,Turnover by T. Frazier (bad pass; steal by K. Thompson),,17-14,,
4:32.0,,,17-17,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
4:12.0,T. Jones makes 2-pt shot from 2 ft (assist by S. Hill),2,19-17,,
4:01.0,,,19-19,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
3:54.0,,,19-19,,Violation by A. Iguodala (kicked ball)
3:54.0,,,19-19,,I. Clark enters the game for K. Thompson
3:49.0,T. Frazier misses 2-pt shot from 12 ft,,19-19,,
3:48.0,,,19-19,,Defensive rebound by S. Curry
3:41.0,,,19-19,,Turnover by S. Curry (bad pass; steal by T. Jones)
3:39.0,Turnover by T. Jones (bad pass; steal by S. Curry),,19-19,,
3:35.0,,,19-22,3,S. Curry makes 3-pt shot from 24 ft (assist by I. Clark)
3:16.0,T. Jones makes 2-pt shot from 2 ft (assist by A. Davis),2,21-22,,
3:01.0,,,21-22,,A. Iguodala misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by T. Jones,,21-22,,
2:54.0,Turnover by T. Frazier (lost ball; steal by D. Green),,21-22,,
2:34.0,,,21-22,,K. Looney misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by B. Hield,,21-22,,
2:28.0,Shooting foul by K. Looney (drawn by A. Davis),,21-22,,
2:28.0,A. Davis misses free throw 1 of 2,,21-22,,
2:28.0,Offensive rebound by Team,,21-22,,
2:28.0,A. Davis makes free throw 2 of 2,1,22-22,,
2:28.0,D. Cunningham enters the game for S. Hill,,21-22,,
2:28.0,L. Galloway enters the game for T. Frazier,,21-22,,
2:07.0,,,22-22,,A. Iguodala misses 3-pt shot from 25 ft
2:07.0,,,22-22,,Offensive rebound by Team
2:07.0,Loose ball foul by D. Cunningham (drawn by K. Looney),,22-22,,
1:54.0,,,22-22,,S. Curry misses 2-pt shot from 23 ft
1:54.0,Defensive rebound by A. Davis,,22-22,,
1:46.0,B. Hield makes 2-pt shot from 2 ft (assist by D. Cunningham),2,24-22,,
1:25.0,,,24-24,2,K. Looney makes 2-pt shot at rim (assist by A. Iguodala)
1:06.0,Offensive foul by T. Jones,,24-24,,
1:06.0,Turnover by T. Jones (offensive foul),,24-24,,
1:06.0,,,24-24,,K. Durant enters the game for D. Green
1:06.0,,,24-24,,S. Livingston enters the game for S. Curry
0:54.0,,,24-26,2,I. Clark makes 2-pt shot from 3 ft (assist by K. Durant)
0:31.0,T. Jones misses 3-pt shot from 25 ft,,24-26,,
0:31.0,,,24-26,,Defensive rebound by A. Iguodala
0:25.0,,,24-28,2,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:03.0,L. Galloway misses 2-pt shot from 22 ft,,24-28,,
0:03.0,,,24-28,,Defensive rebound by K. Durant
0:00.0,,,24-28,,I. Clark misses 3-pt shot from 51 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Cunningham makes 2-pt shot from 19 ft (assist by L. Galloway),2,26-28,,
11:28.0,,,26-30,2,K. Durant makes 2-pt shot from 14 ft
11:06.0,B. Hield makes 2-pt shot from 1 ft,2,28-30,,
10:48.0,,,28-30,,D. West misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by S. Hill,,28-30,,
10:40.0,S. Hill misses 2-pt shot from 2 ft,,28-30,,
10:39.0,,,28-30,,Defensive rebound by S. Livingston
10:29.0,,,28-30,,S. Livingston misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by S. Hill,,28-30,,
10:18.0,A. Ajinca makes 2-pt shot from 18 ft (assist by L. Galloway),2,30-30,,
10:08.0,,,30-30,,Turnover by K. Durant (bad pass)
10:08.0,,,30-30,,K. Thompson enters the game for I. Clark
10:08.0,E. Moore enters the game for B. Hield,,30-30,,
9:49.0,Turnover by A. Ajinca (3 sec),,30-30,,
9:31.0,,,30-30,,Turnover by D. West (lost ball; steal by S. Hill)
9:14.0,Turnover by S. Hill (bad pass; steal by A. Iguodala),,30-30,,
9:04.0,,,30-30,,K. Thompson misses 2-pt shot from 1 ft
9:02.0,,,30-30,,Offensive rebound by D. West
9:02.0,,,30-32,2,D. West makes 2-pt shot from 1 ft
8:49.0,L. Galloway makes 2-pt shot from 19 ft,2,32-32,,
8:37.0,,,32-34,2,D. West makes 2-pt shot from 1 ft (assist by K. Durant)
8:32.0,New Orleans full timeout,,32-34,,
8:24.0,Shooting foul by D. West (drawn by L. Galloway),,32-34,,
8:24.0,L. Galloway makes free throw 1 of 2,1,33-34,,
8:24.0,L. Galloway makes free throw 2 of 2,1,34-34,,
8:08.0,,,34-34,,A. Iguodala misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by S. Hill,,34-34,,
8:01.0,L. Galloway misses 2-pt shot from 21 ft,,34-34,,
8:00.0,,,34-34,,Defensive rebound by D. West
7:45.0,,,34-34,,K. Durant misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by A. Ajinca,,34-34,,
7:35.0,Shooting foul by S. Livingston (drawn by A. Ajinca),,34-34,,
7:35.0,A. Ajinca misses free throw 1 of 2,,34-34,,
7:35.0,Offensive rebound by Team,,34-34,,
7:35.0,A. Ajinca makes free throw 2 of 2,1,35-34,,
7:17.0,,,35-34,,S. Livingston misses 2-pt shot from 14 ft
7:17.0,,,35-34,,Offensive rebound by D. West
7:11.0,,,35-34,,K. Thompson misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by A. Ajinca,,35-34,,
6:58.0,E. Moore misses 2-pt shot from 11 ft,,35-34,,
6:57.0,,,35-34,,Defensive rebound by A. Iguodala
6:51.0,,,35-37,3,K. Durant makes 3-pt shot from 26 ft (assist by D. West)
6:36.0,L. Galloway misses 2-pt shot from 19 ft,,35-37,,
6:36.0,,,35-37,,Defensive rebound by S. Livingston
6:25.0,,,35-39,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Iguodala)
6:14.0,A. Ajinca makes 2-pt shot from 19 ft (assist by S. Hill),2,37-39,,
5:57.0,,,37-39,,Shooting foul by S. Hill (drawn by K. Durant)
5:57.0,Official timeout,,37-39,,
5:57.0,,,37-40,1,K. Durant makes free throw 1 of 2
5:57.0,,,37-41,1,K. Durant makes free throw 2 of 2
5:57.0,A. Davis enters the game for A. Ajinca,,37-39,,
5:57.0,,,37-39,,S. Curry enters the game for A. Iguodala
5:49.0,,,37-41,,Def 3 sec tech foul by D. West
5:49.0,A. Davis makes technical free throw,1,38-41,,
5:49.0,,,38-41,,D. Green enters the game for K. Durant
5:42.0,Turnover by L. Galloway (bad pass; steal by D. West),,38-41,,
5:34.0,,,38-44,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
5:17.0,A. Davis makes 2-pt shot from 11 ft (assist by L. Galloway),2,40-44,,
5:05.0,,,40-47,3,S. Curry makes 3-pt shot from 26 ft
4:56.0,Turnover by A. Davis (lost ball; steal by D. West),,40-47,,
4:45.0,,,40-47,,K. Thompson misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by A. Davis,,40-47,,
4:28.0,E. Moore misses 2-pt shot from 8 ft,,40-47,,
