time,Charlotte,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (K. Walker gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (K. Walker gains possession)
11:40.0,M. Williams misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by C. McCollum
11:23.0,,,0-0,,C. McCollum misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by K. Walker,,0-0,,
11:16.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,2-0,,
10:59.0,,,2-0,,D. Lillard misses 2-pt shot from 2 ft
10:58.0,Defensive rebound by M. Kidd-Gilchrist,,2-0,,
10:50.0,K. Walker makes 2-pt shot from 15 ft,2,4-0,,
10:34.0,,,4-0,,E. Turner misses 2-pt shot from 17 ft
10:33.0,,,4-0,,Offensive rebound by N. Vonleh
10:33.0,,,4-0,,N. Vonleh misses 2-pt shot from 1 ft
10:32.0,Defensive rebound by R. Hibbert,,4-0,,
10:25.0,K. Walker misses 2-pt shot from 17 ft,,4-0,,
10:24.0,,,4-0,,Defensive rebound by N. Vonleh
10:15.0,,,4-0,,N. Vonleh misses 2-pt shot from 3 ft
10:13.0,Defensive rebound by K. Walker,,4-0,,
10:08.0,Turnover by N. Batum (bad pass; steal by C. McCollum),,4-0,,
10:02.0,,,4-0,,E. Turner misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by R. Hibbert,,4-0,,
9:48.0,R. Hibbert misses 2-pt shot from 20 ft,,4-0,,
9:48.0,,,4-0,,Defensive rebound by Team
9:29.0,,,4-0,,C. McCollum misses 2-pt shot from 18 ft
9:27.0,,,4-0,,Offensive rebound by Team
9:20.0,,,4-0,,N. Vonleh misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by M. Kidd-Gilchrist,,4-0,,
9:10.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,4-0,,
9:08.0,,,4-0,,Defensive rebound by N. Vonleh
8:59.0,,,4-3,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
8:38.0,K. Walker misses 3-pt shot from 27 ft,,4-3,,
8:38.0,,,4-3,,Defensive rebound by D. Lillard
8:28.0,,,4-3,,E. Turner misses 2-pt shot from 2 ft (block by M. Williams)
8:28.0,,,4-3,,Offensive rebound by Team
8:23.0,,,4-3,,C. McCollum misses 3-pt shot from 24 ft
8:22.0,,,4-3,,Offensive rebound by M. Plumlee
8:16.0,,,4-6,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
7:58.0,N. Batum misses 2-pt shot from 20 ft,,4-6,,
7:58.0,,,4-6,,Defensive rebound by E. Turner
7:50.0,,,4-8,2,N. Vonleh makes 2-pt shot from 2 ft (assist by E. Turner)
7:25.0,R. Hibbert makes 2-pt shot from 13 ft (assist by N. Batum),2,6-8,,
7:15.0,,,6-11,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
6:58.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,9-11,,
6:42.0,,,9-11,,D. Lillard misses 2-pt shot from 4 ft
6:42.0,,,9-11,,Offensive rebound by N. Vonleh
6:40.0,,,9-11,,N. Vonleh misses 2-pt shot at rim (block by M. Williams)
6:39.0,Defensive rebound by N. Batum,,9-11,,
6:32.0,M. Williams misses 3-pt shot from 23 ft,,9-11,,
6:30.0,,,9-11,,Defensive rebound by M. Plumlee
6:16.0,,,9-11,,C. McCollum misses 2-pt shot from 11 ft
6:16.0,Defensive rebound by R. Hibbert,,9-11,,
5:59.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,12-11,,
5:44.0,,,12-11,,D. Lillard misses 2-pt shot from 2 ft (block by R. Hibbert)
5:44.0,,,12-11,,Offensive rebound by Team
5:44.0,,,12-11,,Portland full timeout
5:44.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,12-11,,
5:44.0,M. Belinelli enters the game for M. Williams,,12-11,,
5:44.0,,,12-11,,A. Crabbe enters the game for C. McCollum
5:38.0,,,12-13,2,D. Lillard makes 2-pt shot from 15 ft (assist by E. Turner)
5:18.0,K. Walker misses 3-pt shot from 24 ft,,12-13,,
5:18.0,,,12-13,,Defensive rebound by M. Plumlee
5:09.0,,,12-13,,N. Vonleh misses 2-pt shot from 2 ft
5:09.0,,,12-13,,Offensive rebound by N. Vonleh
5:04.0,,,12-13,,N. Vonleh misses 2-pt shot at rim (block by R. Hibbert)
5:03.0,Defensive rebound by R. Hibbert,,12-13,,
4:53.0,N. Batum makes 2-pt shot from 21 ft,2,14-13,,
4:35.0,,,14-13,,A. Crabbe misses 2-pt shot from 6 ft
4:33.0,,,14-13,,Offensive rebound by M. Plumlee
4:18.0,Shooting block foul by R. Hibbert (drawn by M. Plumlee),,14-13,,
4:18.0,,,14-13,,M. Plumlee misses free throw 1 of 2
4:18.0,,,14-13,,Offensive rebound by Team
4:18.0,,,14-13,,M. Plumlee misses free throw 2 of 2
4:18.0,S. Hawes enters the game for R. Hibbert,,14-13,,
4:18.0,,,14-13,,A. Aminu enters the game for N. Vonleh
4:18.0,,,14-13,,M. Harkless enters the game for E. Turner
4:17.0,Defensive rebound by N. Batum,,14-13,,
4:00.0,N. Batum misses 2-pt shot from 10 ft,,14-13,,
3:59.0,,,14-13,,Defensive rebound by M. Plumlee
3:49.0,,,14-13,,Shooting foul by M. Belinelli (drawn by A. Crabbe)
3:49.0,,,14-14,1,A. Crabbe makes free throw 1 of 2
3:49.0,,,14-15,1,A. Crabbe makes free throw 2 of 2
3:49.0,,,14-14,,M. Leonard enters the game for M. Plumlee
3:36.0,S. Hawes misses 2-pt shot from 7 ft,,14-15,,
3:36.0,,,14-15,,Defensive rebound by D. Lillard
3:19.0,,,14-15,,D. Lillard misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by N. Batum,,14-15,,
3:05.0,F. Kaminsky misses 3-pt shot from 25 ft,,14-15,,
3:02.0,,,14-15,,Defensive rebound by A. Aminu
2:54.0,,,14-17,2,D. Lillard makes 2-pt shot from 7 ft
2:39.0,K. Walker makes 2-pt shot from 1 ft,2,16-17,,
2:19.0,,,16-17,,A. Crabbe misses 3-pt shot from 27 ft
2:19.0,Defensive rebound by F. Kaminsky,,16-17,,
2:01.0,M. Belinelli makes 2-pt shot from 21 ft (assist by S. Hawes),2,18-17,,
1:47.0,,,18-19,2,D. Lillard makes 2-pt shot from 1 ft
1:47.0,,,18-19,,Shooting foul by S. Hawes (drawn by D. Lillard)
1:47.0,Charlotte full timeout,,18-19,,
1:47.0,,,18-20,1,D. Lillard makes free throw 1 of 1
1:47.0,R. Sessions enters the game for K. Walker,,18-19,,
1:32.0,R. Sessions misses 2-pt shot from 15 ft,,18-20,,
1:31.0,,,18-20,,Defensive rebound by A. Aminu
1:21.0,,,18-22,2,D. Lillard makes 2-pt shot at rim
1:03.0,F. Kaminsky misses 2-pt shot from 7 ft,,18-22,,
1:02.0,,,18-22,,Defensive rebound by A. Aminu
0:57.0,,,18-24,2,A. Aminu makes 2-pt shot from 1 ft
0:50.0,N. Batum makes 3-pt shot from 25 ft (assist by R. Sessions),3,21-24,,
0:31.0,,,21-26,2,D. Lillard makes 2-pt shot from 4 ft
0:15.0,Shooting foul by A. Aminu (drawn by R. Sessions),,21-26,,
0:15.0,R. Sessions makes free throw 1 of 2,1,22-26,,
0:15.0,R. Sessions makes free throw 2 of 2,1,23-26,,
0:15.0,,,22-26,,C. McCollum enters the game for A. Aminu
0:05.0,,,23-26,,M. Leonard misses 3-pt shot from 25 ft
0:04.0,,,23-26,,Offensive rebound by M. Harkless
0:04.0,,,23-26,,M. Harkless misses 2-pt shot at rim
0:01.0,,,23-26,,Offensive rebound by M. Harkless
0:01.0,,,23-28,2,M. Harkless makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-30,2,A. Crabbe makes 2-pt shot from 18 ft (assist by M. Leonard)
11:45.0,,,23-30,,Shooting foul by M. Belinelli (drawn by A. Crabbe)
11:45.0,,,23-31,1,A. Crabbe makes free throw 1 of 1
11:32.0,R. Sessions misses 2-pt shot from 8 ft,,23-31,,
11:31.0,,,23-31,,Defensive rebound by C. McCollum
11:14.0,,,23-34,3,M. Leonard makes 3-pt shot from 23 ft (assist by M. Harkless)
10:57.0,Shooting foul by M. Leonard (drawn by M. Kidd-Gilchrist),,23-34,,
10:57.0,M. Kidd-Gilchrist misses free throw 1 of 2,,23-34,,
10:57.0,Offensive rebound by Team,,23-34,,
10:57.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,24-34,,
10:43.0,,,24-37,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Harkless)
10:36.0,Charlotte full timeout,,24-37,,
10:29.0,M. Belinelli misses 2-pt shot from 18 ft,,24-37,,
10:27.0,,,24-37,,Defensive rebound by A. Crabbe
10:06.0,,,24-37,,C. McCollum misses 2-pt shot from 8 ft
