time,Brooklyn,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. D. Jordan (C. Paul gains possession),,,,Jump ball: J. Hamilton vs. D. Jordan (C. Paul gains possession)
11:45.0,Personal foul by J. Hamilton (drawn by D. Jordan),,0-0,,
11:41.0,,,0-0,,Offensive foul by D. Jordan
11:41.0,,,0-0,,Turnover by D. Jordan (offensive foul)
11:30.0,Turnover by B. Bogdanovic (bad pass),,0-0,,
11:17.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft
11:16.0,Defensive rebound by S. Kilpatrick,,0-0,,
11:06.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by S. Kilpatrick),2,2-0,,
10:48.0,,,2-2,2,B. Griffin makes 2-pt shot from 18 ft (assist by J. Redick)
10:30.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by D. Jordan
10:23.0,,,2-5,3,C. Paul makes 3-pt shot from 24 ft
10:08.0,B. Bogdanovic misses 3-pt shot from 25 ft,,2-5,,
10:07.0,,,2-5,,Defensive rebound by B. Griffin
9:54.0,,,2-7,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
9:34.0,S. Kilpatrick misses 3-pt shot from 24 ft,,2-7,,
9:31.0,Offensive rebound by R. Hollis-Jefferson,,2-7,,
9:29.0,Turnover by Team (shot clock),,2-7,,
9:22.0,,,2-9,2,C. Paul makes 2-pt shot from 1 ft
9:17.0,Brooklyn full timeout,,2-9,,
9:06.0,S. Kilpatrick misses 2-pt shot from 6 ft,,2-9,,
9:05.0,,,2-9,,Defensive rebound by L. Mbah a Moute
8:50.0,,,2-9,,J. Redick misses 2-pt shot from 18 ft
8:47.0,Defensive rebound by B. Bogdanovic,,2-9,,
8:38.0,S. Kilpatrick misses 3-pt shot from 24 ft,,2-9,,
8:37.0,,,2-9,,Defensive rebound by B. Griffin
8:30.0,Personal foul by J. Hamilton (drawn by D. Jordan),,2-9,,
8:30.0,L. Scola enters the game for J. Hamilton,,2-9,,
8:22.0,,,2-9,,J. Redick misses 2-pt shot from 10 ft
8:20.0,Defensive rebound by L. Scola,,2-9,,
8:18.0,Turnover by R. Hollis-Jefferson (bad pass; steal by C. Paul),,2-9,,
7:57.0,,,2-12,3,C. Paul makes 3-pt shot from 24 ft
7:45.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by T. Booker),3,5-12,,
7:25.0,,,5-12,,B. Griffin misses 2-pt shot from 2 ft
7:23.0,,,5-12,,Offensive rebound by B. Griffin
7:23.0,,,5-14,2,B. Griffin makes 2-pt shot from 2 ft
7:14.0,S. Kilpatrick misses 2-pt shot from 17 ft,,5-14,,
7:12.0,,,5-14,,Defensive rebound by D. Jordan
6:56.0,,,5-14,,B. Griffin misses 3-pt shot from 25 ft
6:56.0,,,5-14,,Offensive rebound by Team
6:56.0,Loose ball foul by T. Booker (drawn by D. Jordan),,5-14,,
6:56.0,A. Bennett enters the game for T. Booker,,5-14,,
6:56.0,J. Harris enters the game for B. Bogdanovic,,5-14,,
6:38.0,,,5-16,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
6:29.0,Turnover by S. Kilpatrick (lost ball; steal by C. Paul),,5-16,,
6:24.0,,,5-18,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
6:24.0,,,5-18,,Shooting foul by L. Scola (drawn by B. Griffin)
6:24.0,,,5-19,1,B. Griffin makes free throw 1 of 1
6:14.0,Turnover by J. Harris (bad pass; steal by J. Redick),,5-19,,
6:09.0,,,5-19,,B. Griffin misses 2-pt shot from 1 ft
6:08.0,,,5-19,,Offensive rebound by D. Jordan
6:08.0,,,5-21,2,D. Jordan makes 2-pt shot from 1 ft
5:57.0,A. Bennett misses 3-pt shot from 24 ft,,5-21,,
5:55.0,,,5-21,,Defensive rebound by C. Paul
5:48.0,,,5-21,,C. Paul misses 3-pt shot from 24 ft
5:47.0,,,5-21,,Offensive rebound by C. Paul
5:43.0,,,5-21,,LA Clippers full timeout
5:31.0,,,5-24,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
5:18.0,,,5-24,,Personal foul by L. Mbah a Moute (drawn by A. Bennett)
5:03.0,S. Kilpatrick misses 3-pt shot from 25 ft,,5-24,,
5:02.0,,,5-24,,Defensive rebound by J. Redick
4:57.0,,,5-26,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
4:46.0,,,5-26,,Shooting block foul by B. Griffin (drawn by R. Hollis-Jefferson)
4:46.0,R. Hollis-Jefferson makes free throw 1 of 2,1,6-26,,
4:46.0,R. Hollis-Jefferson makes free throw 2 of 2,1,7-26,,
4:33.0,,,7-28,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:22.0,A. Bennett misses 2-pt shot at rim,,7-28,,
4:22.0,,,7-28,,Defensive rebound by B. Griffin
4:09.0,,,7-28,,Shooting foul by J. Harris (drawn by J. Redick)
4:09.0,,,7-29,1,J. Redick makes free throw 1 of 3
4:09.0,,,7-30,1,J. Redick makes free throw 2 of 3
