time,Portland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Porzingis (E. Davis gains possession),,,,Jump ball: M. Plumlee vs. K. Porzingis (E. Davis gains possession)
11:44.0,Turnover by M. Harkless (palming),,0-0,,
11:28.0,,,0-2,2,C. Anthony makes 2-pt shot from 17 ft
11:06.0,C. McCollum makes 2-pt shot from 15 ft,2,2-2,,
10:52.0,,,2-2,,D. Rose misses 2-pt shot from 7 ft
10:52.0,,,2-2,,Offensive rebound by D. Rose
10:45.0,,,2-2,,D. Rose misses 2-pt shot from 12 ft
10:44.0,Defensive rebound by C. McCollum,,2-2,,
10:36.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,5-2,,
10:26.0,,,5-4,2,C. Lee makes 2-pt shot from 8 ft
10:26.0,,,5-4,,Shooting foul by C. McCollum (drawn by C. Lee)
10:26.0,,,5-5,1,C. Lee makes free throw 1 of 1
10:08.0,M. Harkless misses 2-pt shot from 2 ft (block by C. Anthony),,5-5,,
10:05.0,Offensive rebound by C. McCollum,,5-5,,
10:00.0,Turnover by D. Lillard (bad pass; steal by D. Rose),,5-5,,
9:54.0,,,5-7,2,D. Rose makes 2-pt shot from 1 ft
9:43.0,E. Davis misses 2-pt shot from 2 ft,,5-7,,
9:42.0,Offensive rebound by E. Davis,,5-7,,
9:42.0,E. Davis makes 2-pt shot from 1 ft,2,7-7,,
9:23.0,,,7-9,2,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn)
9:07.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,10-9,,
8:49.0,,,10-9,,K. Porzingis misses 2-pt shot from 6 ft
8:47.0,Defensive rebound by E. Davis,,10-9,,
8:45.0,,,10-9,,Personal foul by K. O'Quinn (drawn by M. Plumlee)
8:35.0,E. Davis makes 2-pt shot from 3 ft (assist by D. Lillard),2,12-9,,
8:19.0,,,12-9,,K. O'Quinn misses 2-pt shot from 7 ft
8:18.0,,,12-9,,Offensive rebound by K. Porzingis
8:10.0,,,12-9,,C. Lee misses 2-pt shot from 10 ft
8:10.0,,,12-9,,Offensive rebound by K. O'Quinn
8:05.0,,,12-12,3,K. Porzingis makes 3-pt shot from 25 ft
7:54.0,C. McCollum misses 2-pt shot from 19 ft,,12-12,,
7:54.0,,,12-12,,Defensive rebound by C. Lee
7:43.0,,,12-12,,C. Anthony misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by M. Plumlee,,12-12,,
7:26.0,Turnover by M. Plumlee (bad pass; steal by C. Anthony),,12-12,,
7:24.0,,,12-12,,Turnover by D. Rose (lost ball)
7:14.0,D. Lillard makes 2-pt shot at rim (assist by C. McCollum),2,14-12,,
7:00.0,,,14-12,,K. Porzingis misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by D. Lillard,,14-12,,
6:50.0,M. Harkless makes 3-pt shot from 23 ft (assist by M. Plumlee),3,17-12,,
6:30.0,,,17-12,,Turnover by C. Anthony (lost ball)
6:23.0,Turnover by D. Lillard (lost ball; steal by K. O'Quinn),,17-12,,
6:16.0,,,17-12,,D. Rose misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by M. Plumlee,,17-12,,
5:59.0,M. Plumlee misses 2-pt shot from 1 ft,,17-12,,
5:58.0,Offensive rebound by M. Plumlee,,17-12,,
5:55.0,M. Plumlee makes 2-pt shot from 3 ft,2,19-12,,
5:55.0,,,19-12,,New York full timeout
5:55.0,A. Crabbe enters the game for C. McCollum,,19-12,,
5:43.0,Personal foul by M. Harkless (drawn by C. Anthony),,19-12,,
5:36.0,,,19-14,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Lee)
5:18.0,D. Lillard misses 2-pt shot from 5 ft,,19-14,,
