time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (N. Batum gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (N. Batum gains possession)
11:44.0,,,0-0,,N. Batum misses 2-pt shot from 18 ft (block by J. Richardson)
11:43.0,Defensive rebound by J. Winslow,,0-0,,
11:35.0,L. Babbitt makes 2-pt shot from 18 ft (assist by J. Winslow),2,2-0,,
11:17.0,,,2-0,,K. Walker misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by J. Winslow,,2-0,,
11:02.0,Turnover by H. Whiteside (bad pass; steal by N. Batum),,2-0,,
10:48.0,,,2-0,,K. Walker misses 2-pt shot from 9 ft
10:46.0,,,2-0,,Offensive rebound by N. Batum
10:42.0,,,2-0,,M. Williams misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by H. Whiteside,,2-0,,
10:32.0,Turnover by G. Dragic (bad pass; steal by M. Kidd-Gilchrist),,2-0,,
10:24.0,Personal foul by J. Winslow (drawn by M. Williams),,2-0,,
10:10.0,,,2-2,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
9:51.0,G. Dragic makes 2-pt shot from 19 ft (assist by J. Winslow),2,4-2,,
9:34.0,,,4-2,,N. Batum misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by H. Whiteside,,4-2,,
9:23.0,J. Winslow misses 2-pt shot from 20 ft,,4-2,,
9:22.0,,,4-2,,Defensive rebound by N. Batum
9:14.0,,,4-5,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
8:54.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,6-5,,
8:39.0,,,6-7,2,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker)
8:39.0,,,6-7,,Shooting foul by L. Babbitt (drawn by N. Batum)
8:39.0,,,6-8,1,N. Batum makes free throw 1 of 1
8:29.0,G. Dragic misses 2-pt shot from 9 ft,,6-8,,
8:28.0,,,6-8,,Defensive rebound by M. Kidd-Gilchrist
8:11.0,,,6-8,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft (block by L. Babbitt)
8:10.0,Defensive rebound by G. Dragic,,6-8,,
8:05.0,J. Winslow misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,6-8,,
8:05.0,Offensive rebound by Team,,6-8,,
8:00.0,H. Whiteside misses 2-pt shot from 12 ft,,6-8,,
7:59.0,,,6-8,,Defensive rebound by N. Batum
7:45.0,,,6-10,2,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by K. Walker)
7:27.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Winslow),3,9-10,,
7:04.0,,,9-10,,N. Batum misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by G. Dragic,,9-10,,
6:51.0,L. Babbitt makes 2-pt shot from 12 ft (assist by G. Dragic),2,11-10,,
6:33.0,,,11-12,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
6:23.0,Turnover by J. Winslow (bad pass; steal by N. Batum),,11-12,,
6:20.0,,,11-12,,Turnover by N. Batum (lost ball)
6:20.0,J. Johnson enters the game for J. Winslow,,11-12,,
6:20.0,,,11-12,,J. Lamb enters the game for M. Kidd-Gilchrist
6:06.0,J. Richardson misses 3-pt shot from 25 ft,,11-12,,
6:05.0,,,11-12,,Defensive rebound by K. Walker
5:58.0,,,11-12,,M. Williams misses 2-pt shot from 14 ft
5:57.0,Defensive rebound by H. Whiteside,,11-12,,
5:44.0,G. Dragic misses 3-pt shot from 23 ft,,11-12,,
5:43.0,,,11-12,,Defensive rebound by J. Lamb
5:35.0,,,11-12,,J. Lamb misses 2-pt shot from 16 ft
5:35.0,Defensive rebound by Team,,11-12,,
5:35.0,,,11-12,,Charlotte full timeout
5:35.0,T. Johnson enters the game for J. Richardson,,11-12,,
5:35.0,,,11-12,,F. Kaminsky enters the game for M. Williams
5:29.0,Turnover by J. Johnson (lost ball; steal by N. Batum),,11-12,,
5:25.0,,,11-14,2,N. Batum makes 2-pt shot at rim
5:02.0,Turnover by H. Whiteside (3 sec),,11-14,,
4:50.0,,,11-14,,N. Batum misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by T. Johnson,,11-14,,
4:36.0,H. Whiteside makes 2-pt shot from 2 ft (assist by T. Johnson),2,13-14,,
4:16.0,,,13-17,3,K. Walker makes 3-pt shot from 25 ft
4:07.0,Miami full timeout,,13-17,,
3:57.0,T. Johnson makes 2-pt shot from 18 ft (assist by L. Babbitt),2,15-17,,
3:34.0,,,15-17,,F. Kaminsky misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by G. Dragic,,15-17,,
3:29.0,Shooting foul by C. Zeller (drawn by J. Johnson),,15-17,,
3:29.0,J. Johnson misses free throw 1 of 2,,15-17,,
3:29.0,Offensive rebound by Team,,15-17,,
3:29.0,J. Johnson misses free throw 2 of 2,,15-17,,
3:29.0,,,15-17,,R. Sessions enters the game for K. Walker
3:27.0,,,15-17,,Defensive rebound by N. Batum
3:20.0,Personal block foul by J. Johnson (drawn by N. Batum),,15-17,,
3:01.0,,,15-17,,N. Batum misses 2-pt shot from 2 ft
3:00.0,,,15-17,,Offensive rebound by C. Zeller
3:00.0,,,15-19,2,C. Zeller makes 2-pt shot at rim
2:40.0,H. Whiteside misses 2-pt shot from 6 ft,,15-19,,
2:39.0,,,15-19,,Defensive rebound by R. Sessions
2:29.0,,,15-19,,F. Kaminsky misses 2-pt shot from 7 ft
2:28.0,Defensive rebound by L. Babbitt,,15-19,,
2:18.0,J. Johnson misses 2-pt shot from 4 ft (block by F. Kaminsky),,15-19,,
2:16.0,,,15-19,,Defensive rebound by F. Kaminsky
2:10.0,,,15-19,,R. Sessions misses 2-pt shot from 7 ft
2:07.0,,,15-19,,Offensive rebound by F. Kaminsky
1:56.0,,,15-19,,Turnover by N. Batum (bad pass; steal by T. Johnson)
1:48.0,T. Johnson misses 3-pt shot from 25 ft,,15-19,,
1:46.0,,,15-19,,Defensive rebound by N. Batum
1:37.0,,,15-19,,J. Lamb misses 2-pt shot from 1 ft
1:36.0,,,15-19,,Offensive rebound by C. Zeller
1:36.0,,,15-21,2,C. Zeller makes 2-pt shot at rim
1:21.0,G. Dragic misses 2-pt shot from 2 ft,,15-21,,
1:20.0,,,15-21,,Defensive rebound by C. Zeller
1:14.0,,,15-21,,R. Sessions misses 2-pt shot from 1 ft (block by J. Johnson)
1:12.0,Defensive rebound by H. Whiteside,,15-21,,
1:10.0,Shooting foul by J. Lamb (drawn by G. Dragic),,15-21,,
1:10.0,G. Dragic misses free throw 1 of 2,,15-21,,
1:10.0,Offensive rebound by Team,,15-21,,
1:10.0,G. Dragic makes free throw 2 of 2,1,16-21,,
1:10.0,W. Reed enters the game for L. Babbitt,,15-21,,
1:10.0,J. Winslow enters the game for H. Whiteside,,15-21,,
1:10.0,,,15-21,,R. Hibbert enters the game for C. Zeller
1:00.0,Personal block foul by J. Johnson (drawn by N. Batum),,16-21,,
1:00.0,R. McGruder enters the game for J. Johnson,,16-21,,
