time,Indiana,pts.away,score,pts.home,Houston
6:18.0,J. Teague makes 3-pt shot from 26 ft (assist by P. George),3,103-92,,
5:46.0,,,103-92,,P. Beverley misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by M. Ellis,,103-92,,
5:34.0,,,103-92,,Personal foul by P. Beverley (drawn by J. Teague)
5:34.0,Official timeout,,103-92,,
5:34.0,,,103-92,,R. Anderson enters the game for C. Capela
5:34.0,,,103-92,,N. Hilario enters the game for P. Beverley
5:34.0,M. Turner enters the game for R. Christmas,,103-92,,
5:22.0,J. Teague misses 2-pt shot from 6 ft,,103-92,,
5:20.0,,,103-92,,Defensive rebound by R. Anderson
5:14.0,,,103-92,,Shooting foul by P. George
5:14.0,,,103-93,1,L. Williams makes free throw 1 of 2
5:14.0,,,103-94,1,L. Williams makes free throw 2 of 2
5:14.0,R. Stuckey enters the game for P. George,,103-93,,
4:58.0,R. Stuckey misses 3-pt shot from 26 ft,,103-94,,
4:57.0,Offensive rebound by L. Allen,,103-94,,
4:52.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,105-94,,
4:39.0,,,105-94,,L. Williams misses 3-pt shot from 26 ft
4:37.0,,,105-94,,Offensive rebound by N. Hilario
4:36.0,,,105-94,,Shooting foul by M. Turner (drawn by N. Hilario)
4:36.0,,,105-94,,N. Hilario misses free throw 1 of 2
4:36.0,,,105-94,,Offensive rebound by Team
4:36.0,,,105-94,,N. Hilario misses free throw 2 of 2
4:36.0,Defensive rebound by L. Allen,,105-94,,
4:23.0,J. Teague makes 3-pt shot from 23 ft (assist by M. Ellis),3,108-94,,
4:01.0,,,108-94,,R. Anderson misses 3-pt shot from 27 ft
4:00.0,Defensive rebound by J. Teague,,108-94,,
3:40.0,J. Teague misses 2-pt shot from 4 ft (block by R. Anderson),,108-94,,
3:39.0,,,108-94,,Defensive rebound by J. Harden
3:35.0,,,108-96,2,L. Williams makes 2-pt shot from 1 ft (assist by J. Harden)
3:24.0,Offensive charge foul by M. Ellis,,108-96,,
3:24.0,Turnover by M. Ellis (offensive foul),,108-96,,
3:24.0,C. Miles enters the game for L. Allen,,108-96,,
3:24.0,,,108-96,,P. Beverley enters the game for R. Anderson
3:15.0,,,108-96,,Shooting foul by C. Miles (drawn by T. Ariza)
3:15.0,,,108-97,1,T. Ariza makes free throw 1 of 2
3:15.0,,,108-98,1,T. Ariza makes free throw 2 of 2
3:15.0,P. George enters the game for M. Ellis,,108-97,,
2:50.0,R. Stuckey misses 3-pt shot from 23 ft,,108-98,,
2:49.0,,,108-98,,Defensive rebound by P. Beverley
2:41.0,,,108-98,,T. Ariza misses 3-pt shot from 27 ft
2:40.0,,,108-98,,Offensive rebound by N. Hilario
2:33.0,,,108-101,3,L. Williams makes 3-pt shot from 26 ft (assist by T. Ariza)
2:05.0,,,108-101,,Shooting block foul by P. Beverley (drawn by J. Teague)
2:05.0,,,108-101,,Houston full timeout
2:05.0,J. Teague makes free throw 1 of 2,1,109-101,,
2:05.0,J. Teague makes free throw 2 of 2,1,110-101,,
2:05.0,T. Young enters the game for C. Miles,,108-101,,
2:05.0,M. Ellis enters the game for R. Stuckey,,108-101,,
1:57.0,,,110-101,,Shooting foul by J. Teague (drawn by N. Hilario)
1:57.0,,,110-102,1,N. Hilario makes free throw 1 of 2
1:57.0,,,110-103,1,N. Hilario makes free throw 2 of 2
1:57.0,C. Miles enters the game for T. Young,,110-102,,
1:38.0,P. George misses 2-pt shot from 18 ft,,110-103,,
1:38.0,,,110-103,,Defensive rebound by Team
1:33.0,,,110-103,,Shooting foul by M. Turner (drawn by J. Harden)
1:33.0,,,110-104,1,J. Harden makes free throw 1 of 2
1:33.0,,,110-105,1,J. Harden makes free throw 2 of 2
1:12.0,Turnover by M. Ellis (lost ball; steal by J. Harden),,110-105,,
1:03.0,,,110-108,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Harden)
1:03.0,,,110-108,,Shooting foul by M. Turner
1:03.0,,,110-108,,L. Williams misses free throw 1 of 1
1:03.0,,,110-108,,Offensive rebound by T. Ariza
1:03.0,T. Young enters the game for C. Miles,,110-108,,
1:00.0,,,110-108,,T. Ariza misses 2-pt shot from 1 ft (block by P. George)
1:00.0,Defensive rebound by M. Turner,,110-108,,
0:59.0,Indiana full timeout,,110-108,,
0:59.0,C. Miles enters the game for T. Young,,110-108,,
0:41.0,C. Miles makes 3-pt shot from 23 ft (assist by P. George),3,113-108,,
0:41.0,,,113-108,,Houston full timeout
0:41.0,R. Stuckey enters the game for C. Miles,,113-108,,
0:36.0,,,113-108,,J. Harden misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by P. George,,113-108,,
0:34.0,,,113-108,,Personal take foul by P. Beverley (drawn by P. George)
0:34.0,,,113-108,,E. Gordon enters the game for P. Beverley
0:31.0,,,113-108,,Personal take foul by L. Williams
0:31.0,J. Teague makes free throw 1 of 2,1,114-108,,
0:31.0,J. Teague makes free throw 2 of 2,1,115-108,,
0:31.0,,,115-108,,Houston full timeout
0:29.0,,,115-108,,L. Williams misses 3-pt shot from 29 ft
0:27.0,Defensive rebound by M. Ellis,,115-108,,
0:21.0,,,115-108,,Personal take foul by L. Williams
0:21.0,J. Teague makes free throw 1 of 2,1,116-108,,
0:21.0,J. Teague makes free throw 2 of 2,1,117-108,,
0:13.0,,,117-108,,J. Harden misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by M. Turner,,117-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
