time,Indiana,pts.away,score,pts.home,Houston
2:26.0,,,18-24,,Houston full timeout
2:26.0,,,18-24,,S. Dekker enters the game for T. Ariza
2:17.0,,,18-24,,E. Gordon misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by G. Robinson,,18-24,,
2:05.0,R. Stuckey misses 3-pt shot from 23 ft,,18-24,,
2:04.0,Offensive rebound by L. Allen,,18-24,,
1:54.0,R. Christmas makes 2-pt shot from 1 ft (assist by M. Ellis),2,20-24,,
1:30.0,,,20-26,2,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams)
1:15.0,L. Allen misses 2-pt shot from 7 ft,,20-26,,
1:14.0,,,20-26,,Defensive rebound by N. Hilario
1:06.0,,,20-26,,N. Hilario misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by R. Stuckey,,20-26,,
0:59.0,R. Stuckey misses 2-pt shot from 5 ft (block by N. Hilario),,20-26,,
0:58.0,,,20-26,,Defensive rebound by Team
0:49.0,,,20-26,,J. Harden misses 2-pt shot from 4 ft
0:49.0,,,20-26,,Offensive rebound by Team
0:44.0,,,20-26,,Shooting foul by R. Christmas (drawn by N. Hilario)
0:44.0,,,20-27,1,N. Hilario makes free throw 1 of 2
0:44.0,,,20-28,1,N. Hilario makes free throw 2 of 2
0:28.0,Turnover by R. Stuckey (bad pass),,20-28,,
0:10.0,,,20-28,,J. Harden misses 2-pt shot from 3 ft
0:09.0,,,20-28,,Offensive rebound by N. Hilario
0:08.0,,,20-28,,N. Hilario misses 2-pt shot at rim
0:08.0,,,20-28,,Offensive rebound by N. Hilario
0:08.0,,,20-30,2,N. Hilario makes 2-pt shot at rim
0:08.0,,,20-30,,Shooting foul by L. Allen (drawn by N. Hilario)
0:08.0,,,20-31,1,N. Hilario makes free throw 1 of 1
0:02.0,R. Stuckey misses 2-pt shot from 1 ft,,20-31,,
0:02.0,Offensive rebound by L. Allen,,20-31,,
0:01.0,L. Allen misses 2-pt shot from 1 ft,,20-31,,
0:01.0,Offensive rebound by Team,,20-31,,
0:01.0,L. Allen misses 2-pt shot from 1 ft,,20-31,,
0:00.0,Offensive rebound by Team,,20-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Stuckey misses 3-pt shot from 23 ft,,20-31,,
11:43.0,,,20-31,,Defensive rebound by L. Williams
11:39.0,,,20-31,,Shooting foul by G. Robinson
11:39.0,,,20-33,2,L. Williams makes 2-pt shot from 16 ft
11:39.0,,,20-34,1,L. Williams makes free throw 1 of 1
11:39.0,P. George enters the game for G. Robinson,,20-33,,
11:22.0,L. Allen misses 2-pt shot from 6 ft,,20-34,,
11:22.0,Offensive rebound by M. Ellis,,20-34,,
11:13.0,P. George misses 2-pt shot from 21 ft,,20-34,,
11:11.0,Offensive rebound by R. Stuckey,,20-34,,
11:09.0,R. Stuckey misses 2-pt shot from 5 ft,,20-34,,
11:09.0,Offensive rebound by Team,,20-34,,
11:09.0,,,20-34,,Personal foul by S. Dekker (drawn by R. Christmas)
11:05.0,,,20-34,,Personal foul by P. Beverley (drawn by P. George)
10:59.0,M. Ellis makes 2-pt shot from 18 ft (assist by R. Stuckey),2,22-34,,
10:42.0,,,22-37,3,L. Williams makes 3-pt shot from 27 ft
10:31.0,Turnover by M. Ellis (lost ball; steal by P. Beverley),,22-37,,
10:27.0,,,22-37,,Turnover by C. Capela (bad pass; steal by P. George)
10:22.0,P. George makes 2-pt shot from 2 ft,2,24-37,,
10:15.0,,,24-40,3,S. Dekker makes 3-pt shot from 23 ft (assist by E. Gordon)
9:54.0,L. Allen misses 2-pt shot from 5 ft,,24-40,,
9:54.0,Offensive rebound by L. Allen,,24-40,,
9:54.0,L. Allen misses 2-pt shot from 5 ft,,24-40,,
9:52.0,,,24-40,,Defensive rebound by Team
9:48.0,,,24-40,,Turnover by P. Beverley (lost ball; steal by R. Stuckey)
9:44.0,R. Stuckey misses 2-pt shot from 2 ft (block by L. Williams),,24-40,,
9:40.0,Offensive rebound by M. Ellis,,24-40,,
9:30.0,M. Ellis makes 2-pt shot from 2 ft,2,26-40,,
9:20.0,Violation by R. Christmas (kicked ball),,26-40,,
9:20.0,,,26-40,,M. Harrell enters the game for C. Capela
9:13.0,,,26-43,3,L. Williams makes 3-pt shot from 24 ft (assist by M. Harrell)
8:56.0,P. George misses 2-pt shot from 18 ft,,26-43,,
8:54.0,Offensive rebound by R. Christmas,,26-43,,
8:48.0,P. George makes 2-pt shot from 2 ft (assist by L. Allen),2,28-43,,
8:30.0,,,28-43,,S. Dekker misses 2-pt shot from 6 ft
8:29.0,Defensive rebound by L. Allen,,28-43,,
8:22.0,M. Ellis makes 2-pt shot from 2 ft,2,30-43,,
8:10.0,,,30-43,,L. Williams misses 2-pt shot from 8 ft
8:09.0,Defensive rebound by R. Christmas,,30-43,,
8:05.0,R. Stuckey makes 2-pt shot at rim (assist by M. Ellis),2,32-43,,
8:05.0,,,32-43,,Houston full timeout
8:05.0,J. Teague enters the game for L. Allen,,32-43,,
8:05.0,T. Young enters the game for R. Stuckey,,32-43,,
7:51.0,,,32-45,2,E. Gordon makes 2-pt shot from 2 ft (assist by P. Beverley)
7:51.0,,,32-45,,Shooting foul by R. Christmas (drawn by E. Gordon)
7:51.0,,,32-45,,E. Gordon misses free throw 1 of 1
7:51.0,Defensive rebound by T. Young,,32-45,,
7:31.0,Shooting foul by P. Beverley (drawn by R. Christmas),,32-45,,
7:31.0,R. Christmas makes free throw 1 of 2,1,33-45,,
7:31.0,R. Christmas makes free throw 2 of 2,1,34-45,,
7:18.0,,,34-45,,E. Gordon misses 3-pt shot from 29 ft
7:17.0,Defensive rebound by M. Ellis,,34-45,,
7:03.0,P. George misses 3-pt shot from 26 ft,,34-45,,
7:01.0,,,34-45,,Defensive rebound by P. Beverley
6:56.0,,,34-45,,Turnover by L. Williams (bad pass)
6:56.0,,,34-45,,J. Harden enters the game for P. Beverley
6:46.0,R. Christmas makes 2-pt shot from 2 ft (assist by M. Ellis),2,36-45,,
6:25.0,,,36-45,,J. Harden misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by J. Teague,,36-45,,
6:17.0,P. George misses 3-pt shot from 26 ft,,36-45,,
6:15.0,Offensive rebound by P. George,,36-45,,
6:11.0,P. George makes 3-pt shot from 25 ft,3,39-45,,
5:50.0,,,39-45,,S. Dekker misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by R. Christmas,,39-45,,
5:31.0,T. Young makes 2-pt shot from 6 ft,2,41-45,,
5:18.0,,,41-45,,Shooting foul by R. Christmas (drawn by J. Harden)
5:18.0,Official timeout,,41-45,,
5:18.0,,,41-46,1,J. Harden makes free throw 1 of 2
5:18.0,,,41-47,1,J. Harden makes free throw 2 of 2
5:18.0,,,41-45,,R. Anderson enters the game for S. Dekker
5:18.0,,,41-45,,T. Ariza enters the game for M. Harrell
5:18.0,M. Turner enters the game for R. Christmas,,41-45,,
4:57.0,,,41-47,,Personal foul by L. Williams
4:51.0,,,41-47,,Personal foul by J. Harden (drawn by M. Turner)
4:51.0,M. Turner makes free throw 1 of 2,1,42-47,,
4:51.0,M. Turner makes free throw 2 of 2,1,43-47,,
4:33.0,,,43-47,,T. Ariza misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by J. Teague,,43-47,,
4:23.0,T. Young makes 2-pt shot from 2 ft (assist by M. Turner),2,45-47,,
4:12.0,,,45-47,,Shooting foul by P. George
4:12.0,,,45-48,1,L. Williams makes free throw 1 of 2
4:12.0,,,45-49,1,L. Williams makes free throw 2 of 2
4:12.0,,,45-48,,N. Hilario enters the game for E. Gordon
4:12.0,G. Robinson enters the game for P. George,,45-48,,
3:53.0,J. Teague misses 3-pt shot from 26 ft,,45-49,,
3:52.0,,,45-49,,Defensive rebound by J. Harden
3:47.0,,,45-49,,Shooting foul by G. Robinson (drawn by J. Harden)
3:47.0,,,45-50,1,J. Harden makes free throw 1 of 3
3:47.0,,,45-50,,J. Harden misses free throw 2 of 3
3:47.0,,,45-50,,Offensive rebound by Team
3:47.0,,,45-51,1,J. Harden makes free throw 3 of 3
3:47.0,R. Stuckey enters the game for G. Robinson,,45-50,,
3:47.0,,,45-50,,P. Beverley enters the game for L. Williams
3:25.0,Shooting foul by T. Ariza (drawn by J. Teague),,45-51,,
3:25.0,J. Teague makes free throw 1 of 2,1,46-51,,
3:25.0,J. Teague makes free throw 2 of 2,1,47-51,,
3:15.0,,,47-51,,J. Harden misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by J. Teague,,47-51,,
3:07.0,J. Teague makes 2-pt shot from 2 ft,2,49-51,,
2:50.0,,,49-51,,Turnover by T. Ariza (bad pass)
2:50.0,Indiana full timeout,,49-51,,
2:38.0,Shooting foul by R. Anderson (drawn by M. Turner),,49-51,,
2:38.0,M. Turner misses free throw 1 of 2,,49-51,,
2:38.0,Offensive rebound by Team,,49-51,,
2:38.0,M. Turner makes free throw 2 of 2,1,50-51,,
2:15.0,,,50-54,3,J. Harden makes 3-pt shot from 26 ft
2:06.0,Shooting foul by P. Beverley (drawn by J. Teague),,50-54,,
2:06.0,J. Teague makes free throw 1 of 2,1,51-54,,
2:06.0,J. Teague makes free throw 2 of 2,1,52-54,,
2:06.0,,,51-54,,E. Gordon enters the game for P. Beverley
1:50.0,,,52-54,,E. Gordon misses 2-pt shot from 10 ft
1:50.0,,,52-54,,Offensive rebound by N. Hilario
1:50.0,,,52-54,,Shooting foul by M. Ellis (drawn by N. Hilario)
1:50.0,,,52-55,1,N. Hilario makes free throw 1 of 2
1:50.0,,,52-56,1,N. Hilario makes free throw 2 of 2
1:33.0,R. Stuckey misses 2-pt shot from 15 ft,,52-56,,
1:31.0,Offensive rebound by J. Teague,,52-56,,
1:20.0,M. Turner makes 3-pt shot from 25 ft (assist by T. Young),3,55-56,,
1:06.0,,,55-56,,R. Anderson misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by T. Young,,55-56,,
0:54.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,57-56,,
0:34.0,,,57-58,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
0:24.0,Shooting foul by E. Gordon (drawn by J. Teague),,57-58,,
0:24.0,J. Teague makes free throw 1 of 2,1,58-58,,
0:24.0,J. Teague makes free throw 2 of 2,1,59-58,,
0:02.0,,,59-58,,J. Harden misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Teague,,59-58,,
0:00.0,J. Teague misses 3-pt shot from 69 ft,,59-58,,
0:00.0,Offensive rebound by Team,,59-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,P. George misses 3-pt shot from 26 ft,,59-58,,
11:41.0,,,59-58,,Defensive rebound by J. Harden
11:33.0,,,59-58,,T. Ariza misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by J. Teague,,59-58,,
11:25.0,C. Miles misses 3-pt shot from 25 ft,,59-58,,
11:24.0,,,59-58,,Defensive rebound by T. Ariza
11:16.0,,,59-60,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:57.0,C. Miles misses 2-pt shot from 21 ft,,59-60,,
10:56.0,,,59-60,,Defensive rebound by C. Capela
10:43.0,,,59-60,,Shooting foul by J. Teague (drawn by J. Harden)
10:43.0,,,59-60,,J. Harden misses free throw 1 of 2
10:43.0,,,59-60,,Offensive rebound by Team
10:43.0,,,59-61,1,J. Harden makes free throw 2 of 2
10:33.0,Turnover by J. Teague (bad pass; steal by J. Harden),,59-61,,
10:28.0,,,59-63,2,J. Harden makes 2-pt shot from 2 ft
10:12.0,C. Miles makes 3-pt shot from 23 ft (assist by P. George),3,62-63,,
9:51.0,,,62-63,,J. Harden misses 3-pt shot from 27 ft
9:50.0,Defensive rebound by P. George,,62-63,,
9:42.0,T. Young misses 2-pt shot from 6 ft,,62-63,,
9:41.0,,,62-63,,Defensive rebound by T. Ariza
9:27.0,,,62-66,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
9:09.0,P. George misses 3-pt shot from 24 ft,,62-66,,
9:08.0,,,62-66,,Defensive rebound by C. Capela
8:57.0,,,62-66,,Turnover by J. Harden (bad pass; steal by P. George)
8:53.0,Shooting foul by R. Anderson (drawn by P. George),,62-66,,
8:53.0,P. George makes free throw 1 of 2,1,63-66,,
8:53.0,P. George makes free throw 2 of 2,1,64-66,,
8:32.0,,,64-66,,J. Harden misses 2-pt shot from 4 ft (block by M. Turner)
8:30.0,Defensive rebound by M. Turner,,64-66,,
8:25.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,67-66,,
8:03.0,,,67-66,,R. Anderson misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by P. George,,67-66,,
7:36.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague),2,69-66,,
7:25.0,,,69-66,,T. Ariza misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by T. Young,,69-66,,
7:15.0,M. Turner misses 2-pt shot from 4 ft,,69-66,,
7:13.0,,,69-66,,Defensive rebound by J. Harden
7:07.0,,,69-68,2,J. Harden makes 2-pt shot from 1 ft
6:52.0,P. George makes 3-pt shot from 27 ft (assist by J. Teague),3,72-68,,
6:35.0,,,72-68,,Shooting foul by J. Teague (drawn by J. Harden)
6:35.0,,,72-68,,J. Harden misses free throw 1 of 3
6:35.0,,,72-68,,Offensive rebound by Team
6:35.0,,,72-69,1,J. Harden makes free throw 2 of 3
6:35.0,,,72-70,1,J. Harden makes free throw 3 of 3
6:13.0,J. Teague makes 3-pt shot from 25 ft (assist by P. George),3,75-70,,
6:02.0,,,75-70,,R. Anderson misses 3-pt shot from 28 ft
6:01.0,,,75-70,,Offensive rebound by P. Beverley
5:58.0,,,75-72,2,P. Beverley makes 2-pt shot from 1 ft
5:47.0,P. George misses 2-pt shot from 4 ft (block by C. Capela),,75-72,,
5:47.0,,,75-72,,Defensive rebound by Team
5:47.0,,,75-72,,Houston full timeout
5:47.0,,,75-72,,E. Gordon enters the game for P. Beverley
5:32.0,,,75-72,,J. Harden misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by P. George,,75-72,,
5:08.0,P. George misses 3-pt shot from 23 ft,,75-72,,
5:08.0,,,75-72,,Defensive rebound by Team
4:50.0,,,75-72,,E. Gordon misses 3-pt shot from 28 ft
4:49.0,Defensive rebound by C. Miles,,75-72,,
4:43.0,T. Young misses 2-pt shot from 2 ft,,75-72,,
