time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (K. Thompson gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (K. Thompson gains possession)
11:44.0,,,0-2,2,K. Durant makes 2-pt shot at rim
11:28.0,Turnover by C. Parsons (bad pass),,0-2,,
11:15.0,,,0-2,,K. Thompson misses 2-pt shot from 4 ft
11:15.0,Defensive rebound by M. Conley,,0-2,,
11:08.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley),2,2-2,,
10:56.0,,,2-4,2,S. Curry makes 2-pt shot from 4 ft
10:48.0,M. Gasol misses 3-pt shot from 26 ft,,2-4,,
10:48.0,,,2-4,,Defensive rebound by K. Thompson
10:35.0,,,2-4,,K. Durant misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by J. Green,,2-4,,
10:19.0,C. Parsons misses 3-pt shot from 23 ft,,2-4,,
10:18.0,,,2-4,,Defensive rebound by S. Curry
10:11.0,,,2-4,,S. Curry misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by M. Conley,,2-4,,
9:59.0,M. Conley makes 2-pt shot from 20 ft,2,4-4,,
9:48.0,,,4-4,,K. Thompson misses 3-pt shot from 29 ft
9:48.0,Defensive rebound by M. Conley,,4-4,,
9:30.0,M. Conley misses 3-pt shot from 26 ft,,4-4,,
9:30.0,,,4-4,,Defensive rebound by D. Green
9:19.0,,,4-6,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by K. Thompson)
9:02.0,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley),2,6-6,,
8:44.0,Personal foul by M. Gasol (drawn by Z. Pachulia),,6-6,,
8:39.0,,,6-8,2,S. Curry makes 2-pt shot from 1 ft (assist by Z. Pachulia)
8:21.0,Turnover by M. Conley (bad pass),,6-8,,
8:06.0,,,6-8,,K. Thompson misses 2-pt shot from 5 ft
8:05.0,,,6-8,,Offensive rebound by K. Thompson
8:04.0,,,6-8,,K. Thompson misses 2-pt shot from 2 ft
8:04.0,,,6-8,,Offensive rebound by K. Thompson
8:02.0,,,6-10,2,K. Thompson makes 2-pt shot from 4 ft
7:46.0,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley),2,8-10,,
7:36.0,Shooting block foul by C. Parsons (drawn by K. Durant),,8-10,,
7:36.0,,,8-11,1,K. Durant makes free throw 1 of 2
7:36.0,,,8-11,,K. Durant misses free throw 2 of 2
7:35.0,Defensive rebound by M. Gasol,,8-11,,
7:11.0,J. Green misses 3-pt shot from 26 ft,,8-11,,
7:11.0,,,8-11,,Defensive rebound by Z. Pachulia
7:01.0,,,8-11,,D. Green misses 3-pt shot from 27 ft
7:00.0,Defensive rebound by T. Allen,,8-11,,
6:39.0,C. Parsons misses 2-pt shot from 19 ft,,8-11,,
6:39.0,,,8-11,,Defensive rebound by K. Durant
6:33.0,,,8-14,3,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant)
6:21.0,Memphis full timeout,,8-14,,
6:21.0,J. Ennis enters the game for C. Parsons,,8-14,,
6:13.0,T. Allen misses 2-pt shot from 3 ft,,8-14,,
6:12.0,Offensive rebound by T. Allen,,8-14,,
6:11.0,T. Allen misses 2-pt shot from 3 ft,,8-14,,
6:09.0,,,8-14,,Defensive rebound by K. Durant
6:01.0,,,8-14,,Z. Pachulia misses 2-pt shot from 11 ft
6:01.0,Defensive rebound by Team,,8-14,,
6:01.0,,,8-14,,Loose ball foul by Z. Pachulia (drawn by T. Allen)
5:44.0,J. Ennis misses 3-pt shot from 26 ft,,8-14,,
5:43.0,,,8-14,,Defensive rebound by Z. Pachulia
5:35.0,,,8-16,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
5:35.0,,,8-16,,Shooting foul by M. Gasol (drawn by S. Curry)
5:35.0,,,8-17,1,S. Curry makes free throw 1 of 1
5:25.0,Z. Randolph enters the game for J. Green,,8-17,,
5:15.0,M. Conley makes 2-pt shot from 19 ft,2,10-17,,
4:56.0,,,10-19,2,K. Durant makes 2-pt shot from 4 ft (assist by S. Curry)
4:46.0,,,10-19,,Violation by D. Green (kicked ball)
4:46.0,,,10-19,,A. Iguodala enters the game for K. Durant
4:38.0,,,10-19,,Personal foul by K. Thompson (drawn by M. Conley)
4:38.0,M. Conley makes free throw 1 of 2,1,11-19,,
4:38.0,M. Conley misses free throw 2 of 2,,11-19,,
4:36.0,,,11-19,,Defensive rebound by S. Curry
4:28.0,,,11-21,2,S. Curry makes 2-pt shot from 2 ft
4:07.0,J. Ennis misses 2-pt shot from 3 ft,,11-21,,
4:06.0,,,11-21,,Defensive rebound by D. Green
3:55.0,,,11-21,,K. Thompson misses 2-pt shot from 11 ft
3:54.0,Defensive rebound by T. Allen,,11-21,,
3:43.0,Shooting foul by Z. Pachulia (drawn by M. Gasol),,11-21,,
3:43.0,M. Gasol makes free throw 1 of 2,1,12-21,,
3:43.0,M. Gasol makes free throw 2 of 2,1,13-21,,
3:33.0,,,13-23,2,S. Curry makes 2-pt shot from 3 ft
3:18.0,M. Conley makes 3-pt shot from 25 ft,3,16-23,,
3:02.0,,,16-25,2,K. Thompson makes 2-pt shot from 3 ft (assist by Z. Pachulia)
2:58.0,Memphis full timeout,,16-25,,
2:58.0,,,16-25,,Golden State full timeout
2:58.0,V. Carter enters the game for T. Allen,,16-25,,
2:58.0,A. Harrison enters the game for M. Conley,,16-25,,
2:58.0,,,16-25,,J. McGee enters the game for Z. Pachulia
2:58.0,,,16-25,,P. McCaw enters the game for K. Thompson
2:49.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol),3,19-25,,
2:34.0,Personal foul by V. Carter (drawn by S. Curry),,19-25,,
2:34.0,J. Green enters the game for M. Gasol,,19-25,,
2:27.0,,,19-25,,Shooting foul by J. Green (drawn by D. Green)
2:27.0,,,19-25,,D. Green misses free throw 1 of 2
2:27.0,,,19-25,,Offensive rebound by Team
2:27.0,,,19-26,1,D. Green makes free throw 2 of 2
2:13.0,Z. Randolph misses 2-pt shot from 17 ft,,19-26,,
2:13.0,,,19-26,,Defensive rebound by D. Green
2:04.0,,,19-26,,S. Curry misses 2-pt shot from 14 ft
2:03.0,Defensive rebound by V. Carter,,19-26,,
1:55.0,,,19-26,,Personal foul by P. McCaw (drawn by A. Harrison)
1:46.0,V. Carter misses 2-pt shot from 21 ft,,19-26,,
1:46.0,Offensive rebound by A. Harrison,,19-26,,
1:41.0,Shooting foul by D. Green (drawn by J. Green),,19-26,,
1:41.0,J. Green misses free throw 1 of 3,,19-26,,
1:41.0,Offensive rebound by Team,,19-26,,
1:41.0,J. Green misses free throw 2 of 3,,19-26,,
1:41.0,Offensive rebound by Team,,19-26,,
1:41.0,J. Green makes free throw 3 of 3,1,20-26,,
1:41.0,,,19-26,,K. Durant enters the game for D. Green
1:27.0,,,20-29,3,S. Curry makes 3-pt shot from 26 ft
1:05.0,Z. Randolph makes 2-pt shot from 3 ft,2,22-29,,
0:55.0,,,22-29,,Turnover by K. Durant (bad pass; steal by J. Green)
0:43.0,Z. Randolph makes 3-pt shot from 24 ft (assist by J. Ennis),3,25-29,,
0:37.0,,,25-29,,Shooting foul by A. Harrison (drawn by S. Curry)
0:37.0,,,25-30,1,S. Curry makes free throw 1 of 3
0:37.0,,,25-31,1,S. Curry makes free throw 2 of 3
0:37.0,,,25-32,1,S. Curry makes free throw 3 of 3
0:37.0,,,25-31,,D. West enters the game for J. McGee
0:31.0,A. Harrison makes 2-pt shot from 5 ft,2,27-32,,
0:15.0,,,27-32,,P. McCaw misses 3-pt shot from 23 ft
0:14.0,,,27-32,,Offensive rebound by A. Iguodala
0:01.0,,,27-34,2,K. Durant makes 2-pt shot from 23 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,V. Carter misses 2-pt shot from 4 ft,,27-34,,
11:45.0,,,27-34,,Defensive rebound by D. West
11:29.0,,,27-34,,K. Thompson misses 2-pt shot from 9 ft
11:28.0,Defensive rebound by Team,,27-34,,
11:18.0,V. Carter misses 3-pt shot from 30 ft,,27-34,,
11:17.0,,,27-34,,Defensive rebound by K. Thompson
11:08.0,,,27-34,,K. Durant misses 2-pt shot from 3 ft
11:07.0,Defensive rebound by J. Ennis,,27-34,,
10:47.0,Turnover by A. Harrison (bad pass; steal by D. West),,27-34,,
10:37.0,,,27-36,2,S. Livingston makes 2-pt shot from 15 ft
10:22.0,Turnover by Z. Randolph (lost ball; steal by D. West),,27-36,,
10:16.0,C. Parsons enters the game for J. Ennis,,27-36,,
10:12.0,,,27-38,2,K. Thompson makes 2-pt shot from 3 ft (assist by D. West)
10:12.0,,,27-38,,Shooting foul by A. Harrison (drawn by K. Thompson)
10:12.0,,,27-39,1,K. Thompson makes free throw 1 of 1
10:12.0,T. Allen enters the game for A. Harrison,,27-38,,
9:55.0,Turnover by J. Green (bad pass; steal by S. Livingston),,27-39,,
