time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. D. Jordan (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. D. Jordan (T. Parker gains possession)
11:42.0,,,0-0,,K. Leonard misses 2-pt shot from 14 ft
11:41.0,,,0-0,,Offensive rebound by D. Dedmon
11:41.0,,,0-0,,D. Dedmon misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by J. Redick,,0-0,,
11:26.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,3-0,,
11:13.0,,,3-2,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
10:56.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,5-2,,
10:40.0,,,5-2,,L. Aldridge misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by C. Paul,,5-2,,
10:27.0,B. Griffin misses 3-pt shot from 25 ft,,5-2,,
10:26.0,,,5-2,,Defensive rebound by K. Leonard
10:18.0,,,5-4,2,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard)
9:51.0,D. Jordan misses 2-pt shot at rim (block by D. Dedmon),,5-4,,
9:50.0,Offensive rebound by D. Jordan,,5-4,,
9:49.0,Shooting foul by D. Dedmon (drawn by D. Jordan),,5-4,,
9:49.0,D. Jordan misses free throw 1 of 2,,5-4,,
9:49.0,Offensive rebound by Team,,5-4,,
9:49.0,D. Jordan misses free throw 2 of 2,,5-4,,
9:48.0,,,5-4,,Defensive rebound by K. Leonard
9:33.0,,,5-6,2,J. Simmons makes 2-pt shot from 13 ft (assist by D. Dedmon)
9:17.0,C. Paul misses 2-pt shot from 19 ft,,5-6,,
9:16.0,,,5-6,,Defensive rebound by D. Dedmon
8:55.0,,,5-6,,D. Dedmon misses 2-pt shot from 3 ft (block by J. Redick)
8:53.0,Defensive rebound by B. Griffin,,5-6,,
8:41.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,7-6,,
8:19.0,,,7-6,,T. Parker misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by B. Griffin,,7-6,,
8:04.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,10-6,,
8:02.0,,,10-6,,San Antonio full timeout
7:45.0,,,10-6,,L. Aldridge misses 2-pt shot from 14 ft
7:44.0,,,10-6,,Offensive rebound by D. Dedmon
7:38.0,,,10-6,,K. Leonard misses 2-pt shot from 1 ft
7:38.0,,,10-6,,Offensive rebound by D. Dedmon
7:38.0,,,10-8,2,D. Dedmon makes 2-pt shot from 2 ft
7:38.0,,,10-8,,Shooting foul by D. Jordan (drawn by D. Dedmon)
7:38.0,,,10-8,,D. Dedmon misses free throw 1 of 1
7:36.0,,,10-8,,Offensive rebound by D. Dedmon
7:35.0,,,10-8,,Turnover by D. Dedmon (bad pass; steal by L. Mbah a Moute)
