time,Milwaukee,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (J. Parker gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (J. Parker gains possession)
11:48.0,Turnover by M. Plumlee (lost ball; steal by A. Davis),,0-0,,
11:26.0,,,0-2,2,T. Frazier makes 2-pt shot from 23 ft
11:10.0,J. Parker misses 2-pt shot from 18 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by A. Davis
10:51.0,,,0-5,3,S. Hill makes 3-pt shot from 25 ft (assist by E. Moore)
10:39.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,3-5,,
10:17.0,,,3-5,,E. Moore misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by G. Antetokounmpo,,3-5,,
10:05.0,Shooting foul by D. Cunningham (drawn by M. Plumlee),,3-5,,
10:05.0,M. Plumlee makes free throw 1 of 2,1,4-5,,
10:05.0,M. Plumlee makes free throw 2 of 2,1,5-5,,
9:41.0,,,5-5,,A. Davis misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by T. Snell,,5-5,,
9:30.0,M. Plumlee misses 2-pt shot from 7 ft,,5-5,,
9:30.0,Offensive rebound by Team,,5-5,,
9:29.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Davis),,5-5,,
9:22.0,,,5-5,,Shooting foul by M. Plumlee (drawn by A. Davis)
9:22.0,,,5-6,1,A. Davis makes free throw 1 of 2
9:22.0,,,5-7,1,A. Davis makes free throw 2 of 2
9:05.0,Turnover by J. Parker (lost ball; steal by S. Hill),,5-7,,
8:52.0,,,5-7,,D. Cunningham misses 2-pt shot from 8 ft
8:51.0,Defensive rebound by M. Plumlee,,5-7,,
8:36.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,7-7,,
8:23.0,,,7-7,,E. Moore misses 2-pt shot from 10 ft
8:22.0,Defensive rebound by T. Snell,,7-7,,
8:09.0,M. Dellavedova misses 2-pt shot from 3 ft (block by A. Davis),,7-7,,
8:07.0,,,7-7,,Defensive rebound by A. Davis
8:06.0,,,7-9,2,A. Davis makes 2-pt shot from 2 ft
8:06.0,,,7-9,,Shooting foul by T. Snell (drawn by A. Davis)
8:06.0,,,7-10,1,A. Davis makes free throw 1 of 1
7:53.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,7-10,,
7:52.0,,,7-10,,Defensive rebound by T. Frazier
7:42.0,,,7-10,,D. Cunningham misses 2-pt shot at rim (block by M. Plumlee)
7:39.0,,,7-10,,Offensive rebound by D. Cunningham
7:38.0,,,7-13,3,S. Hill makes 3-pt shot from 26 ft (assist by D. Cunningham)
7:24.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,9-13,,
7:10.0,Def 3 sec tech foul by T. Snell,,9-13,,
7:10.0,,,9-14,1,A. Davis makes technical free throw
7:10.0,M. Teletovic enters the game for G. Antetokounmpo,,9-14,,
7:03.0,,,9-17,3,E. Moore makes 3-pt shot from 25 ft (assist by S. Hill)
7:01.0,Milwaukee full timeout,,9-17,,
7:00.0,G. Monroe enters the game for M. Plumlee,,9-17,,
6:51.0,T. Snell makes 2-pt shot at rim,2,11-17,,
6:33.0,,,11-17,,A. Davis misses 2-pt shot from 19 ft
6:32.0,Defensive rebound by M. Dellavedova,,11-17,,
6:15.0,M. Teletovic misses 3-pt shot from 25 ft,,11-17,,
6:14.0,,,11-17,,Defensive rebound by S. Hill
6:02.0,,,11-20,3,D. Cunningham makes 3-pt shot from 24 ft (assist by A. Davis)
5:44.0,J. Parker makes 2-pt shot from 2 ft (assist by G. Monroe),2,13-20,,
5:25.0,,,13-20,,E. Moore misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by G. Monroe,,13-20,,
5:17.0,T. Snell misses 3-pt shot from 28 ft,,13-20,,
5:15.0,Offensive rebound by T. Snell,,13-20,,
5:10.0,T. Snell makes 2-pt shot from 22 ft,2,15-20,,
4:54.0,,,15-20,,T. Frazier misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by M. Dellavedova,,15-20,,
4:34.0,G. Monroe makes 2-pt shot from 6 ft,2,17-20,,
4:31.0,,,17-20,,New Orleans full timeout
4:31.0,M. Brogdon enters the game for T. Snell,,17-20,,
4:31.0,R. Vaughn enters the game for M. Dellavedova,,17-20,,
4:31.0,,,17-20,,O. Asik enters the game for D. Cunningham
4:21.0,,,17-23,3,T. Frazier makes 3-pt shot from 25 ft (assist by E. Moore)
4:06.0,Shooting foul by O. Asik (drawn by G. Monroe),,17-23,,
4:06.0,G. Monroe makes free throw 1 of 2,1,18-23,,
4:06.0,G. Monroe makes free throw 2 of 2,1,19-23,,
4:06.0,G. Antetokounmpo enters the game for J. Parker,,18-23,,
3:47.0,,,19-25,2,E. Moore makes 2-pt shot from 2 ft (assist by T. Frazier)
3:32.0,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,22-25,,
3:25.0,Personal foul by M. Brogdon (drawn by T. Frazier),,22-25,,
3:21.0,,,22-25,,E. Moore misses 2-pt shot from 1 ft (block by G. Monroe)
3:21.0,Defensive rebound by G. Antetokounmpo,,22-25,,
3:13.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,24-25,,
2:53.0,,,24-25,,Shooting foul by G. Monroe (drawn by O. Asik)
2:53.0,,,24-26,1,O. Asik makes free throw 1 of 2
2:53.0,,,24-27,1,O. Asik makes free throw 2 of 2
2:53.0,,,24-26,,L. Stephenson enters the game for E. Moore
2:53.0,,,24-26,,B. Hield enters the game for T. Frazier
2:44.0,M. Brogdon misses 2-pt shot from 2 ft,,24-27,,
2:43.0,Offensive rebound by G. Monroe,,24-27,,
2:42.0,G. Monroe misses 2-pt shot from 4 ft,,24-27,,
2:41.0,Offensive rebound by G. Monroe,,24-27,,
2:36.0,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Monroe),3,27-27,,
2:25.0,,,27-27,,A. Davis misses 2-pt shot from 2 ft
2:25.0,,,27-27,,Offensive rebound by O. Asik
2:23.0,,,27-27,,O. Asik misses 2-pt shot from 1 ft
2:23.0,,,27-27,,Offensive rebound by O. Asik
2:23.0,,,27-27,,Shooting foul by G. Antetokounmpo (drawn by O. Asik)
2:23.0,,,27-27,,O. Asik misses free throw 1 of 2
2:23.0,,,27-27,,Offensive rebound by Team
2:23.0,,,27-28,1,O. Asik makes free throw 2 of 2
2:13.0,M. Teletovic misses 3-pt shot from 26 ft,,27-28,,
2:12.0,,,27-28,,Defensive rebound by O. Asik
1:52.0,,,27-28,,L. Stephenson misses 2-pt shot from 21 ft
1:50.0,,,27-28,,Offensive rebound by A. Davis
1:49.0,,,27-28,,A. Davis misses 3-pt shot from 25 ft (block by G. Antetokounmpo)
1:48.0,Defensive rebound by G. Antetokounmpo,,27-28,,
1:42.0,M. Teletovic misses 3-pt shot from 25 ft,,27-28,,
1:36.0,,,27-28,,Defensive rebound by L. Stephenson
1:31.0,,,27-28,,S. Hill misses 2-pt shot from 2 ft
1:29.0,Defensive rebound by G. Monroe,,27-28,,
1:15.0,M. Teletovic misses 3-pt shot from 24 ft,,27-28,,
1:14.0,,,27-28,,Defensive rebound by O. Asik
1:07.0,,,27-28,,B. Hield misses 3-pt shot from 26 ft
1:06.0,,,27-28,,Offensive rebound by A. Davis
1:03.0,,,27-30,2,A. Davis makes 2-pt shot from 2 ft
0:48.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Monroe),2,29-30,,
0:36.0,,,29-30,,Shooting foul by G. Monroe (drawn by A. Davis)
0:36.0,,,29-31,1,A. Davis makes free throw 1 of 2
0:36.0,,,29-32,1,A. Davis makes free throw 2 of 2
0:36.0,M. Beasley enters the game for G. Monroe,,29-31,,
0:36.0,J. Henson enters the game for M. Teletovic,,29-31,,
0:31.0,Turnover by M. Brogdon (traveling),,29-32,,
0:31.0,,,29-32,,D. Cunningham enters the game for A. Davis
0:18.0,,,29-32,,D. Cunningham misses 2-pt shot from 1 ft
0:18.0,Defensive rebound by G. Antetokounmpo,,29-32,,
0:02.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,29-32,,
0:01.0,,,29-32,,Defensive rebound by O. Asik
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-32,,L. Stephenson misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by J. Henson,,29-32,,
11:34.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,31-32,,
11:13.0,,,31-34,2,B. Hield makes 2-pt shot from 2 ft
10:59.0,M. Beasley makes 2-pt shot from 1 ft,2,33-34,,
10:47.0,Def 3 sec tech foul by J. Henson,,33-34,,
10:47.0,,,33-35,1,B. Hield makes technical free throw
10:40.0,,,33-35,,B. Hield misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by M. Beasley,,33-35,,
10:31.0,M. Beasley makes 2-pt shot from 2 ft,2,35-35,,
10:07.0,,,35-37,2,A. Ajinca makes 2-pt shot from 18 ft (assist by L. Stephenson)
9:43.0,Turnover by M. Beasley (lost ball; steal by B. Hield),,35-37,,
9:40.0,,,35-39,2,B. Hield makes 2-pt shot at rim
9:17.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,35-39,,
9:16.0,,,35-39,,Defensive rebound by L. Stephenson
9:10.0,,,35-41,2,L. Stephenson makes 2-pt shot from 1 ft
9:09.0,Milwaukee full timeout,,35-41,,
8:57.0,Turnover by J. Henson (lost ball; steal by A. Ajinca),,35-41,,
8:52.0,,,35-41,,Turnover by B. Hield (lost ball; steal by J. Henson)
8:46.0,R. Vaughn makes 2-pt shot from 2 ft,2,37-41,,
8:33.0,,,37-41,,Turnover by L. Stephenson (bad pass; steal by R. Vaughn)
8:27.0,M. Brogdon misses 3-pt shot from 26 ft,,37-41,,
8:26.0,Offensive rebound by G. Antetokounmpo,,37-41,,
8:26.0,Shooting foul by A. Ajinca (drawn by G. Antetokounmpo),,37-41,,
8:26.0,G. Antetokounmpo makes free throw 1 of 2,1,38-41,,
8:26.0,G. Antetokounmpo makes free throw 2 of 2,1,39-41,,
8:08.0,,,39-41,,Turnover by L. Stephenson (lost ball; steal by G. Antetokounmpo)
