time,San Antonio,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Vucevic (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. N. Vucevic (T. Parker gains possession)
11:36.0,K. Leonard misses 2-pt shot from 14 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by E. Fournier
11:21.0,,,0-0,,Turnover by N. Vucevic (bad pass; steal by K. Leonard)
11:21.0,,,0-0,,Personal take foul by E. Fournier (drawn by K. Leonard)
11:00.0,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker),2,2-0,,
10:37.0,,,2-2,2,J. Green makes 2-pt shot from 16 ft
10:24.0,T. Parker makes 2-pt shot from 9 ft,2,4-2,,
10:16.0,,,4-2,,Turnover by A. Gordon (lost ball; steal by D. Green)
10:00.0,T. Parker misses 2-pt shot from 5 ft,,4-2,,
9:59.0,,,4-2,,Defensive rebound by N. Vucevic
9:54.0,,,4-2,,E. Fournier misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by K. Leonard,,4-2,,
9:52.0,,,4-2,,Personal foul by C. Watson (drawn by K. Leonard)
9:36.0,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Dedmon),2,6-2,,
9:24.0,,,6-2,,Turnover by E. Fournier (lost ball; steal by D. Green)
9:08.0,D. Green misses 2-pt shot from 9 ft,,6-2,,
9:07.0,,,6-2,,Defensive rebound by N. Vucevic
8:59.0,,,6-2,,E. Fournier misses 2-pt shot from 3 ft (block by K. Leonard)
8:57.0,,,6-2,,Offensive rebound by A. Gordon
8:49.0,,,6-2,,N. Vucevic misses 2-pt shot from 13 ft
8:47.0,Defensive rebound by D. Green,,6-2,,
8:38.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,8-2,,
8:21.0,,,8-4,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Fournier)
8:08.0,Turnover by L. Aldridge (lost ball),,8-4,,
7:52.0,,,8-6,2,C. Watson makes 2-pt shot from 18 ft (assist by J. Green)
7:35.0,T. Parker misses 2-pt shot from 9 ft,,8-6,,
7:34.0,Offensive rebound by Team,,8-6,,
7:17.0,K. Leonard misses 2-pt shot from 14 ft,,8-6,,
7:14.0,Offensive rebound by Team,,8-6,,
6:56.0,T. Parker misses 3-pt shot from 23 ft,,8-6,,
6:55.0,,,8-6,,Defensive rebound by Team
6:42.0,,,8-6,,Turnover by J. Green (lost ball; steal by L. Aldridge)
6:36.0,D. Green misses 3-pt shot from 26 ft,,8-6,,
6:34.0,Offensive rebound by K. Leonard,,8-6,,
6:34.0,K. Leonard makes 2-pt shot from 2 ft,2,10-6,,
6:15.0,,,10-6,,J. Green misses 2-pt shot from 6 ft
6:14.0,Defensive rebound by D. Dedmon,,10-6,,
6:04.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,12-6,,
6:03.0,,,12-6,,Orlando full timeout
6:03.0,P. Mills enters the game for D. Green,,12-6,,
6:03.0,M. Ginobili enters the game for T. Parker,,12-6,,
5:50.0,,,12-6,,A. Gordon misses 2-pt shot from 2 ft (block by L. Aldridge)
5:47.0,Defensive rebound by L. Aldridge,,12-6,,
5:39.0,Turnover by K. Leonard (lost ball; steal by C. Watson),,12-6,,
5:37.0,,,12-6,,Turnover by J. Green (bad pass)
5:25.0,K. Leonard misses 3-pt shot from 25 ft,,12-6,,
5:24.0,Offensive rebound by Team,,12-6,,
5:17.0,L. Aldridge makes 2-pt shot from 14 ft,2,14-6,,
