time,Detroit,pts.away,score,pts.home,Minnesota
3:19.0,B. Udrih makes free throw 2 of 2,1,115-80,,
3:07.0,,,115-82,2,K. Dunn makes 2-pt shot from 20 ft
2:52.0,Turnover by D. Hilliard (bad pass; steal by C. Aldrich),,115-82,,
2:39.0,,,115-82,,Turnover by C. Aldrich (step out of bounds)
2:39.0,,,115-82,,Minnesota full timeout
2:19.0,Turnover by H. Ellenson (traveling),,115-82,,
1:58.0,,,115-84,2,C. Aldrich makes 2-pt shot from 1 ft (assist by T. Jones)
1:58.0,,,115-84,,Shooting foul by B. Marjanovic (drawn by C. Aldrich)
1:58.0,,,115-85,1,C. Aldrich makes free throw 1 of 1
1:38.0,H. Ellenson misses 3-pt shot from 22 ft,,115-85,,
1:37.0,Offensive rebound by S. Johnson,,115-85,,
1:29.0,S. Johnson makes 2-pt shot from 18 ft,2,117-85,,
1:15.0,,,117-88,3,T. Jones makes 3-pt shot from 24 ft (assist by B. Rush)
0:55.0,H. Ellenson misses 3-pt shot from 24 ft,,117-88,,
0:54.0,,,117-88,,Defensive rebound by K. Dunn
0:38.0,,,117-90,2,T. Jones makes 2-pt shot from 15 ft
0:28.0,Turnover by H. Ellenson (bad pass; steal by K. Dunn),,117-90,,
0:16.0,,,117-90,,T. Jones misses 2-pt shot from 20 ft
0:15.0,Defensive rebound by S. Johnson,,117-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
