time,Detroit,pts.away,score,pts.home,Minnesota
2:35.0,A. Drummond makes free throw 2 of 2,1,15-18,,
2:35.0,,,14-18,,C. Aldrich enters the game for G. Dieng
2:20.0,,,15-18,,K. Dunn misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by Team,,15-18,,
2:19.0,,,15-18,,Loose ball foul by S. Muhammad (drawn by A. Drummond)
2:19.0,A. Baynes enters the game for A. Drummond,,15-18,,
2:03.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by M. Morris),3,18-18,,
1:56.0,,,18-18,,Minnesota full timeout
1:50.0,,,18-18,,A. Wiggins misses 2-pt shot from 1 ft
1:49.0,Defensive rebound by M. Morris,,18-18,,
1:43.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,18-18,,
1:42.0,,,18-18,,Defensive rebound by A. Wiggins
1:29.0,,,18-18,,A. Payne misses 2-pt shot from 2 ft
1:28.0,Defensive rebound by A. Baynes,,18-18,,
1:11.0,I. Smith makes 3-pt shot from 25 ft (assist by A. Baynes),3,21-18,,
0:57.0,,,21-20,2,A. Wiggins makes 2-pt shot from 10 ft
0:42.0,M. Morris makes 2-pt shot from 8 ft,2,23-20,,
0:24.0,,,23-20,,A. Wiggins misses 2-pt shot from 19 ft
0:22.0,Defensive rebound by M. Morris,,23-20,,
0:05.0,I. Smith makes 2-pt shot from 3 ft,2,25-20,,
0:00.0,,,25-20,,K. Dunn misses 3-pt shot from 28 ft
0:00.0,,,25-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-22,2,Z. LaVine makes 2-pt shot from 12 ft (assist by C. Aldrich)
11:22.0,J. Leuer misses 3-pt shot from 22 ft,,25-22,,
11:21.0,,,25-22,,Defensive rebound by K. Dunn
11:07.0,,,25-24,2,Z. LaVine makes 2-pt shot from 21 ft
10:44.0,A. Baynes misses 2-pt shot from 2 ft (block by C. Aldrich),,25-24,,
10:42.0,,,25-24,,Defensive rebound by K. Dunn
10:21.0,,,25-24,,A. Payne misses 2-pt shot from 18 ft
10:19.0,,,25-24,,Offensive rebound by S. Muhammad
10:18.0,,,25-24,,Shooting foul by A. Baynes (drawn by S. Muhammad)
10:18.0,,,25-24,,S. Muhammad misses free throw 1 of 2
10:18.0,,,25-24,,Offensive rebound by Team
10:18.0,,,25-25,1,S. Muhammad makes free throw 2 of 2
10:18.0,R. Jackson enters the game for I. Smith,,25-24,,
10:06.0,J. Leuer misses 3-pt shot from 23 ft,,25-25,,
10:05.0,,,25-25,,Defensive rebound by K. Dunn
9:57.0,,,25-27,2,K. Dunn makes 2-pt shot from 15 ft
9:39.0,R. Jackson makes 3-pt shot from 25 ft (assist by T. Harris),3,28-27,,
9:28.0,,,28-27,,K. Dunn misses 2-pt shot from 19 ft
9:26.0,,,28-27,,Offensive rebound by K. Dunn
9:25.0,,,28-29,2,K. Dunn makes 2-pt shot from 13 ft
9:16.0,Detroit full timeout,,28-29,,
9:00.0,J. Leuer misses 3-pt shot from 23 ft,,28-29,,
8:59.0,,,28-29,,Defensive rebound by S. Muhammad
8:35.0,,,28-29,,Turnover by Z. LaVine (bad pass; steal by T. Harris)
8:30.0,T. Harris misses 2-pt shot from 6 ft,,28-29,,
8:29.0,Offensive rebound by J. Leuer,,28-29,,
8:28.0,J. Leuer makes 2-pt shot from 2 ft,2,30-29,,
8:28.0,Shooting foul by A. Payne (drawn by J. Leuer),,30-29,,
8:28.0,J. Leuer makes free throw 1 of 1,1,31-29,,
8:28.0,,,30-29,,G. Dieng enters the game for C. Aldrich
8:18.0,,,31-31,2,K. Dunn makes 2-pt shot from 10 ft
8:05.0,Shooting foul by G. Dieng (drawn by J. Leuer),,31-31,,
8:05.0,J. Leuer makes free throw 1 of 2,1,32-31,,
8:05.0,J. Leuer makes free throw 2 of 2,1,33-31,,
8:05.0,,,32-31,,K. Towns enters the game for A. Payne
7:52.0,Personal foul by D. Hilliard (drawn by Z. LaVine),,33-31,,
7:44.0,,,33-31,,Z. LaVine misses 3-pt shot from 24 ft
7:43.0,,,33-31,,Offensive rebound by Team
7:30.0,,,33-33,2,Z. LaVine makes 2-pt shot from 5 ft
7:17.0,R. Jackson misses 2-pt shot from 17 ft,,33-33,,
7:16.0,,,33-33,,Defensive rebound by G. Dieng
7:07.0,Personal foul by R. Jackson (drawn by K. Dunn),,33-33,,
7:07.0,A. Drummond enters the game for A. Baynes,,33-33,,
6:59.0,,,33-35,2,G. Dieng makes 2-pt shot from 17 ft (assist by Z. LaVine)
6:40.0,Shooting foul by K. Dunn (drawn by R. Jackson),,33-35,,
6:40.0,R. Jackson makes free throw 1 of 2,1,34-35,,
6:40.0,R. Jackson makes free throw 2 of 2,1,35-35,,
6:26.0,,,35-35,,Z. LaVine misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by A. Drummond,,35-35,,
6:13.0,R. Jackson misses 2-pt shot from 5 ft (block by K. Towns),,35-35,,
6:11.0,,,35-35,,Defensive rebound by K. Towns
6:05.0,,,35-35,,K. Dunn misses 2-pt shot at rim
6:04.0,Defensive rebound by A. Drummond,,35-35,,
5:48.0,Turnover by A. Drummond (lost ball; steal by Z. LaVine),,35-35,,
5:44.0,Personal foul by D. Hilliard (drawn by S. Muhammad),,35-35,,
5:44.0,,,35-35,,Minnesota full timeout
5:44.0,K. Caldwell-Pope enters the game for D. Hilliard,,35-35,,
5:44.0,M. Morris enters the game for J. Leuer,,35-35,,
5:44.0,,,35-35,,R. Rubio enters the game for K. Dunn
5:34.0,,,35-37,2,Z. LaVine makes 2-pt shot at rim
5:12.0,T. Harris makes 2-pt shot from 12 ft,2,37-37,,
4:47.0,,,37-39,2,Z. LaVine makes 2-pt shot from 20 ft
4:29.0,A. Drummond misses 2-pt shot from 6 ft,,37-39,,
4:26.0,,,37-39,,Defensive rebound by S. Muhammad
4:12.0,,,37-39,,Z. LaVine misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by A. Drummond,,37-39,,
4:05.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,40-39,,
3:46.0,,,40-39,,S. Muhammad misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by A. Drummond,,40-39,,
3:32.0,T. Harris makes 2-pt shot from 5 ft,2,42-39,,
3:20.0,,,42-41,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
