time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Harrell vs. K. Towns (G. Dieng gains possession)
11:50.0,Personal foul by T. Ariza (drawn by A. Wiggins),,0-0,,
11:37.0,,,0-3,3,A. Wiggins makes 3-pt shot from 25 ft
11:22.0,R. Anderson misses 3-pt shot from 24 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by B. Rush
11:13.0,,,0-3,,A. Wiggins misses 2-pt shot from 19 ft
11:12.0,Defensive rebound by J. Harden,,0-3,,
11:03.0,R. Anderson misses 3-pt shot from 25 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by K. Towns
10:49.0,,,0-3,,K. Towns misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by J. Harden,,0-3,,
10:35.0,J. Harden misses 2-pt shot from 8 ft,,0-3,,
10:34.0,Offensive rebound by M. Harrell,,0-3,,
10:33.0,M. Harrell misses 2-pt shot from 4 ft (block by G. Dieng),,0-3,,
10:31.0,,,0-3,,Defensive rebound by K. Towns
10:15.0,,,0-3,,K. Towns misses 2-pt shot from 20 ft
10:14.0,Defensive rebound by J. Harden,,0-3,,
10:05.0,M. Harrell makes 2-pt shot from 1 ft (assist by P. Beverley),2,2-3,,
10:05.0,Shooting foul by R. Rubio (drawn by M. Harrell),,2-3,,
10:05.0,M. Harrell makes free throw 1 of 1,1,3-3,,
9:50.0,,,3-5,2,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng)
9:39.0,R. Anderson misses 3-pt shot from 24 ft,,3-5,,
9:38.0,,,3-5,,Defensive rebound by R. Rubio
9:25.0,,,3-5,,Turnover by K. Towns (bad pass; steal by J. Harden)
9:19.0,J. Harden makes 2-pt shot from 1 ft,2,5-5,,
9:07.0,,,5-5,,Minnesota full timeout
8:57.0,,,5-7,2,K. Towns makes 2-pt shot from 6 ft (assist by B. Rush)
8:57.0,,,5-7,,Shooting foul by M. Harrell (drawn by K. Towns)
8:57.0,,,5-8,1,K. Towns makes free throw 1 of 1
8:45.0,,,5-8,,Personal foul by G. Dieng (drawn by R. Anderson)
8:39.0,J. Harden makes 2-pt shot from 9 ft,2,7-8,,
8:19.0,,,7-8,,R. Rubio misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by P. Beverley,,7-8,,
8:08.0,M. Harrell makes 2-pt shot from 3 ft (assist by P. Beverley),2,9-8,,
7:47.0,,,9-11,3,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio)
7:34.0,R. Anderson misses 3-pt shot from 27 ft,,9-11,,
7:33.0,,,9-11,,Defensive rebound by K. Towns
7:28.0,,,9-11,,B. Rush misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by P. Beverley,,9-11,,
7:24.0,Turnover by P. Beverley (bad pass; steal by B. Rush),,9-11,,
7:09.0,,,9-13,2,G. Dieng makes 2-pt shot from 8 ft (assist by K. Towns)
6:49.0,R. Anderson misses 3-pt shot from 25 ft,,9-13,,
6:48.0,,,9-13,,Defensive rebound by R. Rubio
6:45.0,,,9-15,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
6:24.0,Shooting foul by A. Wiggins (drawn by M. Harrell),,9-15,,
6:24.0,M. Harrell makes free throw 1 of 2,1,10-15,,
6:24.0,M. Harrell makes free throw 2 of 2,1,11-15,,
6:24.0,,,10-15,,S. Muhammad enters the game for B. Rush
6:24.0,C. Brewer enters the game for P. Beverley,,10-15,,
6:14.0,,,11-17,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
6:06.0,T. Ariza misses 2-pt shot from 4 ft,,11-17,,
6:06.0,,,11-17,,Defensive rebound by K. Towns
6:01.0,,,11-19,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
5:42.0,R. Anderson misses 2-pt shot from 16 ft,,11-19,,
5:41.0,Offensive rebound by T. Ariza,,11-19,,
5:36.0,,,11-19,,Shooting block foul by K. Towns (drawn by M. Harrell)
5:36.0,,,11-19,,Minnesota full timeout
5:36.0,M. Harrell makes free throw 1 of 2,1,12-19,,
5:36.0,M. Harrell makes free throw 2 of 2,1,13-19,,
5:23.0,Personal foul by M. Harrell (drawn by K. Towns),,13-19,,
5:23.0,N. Hilario enters the game for M. Harrell,,13-19,,
5:11.0,,,13-19,,Turnover by A. Wiggins (lost ball; steal by C. Brewer)
4:57.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,15-19,,
4:33.0,,,15-21,2,G. Dieng makes 2-pt shot from 16 ft (assist by A. Wiggins)
4:24.0,,,15-21,,Violation by A. Wiggins (kicked ball)
