time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. K. Koufos (W. Cauley-Stein gains possession),,,,Jump ball: J. Green vs. K. Koufos (W. Cauley-Stein gains possession)
11:35.0,,,0-2,2,D. Collison makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
11:11.0,Z. Randolph makes 2-pt shot from 16 ft,2,2-2,,
10:56.0,,,2-5,3,B. Hield makes 3-pt shot from 25 ft (assist by G. Temple)
10:35.0,V. Carter misses 2-pt shot from 8 ft,,2-5,,
10:34.0,Offensive rebound by V. Carter,,2-5,,
10:24.0,Z. Randolph misses 2-pt shot from 3 ft,,2-5,,
10:23.0,Offensive rebound by J. Green,,2-5,,
10:23.0,Shooting foul by B. Hield (drawn by J. Green),,2-5,,
10:23.0,J. Green misses free throw 1 of 2,,2-5,,
10:23.0,Offensive rebound by Team,,2-5,,
10:23.0,J. Green makes free throw 2 of 2,1,3-5,,
10:15.0,,,3-5,,Shooting foul by T. Allen (drawn by K. Koufos)
10:15.0,,,3-7,2,K. Koufos makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
10:15.0,,,3-8,1,K. Koufos makes free throw 1 of 1
9:55.0,T. Allen makes 2-pt shot from 17 ft (assist by Z. Randolph),2,5-8,,
9:40.0,,,5-8,,Shooting foul by J. Green (drawn by W. Cauley-Stein)
9:40.0,,,5-9,1,W. Cauley-Stein makes free throw 1 of 2
9:40.0,,,5-10,1,W. Cauley-Stein makes free throw 2 of 2
9:35.0,Memphis full timeout,,5-10,,
9:23.0,V. Carter makes 2-pt shot from 8 ft,2,7-10,,
9:04.0,,,7-10,,G. Temple misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by Z. Randolph,,7-10,,
8:43.0,Z. Randolph misses 3-pt shot from 25 ft,,7-10,,
8:43.0,,,7-10,,Defensive rebound by G. Temple
8:36.0,,,7-13,3,B. Hield makes 3-pt shot from 27 ft
8:14.0,J. Green makes 3-pt shot from 26 ft (assist by Z. Randolph),3,10-13,,
8:03.0,,,10-13,,W. Cauley-Stein misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by T. Allen,,10-13,,
7:52.0,V. Carter misses 2-pt shot from 4 ft,,10-13,,
7:51.0,,,10-13,,Defensive rebound by K. Koufos
7:39.0,,,10-13,,B. Hield misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by Team,,10-13,,
7:23.0,Offensive foul by J. Green,,10-13,,
7:23.0,Turnover by J. Green (offensive foul),,10-13,,
7:23.0,B. Wright enters the game for J. Green,,10-13,,
7:11.0,,,10-13,,D. Collison misses 2-pt shot from 8 ft
7:10.0,,,10-13,,Offensive rebound by K. Koufos
7:10.0,,,10-15,2,K. Koufos makes 2-pt shot from 1 ft
6:55.0,,,10-15,,Personal foul by D. Collison (drawn by M. Conley)
6:46.0,B. Wright misses 2-pt shot from 10 ft,,10-15,,
6:46.0,,,10-15,,Defensive rebound by Team
6:42.0,,,10-15,,Shooting foul by B. Wright (drawn by W. Cauley-Stein)
6:42.0,,,10-16,1,W. Cauley-Stein makes free throw 1 of 2
6:42.0,,,10-17,1,W. Cauley-Stein makes free throw 2 of 2
6:42.0,J. Ennis enters the game for V. Carter,,10-16,,
6:42.0,T. Daniels enters the game for T. Allen,,10-16,,
6:18.0,B. Wright misses 2-pt shot from 10 ft,,10-17,,
6:17.0,Offensive rebound by Z. Randolph,,10-17,,
6:16.0,Z. Randolph makes 2-pt shot from 5 ft,2,12-17,,
6:00.0,,,12-17,,B. Hield misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by M. Conley,,12-17,,
5:53.0,M. Conley makes 2-pt shot from 8 ft,2,14-17,,
5:42.0,,,14-19,2,D. Collison makes 2-pt shot from 16 ft
5:20.0,M. Conley makes 3-pt shot from 24 ft (assist by J. Ennis),3,17-19,,
5:09.0,,,17-19,,Shooting foul by M. Conley (drawn by D. Collison)
5:09.0,,,17-19,,Sacramento full timeout
5:09.0,,,17-20,1,D. Collison makes free throw 1 of 2
5:09.0,,,17-21,1,D. Collison makes free throw 2 of 2
5:09.0,A. Harrison enters the game for M. Conley,,17-19,,
5:09.0,,,17-19,,T. Lawson enters the game for B. Hield
