time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. K. Koufos (A. Afflalo gains possession),,,,Jump ball: D. Dedmon vs. K. Koufos (A. Afflalo gains possession)
11:40.0,A. Tolliver misses 3-pt shot from 26 ft,,0-0,,
11:37.0,Offensive rebound by D. Collison,,0-0,,
11:34.0,D. Collison makes 2-pt shot from 2 ft,2,2-0,,
11:15.0,,,2-0,,D. Lee misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by A. Afflalo,,2-0,,
11:01.0,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Afflalo),3,5-0,,
10:48.0,,,5-0,,Turnover by D. Lee (illegal screen)
10:32.0,K. Koufos makes 2-pt shot from 6 ft,2,7-0,,
10:20.0,,,7-0,,Shooting foul by K. Koufos (drawn by D. Dedmon)
10:20.0,,,7-1,1,D. Dedmon makes free throw 1 of 2
10:20.0,,,7-2,1,D. Dedmon makes free throw 2 of 2
10:07.0,K. Koufos misses 2-pt shot from 7 ft,,7-2,,
10:06.0,,,7-2,,Defensive rebound by T. Parker
9:55.0,,,7-2,,J. Simmons misses 2-pt shot from 15 ft
9:53.0,Defensive rebound by T. Evans,,7-2,,
9:48.0,A. Tolliver misses 2-pt shot from 2 ft (block by J. Simmons),,7-2,,
9:42.0,Offensive rebound by T. Evans,,7-2,,
9:42.0,T. Evans makes 2-pt shot from 1 ft,2,9-2,,
9:23.0,,,9-4,2,T. Parker makes 2-pt shot from 1 ft (assist by J. Simmons)
9:13.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,11-4,,
9:10.0,,,11-4,,San Antonio full timeout
9:00.0,,,11-6,2,D. Green makes 2-pt shot from 3 ft (assist by J. Simmons)
8:37.0,K. Koufos makes 2-pt shot at rim (assist by A. Tolliver),2,13-6,,
8:15.0,,,13-6,,J. Simmons misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by K. Koufos,,13-6,,
7:59.0,Shooting foul by D. Dedmon (drawn by T. Evans),,13-6,,
7:59.0,T. Evans makes free throw 1 of 3,1,14-6,,
7:59.0,T. Evans makes free throw 2 of 3,1,15-6,,
7:59.0,T. Evans makes free throw 3 of 3,1,16-6,,
7:48.0,,,16-6,,Turnover by D. Dedmon (offensive goaltending)
7:41.0,D. Collison misses 2-pt shot from 16 ft,,16-6,,
7:40.0,,,16-6,,Defensive rebound by D. Dedmon
7:24.0,,,16-6,,D. Green misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by A. Tolliver,,16-6,,
7:16.0,T. Evans makes 2-pt shot from 1 ft,2,18-6,,
7:07.0,,,18-6,,D. Dedmon misses 2-pt shot at rim
7:05.0,Defensive rebound by D. Collison,,18-6,,
6:58.0,D. Collison misses 3-pt shot from 24 ft,,18-6,,
6:57.0,,,18-6,,Defensive rebound by D. Green
6:41.0,,,18-8,2,D. Lee makes 2-pt shot from 2 ft (assist by T. Parker)
6:17.0,T. Evans makes 3-pt shot from 25 ft,3,21-8,,
5:59.0,,,21-8,,D. Green misses 2-pt shot from 18 ft
5:58.0,Defensive rebound by A. Afflalo,,21-8,,
5:50.0,T. Evans makes 3-pt shot from 25 ft,3,24-8,,
5:44.0,,,24-8,,San Antonio full timeout
5:44.0,,,24-8,,K. Anderson enters the game for J. Simmons
5:44.0,,,24-8,,P. Gasol enters the game for D. Lee
5:44.0,,,24-8,,D. Bertans enters the game for D. Dedmon
5:44.0,,,24-8,,P. Mills enters the game for D. Green
5:44.0,,,24-8,,M. Ginobili enters the game for T. Parker
5:33.0,,,24-8,,P. Gasol misses 2-pt shot from 7 ft
5:31.0,Defensive rebound by K. Koufos,,24-8,,
5:30.0,Turnover by D. Collison (traveling),,24-8,,
5:23.0,,,24-10,2,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills)
5:06.0,A. Afflalo misses 2-pt shot from 16 ft,,24-10,,
5:05.0,,,24-10,,Defensive rebound by M. Ginobili
4:58.0,,,24-12,2,K. Anderson makes 2-pt shot from 3 ft (assist by M. Ginobili)
4:37.0,K. Koufos makes 2-pt shot from 8 ft (assist by T. Evans),2,26-12,,
4:25.0,,,26-12,,P. Gasol misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by A. Afflalo,,26-12,,
4:15.0,T. Evans misses 2-pt shot from 17 ft,,26-12,,
4:14.0,,,26-12,,Defensive rebound by K. Anderson
4:06.0,,,26-15,3,D. Bertans makes 3-pt shot from 24 ft (assist by K. Anderson)
3:45.0,K. Koufos makes 2-pt shot from 6 ft,2,28-15,,
3:31.0,,,28-15,,Turnover by M. Ginobili (bad pass; steal by A. Afflalo)
3:25.0,A. Afflalo makes 2-pt shot at rim,2,30-15,,
3:13.0,,,30-15,,M. Ginobili misses 2-pt shot from 8 ft (block by D. Collison)
3:12.0,Defensive rebound by D. Collison,,30-15,,
3:11.0,,,30-15,,Technical foul by M. Ginobili
3:11.0,D. Collison makes technical free throw,1,31-15,,
3:11.0,Sacramento full timeout,,31-15,,
3:11.0,W. Cauley-Stein enters the game for K. Koufos,,31-15,,
3:11.0,,,31-15,,J. Anthony enters the game for P. Gasol
3:11.0,G. Temple enters the game for T. Evans,,31-15,,
2:54.0,D. Collison makes 2-pt shot from 19 ft,2,33-15,,
2:38.0,,,33-15,,D. Bertans misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by D. Collison,,33-15,,
2:29.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Collison),2,35-15,,
2:07.0,,,35-15,,P. Mills misses 2-pt shot from 22 ft
2:06.0,Defensive rebound by W. Cauley-Stein,,35-15,,
1:58.0,G. Temple misses 3-pt shot from 25 ft,,35-15,,
1:57.0,,,35-15,,Defensive rebound by M. Ginobili
1:48.0,,,35-15,,M. Ginobili misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by W. Cauley-Stein,,35-15,,
1:41.0,D. Collison misses 2-pt shot from 1 ft,,35-15,,
1:40.0,,,35-15,,Defensive rebound by J. Anthony
1:35.0,,,35-15,,P. Mills misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by A. Tolliver,,35-15,,
1:19.0,A. Afflalo makes 2-pt shot from 2 ft (assist by W. Cauley-Stein),2,37-15,,
1:05.0,,,37-15,,P. Mills misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by G. Temple,,37-15,,
0:52.0,A. Afflalo misses 2-pt shot from 23 ft,,37-15,,
0:51.0,,,37-15,,Defensive rebound by P. Mills
0:44.0,Personal foul by A. Afflalo (drawn by K. Anderson),,37-15,,
0:44.0,B. Hield enters the game for A. Afflalo,,37-15,,
0:44.0,T. Lawson enters the game for D. Collison,,37-15,,
0:31.0,,,37-15,,K. Anderson misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by G. Temple,,37-15,,
0:06.0,Turnover by Team (shot clock),,37-15,,
0:06.0,S. Labissiere enters the game for A. Tolliver,,37-15,,
0:01.0,,,37-15,,D. Bertans misses 3-pt shot from 28 ft
0:00.0,,,37-15,,Offensive rebound by K. Anderson
0:00.0,,,37-15,,K. Anderson misses 2-pt shot from 2 ft
0:00.0,,,37-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,37-15,,M. Ginobili misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
11:40.0,Defensive rebound by B. Hield,,37-15,,
11:35.0,B. Hield makes 2-pt shot from 15 ft,2,39-15,,
11:23.0,,,39-17,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol)
11:05.0,B. Hield misses 2-pt shot from 12 ft,,39-17,,
11:04.0,,,39-17,,Defensive rebound by Team
11:04.0,,,39-17,,T. Parker enters the game for P. Mills
11:04.0,,,39-17,,D. Green enters the game for M. Ginobili
10:47.0,,,39-20,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
10:39.0,T. Lawson misses 2-pt shot from 10 ft,,39-20,,
10:38.0,,,39-20,,Defensive rebound by D. Bertans
10:31.0,,,39-20,,Shooting foul by W. Cauley-Stein (drawn by P. Gasol)
10:31.0,,,39-20,,P. Gasol misses free throw 1 of 2
10:31.0,,,39-20,,Offensive rebound by Team
10:31.0,,,39-21,1,P. Gasol makes free throw 2 of 2
10:11.0,S. Labissiere makes 2-pt shot from 10 ft (assist by G. Temple),2,41-21,,
9:53.0,,,41-21,,Turnover by T. Parker (step out of bounds)
9:39.0,B. Hield makes 3-pt shot from 24 ft (assist by S. Labissiere),3,44-21,,
9:24.0,,,44-21,,K. Anderson misses 2-pt shot from 1 ft
9:23.0,Defensive rebound by G. Temple,,44-21,,
9:18.0,G. Temple makes 2-pt shot from 1 ft,2,46-21,,
8:52.0,,,46-21,,P. Gasol misses 2-pt shot from 8 ft
