time,Sacramento,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. T. Thompson (A. Afflalo gains possession),,,,Jump ball: K. Koufos vs. T. Thompson (A. Afflalo gains possession)
11:33.0,G. Temple misses 2-pt shot from 19 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by I. Shumpert
11:15.0,,,0-0,,K. Love misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by K. Koufos,,0-0,,
10:51.0,D. Cousins makes 2-pt shot from 19 ft (assist by K. Koufos),2,2-0,,
10:36.0,,,2-0,,Turnover by K. Love (bad pass)
10:29.0,G. Temple makes 2-pt shot from 1 ft,2,4-0,,
10:29.0,Shooting foul by I. Shumpert (drawn by G. Temple),,4-0,,
10:29.0,G. Temple makes free throw 1 of 1,1,5-0,,
10:16.0,,,5-0,,K. Irving misses 2-pt shot from 19 ft
10:15.0,,,5-0,,Offensive rebound by T. Thompson
10:07.0,,,5-0,,Turnover by K. Love (lost ball; steal by G. Temple)
9:57.0,D. Cousins makes 2-pt shot at rim,2,7-0,,
9:39.0,,,7-0,,K. Love misses 2-pt shot from 13 ft
9:38.0,Defensive rebound by K. Koufos,,7-0,,
9:26.0,Turnover by D. Collison (lost ball),,7-0,,
9:17.0,,,7-0,,Turnover by K. Love (lost ball; steal by D. Cousins)
9:17.0,,,7-0,,Personal foul by K. Love (drawn by D. Cousins)
8:58.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,10-0,,
8:58.0,,,10-0,,Cleveland full timeout
8:44.0,,,10-0,,L. James misses 2-pt shot from 6 ft
8:42.0,Defensive rebound by A. Afflalo,,10-0,,
8:22.0,D. Collison misses 3-pt shot from 25 ft,,10-0,,
8:21.0,,,10-0,,Defensive rebound by K. Love
8:15.0,,,10-2,2,K. Irving makes 2-pt shot from 2 ft (assist by L. James)
8:08.0,Turnover by A. Afflalo (bad pass; steal by K. Irving),,10-2,,
8:03.0,,,10-2,,T. Thompson misses 2-pt shot from 1 ft
8:02.0,,,10-2,,Offensive rebound by L. James
8:02.0,,,10-4,2,L. James makes 2-pt shot from 1 ft
7:41.0,A. Afflalo misses 3-pt shot from 25 ft,,10-4,,
7:41.0,,,10-4,,Defensive rebound by K. Love
7:36.0,,,10-6,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:36.0,Sacramento full timeout,,10-6,,
7:19.0,D. Collison misses 3-pt shot from 23 ft,,10-6,,
7:19.0,,,10-6,,Defensive rebound by L. James
7:13.0,,,10-9,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
6:53.0,D. Cousins misses 2-pt shot from 19 ft,,10-9,,
6:50.0,,,10-9,,Defensive rebound by K. Love
6:42.0,Violation by D. Cousins (kicked ball),,10-9,,
6:35.0,,,10-9,,K. Love misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by A. Afflalo,,10-9,,
6:23.0,Shooting foul by T. Thompson (drawn by D. Cousins),,10-9,,
6:23.0,D. Cousins misses free throw 1 of 2,,10-9,,
6:23.0,Offensive rebound by Team,,10-9,,
6:23.0,D. Cousins makes free throw 2 of 2,1,11-9,,
6:06.0,Personal foul by D. Collison (drawn by K. Irving),,11-9,,
5:55.0,,,11-12,3,K. Love makes 3-pt shot from 25 ft (assist by I. Shumpert)
5:28.0,Turnover by D. Cousins (bad pass; steal by L. James),,11-12,,
5:18.0,,,11-15,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
4:58.0,A. Tolliver enters the game for K. Koufos,,11-15,,
4:50.0,D. Cousins misses 2-pt shot from 20 ft,,11-15,,
4:50.0,,,11-15,,Defensive rebound by I. Shumpert
4:39.0,Personal foul by D. Collison (drawn by K. Irving),,11-15,,
4:39.0,T. Lawson enters the game for D. Collison,,11-15,,
4:25.0,,,11-17,2,K. Irving makes 2-pt shot from 15 ft
4:14.0,,,11-17,,Personal foul by T. Thompson (drawn by D. Cousins)
4:14.0,,,11-17,,J. Jones enters the game for T. Thompson
4:05.0,G. Temple makes 2-pt shot from 14 ft,2,13-17,,
3:48.0,,,13-19,2,K. Irving makes 2-pt shot from 1 ft
