time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Mozgov (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. T. Mozgov (E. Bledsoe gains possession)
11:37.0,M. Chriss misses 3-pt shot from 24 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by L. Deng
11:23.0,,,0-0,,Shooting foul by M. Chriss (drawn by B. Ingram)
11:23.0,,,0-0,,B. Ingram misses free throw 1 of 2
11:23.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-0,,B. Ingram misses free throw 2 of 2
11:22.0,Defensive rebound by T. Chandler,,0-0,,
11:10.0,E. Bledsoe misses 2-pt shot from 15 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by B. Ingram
11:03.0,,,0-2,2,J. Clarkson makes 2-pt shot at rim (assist by B. Ingram)
10:51.0,D. Booker misses 2-pt shot from 13 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by J. Randle
10:28.0,,,0-4,2,L. Deng makes 2-pt shot from 19 ft (assist by J. Randle)
10:13.0,D. Booker makes 2-pt shot from 9 ft (assist by P. Tucker),2,2-4,,
9:49.0,,,2-4,,J. Clarkson misses 2-pt shot at rim
9:48.0,Defensive rebound by T. Chandler,,2-4,,
9:43.0,D. Booker misses 3-pt shot from 25 ft,,2-4,,
9:41.0,Offensive rebound by P. Tucker,,2-4,,
9:24.0,M. Chriss makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,4-4,,
9:07.0,,,4-6,2,J. Clarkson makes 2-pt shot from 19 ft
8:51.0,E. Bledsoe misses 3-pt shot from 26 ft,,4-6,,
8:50.0,,,4-6,,Defensive rebound by J. Randle
8:41.0,,,4-6,,T. Mozgov misses 2-pt shot from 5 ft
8:39.0,Defensive rebound by E. Bledsoe,,4-6,,
8:32.0,D. Booker misses 3-pt shot from 25 ft,,4-6,,
8:31.0,,,4-6,,Defensive rebound by J. Randle
8:31.0,,,4-6,,Turnover by J. Randle (traveling)
8:25.0,E. Bledsoe misses 2-pt shot from 17 ft,,4-6,,
8:24.0,,,4-6,,Defensive rebound by J. Randle
8:17.0,,,4-8,2,J. Randle makes 2-pt shot from 1 ft
8:17.0,,,4-8,,Shooting foul by M. Chriss (drawn by J. Randle)
8:17.0,,,4-9,1,J. Randle makes free throw 1 of 1
8:17.0,A. Len enters the game for M. Chriss,,4-8,,
7:56.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by D. Booker),2,6-9,,
7:56.0,Shooting foul by J. Clarkson (drawn by E. Bledsoe),,6-9,,
7:56.0,E. Bledsoe makes free throw 1 of 1,1,7-9,,
7:41.0,,,7-9,,J. Clarkson misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by T. Chandler,,7-9,,
7:32.0,E. Bledsoe makes 2-pt shot from 17 ft,2,9-9,,
7:14.0,,,9-9,,L. Deng misses 2-pt shot from 19 ft
7:13.0,Defensive rebound by Team,,9-9,,
7:03.0,D. Booker misses 2-pt shot from 15 ft,,9-9,,
7:00.0,Offensive rebound by T. Chandler,,9-9,,
6:55.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,11-9,,
6:42.0,,,11-9,,T. Mozgov misses 2-pt shot from 4 ft (block by A. Len)
6:40.0,Defensive rebound by D. Booker,,11-9,,
6:38.0,E. Bledsoe misses 2-pt shot from 1 ft,,11-9,,
6:34.0,Offensive rebound by D. Booker,,11-9,,
6:34.0,D. Booker makes 2-pt shot from 1 ft,2,13-9,,
6:20.0,,,13-11,2,J. Clarkson makes 2-pt shot from 17 ft
6:20.0,,,13-11,,Shooting foul by D. Booker (drawn by J. Clarkson)
6:20.0,,,13-12,1,J. Clarkson makes free throw 1 of 1
6:08.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by D. Booker),3,16-12,,
6:02.0,,,16-12,,Shooting foul by T. Chandler (drawn by T. Mozgov)
6:02.0,,,16-13,1,T. Mozgov makes free throw 1 of 2
6:02.0,,,16-14,1,T. Mozgov makes free throw 2 of 2
5:58.0,Shooting foul by T. Mozgov (drawn by E. Bledsoe),,16-14,,
5:58.0,,,16-14,,LA Lakers full timeout
5:58.0,E. Bledsoe makes free throw 1 of 2,1,17-14,,
5:58.0,E. Bledsoe makes free throw 2 of 2,1,18-14,,
5:58.0,,,16-14,,L. Williams enters the game for B. Ingram
5:47.0,Violation by A. Len (kicked ball),,18-14,,
5:36.0,,,18-14,,J. Randle misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by T. Chandler,,18-14,,
5:28.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by D. Booker),3,21-14,,
5:11.0,,,21-16,2,T. Mozgov makes 2-pt shot from 5 ft
4:55.0,T. Chandler misses 2-pt shot at rim,,21-16,,
4:52.0,,,21-16,,Defensive rebound by J. Randle
4:48.0,,,21-16,,L. Williams misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by A. Len,,21-16,,
4:39.0,E. Bledsoe misses 2-pt shot from 7 ft,,21-16,,
4:37.0,,,21-16,,Defensive rebound by J. Randle
4:33.0,,,21-16,,J. Clarkson misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by T. Chandler,,21-16,,
4:25.0,,,21-16,,Personal foul by L. Williams
4:17.0,D. Booker misses 2-pt shot from 18 ft,,21-16,,
4:15.0,,,21-16,,Defensive rebound by L. Deng
4:05.0,,,21-19,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Randle)
3:56.0,T. Chandler misses 2-pt shot at rim,,21-19,,
3:53.0,,,21-19,,Defensive rebound by J. Randle
3:50.0,,,21-19,,Turnover by J. Randle (bad pass; steal by E. Bledsoe)
