time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession)
11:37.0,A. Drummond misses 2-pt shot from 12 ft,,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:23.0,M. Morris makes 2-pt shot from 10 ft (assist by R. Jackson),2,2-0,,
11:05.0,,,2-0,,I. Shumpert misses 2-pt shot from 7 ft
11:04.0,Defensive rebound by A. Drummond,,2-0,,
10:54.0,R. Jackson misses 2-pt shot from 14 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by L. James
10:45.0,,,2-2,2,K. Irving makes 2-pt shot from 12 ft
10:29.0,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson),3,5-2,,
10:11.0,,,5-4,2,I. Shumpert makes 2-pt shot from 17 ft
9:47.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,7-4,,
9:37.0,,,7-6,2,L. James makes 2-pt shot from 19 ft (assist by K. Irving)
9:12.0,M. Morris misses 2-pt shot from 10 ft,,7-6,,
9:09.0,,,7-6,,Defensive rebound by L. James
9:07.0,Violation by R. Jackson (def goaltending),,7-6,,
9:07.0,,,7-8,2,L. James makes 2-pt shot from 3 ft
8:47.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,9-8,,
8:32.0,,,9-10,2,T. Thompson makes 2-pt shot from 7 ft
8:15.0,R. Jackson misses 2-pt shot from 14 ft,,9-10,,
8:15.0,,,9-10,,Defensive rebound by I. Shumpert
8:05.0,,,9-13,3,R. Jefferson makes 3-pt shot from 23 ft (assist by L. James)
7:48.0,R. Jackson misses 2-pt shot from 3 ft,,9-13,,
7:47.0,,,9-13,,Defensive rebound by L. James
7:38.0,,,9-15,2,L. James makes 2-pt shot from 14 ft (assist by K. Irving)
7:17.0,T. Harris makes 2-pt shot from 4 ft (assist by R. Jackson),2,11-15,,
7:13.0,Personal foul by R. Jackson (drawn by I. Shumpert),,11-15,,
7:06.0,Personal foul by R. Jackson (drawn by T. Thompson),,11-15,,
7:06.0,I. Smith enters the game for R. Jackson,,11-15,,
6:54.0,,,11-18,3,R. Jefferson makes 3-pt shot from 26 ft (assist by L. James)
6:33.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,14-18,,
6:13.0,,,14-21,3,K. Irving makes 3-pt shot from 25 ft (assist by R. Jefferson)
5:45.0,T. Harris makes 2-pt shot from 15 ft,2,16-21,,
5:30.0,Personal foul by I. Smith (drawn by T. Thompson),,16-21,,
5:30.0,,,16-21,,Cleveland full timeout
5:16.0,,,16-21,,K. Irving misses 2-pt shot from 18 ft
5:15.0,Defensive rebound by T. Harris,,16-21,,
5:01.0,A. Drummond misses 2-pt shot from 15 ft,,16-21,,
4:59.0,,,16-21,,Defensive rebound by L. James
4:55.0,,,16-24,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
4:40.0,M. Morris misses 2-pt shot from 18 ft,,16-24,,
4:40.0,,,16-24,,Defensive rebound by I. Shumpert
4:28.0,,,16-26,2,I. Shumpert makes 2-pt shot from 16 ft
