time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession),,,,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession)
11:44.0,D. Jordan misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. Towns
11:33.0,,,0-0,,K. Towns misses 2-pt shot from 12 ft
11:32.0,Defensive rebound by Team,,0-0,,
11:25.0,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul),2,2-0,,
11:04.0,,,2-0,,Z. LaVine misses 3-pt shot from 24 ft
11:02.0,,,2-0,,Offensive rebound by R. Rubio
10:59.0,,,2-2,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
10:40.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by G. Dieng
10:30.0,,,2-2,,R. Rubio misses 2-pt shot from 1 ft (block by D. Jordan)
10:28.0,,,2-2,,Offensive rebound by R. Rubio
10:24.0,,,2-2,,G. Dieng misses 2-pt shot from 16 ft
10:23.0,,,2-2,,Offensive rebound by K. Towns
10:21.0,,,2-2,,K. Towns misses 2-pt shot at rim
10:20.0,Defensive rebound by D. Jordan,,2-2,,
10:03.0,J. Redick misses 3-pt shot from 24 ft,,2-2,,
10:02.0,,,2-2,,Defensive rebound by A. Wiggins
9:53.0,,,2-2,,Turnover by A. Wiggins (bad pass; steal by C. Paul)
9:36.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,4-2,,
9:22.0,,,4-4,2,A. Wiggins makes 2-pt shot from 15 ft
9:03.0,C. Paul misses 2-pt shot from 14 ft,,4-4,,
9:02.0,,,4-4,,Defensive rebound by K. Towns
8:49.0,,,4-4,,Turnover by K. Towns (lost ball; steal by C. Paul)
8:43.0,B. Griffin misses 2-pt shot from 1 ft,,4-4,,
8:42.0,,,4-4,,Defensive rebound by Team
8:23.0,,,4-6,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
8:11.0,L. Mbah a Moute makes 2-pt shot at rim (assist by D. Jordan),2,6-6,,
7:59.0,,,6-6,,K. Towns misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by B. Griffin,,6-6,,
7:50.0,J. Redick misses 3-pt shot from 26 ft,,6-6,,
