time,Philadelphia,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Jokic (W. Chandler gains possession),,,,Jump ball: J. Embiid vs. N. Jokic (W. Chandler gains possession)
11:45.0,,,0-2,2,N. Jokic makes 2-pt shot from 4 ft (assist by E. Mudiay)
11:31.0,Turnover by T. McConnell (bad pass),,0-2,,
11:31.0,,,0-2,,G. Harris misses 2-pt shot from 11 ft
11:28.0,Defensive rebound by E. Ilyasova,,0-2,,
11:06.0,R. Covington misses 2-pt shot from 22 ft,,0-2,,
11:05.0,Offensive rebound by J. Embiid,,0-2,,
11:05.0,J. Embiid misses 2-pt shot from 1 ft,,0-2,,
11:02.0,Offensive rebound by E. Ilyasova,,0-2,,
11:00.0,E. Ilyasova misses 2-pt shot from 1 ft,,0-2,,
10:59.0,Offensive rebound by E. Ilyasova,,0-2,,
10:55.0,E. Ilyasova misses 2-pt shot from 2 ft,,0-2,,
10:55.0,Offensive rebound by R. Covington,,0-2,,
10:49.0,N. Stauskas makes 3-pt shot from 26 ft,3,3-2,,
10:36.0,,,3-2,,E. Mudiay misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by E. Ilyasova,,3-2,,
10:25.0,Turnover by T. McConnell (lost ball; steal by E. Mudiay),,3-2,,
10:22.0,Personal foul by E. Ilyasova (drawn by E. Mudiay),,3-2,,
10:22.0,,,3-2,,D. Gallinari misses 2-pt shot from 10 ft (block by R. Covington)
10:21.0,,,3-2,,Offensive rebound by D. Gallinari
10:13.0,,,3-4,2,N. Jokic makes 2-pt shot from 3 ft (assist by D. Gallinari)
10:01.0,J. Embiid makes 2-pt shot from 2 ft (assist by N. Stauskas),2,5-4,,
9:52.0,,,5-6,2,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay)
9:42.0,T. McConnell makes 2-pt shot from 2 ft (assist by J. Embiid),2,7-6,,
9:28.0,,,7-8,2,N. Jokic makes 2-pt shot from 12 ft (assist by G. Harris)
9:14.0,J. Embiid misses 2-pt shot from 4 ft,,7-8,,
9:13.0,Offensive rebound by J. Embiid,,7-8,,
9:08.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by J. Embiid),3,10-8,,
8:53.0,,,10-8,,N. Jokic misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by R. Covington,,10-8,,
8:43.0,R. Covington misses 2-pt shot from 3 ft,,10-8,,
