time,New Orleans,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: A. Davis vs. J. Valanciunas (K. Lowry gains possession)
11:44.0,,,0-0,,J. Valanciunas misses 2-pt shot from 4 ft
11:44.0,Defensive rebound by B. Hield,,0-0,,
11:31.0,Shooting foul by N. Powell (drawn by A. Davis),,0-0,,
11:31.0,A. Davis makes free throw 1 of 2,1,1-0,,
11:31.0,A. Davis makes free throw 2 of 2,1,2-0,,
11:16.0,,,2-0,,Turnover by P. Patterson (bad pass)
11:03.0,A. Davis misses 2-pt shot from 20 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by P. Patterson
10:55.0,,,2-3,3,K. Lowry makes 3-pt shot from 27 ft
10:36.0,J. Holiday misses 2-pt shot from 9 ft,,2-3,,
10:36.0,,,2-3,,Defensive rebound by N. Powell
10:22.0,,,2-3,,K. Lowry misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by S. Hill,,2-3,,
10:13.0,Turnover by S. Hill (bad pass; steal by D. Carroll),,2-3,,
9:58.0,,,2-3,,Shooting foul by S. Hill (drawn by N. Powell)
9:58.0,,,2-4,1,N. Powell makes free throw 1 of 2
9:58.0,,,2-5,1,N. Powell makes free throw 2 of 2
9:40.0,B. Hield misses 3-pt shot from 22 ft (block by N. Powell),,2-5,,
9:40.0,Offensive rebound by Team,,2-5,,
9:35.0,A. Davis misses 2-pt shot from 6 ft,,2-5,,
9:35.0,Offensive rebound by D. Cunningham,,2-5,,
9:34.0,Turnover by Team (shot clock),,2-5,,
9:12.0,Violation by A. Davis (kicked ball),,2-5,,
9:05.0,,,2-5,,D. Carroll misses 2-pt shot from 15 ft (block by B. Hield)
9:03.0,Defensive rebound by B. Hield,,2-5,,
8:57.0,B. Hield makes 3-pt shot from 25 ft,3,5-5,,
8:45.0,,,5-5,,Turnover by P. Patterson (bad pass; steal by S. Hill)
8:40.0,B. Hield makes 2-pt shot from 4 ft (assist by S. Hill),2,7-5,,
8:20.0,,,7-7,2,J. Valanciunas makes 2-pt shot from 9 ft
8:09.0,B. Hield makes 3-pt shot from 27 ft (assist by J. Holiday),3,10-7,,
7:57.0,,,10-9,2,D. Carroll makes 2-pt shot from 4 ft (assist by K. Lowry)
7:36.0,B. Hield misses 2-pt shot from 4 ft,,10-9,,
7:36.0,,,10-9,,Defensive rebound by J. Valanciunas
7:24.0,,,10-9,,J. Valanciunas misses 2-pt shot from 3 ft (block by A. Davis)
7:22.0,Defensive rebound by A. Davis,,10-9,,
7:12.0,J. Holiday makes 2-pt shot at rim,2,12-9,,
6:53.0,,,12-11,2,N. Powell makes 2-pt shot at rim
6:41.0,J. Holiday makes 3-pt shot from 24 ft,3,15-11,,
6:26.0,,,15-13,2,K. Lowry makes 2-pt shot from 1 ft
6:05.0,J. Holiday makes 3-pt shot from 22 ft,3,18-13,,
6:00.0,,,18-13,,Toronto full timeout
6:00.0,D. Motiejunas enters the game for D. Cunningham,,18-13,,
5:53.0,,,18-15,2,P. Patterson makes 2-pt shot from 3 ft (assist by D. Carroll)
5:39.0,Turnover by S. Hill (traveling),,18-15,,
5:16.0,,,18-17,2,K. Lowry makes 2-pt shot from 2 ft
5:11.0,Turnover by J. Holiday (bad pass),,18-17,,
5:01.0,,,18-17,,K. Lowry misses 3-pt shot from 26 ft (block by J. Holiday)
5:00.0,Defensive rebound by B. Hield,,18-17,,
4:51.0,A. Davis misses 2-pt shot from 2 ft,,18-17,,
4:51.0,,,18-17,,Defensive rebound by D. Carroll
4:29.0,,,18-17,,D. Carroll misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by A. Davis,,18-17,,
4:19.0,B. Hield misses 3-pt shot from 23 ft,,18-17,,
4:19.0,,,18-17,,Defensive rebound by N. Powell
4:12.0,Personal foul by J. Holiday (drawn by N. Powell),,18-17,,
4:12.0,,,18-17,,C. Joseph enters the game for K. Lowry
4:02.0,,,18-17,,N. Powell misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by B. Hield,,18-17,,
3:47.0,A. Davis misses 2-pt shot from 6 ft,,18-17,,
3:47.0,,,18-17,,Defensive rebound by J. Valanciunas
3:29.0,,,18-19,2,J. Valanciunas makes 2-pt shot from 4 ft
3:16.0,Turnover by J. Holiday (bad pass; steal by N. Powell),,18-19,,
3:12.0,,,18-19,,Shooting foul by S. Hill (drawn by D. Carroll)
3:12.0,,,18-20,1,D. Carroll makes free throw 1 of 2
3:12.0,,,18-21,1,D. Carroll makes free throw 2 of 2
3:12.0,,,18-20,,L. Nogueira enters the game for J. Valanciunas
3:12.0,E. Moore enters the game for S. Hill,,18-20,,
3:12.0,,,18-20,,P. Siakam enters the game for P. Patterson
3:12.0,T. Frazier enters the game for J. Holiday,,18-20,,
2:58.0,D. Motiejunas misses 2-pt shot from 8 ft,,18-21,,
2:58.0,,,18-21,,Defensive rebound by L. Nogueira
2:47.0,,,18-23,2,P. Siakam makes 2-pt shot from 19 ft (assist by C. Joseph)
2:28.0,A. Davis misses 2-pt shot from 17 ft,,18-23,,
2:27.0,,,18-23,,Defensive rebound by L. Nogueira
2:20.0,,,18-23,,N. Powell misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by A. Davis,,18-23,,
2:02.0,A. Davis makes 2-pt shot from 6 ft,2,20-23,,
1:47.0,,,20-23,,P. Siakam misses 2-pt shot from 13 ft
1:46.0,Defensive rebound by D. Motiejunas,,20-23,,
1:38.0,,,20-23,,Personal foul by C. Joseph (drawn by E. Moore)
1:38.0,New Orleans full timeout,,20-23,,
1:38.0,,,20-23,,T. Ross enters the game for D. Carroll
1:38.0,L. Galloway enters the game for B. Hield,,20-23,,
1:23.0,Turnover by Team (shot clock),,20-23,,
1:02.0,,,20-23,,Turnover by N. Powell (lost ball; steal by E. Moore)
0:54.0,T. Frazier misses 3-pt shot from 27 ft,,20-23,,
0:54.0,Offensive rebound by D. Motiejunas,,20-23,,
0:52.0,D. Motiejunas makes 2-pt shot from 6 ft,2,22-23,,
0:27.0,,,22-23,,N. Powell misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by A. Davis,,22-23,,
0:22.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Frazier),3,25-23,,
0:02.0,,,25-23,,C. Joseph misses 2-pt shot from 10 ft
0:01.0,Defensive rebound by A. Davis,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Galloway makes 2-pt shot from 10 ft (assist by T. Frazier),2,27-23,,
11:21.0,,,27-23,,P. Patterson misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by L. Galloway,,27-23,,
11:05.0,E. Moore misses 2-pt shot from 8 ft,,27-23,,
11:04.0,,,27-23,,Defensive rebound by T. Ross
10:55.0,,,27-25,2,L. Nogueira makes 2-pt shot from 3 ft (assist by K. Lowry)
10:30.0,T. Jones misses 2-pt shot from 2 ft (block by L. Nogueira),,27-25,,
10:29.0,,,27-25,,Defensive rebound by T. Ross
10:15.0,,,27-28,3,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph)
9:59.0,T. Frazier makes 2-pt shot from 4 ft,2,29-28,,
9:39.0,,,29-28,,Turnover by K. Lowry (bad pass; steal by D. Motiejunas)
9:31.0,L. Galloway misses 3-pt shot from 30 ft,,29-28,,
9:30.0,,,29-28,,Defensive rebound by T. Ross
9:16.0,,,29-30,2,C. Joseph makes 2-pt shot from 7 ft
9:01.0,T. Frazier misses 3-pt shot from 26 ft,,29-30,,
9:00.0,,,29-30,,Defensive rebound by L. Nogueira
8:52.0,,,29-30,,C. Joseph misses 2-pt shot from 8 ft
8:52.0,,,29-30,,Offensive rebound by L. Nogueira
8:51.0,,,29-32,2,L. Nogueira makes 2-pt shot at rim
8:33.0,T. Jones misses 2-pt shot from 5 ft,,29-32,,
8:33.0,Offensive rebound by T. Frazier,,29-32,,
8:28.0,E. Moore makes 2-pt shot from 8 ft,2,31-32,,
8:14.0,,,31-32,,C. Joseph misses 2-pt shot from 4 ft
8:13.0,Defensive rebound by D. Motiejunas,,31-32,,
8:06.0,Shooting foul by L. Nogueira (drawn by L. Galloway),,31-32,,
8:06.0,Official timeout,,31-32,,
8:06.0,L. Galloway makes free throw 1 of 2,1,32-32,,
8:06.0,L. Galloway makes free throw 2 of 2,1,33-32,,
8:06.0,J. Holiday enters the game for T. Frazier,,31-32,,
7:50.0,,,33-32,,L. Nogueira misses 2-pt shot at rim
7:50.0,Defensive rebound by E. Moore,,33-32,,
7:32.0,J. Holiday makes 2-pt shot from 6 ft,2,35-32,,
7:12.0,,,35-32,,T. Ross misses 2-pt shot from 15 ft
7:11.0,Defensive rebound by T. Jones,,35-32,,
7:01.0,T. Jones makes 2-pt shot at rim (assist by L. Galloway),2,37-32,,
6:50.0,,,37-32,,Toronto full timeout
6:50.0,,,37-32,,J. Valanciunas enters the game for P. Patterson
6:50.0,A. Davis enters the game for D. Motiejunas,,37-32,,
6:50.0,B. Hield enters the game for E. Moore,,37-32,,
6:42.0,,,37-32,,T. Ross misses 3-pt shot from 26 ft
