time,Boston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: R. Gobert vs. A. Johnson (I. Thomas gains possession)
11:41.0,M. Smart makes 2-pt shot from 6 ft,2,2-0,,
11:19.0,,,2-0,,G. Hill misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by A. Horford,,2-0,,
11:10.0,I. Thomas makes 3-pt shot from 24 ft,3,5-0,,
10:55.0,Def 3 sec tech foul by A. Horford,,5-0,,
10:55.0,,,5-1,1,G. Hayward makes technical free throw
10:46.0,,,5-1,,R. Gobert misses 2-pt shot from 2 ft (block by A. Horford)
10:45.0,Defensive rebound by M. Smart,,5-1,,
10:40.0,A. Johnson makes 2-pt shot at rim (assist by M. Smart),2,7-1,,
10:13.0,,,7-1,,Turnover by Team (shot clock)
9:53.0,Turnover by A. Johnson (lost ball),,7-1,,
9:40.0,Personal foul by J. Brown (drawn by G. Hayward),,7-1,,
9:28.0,,,7-1,,J. Ingles misses 2-pt shot from 12 ft
9:26.0,,,7-1,,Offensive rebound by D. Favors
9:26.0,,,7-3,2,D. Favors makes 2-pt shot from 1 ft
9:10.0,M. Smart misses 3-pt shot from 24 ft,,7-3,,
9:10.0,,,7-3,,Defensive rebound by R. Gobert
9:04.0,,,7-5,2,G. Hill makes 2-pt shot from 23 ft
9:04.0,Away from play foul by I. Thomas (drawn by R. Gobert),,7-5,,
9:04.0,,,7-6,1,R. Gobert makes free throw 1 of 1
8:51.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,9-6,,
8:41.0,,,9-9,3,G. Hayward makes 3-pt shot from 25 ft
8:29.0,Turnover by A. Johnson (bad pass),,9-9,,
8:07.0,,,9-9,,Turnover by J. Ingles (bad pass; steal by A. Johnson)
8:01.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Johnson),2,11-9,,
7:48.0,,,11-9,,Turnover by R. Gobert (lost ball)
7:38.0,,,11-9,,Personal foul by G. Hill (drawn by I. Thomas)
7:32.0,I. Thomas misses 2-pt shot from 20 ft,,11-9,,
7:31.0,,,11-9,,Defensive rebound by R. Gobert
7:18.0,Personal foul by J. Brown (drawn by G. Hayward),,11-9,,
7:10.0,,,11-11,2,D. Favors makes 2-pt shot from 16 ft (assist by G. Hayward)
6:58.0,Offensive foul by M. Smart,,11-11,,
6:58.0,Turnover by M. Smart (offensive foul),,11-11,,
6:58.0,,,11-11,,T. Lyles enters the game for D. Favors
6:40.0,,,11-11,,G. Hayward misses 2-pt shot from 9 ft
