time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (K. Irving gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (K. Irving gains possession)
11:41.0,,,0-3,3,J. Smith makes 3-pt shot from 26 ft (assist by T. Thompson)
11:16.0,T. Zeller misses 2-pt shot from 6 ft,,0-3,,
11:14.0,Offensive rebound by T. Zeller,,0-3,,
11:14.0,T. Zeller makes 2-pt shot at rim,2,2-3,,
10:48.0,,,2-3,,L. James misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by I. Thomas,,2-3,,
10:39.0,I. Thomas misses 3-pt shot from 25 ft,,2-3,,
10:38.0,,,2-3,,Defensive rebound by T. Thompson
10:29.0,,,2-5,2,K. Irving makes 2-pt shot from 17 ft
10:11.0,J. Brown misses 2-pt shot from 8 ft (block by K. Love),,2-5,,
10:11.0,Offensive rebound by Team,,2-5,,
10:05.0,A. Bradley misses 2-pt shot from 11 ft,,2-5,,
10:03.0,,,2-5,,Defensive rebound by T. Thompson
9:53.0,,,2-7,2,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving)
9:34.0,A. Bradley makes 2-pt shot from 1 ft (assist by T. Zeller),2,4-7,,
9:23.0,,,4-7,,J. Smith misses 3-pt shot from 27 ft
9:23.0,,,4-7,,Offensive rebound by Team
9:12.0,,,4-7,,T. Thompson misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by A. Johnson,,4-7,,
9:01.0,J. Brown makes 3-pt shot from 26 ft (assist by A. Johnson),3,7-7,,
8:46.0,,,7-10,3,K. Irving makes 3-pt shot from 27 ft
8:27.0,A. Bradley makes 2-pt shot from 20 ft,2,9-10,,
8:09.0,,,9-10,,K. Love misses 2-pt shot from 16 ft (block by A. Johnson)
8:08.0,Defensive rebound by T. Zeller,,9-10,,
7:57.0,T. Zeller makes 2-pt shot from 1 ft (assist by A. Bradley),2,11-10,,
7:45.0,,,11-10,,K. Irving misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by A. Bradley,,11-10,,
7:36.0,A. Bradley makes 2-pt shot from 1 ft,2,13-10,,
7:36.0,,,13-10,,Cleveland full timeout
7:22.0,,,13-13,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
7:00.0,I. Thomas misses 3-pt shot from 25 ft,,13-13,,
7:00.0,,,13-13,,Defensive rebound by L. James
6:57.0,,,13-13,,Shooting foul by I. Thomas (drawn by K. Love)
6:57.0,,,13-14,1,K. Love makes free throw 1 of 2
6:57.0,,,13-15,1,K. Love makes free throw 2 of 2
6:41.0,J. Brown makes 2-pt shot from 1 ft,2,15-15,,
6:31.0,,,15-15,,K. Irving misses 2-pt shot from 1 ft (block by T. Zeller)
6:30.0,,,15-15,,Offensive rebound by T. Thompson
6:24.0,,,15-15,,J. Smith misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by Team,,15-15,,
6:06.0,J. Brown misses 3-pt shot from 24 ft,,15-15,,
6:06.0,,,15-15,,Defensive rebound by T. Thompson
5:58.0,,,15-15,,K. Love misses 2-pt shot from 16 ft
5:58.0,Defensive rebound by T. Zeller,,15-15,,
5:51.0,Turnover by A. Bradley (bad pass; steal by J. Smith),,15-15,,
5:49.0,Personal foul by A. Bradley (drawn by K. Irving),,15-15,,
5:49.0,M. Smart enters the game for J. Brown,,15-15,,
5:49.0,,,15-15,,C. Frye enters the game for K. Love
5:49.0,J. Jerebko enters the game for A. Johnson,,15-15,,
5:41.0,,,15-15,,L. James misses 2-pt shot from 6 ft
5:41.0,Defensive rebound by T. Zeller,,15-15,,
5:31.0,T. Zeller misses 2-pt shot from 1 ft (block by T. Thompson),,15-15,,
5:29.0,,,15-15,,Defensive rebound by T. Thompson
5:20.0,,,15-15,,C. Frye misses 2-pt shot from 12 ft
5:20.0,,,15-15,,Offensive rebound by Team
5:20.0,Personal foul by J. Jerebko (drawn by T. Thompson),,15-15,,
5:10.0,,,15-17,2,L. James makes 2-pt shot from 22 ft (assist by K. Irving)
4:59.0,,,15-17,,Def 3 sec tech foul by C. Frye
4:59.0,I. Thomas makes technical free throw,1,16-17,,
4:50.0,M. Smart makes 3-pt shot from 27 ft (assist by I. Thomas),3,19-17,,
4:40.0,Personal foul by J. Jerebko (drawn by C. Frye),,19-17,,
4:21.0,,,19-19,2,K. Irving makes 2-pt shot from 20 ft
