time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession)
11:42.0,D. Sabonis misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by S. Hill
11:27.0,,,0-0,,A. Davis misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by R. Westbrook,,0-0,,
11:13.0,S. Adams misses 2-pt shot from 13 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by A. Davis
11:04.0,,,0-2,2,J. Holiday makes 2-pt shot at rim
10:40.0,S. Adams makes 2-pt shot from 5 ft,2,2-2,,
10:28.0,,,2-2,,Shooting foul by D. Sabonis (drawn by J. Holiday)
10:28.0,,,2-3,1,J. Holiday makes free throw 1 of 2
10:28.0,,,2-3,,J. Holiday misses free throw 2 of 2
10:26.0,Defensive rebound by R. Westbrook,,2-3,,
10:18.0,,,2-3,,Personal foul by A. Ajinca (drawn by S. Adams)
10:12.0,R. Westbrook makes 2-pt shot from 16 ft (assist by S. Adams),2,4-3,,
9:59.0,,,4-5,2,A. Davis makes 2-pt shot from 10 ft
9:46.0,A. Morrow misses 2-pt shot from 17 ft,,4-5,,
9:46.0,,,4-5,,Defensive rebound by A. Ajinca
9:35.0,,,4-5,,J. Holiday misses 2-pt shot from 1 ft
9:35.0,,,4-5,,Offensive rebound by J. Holiday
9:33.0,,,4-5,,Shooting foul by A. Roberson (drawn by B. Hield)
9:33.0,,,4-6,1,B. Hield makes free throw 1 of 2
9:33.0,,,4-7,1,B. Hield makes free throw 2 of 2
9:21.0,R. Westbrook makes 2-pt shot from 3 ft,2,6-7,,
8:58.0,,,6-7,,J. Holiday misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by R. Westbrook,,6-7,,
8:50.0,S. Adams misses 2-pt shot from 7 ft,,6-7,,
8:48.0,,,6-7,,Defensive rebound by A. Davis
8:35.0,,,6-9,2,A. Davis makes 2-pt shot from 18 ft (assist by B. Hield)
8:18.0,A. Morrow makes 3-pt shot from 25 ft (assist by S. Adams),3,9-9,,
8:11.0,,,9-9,,B. Hield misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by D. Sabonis,,9-9,,
8:02.0,Shooting foul by A. Davis (drawn by R. Westbrook),,9-9,,
8:02.0,R. Westbrook makes free throw 1 of 2,1,10-9,,
8:02.0,R. Westbrook makes free throw 2 of 2,1,11-9,,
7:51.0,,,11-11,2,J. Holiday makes 2-pt shot from 15 ft
7:35.0,D. Sabonis makes 3-pt shot from 27 ft (assist by R. Westbrook),3,14-11,,
7:27.0,,,14-13,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
7:07.0,S. Adams makes 2-pt shot from 3 ft (assist by D. Sabonis),2,16-13,,
6:51.0,,,16-13,,Shooting foul by D. Sabonis (drawn by S. Hill)
6:51.0,,,16-14,1,S. Hill makes free throw 1 of 2
6:51.0,,,16-15,1,S. Hill makes free throw 2 of 2
6:51.0,E. Kanter enters the game for D. Sabonis,,16-14,,
