time,LA Clippers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas (R. Felton gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (R. Felton gains possession)
11:36.0,A. Rivers makes 2-pt shot from 11 ft,2,2-0,,
11:11.0,,,2-0,,D. DeRozan misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by A. Rivers,,2-0,,
10:55.0,R. Felton makes 3-pt shot from 24 ft (assist by B. Griffin),3,5-0,,
10:37.0,,,5-0,,K. Lowry misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by D. Jordan,,5-0,,
10:31.0,,,5-0,,Personal foul by D. Carroll (drawn by B. Griffin)
10:23.0,J. Redick misses 2-pt shot from 18 ft,,5-0,,
10:23.0,,,5-0,,Defensive rebound by K. Lowry
10:17.0,,,5-0,,Shooting foul by D. Jordan (drawn by K. Lowry)
10:17.0,,,5-1,1,K. Lowry makes free throw 1 of 2
10:17.0,,,5-2,1,K. Lowry makes free throw 2 of 2
10:04.0,A. Rivers makes 3-pt shot from 26 ft (assist by B. Griffin),3,8-2,,
9:57.0,,,8-2,,Turnover by K. Lowry (lost ball; steal by R. Felton)
9:52.0,J. Redick makes 2-pt shot from 1 ft (assist by R. Felton),2,10-2,,
9:39.0,,,10-4,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry)
9:28.0,R. Felton misses 2-pt shot from 2 ft,,10-4,,
9:28.0,,,10-4,,Defensive rebound by P. Siakam
9:15.0,,,10-6,2,P. Siakam makes 2-pt shot from 16 ft (assist by D. Carroll)
8:55.0,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin),3,13-6,,
8:39.0,,,13-6,,D. DeRozan misses 2-pt shot from 8 ft
8:39.0,Defensive rebound by D. Jordan,,13-6,,
8:26.0,B. Griffin makes 2-pt shot from 18 ft,2,15-6,,
8:13.0,,,15-6,,Toronto full timeout
8:07.0,,,15-6,,Shooting foul by D. Jordan (drawn by D. DeRozan)
8:07.0,,,15-6,,D. DeRozan misses free throw 1 of 2
8:07.0,,,15-6,,Offensive rebound by Team
8:07.0,,,15-6,,D. DeRozan misses free throw 2 of 2
8:07.0,M. Speights enters the game for D. Jordan,,15-6,,
8:06.0,Defensive rebound by B. Griffin,,15-6,,
7:51.0,J. Redick makes 2-pt shot from 22 ft (assist by R. Felton),2,17-6,,
7:28.0,,,17-6,,J. Valanciunas misses 2-pt shot from 7 ft
7:28.0,Defensive rebound by B. Griffin,,17-6,,
7:11.0,A. Rivers misses 3-pt shot from 26 ft,,17-6,,
7:11.0,,,17-6,,Defensive rebound by D. Carroll
6:59.0,,,17-6,,D. DeRozan misses 2-pt shot from 9 ft
6:59.0,,,17-6,,Offensive rebound by J. Valanciunas
6:58.0,,,17-8,2,J. Valanciunas makes 2-pt shot from 2 ft
6:41.0,Turnover by J. Redick (bad pass; steal by P. Siakam),,17-8,,
6:38.0,Personal foul by J. Redick (drawn by D. Carroll),,17-8,,
6:38.0,LA Clippers full timeout,,17-8,,
6:38.0,,,17-8,,T. Ross enters the game for D. Carroll
6:38.0,,,17-8,,L. Nogueira enters the game for J. Valanciunas
6:27.0,,,17-11,3,K. Lowry makes 3-pt shot from 25 ft
6:07.0,J. Redick misses 3-pt shot from 25 ft,,17-11,,
6:07.0,,,17-11,,Defensive rebound by P. Siakam
5:58.0,,,17-11,,P. Siakam misses 2-pt shot from 19 ft
5:57.0,,,17-11,,Offensive rebound by L. Nogueira
5:50.0,,,17-14,3,K. Lowry makes 3-pt shot from 23 ft (assist by T. Ross)
5:29.0,B. Griffin misses 2-pt shot from 5 ft,,17-14,,
5:28.0,Offensive rebound by B. Griffin,,17-14,,
5:28.0,B. Griffin makes 2-pt shot from 2 ft,2,19-14,,
5:23.0,,,19-14,,Shooting foul by M. Speights (drawn by K. Lowry)
5:23.0,,,19-15,1,K. Lowry makes free throw 1 of 2
5:23.0,,,19-16,1,K. Lowry makes free throw 2 of 2
5:07.0,M. Speights makes 3-pt shot from 27 ft (assist by B. Griffin),3,22-16,,
4:57.0,,,22-18,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
4:46.0,B. Griffin misses 2-pt shot from 4 ft,,22-18,,
4:46.0,,,22-18,,Defensive rebound by P. Siakam
4:42.0,Personal foul by R. Felton (drawn by D. DeRozan),,22-18,,
4:42.0,,,22-19,1,D. DeRozan makes free throw 1 of 2
4:42.0,,,22-20,1,D. DeRozan makes free throw 2 of 2
4:29.0,Turnover by A. Rivers (bad pass; steal by L. Nogueira),,22-20,,
4:25.0,,,22-22,2,L. Nogueira makes 2-pt shot at rim
4:07.0,B. Griffin misses 2-pt shot from 4 ft,,22-22,,
4:06.0,Offensive rebound by M. Speights,,22-22,,
4:05.0,M. Speights misses 2-pt shot from 2 ft,,22-22,,
4:05.0,,,22-22,,Defensive rebound by L. Nogueira
