time,LA Lakers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Whiteside (N. Young gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (N. Young gains possession)
11:44.0,T. Mozgov makes 2-pt shot from 16 ft (assist by L. Deng),2,2-0,,
11:27.0,,,2-0,,J. Richardson misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by B. Ingram,,2-0,,
11:14.0,D. Russell makes 3-pt shot from 25 ft (assist by N. Young),3,5-0,,
10:58.0,,,5-0,,H. Whiteside misses 2-pt shot from 3 ft
10:57.0,Defensive rebound by L. Deng,,5-0,,
10:51.0,N. Young misses 3-pt shot from 25 ft,,5-0,,
10:50.0,Offensive rebound by B. Ingram,,5-0,,
10:43.0,D. Russell misses 3-pt shot from 25 ft,,5-0,,
10:42.0,,,5-0,,Defensive rebound by J. Winslow
10:26.0,,,5-0,,J. Richardson misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by D. Russell,,5-0,,
10:19.0,L. Deng misses 3-pt shot from 26 ft,,5-0,,
10:18.0,Offensive rebound by B. Ingram,,5-0,,
10:12.0,N. Young misses 3-pt shot from 24 ft,,5-0,,
10:11.0,,,5-0,,Defensive rebound by J. Winslow
9:58.0,,,5-0,,G. Dragic misses 3-pt shot from 25 ft
9:57.0,,,5-0,,Offensive rebound by Team
9:44.0,,,5-0,,Turnover by J. Winslow (bad pass)
9:20.0,T. Mozgov makes 2-pt shot from 8 ft,2,7-0,,
9:04.0,,,7-0,,Turnover by J. Winslow (bad pass; steal by L. Deng)
9:03.0,,,7-0,,Personal foul by J. McRoberts (drawn by L. Deng)
8:49.0,T. Mozgov misses 2-pt shot from 1 ft (block by H. Whiteside),,7-0,,
8:48.0,,,7-0,,Defensive rebound by J. Richardson
8:40.0,,,7-0,,Turnover by J. Richardson (lost ball)
8:28.0,D. Russell makes 2-pt shot from 14 ft,2,9-0,,
8:15.0,,,9-0,,G. Dragic misses 2-pt shot from 1 ft (block by T. Mozgov)
8:15.0,Defensive rebound by L. Deng,,9-0,,
8:09.0,B. Ingram misses 2-pt shot from 21 ft,,9-0,,
8:08.0,,,9-0,,Defensive rebound by H. Whiteside
7:55.0,,,9-0,,H. Whiteside misses 2-pt shot from 16 ft
7:54.0,Defensive rebound by D. Russell,,9-0,,
7:46.0,T. Mozgov makes 2-pt shot from 2 ft (assist by D. Russell),2,11-0,,
7:45.0,,,11-0,,Miami full timeout
7:29.0,,,11-2,2,J. Winslow makes 2-pt shot from 7 ft
