time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,0-0,,
12:00.0,Jump ball: T. Maker vs. H. Whiteside (G. Antetokounmpo gains possession),,,,Jump ball: T. Maker vs. H. Whiteside (G. Antetokounmpo gains possession)
11:35.0,,,0-0,,Defensive rebound by H. Whiteside
11:12.0,,,0-0,,G. Dragic misses 3-pt shot from 24 ft
11:11.0,,,0-0,,Offensive rebound by L. Babbitt
11:01.0,,,0-0,,R. McGruder misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by M. Dellavedova,,0-0,,
10:54.0,,,0-0,,Personal foul by L. Babbitt (drawn by G. Antetokounmpo)
10:44.0,J. Henson makes 2-pt shot from 9 ft (assist by T. Snell),2,2-0,,
10:33.0,Personal foul by J. Henson (drawn by L. Babbitt),,2-0,,
10:22.0,,,2-2,2,D. Waiters makes 2-pt shot from 1 ft
10:00.0,M. Dellavedova makes 2-pt shot from 10 ft,2,4-2,,
9:34.0,,,4-2,,L. Babbitt misses 2-pt shot from 9 ft
9:33.0,,,4-2,,Offensive rebound by H. Whiteside
9:32.0,,,4-4,2,H. Whiteside makes 2-pt shot at rim
9:25.0,,,4-4,,Personal foul by R. McGruder (drawn by T. Snell)
9:21.0,Shooting foul by H. Whiteside (drawn by T. Maker),,4-4,,
9:21.0,T. Maker makes free throw 1 of 2,1,5-4,,
9:21.0,T. Maker makes free throw 2 of 2,1,6-4,,
9:10.0,,,6-4,,D. Waiters misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by J. Henson,,6-4,,
8:58.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,9-4,,
8:31.0,,,9-4,,Shooting foul by T. Snell (drawn by D. Waiters)
8:31.0,,,9-5,1,D. Waiters makes free throw 1 of 2
8:31.0,,,9-5,,D. Waiters misses free throw 2 of 2
8:30.0,Defensive rebound by J. Henson,,9-5,,
