time,Oklahoma City,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Thompson (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. T. Thompson (V. Oladipo gains possession)
11:45.0,Turnover by R. Westbrook (bad pass),,0-0,,
11:37.0,Personal foul by D. Sabonis (drawn by I. Shumpert),,0-0,,
11:29.0,,,0-0,,K. Love misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by A. Roberson,,0-0,,
11:14.0,V. Oladipo misses 2-pt shot from 9 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by T. Thompson
11:04.0,,,0-2,2,K. Irving makes 2-pt shot from 15 ft
10:45.0,S. Adams makes 2-pt shot from 12 ft,2,2-2,,
10:25.0,,,2-2,,L. James misses 2-pt shot from 12 ft
10:24.0,,,2-2,,Offensive rebound by T. Thompson
10:24.0,,,2-2,,T. Thompson misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by S. Adams,,2-2,,
10:11.0,D. Sabonis misses 2-pt shot at rim,,2-2,,
10:11.0,,,2-2,,Defensive rebound by K. Love
10:02.0,,,2-4,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving)
9:44.0,Turnover by S. Adams (bad pass; steal by L. James),,2-4,,
9:35.0,,,2-4,,I. Shumpert misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by S. Adams,,2-4,,
9:26.0,R. Westbrook misses 3-pt shot from 25 ft,,2-4,,
9:26.0,Offensive rebound by S. Adams,,2-4,,
9:22.0,S. Adams makes 2-pt shot at rim,2,4-4,,
9:07.0,,,4-4,,Turnover by T. Thompson (bad pass)
8:58.0,R. Westbrook misses 2-pt shot at rim,,4-4,,
8:56.0,Offensive rebound by S. Adams,,4-4,,
8:52.0,V. Oladipo misses 3-pt shot from 25 ft,,4-4,,
8:52.0,,,4-4,,Defensive rebound by L. James
8:43.0,,,4-4,,I. Shumpert misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by D. Sabonis,,4-4,,
8:37.0,V. Oladipo misses 2-pt shot from 1 ft,,4-4,,
8:36.0,,,4-4,,Defensive rebound by K. Love
8:29.0,,,4-4,,Turnover by L. James (lost ball)
8:29.0,Oklahoma City full timeout,,4-4,,
8:25.0,Shooting foul by K. Love (drawn by R. Westbrook),,4-4,,
8:25.0,R. Westbrook makes free throw 1 of 2,1,5-4,,
8:25.0,R. Westbrook makes free throw 2 of 2,1,6-4,,
8:11.0,,,6-4,,K. Irving misses 3-pt shot from 24 ft
8:11.0,,,6-4,,Offensive rebound by I. Shumpert
8:05.0,,,6-4,,K. Love misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by R. Westbrook,,6-4,,
7:58.0,R. Westbrook makes 2-pt shot from 1 ft,2,8-4,,
7:43.0,,,8-6,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
7:31.0,V. Oladipo makes 2-pt shot from 15 ft (assist by R. Westbrook),2,10-6,,
7:17.0,,,10-6,,L. James misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by A. Roberson,,10-6,,
7:09.0,D. Sabonis misses 2-pt shot from 2 ft,,10-6,,
7:09.0,Offensive rebound by D. Sabonis,,10-6,,
7:06.0,D. Sabonis makes 2-pt shot from 1 ft,2,12-6,,
6:56.0,,,12-8,2,K. Irving makes 2-pt shot from 12 ft
6:49.0,V. Oladipo makes 2-pt shot from 5 ft (assist by R. Westbrook),2,14-8,,
6:38.0,,,14-8,,Shooting foul by V. Oladipo (drawn by K. Irving)
6:38.0,,,14-9,1,K. Irving makes free throw 1 of 2
6:38.0,,,14-10,1,K. Irving makes free throw 2 of 2
6:27.0,R. Westbrook misses 2-pt shot from 13 ft,,14-10,,
6:24.0,Offensive rebound by D. Sabonis,,14-10,,
6:24.0,D. Sabonis makes 2-pt shot from 2 ft,2,16-10,,
6:11.0,,,16-10,,T. Thompson misses 2-pt shot from 2 ft (block by S. Adams)
6:09.0,Defensive rebound by S. Adams,,16-10,,
6:05.0,V. Oladipo misses 2-pt shot from 1 ft,,16-10,,
6:04.0,,,16-10,,Defensive rebound by K. Love
5:56.0,,,16-10,,Shooting foul by S. Adams (drawn by T. Thompson)
5:56.0,,,16-11,1,T. Thompson makes free throw 1 of 2
5:56.0,,,16-12,1,T. Thompson makes free throw 2 of 2
5:45.0,R. Westbrook misses 3-pt shot from 25 ft,,16-12,,
5:44.0,,,16-12,,Defensive rebound by K. Love
5:37.0,,,16-12,,K. Love misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by R. Westbrook,,16-12,,
5:27.0,D. Sabonis misses 3-pt shot from 26 ft,,16-12,,
5:26.0,,,16-12,,Defensive rebound by K. Love
5:15.0,,,16-12,,K. Irving misses 2-pt shot from 17 ft
5:15.0,Defensive rebound by R. Westbrook,,16-12,,
5:10.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,18-12,,
4:59.0,,,18-14,2,L. James makes 2-pt shot at rim
4:55.0,,,18-14,,Personal foul by T. Thompson (drawn by S. Adams)
4:43.0,A. Roberson misses 3-pt shot from 25 ft,,18-14,,
4:42.0,,,18-14,,Defensive rebound by K. Love
4:29.0,,,18-14,,K. Irving misses 2-pt shot at rim
4:26.0,Defensive rebound by D. Sabonis,,18-14,,
4:18.0,A. Roberson misses 3-pt shot from 23 ft,,18-14,,
4:17.0,,,18-14,,Defensive rebound by K. Love
4:02.0,,,18-14,,I. Shumpert misses 2-pt shot from 16 ft
4:01.0,Defensive rebound by A. Roberson,,18-14,,
3:43.0,Turnover by S. Adams (lost ball; steal by I. Shumpert),,18-14,,
3:42.0,Personal foul by S. Adams (drawn by I. Shumpert),,18-14,,
3:42.0,J. Lauvergne enters the game for S. Adams,,18-14,,
3:25.0,,,18-14,,I. Shumpert misses 2-pt shot from 3 ft
3:23.0,,,18-14,,Offensive rebound by I. Shumpert
3:19.0,,,18-14,,Shooting foul by A. Roberson (drawn by K. Love)
3:19.0,,,18-14,,K. Love misses free throw 1 of 2
3:19.0,,,18-14,,Offensive rebound by Team
3:19.0,,,18-15,1,K. Love makes free throw 2 of 2
3:19.0,,,18-14,,R. Jefferson enters the game for L. James
3:07.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook),2,20-15,,
2:49.0,,,20-15,,K. Love misses 2-pt shot from 13 ft
2:47.0,Defensive rebound by V. Oladipo,,20-15,,
2:43.0,V. Oladipo makes 2-pt shot at rim,2,22-15,,
2:43.0,,,22-15,,Cleveland full timeout
2:43.0,,,22-15,,C. Frye enters the game for K. Love
2:43.0,,,22-15,,K. Korver enters the game for I. Shumpert
2:43.0,J. Grant enters the game for A. Roberson,,22-15,,
2:43.0,A. Abrines enters the game for V. Oladipo,,22-15,,
2:18.0,,,22-15,,K. Korver misses 2-pt shot from 11 ft
2:16.0,Defensive rebound by R. Westbrook,,22-15,,
2:10.0,,,22-15,,Personal foul by K. Irving (drawn by R. Westbrook)
2:10.0,C. Payne enters the game for R. Westbrook,,22-15,,
2:01.0,J. Grant misses 3-pt shot from 23 ft,,22-15,,
2:01.0,,,22-15,,Defensive rebound by C. Frye
1:40.0,,,22-17,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving)
1:30.0,J. Lauvergne misses 2-pt shot from 8 ft,,22-17,,
1:29.0,,,22-17,,Defensive rebound by T. Thompson
1:19.0,,,22-19,2,K. Irving makes 2-pt shot from 16 ft
1:00.0,D. Sabonis makes 2-pt shot from 11 ft,2,24-19,,
0:42.0,,,24-19,,T. Thompson misses 2-pt shot from 1 ft
0:41.0,,,24-19,,Offensive rebound by T. Thompson
0:41.0,,,24-21,2,T. Thompson makes 2-pt shot from 1 ft
0:30.0,C. Payne misses 2-pt shot from 10 ft,,24-21,,
0:28.0,,,24-21,,Defensive rebound by R. Jefferson
0:14.0,,,24-21,,K. Irving misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by J. Grant,,24-21,,
0:00.0,D. Sabonis misses 3-pt shot from 25 ft,,24-21,,
0:00.0,Offensive rebound by Team,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-23,2,C. Frye makes 2-pt shot at rim (assist by L. James)
11:25.0,J. Lauvergne misses 2-pt shot from 4 ft,,24-23,,
11:23.0,,,24-23,,Defensive rebound by L. James
