time,Atlanta,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Leonard (D. Schroder gains possession),,,,Jump ball: D. Howard vs. M. Leonard (D. Schroder gains possession)
11:46.0,P. Millsap misses 2-pt shot from 19 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by C. McCollum
11:32.0,,,0-2,2,D. Lillard makes 2-pt shot from 2 ft
11:10.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,2-2,,
10:48.0,,,2-2,,M. Leonard misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by D. Howard,,2-2,,
10:21.0,P. Millsap misses 2-pt shot from 8 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by N. Vonleh
10:09.0,,,2-5,3,M. Harkless makes 3-pt shot from 25 ft (assist by M. Leonard)
9:58.0,D. Schroder misses 2-pt shot from 6 ft,,2-5,,
9:57.0,Offensive rebound by Team,,2-5,,
9:56.0,Turnover by K. Bazemore (lost ball),,2-5,,
9:31.0,,,2-5,,C. McCollum misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by D. Howard,,2-5,,
9:19.0,T. Hardaway misses 2-pt shot from 2 ft (block by M. Harkless),,2-5,,
9:19.0,Offensive rebound by Team,,2-5,,
9:07.0,K. Bazemore misses 3-pt shot from 25 ft,,2-5,,
9:05.0,,,2-5,,Defensive rebound by N. Vonleh
8:54.0,,,2-5,,M. Harkless misses 2-pt shot from 2 ft (block by D. Howard)
8:54.0,Defensive rebound by D. Howard,,2-5,,
8:44.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,4-5,,
8:24.0,,,4-5,,M. Leonard misses 3-pt shot from 24 ft
8:23.0,,,4-5,,Offensive rebound by M. Harkless
8:22.0,,,4-5,,M. Harkless misses 2-pt shot from 2 ft (block by D. Howard)
8:22.0,,,4-5,,Offensive rebound by Team
8:11.0,,,4-5,,M. Leonard misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by D. Howard,,4-5,,
