time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (I. Smith gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (I. Smith gains possession)
11:45.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,2-0,,
11:25.0,,,2-2,2,D. DeRozan makes 2-pt shot from 4 ft
11:12.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith),3,5-2,,
10:53.0,,,5-4,2,J. Valanciunas makes 2-pt shot at rim
10:46.0,Detroit full timeout,,5-4,,
10:36.0,T. Harris makes 2-pt shot from 5 ft,2,7-4,,
10:16.0,,,7-4,,Turnover by D. DeRozan (bad pass; steal by K. Caldwell-Pope)
10:10.0,A. Drummond makes 2-pt shot from 3 ft (assist by I. Smith),2,9-4,,
10:04.0,,,9-4,,Turnover by K. Lowry (bad pass)
9:51.0,M. Morris makes 2-pt shot from 5 ft,2,11-4,,
9:31.0,,,11-4,,D. DeRozan misses 2-pt shot from 18 ft
9:31.0,Defensive rebound by T. Harris,,11-4,,
9:22.0,I. Smith misses 2-pt shot from 21 ft,,11-4,,
9:21.0,,,11-4,,Defensive rebound by P. Siakam
9:14.0,Personal foul by A. Drummond (drawn by D. DeRozan),,11-4,,
9:07.0,,,11-4,,K. Lowry misses 2-pt shot from 15 ft
9:06.0,,,11-4,,Offensive rebound by J. Valanciunas
9:04.0,,,11-4,,Shooting foul by M. Morris (drawn by J. Valanciunas)
9:04.0,,,11-5,1,J. Valanciunas makes free throw 1 of 2
9:04.0,,,11-6,1,J. Valanciunas makes free throw 2 of 2
8:48.0,T. Harris misses 2-pt shot from 13 ft,,11-6,,
8:48.0,,,11-6,,Defensive rebound by K. Lowry
8:43.0,,,11-6,,Shooting foul by A. Drummond (drawn by J. Valanciunas)
8:43.0,,,11-7,1,J. Valanciunas makes free throw 1 of 2
8:43.0,,,11-8,1,J. Valanciunas makes free throw 2 of 2
8:43.0,A. Baynes enters the game for A. Drummond,,11-7,,
8:29.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,11-8,,
8:29.0,,,11-8,,Defensive rebound by P. Siakam
8:23.0,,,11-8,,Shooting foul by A. Baynes (drawn by J. Valanciunas)
8:23.0,,,11-9,1,J. Valanciunas makes free throw 1 of 2
8:23.0,,,11-10,1,J. Valanciunas makes free throw 2 of 2
8:12.0,,,11-10,,Personal foul by D. Carroll (drawn by M. Morris)
8:05.0,I. Smith makes 2-pt shot from 17 ft,2,13-10,,
7:46.0,,,13-10,,J. Valanciunas misses 2-pt shot from 15 ft
7:46.0,Defensive rebound by T. Harris,,13-10,,
7:37.0,T. Harris misses 2-pt shot from 9 ft,,13-10,,
7:37.0,,,13-10,,Defensive rebound by J. Valanciunas
7:18.0,,,13-12,2,D. DeRozan makes 2-pt shot from 13 ft
7:06.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,13-12,,
7:05.0,,,13-12,,Defensive rebound by P. Siakam
6:47.0,,,13-14,2,D. DeRozan makes 2-pt shot from 5 ft
6:33.0,M. Morris misses 3-pt shot from 25 ft,,13-14,,
6:32.0,,,13-14,,Defensive rebound by D. Carroll
6:24.0,,,13-16,2,D. DeRozan makes 2-pt shot from 4 ft
6:24.0,,,13-16,,Shooting foul by A. Baynes (drawn by D. DeRozan)
6:24.0,,,13-17,1,D. DeRozan makes free throw 1 of 1
6:14.0,,,13-17,,Personal foul by D. Carroll (drawn by T. Harris)
6:14.0,,,13-17,,T. Ross enters the game for D. Carroll
6:03.0,M. Morris misses 3-pt shot from 24 ft,,13-17,,
6:03.0,,,13-17,,Defensive rebound by Team
5:49.0,,,13-17,,K. Lowry misses 2-pt shot from 16 ft
5:49.0,Defensive rebound by T. Harris,,13-17,,
5:40.0,I. Smith makes 2-pt shot from 20 ft (assist by T. Harris),2,15-17,,
5:29.0,,,15-17,,K. Lowry misses 2-pt shot from 5 ft
5:29.0,Defensive rebound by T. Harris,,15-17,,
5:20.0,A. Baynes makes 2-pt shot from 16 ft (assist by M. Morris),2,17-17,,
5:14.0,,,17-17,,Toronto full timeout
5:14.0,J. Leuer enters the game for M. Morris,,17-17,,
5:08.0,,,17-17,,D. DeRozan misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by I. Smith,,17-17,,
4:52.0,J. Leuer misses 2-pt shot from 9 ft,,17-17,,
4:52.0,Offensive rebound by Team,,17-17,,
4:52.0,,,17-17,,Loose ball foul by T. Ross (drawn by A. Baynes)
4:32.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,17-17,,
4:32.0,,,17-17,,Defensive rebound by Team
4:31.0,Loose ball foul by J. Leuer (drawn by J. Valanciunas),,17-17,,
4:31.0,,,17-18,1,J. Valanciunas makes free throw 1 of 2
4:31.0,,,17-19,1,J. Valanciunas makes free throw 2 of 2
4:10.0,I. Smith misses 2-pt shot from 21 ft,,17-19,,
4:10.0,,,17-19,,Defensive rebound by P. Siakam
3:58.0,,,17-21,2,K. Lowry makes 2-pt shot from 7 ft
3:41.0,Turnover by T. Harris (bad pass; steal by P. Siakam),,17-21,,
3:25.0,,,17-23,2,T. Ross makes 2-pt shot from 7 ft (assist by K. Lowry)
3:01.0,J. Leuer misses 2-pt shot from 21 ft,,17-23,,
3:01.0,,,17-23,,Defensive rebound by J. Valanciunas
2:51.0,,,17-25,2,P. Siakam makes 2-pt shot from 6 ft (assist by K. Lowry)
2:45.0,Detroit full timeout,,17-25,,
2:45.0,,,17-25,,P. Patterson enters the game for P. Siakam
2:45.0,,,17-25,,C. Joseph enters the game for K. Lowry
2:45.0,B. Udrih enters the game for K. Caldwell-Pope,,17-25,,
2:45.0,S. Johnson enters the game for I. Smith,,17-25,,
2:31.0,T. Harris makes 2-pt shot from 6 ft,2,19-25,,
2:14.0,,,19-25,,D. DeRozan misses 2-pt shot from 3 ft
2:14.0,Defensive rebound by J. Leuer,,19-25,,
2:04.0,S. Johnson misses 2-pt shot from 15 ft,,19-25,,
2:04.0,,,19-25,,Defensive rebound by T. Ross
1:55.0,,,19-27,2,D. DeRozan makes 2-pt shot from 2 ft (assist by T. Ross)
1:41.0,A. Baynes misses 2-pt shot from 17 ft,,19-27,,
1:40.0,,,19-27,,Defensive rebound by C. Joseph
1:29.0,,,19-27,,Shooting foul by S. Johnson (drawn by D. DeRozan)
1:29.0,,,19-28,1,D. DeRozan makes free throw 1 of 2
1:29.0,,,19-29,1,D. DeRozan makes free throw 2 of 2
1:29.0,,,19-28,,J. Poeltl enters the game for J. Valanciunas
1:16.0,Turnover by T. Harris (offensive foul),,19-29,,
1:16.0,Offensive foul by T. Harris,,19-29,,
1:06.0,,,19-29,,Turnover by D. DeRozan (lost ball; steal by T. Harris)
1:01.0,T. Harris makes 2-pt shot at rim,2,21-29,,
0:50.0,,,21-29,,P. Patterson misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by S. Johnson,,21-29,,
0:39.0,Turnover by J. Leuer (bad pass; steal by T. Ross),,21-29,,
0:36.0,,,21-31,2,C. Joseph makes 2-pt shot from 3 ft (assist by T. Ross)
0:16.0,,,21-31,,Shooting block foul by D. DeRozan (drawn by T. Harris)
0:16.0,T. Harris makes free throw 1 of 2,1,22-31,,
0:16.0,T. Harris makes free throw 2 of 2,1,23-31,,
0:01.0,,,23-31,,Shooting foul by B. Udrih (drawn by D. DeRozan)
0:01.0,,,23-32,1,D. DeRozan makes free throw 1 of 2
0:01.0,,,23-33,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-33,,T. Ross misses 2-pt shot from 13 ft
11:47.0,,,23-33,,Offensive rebound by J. Poeltl
11:45.0,,,23-33,,J. Poeltl misses 2-pt shot from 2 ft
11:43.0,,,23-33,,Offensive rebound by J. Poeltl
11:43.0,,,23-33,,J. Poeltl misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by S. Johnson,,23-33,,
11:38.0,Shooting foul by J. Poeltl (drawn by B. Udrih),,23-33,,
11:38.0,B. Udrih makes free throw 1 of 2,1,24-33,,
11:38.0,B. Udrih makes free throw 2 of 2,1,25-33,,
11:38.0,K. Caldwell-Pope enters the game for S. Johnson,,24-33,,
11:29.0,,,25-33,,Shooting foul by J. Leuer (drawn by P. Patterson)
11:29.0,,,25-34,1,P. Patterson makes free throw 1 of 2
11:29.0,,,25-34,,P. Patterson misses free throw 2 of 2
11:27.0,Defensive rebound by J. Leuer,,25-34,,
11:12.0,Turnover by M. Morris (lost ball; steal by T. Ross),,25-34,,
11:04.0,,,25-34,,K. Lowry misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by Team,,25-34,,
11:02.0,,,25-34,,Loose ball foul by J. Poeltl (drawn by J. Leuer)
10:44.0,M. Morris makes 2-pt shot from 18 ft (assist by B. Udrih),2,27-34,,
10:26.0,,,27-34,,K. Lowry misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by J. Leuer,,27-34,,
10:15.0,B. Udrih misses 2-pt shot from 16 ft,,27-34,,
10:14.0,,,27-34,,Defensive rebound by T. Ross
10:09.0,,,27-34,,Turnover by C. Joseph (lost ball)
9:52.0,B. Marjanovic misses 2-pt shot from 10 ft,,27-34,,
9:51.0,Offensive rebound by M. Morris,,27-34,,
9:50.0,M. Morris misses 2-pt shot from 3 ft,,27-34,,
9:49.0,,,27-34,,Defensive rebound by T. Ross
9:43.0,,,27-34,,Turnover by T. Ross (bad pass; steal by B. Marjanovic)
9:38.0,,,27-34,,Personal foul by T. Ross (drawn by B. Udrih)
9:28.0,M. Morris makes 2-pt shot from 3 ft (assist by B. Udrih),2,29-34,,
9:28.0,Shooting foul by J. Poeltl (drawn by M. Morris),,29-34,,
9:28.0,M. Morris makes free throw 1 of 1,1,30-34,,
9:28.0,,,29-34,,J. Valanciunas enters the game for J. Poeltl
9:28.0,,,29-34,,D. Carroll enters the game for T. Ross
9:07.0,,,30-34,,P. Patterson misses 2-pt shot from 15 ft
9:07.0,Defensive rebound by M. Morris,,30-34,,
8:57.0,B. Udrih misses 2-pt shot from 18 ft,,30-34,,
8:57.0,,,30-34,,Defensive rebound by D. Carroll
8:46.0,,,30-34,,Shooting foul by K. Caldwell-Pope (drawn by D. Carroll)
8:46.0,Official timeout,,30-34,,
8:46.0,,,30-35,1,D. Carroll makes free throw 1 of 2
8:46.0,,,30-35,,D. Carroll misses free throw 2 of 2
8:46.0,,,30-35,,Offensive rebound by Team
8:46.0,Loose ball foul by B. Marjanovic (drawn by J. Valanciunas),,30-35,,
8:26.0,,,30-35,,D. Carroll misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by J. Leuer,,30-35,,
8:12.0,J. Leuer misses 2-pt shot from 9 ft,,30-35,,
8:12.0,,,30-35,,Defensive rebound by J. Valanciunas
8:03.0,,,30-35,,C. Joseph misses 2-pt shot from 10 ft
8:02.0,Defensive rebound by B. Marjanovic,,30-35,,
7:50.0,M. Morris misses 2-pt shot from 17 ft,,30-35,,
7:50.0,,,30-35,,Defensive rebound by P. Patterson
7:35.0,,,30-37,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry)
7:35.0,,,30-37,,Violation by Team (jump ball)
7:10.0,B. Udrih misses 3-pt shot from 26 ft,,30-37,,
7:09.0,,,30-37,,Defensive rebound by K. Lowry
6:57.0,,,30-39,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson)
6:57.0,,,30-39,,Shooting foul by B. Marjanovic (drawn by J. Valanciunas)
6:57.0,,,30-39,,J. Valanciunas misses free throw 1 of 1
6:57.0,T. Harris enters the game for B. Marjanovic,,30-39,,
6:57.0,A. Baynes enters the game for J. Leuer,,30-39,,
6:57.0,I. Smith enters the game for B. Udrih,,30-39,,
6:56.0,Defensive rebound by M. Morris,,30-39,,
6:39.0,T. Harris makes 2-pt shot from 9 ft (assist by K. Caldwell-Pope),2,32-39,,
6:29.0,,,32-39,,C. Joseph misses 2-pt shot from 3 ft
6:28.0,,,32-39,,Offensive rebound by J. Valanciunas
6:27.0,,,32-39,,J. Valanciunas misses 2-pt shot from 3 ft
6:26.0,,,32-39,,Offensive rebound by J. Valanciunas
6:26.0,,,32-39,,Shooting foul by A. Baynes (drawn by J. Valanciunas)
6:26.0,,,32-40,1,J. Valanciunas makes free throw 1 of 2
6:26.0,,,32-40,,J. Valanciunas misses free throw 2 of 2
6:26.0,,,32-40,,D. DeRozan enters the game for C. Joseph
6:25.0,Defensive rebound by A. Baynes,,32-40,,
6:11.0,M. Morris makes 2-pt shot from 19 ft,2,34-40,,
5:52.0,,,34-42,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. Carroll)
5:40.0,T. Harris misses 2-pt shot from 15 ft,,34-42,,
5:40.0,Offensive rebound by Team,,34-42,,
5:40.0,,,34-42,,Personal foul by K. Lowry (drawn by A. Baynes)
5:40.0,,,34-42,,Toronto full timeout
5:40.0,Technical foul by Team,,34-42,,
5:40.0,,,34-43,1,K. Lowry makes technical free throw
5:40.0,A. Baynes makes free throw 1 of 2,1,35-43,,
5:40.0,A. Baynes makes free throw 2 of 2,1,36-43,,
5:26.0,,,36-45,2,J. Valanciunas makes 2-pt shot from 3 ft
5:04.0,M. Morris makes 3-pt shot from 26 ft (assist by I. Smith),3,39-45,,
4:53.0,,,39-47,2,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry)
4:32.0,A. Baynes makes 2-pt shot from 6 ft,2,41-47,,
4:14.0,Personal foul by T. Harris (drawn by J. Valanciunas),,41-47,,
4:14.0,,,41-48,1,J. Valanciunas makes free throw 1 of 2
4:14.0,,,41-49,1,J. Valanciunas makes free throw 2 of 2
4:14.0,,,41-48,,P. Siakam enters the game for P. Patterson
4:14.0,A. Drummond enters the game for A. Baynes,,41-48,,
3:59.0,Offensive foul by M. Morris,,41-49,,
3:59.0,Turnover by M. Morris (offensive foul),,41-49,,
3:42.0,,,41-49,,K. Lowry misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by A. Drummond,,41-49,,
3:33.0,,,41-49,,Personal foul by P. Siakam (drawn by T. Harris)
3:33.0,T. Harris makes free throw 1 of 2,1,42-49,,
3:33.0,T. Harris makes free throw 2 of 2,1,43-49,,
3:25.0,,,43-49,,Offensive foul by J. Valanciunas
3:25.0,,,43-49,,Turnover by J. Valanciunas (offensive foul)
3:14.0,I. Smith misses 3-pt shot from 26 ft,,43-49,,
3:14.0,,,43-49,,Defensive rebound by P. Siakam
3:07.0,,,43-49,,Turnover by D. DeRozan (lost ball; steal by K. Caldwell-Pope)
3:04.0,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,45-49,,
3:04.0,Shooting foul by P. Siakam (drawn by T. Harris),,45-49,,
3:04.0,T. Harris makes free throw 1 of 1,1,46-49,,
2:39.0,,,46-49,,Turnover by Team (shot clock)
2:39.0,Detroit full timeout,,46-49,,
2:39.0,,,46-49,,C. Joseph enters the game for K. Lowry
2:29.0,A. Drummond misses 2-pt shot from 3 ft,,46-49,,
2:29.0,,,46-49,,Defensive rebound by C. Joseph
2:19.0,,,46-52,3,D. Carroll makes 3-pt shot from 26 ft (assist by C. Joseph)
2:09.0,Turnover by T. Harris (bad pass; steal by C. Joseph),,46-52,,
2:01.0,,,46-54,2,D. DeRozan makes 2-pt shot from 4 ft (assist by C. Joseph)
1:43.0,A. Drummond misses 2-pt shot from 9 ft,,46-54,,
1:43.0,,,46-54,,Defensive rebound by D. Carroll
1:27.0,,,46-54,,D. Carroll misses 3-pt shot from 26 ft
1:26.0,,,46-54,,Offensive rebound by C. Joseph
1:13.0,,,46-54,,D. DeRozan misses 2-pt shot from 22 ft
1:12.0,,,46-54,,Offensive rebound by C. Joseph
1:06.0,,,46-54,,D. Carroll misses 3-pt shot from 25 ft
1:05.0,,,46-54,,Offensive rebound by P. Siakam
1:05.0,,,46-56,2,P. Siakam makes 2-pt shot from 1 ft
0:54.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,46-56,,
0:54.0,,,46-56,,Defensive rebound by P. Siakam
0:34.0,,,46-56,,Turnover by D. DeRozan (lost ball; steal by A. Drummond)
0:23.0,M. Morris misses 2-pt shot from 14 ft,,46-56,,
0:23.0,,,46-56,,Defensive rebound by D. Carroll
0:05.0,,,46-58,2,C. Joseph makes 2-pt shot at rim
0:00.0,I. Smith misses 3-pt shot from 36 ft,,46-58,,
0:00.0,Offensive rebound by Team,,46-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-60,2,D. DeRozan makes 2-pt shot from 19 ft
11:21.0,A. Drummond makes 2-pt shot from 1 ft,2,48-60,,
11:21.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,48-60,,
11:21.0,A. Drummond makes free throw 1 of 1,1,49-60,,
11:04.0,,,49-62,2,D. DeRozan makes 2-pt shot from 11 ft
10:41.0,A. Drummond misses 2-pt shot from 3 ft,,49-62,,
10:40.0,Offensive rebound by M. Morris,,49-62,,
10:39.0,M. Morris misses 2-pt shot from 2 ft,,49-62,,
10:38.0,Offensive rebound by M. Morris,,49-62,,
10:38.0,M. Morris makes 2-pt shot from 2 ft,2,51-62,,
10:24.0,,,51-64,2,J. Valanciunas makes 2-pt shot from 3 ft
10:10.0,T. Harris makes 3-pt shot from 22 ft (assist by I. Smith),3,54-64,,
9:53.0,,,54-64,,J. Valanciunas misses 2-pt shot from 12 ft
9:53.0,Defensive rebound by M. Morris,,54-64,,
9:44.0,M. Morris misses 3-pt shot from 26 ft,,54-64,,
9:44.0,Offensive rebound by Team,,54-64,,
9:44.0,,,54-64,,Loose ball foul by D. Carroll (drawn by T. Harris)
9:36.0,Turnover by T. Harris (traveling),,54-64,,
