time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (G. Dieng gains possession),,,,Jump ball: C. Capela vs. K. Towns (G. Dieng gains possession)
11:45.0,A. Wiggins misses 2-pt shot from 10 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by C. Capela
11:34.0,,,0-0,,R. Anderson misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by B. Rush,,0-0,,
11:17.0,R. Rubio misses 2-pt shot from 19 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by C. Capela
11:00.0,,,0-2,2,C. Capela makes 2-pt shot from 7 ft (assist by R. Anderson)
10:41.0,Turnover by A. Wiggins (bad pass),,0-2,,
10:33.0,,,0-2,,J. Harden misses 2-pt shot from 10 ft
10:32.0,Defensive rebound by G. Dieng,,0-2,,
10:19.0,K. Towns makes 2-pt shot from 7 ft,2,2-2,,
10:13.0,,,2-2,,R. Anderson misses 3-pt shot from 28 ft
10:11.0,,,2-2,,Offensive rebound by P. Beverley
10:02.0,,,2-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:42.0,K. Towns misses 2-pt shot from 11 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by P. Beverley
9:33.0,,,2-6,2,R. Anderson makes 2-pt shot at rim
9:17.0,B. Rush misses 3-pt shot from 24 ft,,2-6,,
9:17.0,,,2-6,,Defensive rebound by Team
9:10.0,,,2-8,2,J. Harden makes 2-pt shot from 2 ft
9:05.0,Minnesota full timeout,,2-8,,
8:54.0,A. Wiggins misses 3-pt shot from 26 ft,,2-8,,
8:53.0,,,2-8,,Defensive rebound by Team
8:52.0,Loose ball foul by G. Dieng (drawn by J. Harden),,2-8,,
8:37.0,,,2-8,,J. Harden misses 3-pt shot from 28 ft
8:37.0,,,2-8,,Offensive rebound by Team
8:33.0,,,2-8,,J. Harden misses 3-pt shot from 24 ft
8:31.0,,,2-8,,Offensive rebound by Team
8:27.0,,,2-8,,Turnover by C. Capela (traveling)
8:10.0,A. Wiggins misses 2-pt shot from 4 ft,,2-8,,
8:08.0,Offensive rebound by K. Towns,,2-8,,
8:07.0,K. Towns misses 2-pt shot from 4 ft,,2-8,,
8:05.0,Offensive rebound by A. Wiggins,,2-8,,
8:02.0,A. Wiggins misses 2-pt shot from 4 ft (block by C. Capela),,2-8,,
8:00.0,Offensive rebound by G. Dieng,,2-8,,
8:00.0,Turnover by G. Dieng (lost ball; steal by J. Harden),,2-8,,
7:58.0,,,2-8,,Shooting foul by R. Rubio (drawn by P. Beverley)
7:58.0,,,2-9,1,P. Beverley makes free throw 1 of 2
7:58.0,,,2-9,,P. Beverley misses free throw 2 of 2
7:57.0,Defensive rebound by K. Towns,,2-9,,
7:48.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-9,,
7:40.0,,,4-12,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
7:25.0,Turnover by R. Rubio (bad pass; steal by P. Beverley),,4-12,,
7:21.0,,,4-14,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
7:01.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,6-14,,
6:56.0,,,6-14,,Turnover by J. Harden (bad pass; steal by A. Wiggins)
6:52.0,A. Wiggins makes 2-pt shot at rim,2,8-14,,
6:38.0,,,8-17,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
6:27.0,,,8-17,,Personal foul by C. Capela (drawn by K. Towns)
6:27.0,,,8-17,,E. Gordon enters the game for P. Beverley
6:26.0,Turnover by A. Wiggins (bad pass; steal by T. Ariza),,8-17,,
6:24.0,,,8-17,,Shooting foul by A. Wiggins (drawn by T. Ariza)
6:24.0,,,8-18,1,T. Ariza makes free throw 1 of 2
6:24.0,,,8-19,1,T. Ariza makes free throw 2 of 2
6:12.0,R. Rubio misses 2-pt shot from 2 ft,,8-19,,
6:11.0,,,8-19,,Defensive rebound by R. Anderson
6:06.0,,,8-19,,T. Ariza misses 3-pt shot from 28 ft
6:04.0,Defensive rebound by K. Towns,,8-19,,
5:57.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,10-19,,
5:49.0,,,10-19,,R. Anderson misses 2-pt shot from 3 ft (block by G. Dieng)
5:46.0,Defensive rebound by K. Towns,,10-19,,
5:44.0,Turnover by A. Wiggins (bad pass; steal by J. Harden),,10-19,,
5:39.0,,,10-22,3,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson)
5:22.0,K. Towns misses 2-pt shot from 5 ft,,10-22,,
5:20.0,Offensive rebound by K. Towns,,10-22,,
5:18.0,K. Towns makes 2-pt shot at rim,2,12-22,,
5:13.0,,,12-22,,Turnover by J. Harden (bad pass; steal by G. Dieng)
5:08.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,14-22,,
5:06.0,,,14-22,,Turnover by C. Capela (bad pass; steal by G. Dieng)
5:06.0,G. Dieng makes 2-pt shot from 3 ft,2,16-22,,
5:06.0,,,16-22,,Houston full timeout
5:06.0,,,16-22,,N. Hilario enters the game for C. Capela
5:06.0,N. Bjelica enters the game for B. Rush,,16-22,,
5:06.0,S. Muhammad enters the game for K. Towns,,16-22,,
4:52.0,,,16-24,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
4:32.0,S. Muhammad misses 2-pt shot from 5 ft (block by N. Hilario),,16-24,,
4:29.0,,,16-24,,Defensive rebound by T. Ariza
4:26.0,Personal foul by S. Muhammad (drawn by E. Gordon),,16-24,,
4:26.0,,,16-24,,L. Williams enters the game for R. Anderson
4:25.0,Personal foul by S. Muhammad (drawn by E. Gordon),,16-24,,
4:25.0,,,16-25,1,L. Williams makes free throw 1 of 2
4:25.0,,,16-26,1,L. Williams makes free throw 2 of 2
4:15.0,Turnover by A. Wiggins (traveling),,16-26,,
4:05.0,,,16-29,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
3:48.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,18-29,,
3:41.0,Personal foul by A. Wiggins (drawn by J. Harden),,18-29,,
3:41.0,,,18-30,1,J. Harden makes free throw 1 of 2
3:41.0,,,18-30,,J. Harden misses free throw 2 of 2
3:41.0,Defensive rebound by S. Muhammad,,18-30,,
3:41.0,K. Dunn enters the game for R. Rubio,,18-30,,
3:41.0,T. Jones enters the game for N. Bjelica,,18-30,,
3:18.0,Shooting foul by L. Williams (drawn by T. Jones),,18-30,,
3:18.0,T. Jones misses free throw 1 of 2,,18-30,,
3:18.0,Offensive rebound by Team,,18-30,,
3:18.0,T. Jones makes free throw 2 of 2,1,19-30,,
3:03.0,,,19-30,,T. Ariza misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by T. Jones,,19-30,,
2:43.0,S. Muhammad misses 3-pt shot from 23 ft,,19-30,,
2:41.0,Offensive rebound by G. Dieng,,19-30,,
2:35.0,T. Jones makes 2-pt shot from 5 ft,2,21-30,,
2:26.0,,,21-33,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza)
2:09.0,A. Wiggins makes 2-pt shot from 3 ft,2,23-33,,
1:53.0,,,23-33,,T. Ariza misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by G. Dieng,,23-33,,
1:43.0,G. Dieng makes 2-pt shot at rim (assist by T. Jones),2,25-33,,
1:23.0,,,25-33,,E. Gordon misses 3-pt shot from 27 ft
1:23.0,,,25-33,,Offensive rebound by Team
1:23.0,,,25-33,,S. Dekker enters the game for T. Ariza
1:18.0,,,25-33,,J. Harden misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by T. Jones,,25-33,,
1:13.0,Turnover by A. Wiggins (traveling),,25-33,,
1:08.0,,,25-33,,Shooting foul by K. Dunn
1:08.0,,,25-34,1,L. Williams makes free throw 1 of 3
1:08.0,,,25-35,1,L. Williams makes free throw 2 of 3
1:08.0,,,25-35,,L. Williams misses free throw 3 of 3
1:08.0,Defensive rebound by G. Dieng,,25-35,,
1:00.0,T. Jones misses 3-pt shot from 23 ft,,25-35,,
0:57.0,Offensive rebound by A. Wiggins,,25-35,,
0:57.0,A. Wiggins misses 2-pt shot from 3 ft,,25-35,,
0:57.0,Offensive rebound by S. Muhammad,,25-35,,
0:57.0,Shooting foul by N. Hilario (drawn by A. Wiggins),,25-35,,
0:57.0,A. Wiggins makes free throw 1 of 2,1,26-35,,
0:57.0,A. Wiggins makes free throw 2 of 2,1,27-35,,
0:45.0,,,27-35,,J. Harden misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by K. Dunn,,27-35,,
0:21.0,A. Wiggins misses 2-pt shot from 20 ft,,27-35,,
0:21.0,Jump ball: G. Dieng vs. N. Hilario (A. Wiggins gains possession),,,,Jump ball: G. Dieng vs. N. Hilario (A. Wiggins gains possession)
0:21.0,Offensive rebound by Team,,27-35,,
0:02.0,,,27-35,,Shooting block foul by N. Hilario (drawn by A. Wiggins)
0:02.0,A. Wiggins makes free throw 1 of 2,1,28-35,,
0:02.0,A. Wiggins misses free throw 2 of 2,,28-35,,
0:02.0,,,28-35,,Defensive rebound by J. Harden
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-35,,P. Beverley misses 2-pt shot from 2 ft
11:44.0,,,28-35,,Offensive rebound by C. Capela
11:43.0,,,28-37,2,C. Capela makes 2-pt shot from 2 ft
11:24.0,K. Dunn misses 2-pt shot from 3 ft (block by P. Beverley),,28-37,,
11:22.0,,,28-37,,Defensive rebound by C. Capela
11:17.0,,,28-37,,L. Williams misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by K. Towns,,28-37,,
11:05.0,Turnover by K. Towns (lost ball; steal by E. Gordon),,28-37,,
11:00.0,,,28-39,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
10:43.0,K. Towns misses 2-pt shot from 9 ft,,28-39,,
10:42.0,,,28-39,,Defensive rebound by E. Gordon
10:34.0,,,28-39,,E. Gordon misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by B. Rush,,28-39,,
10:25.0,Shooting foul by C. Capela (drawn by K. Dunn),,28-39,,
10:25.0,K. Dunn makes 2-pt shot from 4 ft,2,30-39,,
10:25.0,K. Dunn makes free throw 1 of 1,1,31-39,,
10:25.0,N. Bjelica enters the game for S. Muhammad,,30-39,,
10:11.0,Personal foul by T. Jones (drawn by E. Gordon),,31-39,,
10:02.0,,,31-39,,P. Beverley misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by T. Jones,,31-39,,
9:54.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,33-39,,
9:42.0,,,33-39,,P. Beverley misses 3-pt shot from 26 ft
