time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Hilario (W. Matthews gains possession),,,,Jump ball: A. Bogut vs. N. Hilario (W. Matthews gains possession)
11:45.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by T. Ariza,,0-0,,
11:35.0,J. Harden makes 2-pt shot from 2 ft,2,2-0,,
11:13.0,,,2-0,,D. Nowitzki misses 2-pt shot from 20 ft
11:12.0,Defensive rebound by N. Hilario,,2-0,,
11:02.0,N. Hilario misses 2-pt shot from 1 ft (block by A. Bogut),,2-0,,
11:00.0,,,2-0,,Defensive rebound by A. Bogut
10:47.0,,,2-2,2,H. Barnes makes 2-pt shot from 2 ft
10:24.0,R. Anderson makes 2-pt shot from 2 ft (assist by J. Harden),2,4-2,,
10:02.0,Personal foul by J. Harden (drawn by D. Nowitzki),,4-2,,
10:02.0,,,4-2,,D. Finney-Smith enters the game for A. Bogut
9:57.0,,,4-2,,D. Nowitzki misses 2-pt shot from 1 ft (block by N. Hilario)
9:55.0,Defensive rebound by T. Ariza,,4-2,,
9:43.0,J. Harden misses 3-pt shot from 25 ft,,4-2,,
9:42.0,,,4-2,,Defensive rebound by D. Nowitzki
9:23.0,,,4-2,,W. Matthews misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by N. Hilario,,4-2,,
9:15.0,C. Brewer misses 2-pt shot from 5 ft,,4-2,,
9:13.0,Offensive rebound by R. Anderson,,4-2,,
9:13.0,R. Anderson makes 2-pt shot from 1 ft,2,6-2,,
8:54.0,,,6-4,2,D. Finney-Smith makes 2-pt shot from 1 ft (assist by W. Matthews)
8:46.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,8-4,,
8:46.0,,,8-4,,Shooting block foul by H. Barnes (drawn by N. Hilario)
8:46.0,N. Hilario makes free throw 1 of 1,1,9-4,,
8:40.0,Personal foul by C. Brewer (drawn by D. Williams),,9-4,,
8:30.0,,,9-4,,H. Barnes misses 2-pt shot from 6 ft
8:28.0,Defensive rebound by T. Ariza,,9-4,,
8:19.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,12-4,,
8:04.0,,,12-4,,D. Williams misses 2-pt shot from 3 ft
8:02.0,Defensive rebound by C. Brewer,,12-4,,
7:56.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,15-4,,
7:56.0,,,15-4,,Dallas full timeout
7:39.0,,,15-4,,Turnover by D. Finney-Smith (bad pass; steal by R. Anderson)
7:31.0,T. Ariza makes 3-pt shot from 22 ft (assist by C. Brewer),3,18-4,,
7:13.0,,,18-6,2,H. Barnes makes 2-pt shot from 3 ft
6:54.0,J. Harden makes 2-pt shot from 19 ft,2,20-6,,
6:42.0,,,20-8,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by D. Williams)
6:32.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,22-8,,
6:21.0,Personal foul by R. Anderson (drawn by D. Williams),,22-8,,
6:21.0,M. Harrell enters the game for C. Brewer,,22-8,,
6:21.0,E. Gordon enters the game for N. Hilario,,22-8,,
6:21.0,,,22-8,,A. Bogut enters the game for D. Nowitzki
6:13.0,,,22-10,2,W. Matthews makes 2-pt shot from 16 ft (assist by D. Williams)
5:51.0,J. Harden makes 2-pt shot from 5 ft,2,24-10,,
5:34.0,,,24-12,2,H. Barnes makes 2-pt shot from 2 ft
5:19.0,R. Anderson misses 2-pt shot from 13 ft,,24-12,,
5:18.0,,,24-12,,Defensive rebound by H. Barnes
5:11.0,,,24-15,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Williams)
4:55.0,M. Harrell misses 2-pt shot from 2 ft (block by A. Bogut),,24-15,,
4:44.0,,,24-15,,Defensive rebound by D. Finney-Smith
4:37.0,,,24-18,3,D. Williams makes 3-pt shot from 25 ft
4:37.0,Houston full timeout,,24-18,,
4:37.0,,,24-18,,D. Harris enters the game for D. Williams
4:37.0,,,24-18,,S. Curry enters the game for D. Finney-Smith
4:37.0,S. Dekker enters the game for R. Anderson,,24-18,,
4:22.0,J. Harden misses 2-pt shot from 12 ft,,24-18,,
4:21.0,,,24-18,,Defensive rebound by D. Harris
4:00.0,,,24-20,2,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry)
3:49.0,Turnover by J. Harden (bad pass; steal by W. Matthews),,24-20,,
